Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
Li,-0.5868314,0.6182121,0.46659014,-0.04479964,0.6932914,-0.49225911,-0.62142664,0.9613217,-0.21930778,0.4525993,-0.6043909,0.2868795,-0.5348364,-0.10257128,-0.18373933,-0.68258005,-0.36577302,-0.628825,1.0834796,-0.29218504,0.6224569,0.37695438,-0.6395011,0.64904547,-0.0041408427,0.8201667,0.46908563,0.23446257,-0.47378004,0.54492414,1.2640021,-0.08977106,0.03066833,-0.37454683,0.17098679,0.5066224,-1.6479546,0.28093004,-0.42331994,-0.87547016,-1.1158973,-0.66026527,-0.15580072,-0.1863296,0.5861792,-0.39964166,0.42149386,-0.7627713,0.23223257,-0.38841182,-0.8789034,-0.46133754,0.07287804,-0.7680228,0.5752114,-0.35273752,0.52983797,-0.6102916,-0.6395811,-0.2337095,0.27236056,0.18494533,0.8725574,0.46988195
Be,0.74468124,-0.113501176,0.9136124,0.57906055,0.14854303,-0.6942541,-0.24088281,0.8746037,-0.79533935,-0.15361059,-1.0559149,-0.6091589,-0.77894634,-1.1490194,0.2637206,-0.68248135,0.8660962,-0.92949873,0.49387908,-0.38422185,0.56332636,0.15021546,-0.8627048,0.37561136,0.8790993,0.55170596,-0.13174969,0.25812736,-0.04810226,-0.344677,-0.24273795,-0.030622061,0.98599494,-0.07088114,1.0804323,0.42450106,-0.9359738,0.089862,-0.0655688,0.45498252,-1.2470983,0.15638518,0.1625993,0.8708034,-0.32639012,-0.7488137,0.088421896,-0.75940543,-0.6164936,-0.41750976,-0.9012253,-0.6775009,-0.69762546,-0.041859414,-0.5352463,-0.014298832,0.2902584,-0.7306919,-0.61696196,-0.3085764,0.09283595,-0.44223037,0.93119776,0.07862361
B,0.017855346,0.16225615,0.94175583,0.41560483,-0.2668421,-0.9395697,-0.4695996,1.4682577,-1.1066271,-0.49042296,-0.93555653,0.029682994,-1.5147861,-1.786492,0.10763659,-0.61453146,0.500428,-0.43859562,0.054021865,-1.0288674,0.8853765,0.38089383,-0.45212236,0.4568835,0.2147007,0.86303294,-0.0699177,-0.6452358,-0.6226753,-0.62543625,0.5949452,0.5434643,0.8323039,-0.97949255,1.0163225,0.83306015,-0.9871173,0.2849459,-0.7543441,-0.116804585,-1.4297893,-0.21808419,0.56742114,1.3736999,0.4897119,-1.2354553,0.8012507,-0.7567413,-0.59243417,-0.20889479,-1.025862,-0.81810355,0.08433925,0.15577921,0.65477353,0.3067792,0.15517713,-0.26353037,-1.1954136,-0.7549701,0.31130955,-0.23874551,0.65813756,-0.1061669
N,-0.19980204,-0.112036884,0.1477412,0.35865143,-0.64945376,-0.18918304,0.5449174,0.061653007,-0.22639689,0.12880549,-0.34597272,0.058787614,-0.43748304,0.077932045,-0.8742317,-0.20529222,0.07112643,-0.986081,0.60528123,0.5188824,0.35431665,0.5244499,0.23452663,-0.2910341,-0.15512832,0.31775188,0.6009878,-0.38312444,-0.116769776,0.046940304,-0.01843576,0.2216292,0.001784794,-0.019580223,0.33421093,0.4241686,0.19674776,-0.14317666,-0.027757578,0.75914896,-0.1855413,0.42338675,-0.09345639,-0.3276352,-0.11985508,-0.30472255,0.104432106,-0.47041076,-0.11333263,-0.37136823,-0.23665674,-0.3904321,0.84087366,-0.25256392,-0.71168864,0.059193034,0.2641922,0.09409463,-0.13415194,-0.47443825,-0.54057163,0.2516333,0.26142773,0.056921892
O,-0.09053924,-0.03538887,-0.21019801,-0.013195261,-0.2534166,0.15876228,0.25552797,0.06298138,-0.28506964,-0.67413515,0.090188995,0.074780256,0.3537063,0.6133306,0.117564075,0.28768378,-0.727952,0.7228584,-0.24037935,0.09497371,-0.1121282,-0.127178,0.07960466,-0.00047957897,-0.4244199,-0.41386104,0.14598778,0.04399816,-0.5049416,-0.37249345,-0.11653063,0.44417146,-0.75223035,0.5288981,-0.4344024,-0.24186654,0.758203,-0.39316168,0.17230427,-0.15224561,0.74706185,-0.16508321,0.17474687,-0.15459289,0.3998842,0.17190827,-0.047196414,0.21439275,0.17480062,0.088220865,0.26797923,0.30103293,0.8916265,-0.1517121,0.2827257,0.85926616,0.10608803,0.20274693,0.32315174,0.24385592,-0.21690367,0.08238469,-0.47968695,0.17118932
F,-0.3448528,-0.16864131,-0.6287607,-0.91214275,0.16045785,-0.44294432,-0.038254797,-0.41756198,0.77752817,-0.56861603,0.4271738,-0.9762603,0.6874218,0.61137295,0.6470972,1.0209556,-0.09375462,0.6826498,-0.5467936,0.42524502,-0.43941662,-0.9032781,-0.07209812,-1.1595663,0.06328215,-0.83639455,-0.14787817,0.87958133,0.21134633,0.104697086,-0.48547086,-0.062260598,-0.27439833,0.93595195,-0.76020885,-0.85539407,0.10533583,0.1863742,0.9726508,0.6805111,0.64077383,0.00048157945,0.4253212,-0.007864695,-0.032436144,0.8711618,-0.21702148,0.25827557,-0.28724396,0.8180195,0.7051717,1.0236558,-0.08190476,0.41094503,-1.1073596,0.08708607,-0.5436043,0.15189858,0.6830928,0.75474846,-0.21197437,-0.20069124,-1.1189826,-0.14350493
Na,-0.53256696,0.8667211,0.35067576,-0.14861785,1.1294665,-0.15449516,-0.45134127,0.7121609,-0.026740976,1.063898,-0.60287094,0.44333896,-0.38799852,0.5799433,-0.51097023,-0.850928,-0.10303053,-0.77133185,1.0549281,-0.34845632,0.40751475,0.83363396,-0.7504635,0.5597007,-0.10658398,0.8597721,0.6133142,0.044180386,-0.20550896,1.1084464,1.1785065,-0.12194058,0.09002614,-0.61758447,0.113023266,0.5772155,-1.5446522,0.31624755,-0.76919913,-0.8485614,-1.0338566,-0.71762127,-0.39623538,-0.42850602,0.58536667,-0.32465765,0.7833301,-0.733081,0.6261792,-0.54375505,-0.84478045,-0.5372062,-0.19531423,-1.1259619,0.89924234,-0.8339477,0.70879877,-0.8965956,-0.8477857,-0.15454006,0.33517045,0.30551165,0.8969412,0.7306218
Mg,-0.027012154,0.36233988,-0.012940519,-0.12396649,0.28211704,0.16487774,-0.2862652,0.52047366,-0.054543816,0.3561756,-0.15952729,-0.54298997,-0.55340415,0.24263717,-0.04044091,-0.09647791,0.40239418,-1.0631512,0.6739809,0.35506058,0.072787315,0.34951192,-0.8174312,0.13856071,0.43998054,0.13140199,0.27335423,0.73352015,0.28355744,0.89578706,0.1191041,-0.3164721,0.3601411,0.072878584,0.16950163,0.09681164,-0.49590975,-0.13452446,-0.3600228,0.12968265,-0.60351014,0.114048675,-0.1763562,-0.031817954,-0.15236616,0.025850847,0.36347494,-0.58055097,0.36947647,-0.16574879,-0.4158555,-0.09766807,-0.44900754,-0.8598723,-0.49290296,-1.2089573,0.45870447,-0.66440266,-0.25328246,0.2717095,-0.20749833,-0.031745534,0.38883975,0.33659714
Al,0.03677933,-0.32011172,0.023906566,0.46462828,1.4722955,-0.3043022,0.02007959,0.2670104,-0.22614583,0.2699764,-0.8637148,-0.39819607,0.11236855,-0.97490376,0.67656344,-0.13978697,-0.08588709,1.0932325,0.3290099,-0.05424799,0.24666989,-0.26866025,-0.31054538,-0.1292521,0.979389,0.44916123,-0.1302647,0.23229443,-0.08207144,-0.48507574,0.5060494,-0.2972903,0.69539547,-0.6875801,0.09857412,0.21629687,-1.3771459,0.5481784,0.55529124,-0.0057228804,-0.6059806,-0.15913731,0.4036422,0.4122086,-0.41008368,-0.23935415,0.5439566,-0.1772977,-0.61599016,0.4880515,-0.53372467,-0.12875009,-0.6348717,-0.037455987,0.12926598,-0.26728725,0.003636133,-0.99459374,-0.5707867,-0.27358684,0.6743452,0.30368805,0.7755075,0.35662657
Si,0.35295096,-0.8500607,0.9895273,-0.48911768,0.27532193,-0.8087329,0.0057371706,0.2686259,0.00589066,-0.16930264,-0.28294715,-0.6729747,-0.3417544,-0.6075901,0.9277789,0.33263224,0.2249972,-0.47204298,-0.009262428,-0.69462955,0.35944828,-0.48047888,0.2704963,-0.34064913,0.22649774,-0.082727835,-0.07963734,0.22907127,0.32366887,0.014472209,0.5923367,-0.042326216,0.31984857,0.19023106,0.39331293,-0.2986911,-1.2931689,0.2759969,-0.17605615,0.035291165,-0.754596,0.37017298,0.5410384,0.7456109,0.27810228,-0.39651352,-0.07713565,-0.61094207,-0.44718698,0.023892611,-0.724733,0.377981,-0.25611153,0.6524694,0.8831785,0.35427678,-0.59544593,-0.45258644,-0.13182038,0.14090559,0.2525882,-0.55571693,0.06988673,-0.63876396
