Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,-0.3108275,1.0134528,0.19871452,0.80815095,-1.0809056,1.061665,0.85238874,1.1426133
Be,0.4385803,0.8191513,-0.975085,0.70197505,-0.44106367,0.38581198,0.42050558,1.4655474
B,0.3622049,0.39770257,-1.651421,0.3866573,-1.3953122,0.444776,0.40985966,1.1193993
N,0.09986448,0.22917499,-0.58263314,-0.13212359,0.059985474,-0.06153027,0.29505748,0.2770927
O,-0.1411563,-0.042874232,-0.22798511,0.42045367,1.040326,-0.7113379,-0.09456162,-0.38063496
F,-1.2279751,-0.46382374,-0.73195267,-0.4192629,0.47760057,-1.0806437,-0.6480785,-0.62928164
Na,-0.22818983,0.9450175,0.79378647,0.5981459,-1.4291214,1.3290912,0.64503956,1.2212468
Mg,-0.30502144,0.5933679,0.73550427,-0.49789423,-0.029786361,0.71382993,-0.062000558,0.6729946
Al,0.4161368,0.13119215,-0.43373218,0.07994011,-0.78372794,0.14460611,-0.7484239,0.6300295
Si,-1.3161726,-0.23451246,-0.45506728,-0.32568496,-0.82809,0.4262895,-0.13214003,0.6783882
S,-0.019142505,-0.95360094,-0.40936163,0.35011137,-0.24934843,-1.857358,1.1519407,0.43788052
K,1.4859543,1.7013627,1.0268651,1.0197269,-1.3656133,1.810389,1.460638,1.5910066
Ca,0.30050257,0.815789,1.9912668,-0.25158083,0.006766351,0.6453999,0.08683871,0.670981
Sc,-0.5421748,0.2717768,0.707316,-1.2149632,0.5809219,0.23724085,-0.5026639,0.20129864
Ti,-1.5929542,-0.40663594,0.0017844373,-1.0840244,0.767495,0.05808956,-0.639167,-0.07968272
V,-0.44991714,-0.89399266,-0.25485107,-0.8700758,-0.010587661,-0.8040997,-0.38404524,-0.109182164
Cr,-0.25526917,-0.8060117,0.19096793,-0.9434708,0.18777543,-1.0731772,-0.16839306,0.30063295
Mn,-0.89790964,-0.6875838,0.31558588,-0.9197536,0.59651047,-0.71078753,0.5205694,0.502543
Fe,-0.5331972,-0.23292343,0.2122849,-0.47592235,0.6171232,-0.7670234,0.53904605,0.9117965
Co,0.114249766,-0.113860086,-0.00748711,-0.39899087,0.39067808,-0.410604,0.6585002,0.8562195
Ni,0.17659032,0.25441653,0.024783276,-0.59910923,0.1790745,-0.30114752,1.2091063,0.62132215
Cu,0.65902793,-0.11659774,0.6783283,-0.0538529,-0.18496129,0.020926364,1.0369605,0.7724067
Zn,0.66847724,0.4048561,0.8143482,0.20458455,0.30703858,0.07256838,0.6069541,0.24752344
Ga,0.10011636,-0.21200289,0.4475656,-0.21815066,-0.62449044,0.1269351,-0.2770356,0.30064356
Ge,-1.2150204,-0.61006355,0.16380194,-0.63545436,-0.7372181,0.21243063,0.8775345,0.16072172
As,-0.6554316,-0.6245584,-0.21674505,0.0843073,0.023953112,-0.3587208,0.64612925,-0.19981758
