Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,-0.77094597,0.034471586,-0.014593102,-0.7994219,0.77128696,-0.54197615,-0.4551203,-0.38541138,-0.45399067,1.6145564,0.72572386,0.10731463,0.29252988,-0.027825095,-0.954644,-0.11105619,0.81929606,0.3491266,0.8930694,-0.6771306,-0.4600186,-1.0799642,-0.34714568,-0.508146,-0.9021649,0.36761644,0.44102162,-1.0305877,1.0160632,0.7609983,-1.3748938,0.86323434
Be,-1.193402,-1.1222024,-0.31449834,-0.87442356,0.39067885,0.5364865,0.50601214,-0.7541586,-0.32831228,1.042891,0.9393563,-0.7594004,0.677947,-0.46787193,-0.5694136,0.81623167,0.96645135,-0.33208582,1.0276891,0.88290983,-0.16441472,0.002297543,-0.2287095,-0.100028515,-0.618887,0.08499005,0.5832792,-0.8235778,0.8592961,0.944199,-0.5877999,1.1266776
B,-1.3140367,-0.9689762,0.6988257,-0.10724332,0.44568002,-0.47502583,0.05830144,-0.8051934,-0.7131237,1.2208377,0.35601652,-1.6839315,-0.10026001,-0.89313126,-0.76376796,0.35441405,0.4183607,-0.23001304,1.4618647,0.47138977,0.061124355,-0.77181214,-0.037772607,0.086939946,-0.76165736,0.5515,0.7518086,-0.34896338,0.6243452,1.4251269,-0.89756715,0.550347
N,-0.051801674,-0.28354448,0.14052817,-0.10931464,0.33853957,-0.383057,-0.06561654,-0.15067714,0.38471442,0.2689429,0.31369364,-0.022343803,0.03774451,0.23674229,-0.33649108,0.20588048,0.11552276,0.5915833,0.5265785,0.18485433,0.22292057,-0.041569248,0.01650739,-0.26248273,0.026877448,-0.21492007,0.13246688,0.36285642,0.13573,0.3110584,0.10047994,0.038666632
O,0.09971992,0.21099135,0.6534144,0.4769372,0.06826382,0.0391912,-0.32338285,0.71546185,0.09236486,-0.57899344,-0.29228964,0.36676785,-0.3534284,0.035839923,0.31304973,-0.23415439,-0.07584637,0.32853654,-0.38259858,-0.2986079,0.13648397,0.15413918,0.22198151,0.26195022,0.12233064,-0.29396197,-0.35909405,0.668584,-1.065392,-0.307478,0.44766194,-0.118540995
F,1.0467545,-0.602036,-0.30932906,0.5427805,-0.49476448,0.53894794,0.1134824,0.77719057,-0.18589598,-0.628729,-1.093294,-0.31531793,-0.10882557,-0.7767337,0.49697536,0.006396294,-0.51707876,-0.6587138,-0.7280782,1.4277009,0.29939076,-0.119432,-0.19825308,0.73192436,0.7606216,-0.15523341,-0.2534394,-0.40021378,-0.84605426,-1.5215137,0.22547951,-0.6951
Na,-0.74315673,0.5506352,-0.54881006,-0.9189588,0.4026861,-0.5273439,-0.20754692,-0.3070565,-0.77313375,1.8029023,0.73793024,0.7516498,0.70951873,0.26634195,-1.0227404,-0.20072457,0.76266783,0.34361517,0.67815495,-0.6737205,-0.34416947,-1.0524328,-0.6367394,-0.8463295,-0.8139532,0.44214064,0.76862603,-1.2766021,1.2643772,0.776777,-1.9384311,0.8758587
Mg,-0.6878449,0.113632046,-0.25119177,-0.40971753,-0.2727978,0.03507331,0.14585173,-0.14784634,0.26085484,0.84177226,0.08842682,0.67072445,0.39586073,0.74588794,-1.0047336,0.36199218,0.36134255,0.3482866,0.5624279,-0.069179974,-0.04651095,0.10799435,0.553394,-0.54821914,-0.21031454,-0.70271575,0.4470696,-0.8160254,0.61195534,0.5742766,-1.0166165,0.67512673
Al,-0.48222175,-0.31039506,0.5062517,0.47545964,-0.6004102,0.6547974,0.22405687,-0.10378031,-0.24074581,0.7272128,0.24100694,-0.7269097,0.02453003,0.022341117,0.12353153,0.5302935,-0.50293005,-0.6919214,0.8454274,-0.06649458,-0.09423551,-0.14259794,0.6000689,-0.68575597,-0.73105043,0.939591,-0.25878277,-0.936893,0.5968554,0.9909253,-0.7884954,0.635092
Si,-0.90611595,-0.49131292,0.22399887,0.17234612,-0.51782346,0.5556251,0.58958274,0.034527443,-1.2694601,1.0794442,-0.55025053,-0.5085187,-0.72944945,-0.23565859,-0.38403726,0.5355392,-0.3050238,0.119885236,0.4036293,0.6576878,0.36065397,-1.0234927,0.5514283,0.107087225,-0.3565335,-0.19346228,0.5535619,-1.0725058,0.038044706,0.33613127,-0.2933027,-0.5657758
S,-0.14472716,-0.47207397,-0.8259261,-0.10307745,-0.359252,0.9347104,0.88583595,0.04988879,-1.678509,0.057569362,0.30610302,-0.5730147,-0.12515432,-1.4654483,0.36773115,0.52902466,0.49962765,-0.2660035,-0.14591496,1.4425098,0.17263338,0.29515177,-0.7257682,0.5639039,0.43828538,1.1050985,-0.18847439,-0.003117268,-0.022269472,0.11861259,0.6354554,0.2084597
K,-0.6482503,1.4555047,-1.1427025,-1.3381966,1.0102972,-1.2283564,-1.2023202,-0.86180675,-0.15632963,1.5482129,1.3898355,1.4602677,1.3208578,-0.28121012,-1.5684487,-1.0731722,1.0988494,1.0317969,1.0511022,-1.056209,-1.1331153,-0.50012296,-0.6412216,-1.8029585,-1.0017585,0.9835025,0.4591063,-0.32307962,1.581761,0.77691287,-1.8049423,1.6087017
Ca,-0.48787403,1.0772078,-0.426243,-0.4107092,-0.23513913,0.30865705,0.35668656,-0.051440634,0.21526934,-0.06432856,0.65914774,1.9243554,0.41845724,0.6891712,-1.0367949,-0.40161657,0.12710746,0.50980914,0.7550013,-0.15969694,-0.06642093,0.5277148,0.5739579,-0.37044576,0.2772429,-0.26883626,-0.06790828,-0.6146375,0.7843367,0.2576493,-0.7288467,1.0381252
Sc,0.0022527706,0.27367443,-0.25574452,0.1986754,-1.1106876,0.62801,0.3665889,-0.32564613,0.33924574,-0.14204496,0.28938836,-0.24915127,0.37036213,0.7736573,0.030415796,0.33657148,-0.11716126,-0.28416678,0.6604284,0.38292322,-0.1546609,0.7367414,0.40192,-0.4001741,-0.19456026,0.12776281,0.3445372,-0.7516344,0.44953305,0.23338819,-0.46410242,0.6402531
Ti,-0.3389379,-0.44765323,0.12839004,0.3141734,-1.108626,1.0080007,0.66623884,0.18419006,0.3602979,-0.052063473,-0.056156345,-0.5355739,-0.6646881,0.62277806,0.0103823915,0.46315292,-0.2539134,-0.23122504,0.031561766,0.41963002,0.08219235,0.14851494,0.5792437,0.26072344,0.29449496,-0.47311792,-0.14973411,-0.60750616,0.040562548,0.21401128,0.06931803,-0.27803317
V,0.23146656,-0.3396242,0.3298739,-0.01642511,-0.41400835,0.33775097,0.82725084,0.06016998,1.6911176,-0.15983984,-0.017948039,-0.48748773,-0.23735633,0.1930944,0.74801767,0.4625679,0.14412744,-0.6144616,-0.3292855,0.98515016,-0.15794478,0.895339,0.2717835,-0.15194637,-0.038558446,-0.23549634,-1.110279,-0.17901483,-0.093380794,0.5569184,0.8886975,-0.3802195
