Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
Li,-0.65349007,0.1422753,0.98650885,0.6321145,0.98541754,0.56170434,-0.14301531,-0.7930963,0.9112059,-0.22464576,0.793146,-1.0573298,-0.6098696,0.92153853,1.0726615,0.5304885
Be,-0.65565026,-0.6635707,1.0185683,1.0538065,0.46013463,0.6528354,0.263966,-0.91044784,-0.22883962,0.7279682,-0.09428418,-1.0397868,-0.7249084,0.43395874,1.2017975,0.10403405
B,-0.48557878,0.18046036,1.2961636,1.629355,0.56968164,0.50338286,0.07691875,-1.1820064,-0.5440478,1.2286144,0.94518584,-1.5137463,-0.25140494,0.5585394,0.6150936,0.5456077
N,-0.9880309,0.18069535,0.4123473,0.7267532,0.5724055,0.34295833,-0.3725414,-0.32577488,0.13706295,0.23085493,-0.4384559,-0.050028507,-0.10880546,0.66260415,-0.05251225,0.47283173
O,-0.13397528,0.92503905,-0.16261241,-0.36491638,-0.03440012,0.01143726,-0.051681187,0.26804945,0.049942672,-0.21164322,-0.2860302,0.25523895,0.31522045,0.09726517,-0.16295083,0.3587794
F,0.7111442,1.5134006,-0.6720308,-0.9466519,-0.3767986,-0.5628295,0.7078446,0.6100616,0.6779339,0.043715782,-0.19801326,0.54514325,0.64941245,-0.42502144,-0.70761967,0.91177595
Na,-0.60497147,-0.3484952,0.78871435,-0.09882593,0.81362766,0.7097992,-0.26407614,-1.0519651,1.3062116,-0.2528395,0.6157772,-0.99355614,-0.70760316,1.5279974,2.0920122,0.5291418
Mg,-0.600051,-1.4467117,0.37582546,-0.04468776,0.23837736,0.86375445,-0.49687985,0.023569342,0.25499237,-0.17532161,-0.29970974,0.01925486,-0.23262225,0.6856884,1.0632874,-0.7307093
Al,-0.14002591,-1.4201708,0.60030603,0.31051046,-0.048786506,-0.21938291,-0.29655692,-0.47338402,-0.1521443,0.32682645,1.0245224,-1.1291165,-0.46540612,-0.27465823,0.69479275,-0.17918603
Si,0.28113383,-1.2116314,0.65982974,-0.27698645,0.4374103,0.0076969117,0.14694,-0.2922839,-0.2997491,0.86979944,1.0715477,-0.9969654,-0.0071466006,-0.21533981,0.21473163,-0.43873245
S,0.5189061,0.3248466,-0.06556894,0.25700858,0.15672898,-0.20504197,0.94275063,0.3294606,-0.48646683,1.0902785,-0.05636635,0.17125982,0.7340795,-0.6161145,-0.9373107,-0.5918174
K,-1.4014477,0.4351599,1.0068326,0.6685293,1.7522197,1.9859802,-0.8338611,-0.8593965,2.0921206,-0.9614965,1.1487032,-0.99201035,-1.2047015,2.0604575,1.7623812,1.1328602
Ca,-0.34559405,-1.0474805,-0.7077775,-1.2695556,-0.17467432,0.4824561,-1.214215,0.89975107,1.566779,-1.9913032,-0.72145325,0.6448019,-0.31515944,0.9335665,1.2344216,-0.57529473
Sc,0.39559925,-1.2761847,0.226501,0.052272018,-0.58637035,0.050357737,-0.45826203,0.7326687,-0.24959123,-0.3672734,0.107864246,0.061378982,-0.6993833,0.0028173625,0.674722,-0.9487467
Ti,0.4745301,-1.4772396,0.6261804,0.9184418,-0.2706864,-0.0064567253,0.06438893,1.241903,-1.251526,0.74853635,-0.09647016,0.44763246,0.019579511,-0.3880337,-0.84907824,-1.4816954
V,1.021705,-1.404885,-0.12025627,0.20205203,-0.5504625,-0.7348049,1.0876272,0.9171277,-0.9191486,0.78714037,-0.06486671,0.432827,0.1570061,-1.0267816,-0.79206926,-0.9022676
Cr,1.1124762,-1.1137711,-0.11428301,0.051568862,-0.39234436,-0.25136328,1.6205609,0.8061377,-0.5283886,0.3878118,0.95104414,0.39144334,0.2364835,-0.7127138,-0.6961938,-1.0358853
Mn,1.1533685,-0.6851882,0.23384528,-0.033864338,-0.109542094,0.10326403,1.7555449,0.7648955,-0.2728305,0.5355472,0.8239741,0.5368511,0.5485752,-0.66860014,-0.84527314,-0.55064493
Fe,0.74707377,-0.5410604,0.5086039,0.78971106,-0.04013753,0.32559735,1.7006903,0.7462283,-0.6077662,0.60955834,0.7728584,0.46495053,0.26633573,-0.26667294,-0.733479,-0.8381759
Co,0.6575057,-0.4503264,0.5039866,0.5080737,0.46829823,0.5292193,1.3720646,0.336388,-0.12871966,0.26487672,1.0859023,0.27076736,-0.15785424,-0.16328737,-0.61401814,-0.5323515
Ni,0.42098403,0.09741581,0.39530623,0.30492193,0.64048916,0.65311104,1.3395889,0.42030713,0.1532027,0.26251084,1.3730174,-0.12306389,0.1363015,0.27416423,-0.6641681,-0.42320654
Cu,0.38272655,0.3119332,0.36945918,0.08484393,0.71844804,0.70962816,0.71680653,-0.1185389,0.13051881,-0.32114244,1.6029499,-0.05096102,-0.23375319,0.27837616,-0.49245718,-0.033904925
Zn,-0.3385474,-0.34115085,0.572788,0.59594834,0.1923685,0.32708904,-0.21658753,0.33802617,-0.30748656,-0.61889803,0.9657516,-0.22615442,-1.3142481,-0.11802042,0.38326952,-0.5250044
Ga,0.2147348,-0.9811553,0.09582566,-0.3280602,0.1848297,-0.43677786,-0.43903652,0.14098504,0.39031458,-0.43418077,1.1874492,-0.59122854,-0.0698915,-0.35092217,-0.049618505,-0.27705196
Ge,0.5510323,-0.48841697,-0.035483986,-0.8193005,0.5368419,-0.10528772,0.24788082,0.40431738,-0.011710657,0.5445626,1.2682886,-0.43505934,0.52484137,-0.2728993,-0.77025187,-0.351808
As,0.33237022,-0.39309958,0.09446396,0.09216851,-0.06415485,-0.743032,0.32084268,0.5075154,-0.28705072,0.5751018,0.08487308,-0.23721695,0.35644582,-0.28198758,-0.6820648,-0.36730716
Rb,-1.5851346,0.8845469,1.3567634,1.3628527,1.9728764,2.0193615,-1.2913507,-1.5573459,1.181954,-1.0853386,1.1704605,-1.8189342,-1.5590773,1.921604,1.5132536,1.5784947
Sr,-0.72816086,-0.3753009,-0.690279,-1.1859802,-0.32876995,0.3743525,-1.7708204,0.35192454,1.6523513,-2.7321134,-0.49302006,-0.14717971,-0.80389047,0.89467865,1.9028338,0.16113067
Y,0.4681236,-1.3550766,-0.2692995,-0.52660614,-1.1378009,-0.18190786,-0.95706487,0.82654214,-0.42622045,-1.0858812,-0.41348118,-0.19659129,-1.3389139,-0.13714626,0.9620929,-0.8811201
Zr,0.24098785,-1.3739579,-0.059043415,0.2515183,-0.67741704,-0.088872895,-0.67114294,0.81403244,-1.3435996,-0.3352982,-0.1917651,0.4471948,-0.31542003,-0.6735801,-0.27680537,-1.2809763
Nb,0.9671533,-1.4616876,-0.3921312,-0.104592815,-0.6045714,-0.7567923,0.16797069,0.5138122,-1.2323837,0.0165677,-0.0016807951,0.056766447,0.038339775,-1.0981894,-0.47416538,-1.0147507
Mo,0.70431435,-1.077778,-0.52414906,0.008576181,-0.75986594,-0.3945383,0.3854454,0.29646787,-1.4191786,0.1506195,0.8999308,-0.26632005,-0.09961215,-0.98941153,-0.24573192,-0.8439052
Ru,0.30378634,-0.21265987,0.33359736,0.941752,-0.2168768,0.18816322,0.8055754,0.37771532,-1.4303497,0.44095498,0.86343855,-0.3061371,-0.14920862,-0.747569,-0.6495116,-0.5690976
Rh,0.24007116,-0.06726905,0.33853358,0.8324521,0.101383105,0.5407631,0.5868011,0.39547575,-0.8516231,0.1534195,0.46967146,-0.27842474,-0.713245,-0.652765,-0.5553069,-0.28485247
Pd,-0.45784873,0.2530105,0.29056764,0.6943103,0.006740375,0.13868728,0.09925112,-0.040231127,-1.0041302,-0.15753323,0.9594181,-0.6051132,-1.0631474,-0.19712833,-0.19259058,-0.17626506
Ag,-0.3314373,0.5702797,0.2689078,0.40467653,0.4201783,0.5647322,-0.45275024,-0.2743378,-0.89852524,-0.60880834,1.3166187,-0.7667717,-1.0084141,-0.09467054,-0.39834732,0.31920582
Cd,-0.46023744,-0.28188503,0.60402536,0.6956711,0.21047883,0.2962336,-0.8795733,0.053376626,-0.7579765,-1.2006412,1.031693,-0.7372071,-1.653837,-0.3581395,0.47722676,-0.6036298
In,0.031020686,-1.0027304,-0.35313544,-0.49586874,-0.25134835,-0.22193831,-0.9181514,-0.021384869,-0.11000897,-0.9061894,0.8909411,-0.5635572,-0.197778,-0.51679313,0.2696242,-0.19084574
Sn,0.33013302,-0.3554436,-0.55981696,-1.1976812,0.2276794,0.072893016,-0.25760916,0.085629776,-0.2639895,-0.12059874,1.0939645,-0.34477422,0.3889436,-0.39754453,-0.4600449,-0.11457442
Sb,0.41674972,-0.35737276,-0.5771995,-0.5799527,-0.61333555,-0.72066194,-0.08165723,0.4827597,-0.41112363,-0.11972261,-0.26818296,-0.42006192,0.1712132,-0.35071233,-0.18646258,-0.19906847
Te,0.10421713,0.18623137,-0.26986086,-0.32331747,-0.50386083,-0.63592696,-0.11178236,0.6522149,-0.99732167,0.0071775243,-0.08721475,-0.43867114,-0.31568292,-0.58121026,-0.59606194,-0.49497762
Cs,-1.4035633,1.9983151,0.85201836,1.4426869,1.3472061,1.0459809,-1.0989857,-1.582428,1.2271479,-0.85593754,-0.24988589,-1.3146183,-1.1020428,1.6922759,1.1476923,1.8893291
Ba,-0.8819812,0.560197,-0.4415323,-1.0589824,-0.21736036,0.25404978,-1.5180931,-0.1395629,2.4171147,-2.4314017,-0.6392753,-0.28498116,-0.5669026,1.513801,2.2036421,0.9405538
La,0.6995473,-0.79431367,-1.7389215,-2.596686,-1.2739273,-1.0287787,-0.99109626,0.95477116,0.7499562,-1.6966677,-1.35737,0.4990401,-0.0025357492,-0.15643847,0.5190561,-0.5764477
