Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-1.2498733,0.95870477,1.2849171,0.8978391,1.1657221,1.4326986,-1.0811888,-1.1390088,1.0709132,-1.0121624,1.0836297,-0.7409868,-1.2715031,1.501784,1.4031203,1.6675595
Li,-0.38645333,0.3155747,0.7565304,0.39073092,0.56431305,0.32241303,-0.18668288,-0.095613085,0.5790553,-0.57096016,0.26130524,-0.518329,-0.7076134,0.57527864,0.8569415,0.5603609
Be,-1.1139088,0.008649342,-0.46784315,-0.13369521,0.32213753,0.16210988,-0.77002126,-0.42271787,-0.026295766,-0.8930812,0.5363878,-1.0798106,-0.973773,0.5482554,0.81034225,0.39034405
B,-0.9245851,0.5464962,0.7878006,0.89189047,0.5837514,0.6083113,-0.9799092,-0.5588178,0.38088483,-0.54035044,0.37031418,-0.73068166,-0.6078007,1.087846,1.1110713,0.93404824
C,-0.59383106,0.8290608,0.51474017,0.5296706,0.7347548,0.9940084,-0.6554466,-0.30879444,0.7717686,-0.99752575,0.39758795,-0.8754522,-0.5531675,0.5563145,0.62667304,0.79909045
N,-0.4981086,0.7935729,0.7546646,0.9621528,0.43625486,0.5639894,-0.36526498,-0.14290923,0.81746686,-0.28684777,-0.010649554,-0.3813669,-0.017049473,0.52263016,0.16725984,0.8308981
O,-0.27236032,0.9376858,1.2824414,0.9587809,0.29147196,0.8359491,-0.25283143,0.015642688,0.72723794,-0.4895758,-0.06370615,0.19280583,0.10278408,0.40375823,0.17617251,0.6882052
F,0.25104082,0.5223977,1.2299273,0.3026874,0.13292764,0.3995648,-0.08376639,0.19476351,0.7427926,-0.03581749,-0.47889936,0.32449424,0.14659828,-0.076534666,-0.00064466894,0.6310648
Na,-0.0225755,-0.14176354,0.034988016,-0.3386277,0.21051976,-0.10177513,-0.052038226,0.1440571,0.24873692,-0.08302319,0.1911158,-0.47202942,-0.4949178,0.410653,0.45330954,-0.07452583
Mg,-0.67640126,-0.058436986,-0.53610736,-0.43761414,0.28270856,0.2229434,-0.6661348,-0.16424981,0.0036013722,-0.34571368,0.5228358,-0.68031484,-0.5531788,0.530188,0.3498692,0.11325844
Al,-0.6300629,-0.44649148,0.4257106,0.19942364,0.1548736,-0.19918984,-0.7454936,-0.17322662,0.058966197,-0.28761417,0.3428294,-0.46987677,-0.90811634,0.37838373,0.81419295,0.6045008
Si,-0.6116643,-0.2909924,0.116600096,-0.25934583,0.46950337,-0.12939125,-0.65339655,-0.066974975,-0.020497434,-0.591761,0.41480288,-0.7341659,-0.8176255,0.45189083,0.33749443,0.35093898
P,-0.21174358,0.084863134,-0.32961482,-0.18875435,0.19149888,-0.08896199,-0.40036038,-0.09455956,0.27220315,-0.35137278,0.4336351,-0.794014,-0.14335881,0.31155902,0.36603832,0.4476643
S,-0.15422097,0.19973052,-0.0930741,-0.097158864,0.036316298,0.11389241,-0.38384977,0.05921956,0.28584695,-0.31947386,0.26424393,-0.43145084,-0.08125506,-0.03694064,0.15585351,0.04346462
Cl,0.1982916,-0.17527264,0.6065413,-0.14681645,0.04727058,0.091830365,-0.031562705,0.37072834,0.40745836,0.32916272,-0.2633143,-0.08319106,-0.097234055,-0.25170487,-0.24246617,-0.07121037
K,0.23440847,-0.19987571,-0.26598203,-0.023074899,0.13727821,0.13590261,0.11792396,0.5061745,0.19655585,0.11162314,-0.045194052,-0.19094092,-0.09891033,-0.50626254,0.26632363,0.060323868
Ca,-0.50545794,0.005922444,-0.5069662,-0.3710112,0.07121142,0.02769313,-0.4721218,0.39477745,-0.16408134,-0.17109868,0.64094245,-0.69411755,-0.62309366,0.49695006,0.5308129,0.07035798
Sc,0.04856354,0.15369147,-0.20952982,-0.14006944,0.020715153,0.1078014,-0.48401418,0.185606,0.009449713,-0.14483242,0.5091069,-0.19833612,-0.45780033,0.36878574,0.5365299,0.2530783
Ti,-0.13717899,0.06851374,-0.1908705,0.018048476,0.2526907,0.060806863,-0.43992504,0.27676558,-0.40547207,-0.37857723,0.35673156,-0.41776472,-0.46889156,0.4801526,0.40853667,0.34306803
V,-0.2420331,0.069330506,-0.045565285,0.2963138,0.16640508,-0.12291118,-0.272005,0.2128743,-0.312856,-0.103104085,0.1482228,-0.384556,-0.70024776,0.2845502,0.39249444,0.6360197
Cr,-0.28371233,-0.15432204,-0.18081005,0.08219968,0.0020097774,-0.06529009,-0.29007754,-0.49355173,-0.60101295,-0.55793375,0.48351368,-0.23598972,-0.66914797,0.3422264,0.9524198,0.29543367
Mn,-0.23456378,0.07024247,0.16018167,0.023337845,0.26282346,0.13481537,-0.35855272,-0.113396876,-0.39689094,-0.28833306,0.5798085,-0.53121394,-0.5778049,0.064246275,0.41320986,0.42349774
Fe,-0.026744666,0.124437846,-0.39125764,-0.13147354,0.11620621,-0.18761581,0.12704754,0.117351614,-0.6009355,-0.022399351,-0.0054601952,-0.10504124,-0.3035073,0.27239147,0.5914274,0.28300843
Co,0.30612466,-0.2618493,-0.42832825,-0.2972443,-0.11888933,-0.05229743,0.23247918,0.12179724,-0.54468054,-0.59312963,-0.0053489953,0.07685637,-0.24302624,-0.24829176,0.5609948,-0.071599975
Ni,0.5673713,-0.17926013,-0.10623366,-0.12738977,-0.44098267,-0.0048905537,0.7039896,0.8693027,-0.7418108,0.45095652,-0.41151953,0.22753146,0.79768956,0.2323932,-0.7010523,-0.19240305
Cu,0.8019626,-0.34785837,-0.34510148,-0.57049066,-0.7639214,-0.20776153,0.7308216,0.87387294,-0.87319577,0.32821023,-0.77423316,0.86236465,0.5246898,-0.44122475,-0.43874574,-0.49508718
Zn,0.23247316,-0.14909142,-0.086681485,0.03182147,-0.76573145,-0.3838795,0.33387342,0.8731573,-0.7554024,0.18232198,-0.4372501,0.6035941,0.043845575,-0.5071392,0.4174587,-0.06574425
Ga,-0.050174445,-0.49490348,0.5319946,0.17712806,-0.06463522,-0.3379912,-0.2965977,0.3821453,0.028273642,-0.07382102,-0.10908797,0.014862811,-0.33329976,-0.08115754,0.3743133,0.26791996
Ge,-0.056822896,-0.34174046,0.05720605,-0.33386236,0.043878295,-0.16875184,0.010550136,0.63171685,-0.36410427,0.04013197,0.0012263879,-0.24859437,0.038525205,0.10584012,-0.19377534,0.10294323
As,0.016769825,-0.12764776,-0.05750233,-0.017333943,-0.23582514,-0.4954444,0.021146217,0.63763446,-0.2801293,0.09029196,-0.04740674,-0.33114842,0.1438676,0.09876785,-0.020338014,0.17811802
Se,0.03196639,0.12134289,0.0799286,0.021151457,-0.39936835,-0.18170443,0.19650906,0.74738467,-0.28536308,0.2253582,-0.28385258,0.29093164,0.2813922,-0.28618586,-0.27161658,-0.09837119
Br,0.76462746,-0.4125048,0.24408484,-0.44088367,-0.3029755,-0.18793651,0.41112188,1.0282375,0.14201367,0.70526856,-0.7067441,0.22990415,0.4743452,-0.91648126,-0.5946728,-0.33252606
Rb,0.38685068,-0.3581706,-0.27266407,-0.018280704,-0.14956328,0.10933409,0.13121757,0.8409087,-0.0764936,-0.0796659,-0.42001832,-0.05917722,-0.039909724,-0.7628941,-0.115507916,0.020864252
Sr,-0.43498793,-0.12998024,-0.555812,-0.44958946,-0.13765927,-0.08079043,-0.44473645,0.4032943,-0.33554426,-0.18065768,0.3383484,-0.6026389,-0.3758299,0.32038265,0.6836613,-0.01171143
Y,-0.07005358,-0.1693064,-0.4476886,-0.43637186,-0.18376681,-0.004577957,-0.48989493,0.3928963,-0.28478962,-0.07755273,0.53013223,-0.49761155,-0.8101234,0.59722114,0.4172601,0.12498802
Zr,0.021604745,-0.07653461,-0.7439221,-0.4699458,-0.237585,-0.0876311,-0.2204687,0.31928074,-0.6642574,-0.4212755,0.23116946,-0.33389652,-0.29545158,0.08045175,0.3291611,-0.22497043
Nb,-0.11254454,-0.13007078,-0.55283755,-0.18638022,-0.021632696,-0.3711844,-0.432729,0.20578676,-0.4492973,-0.34294164,0.05851964,-0.7007774,-0.5296371,0.199821,0.27993727,0.039320324
Mo,-0.42298487,-0.35324985,-0.78597015,-0.38377994,-0.35872918,-0.24200997,-0.4338145,-0.35885146,-0.9582149,-0.3851902,0.3982076,-0.59615314,-0.3145526,0.50393337,0.8845362,-0.015092678
Tc,-0.5871123,-0.01838439,-0.14106974,-0.24600227,0.08317319,0.09660555,-0.46788162,-0.11333368,-0.70716476,-0.24718441,0.70922875,-0.9586134,-0.68995154,0.48876673,0.6885239,0.5395549
Ru,-0.27545306,-0.08286834,-0.5011003,-0.33060426,-0.08576876,-0.1311793,0.21884848,0.32020342,-0.827514,0.09735131,-0.05378529,-0.3032272,-0.06186678,0.434512,0.50051033,0.10893527
Rh,-0.1390845,-0.21165445,-0.49122813,-0.30329823,-0.16601038,0.16147143,0.13735855,0.41862363,-0.5776086,-0.61632574,-0.037507705,-0.1905978,-0.27934378,-0.12869322,0.45979768,0.08650261
Pd,-0.149836,-0.2584022,-0.47827378,-0.27597293,-0.9746663,-0.4446636,0.44475242,0.8275363,-1.151456,0.34639412,-0.24958819,0.05181379,0.03563423,0.31398547,0.18834399,-0.07753864
Ag,0.24137577,-0.5703663,-0.5593216,-0.77116644,-0.8941067,-0.31816337,0.5801793,1.0901105,-1.3947325,0.49421036,-0.6781188,0.4922571,0.35250497,-0.05083645,-0.3554955,-0.34110644
Cd,0.116117045,-0.30117583,-0.30512732,-0.22443776,-0.7483081,-0.49028996,0.15355873,0.8070085,-0.85794234,-0.1248744,-0.35665148,0.2645046,-0.11517863,-0.44854182,0.49992728,-0.34496912
In,-0.22737078,-0.42237493,-0.17782305,-0.26630294,-0.23133232,-0.33497465,-0.5090418,0.3096902,-0.17959824,-0.13503036,-0.13395303,-0.13036695,-0.19297343,-0.027494602,0.33650303,0.14772433
Sn,-0.0800728,-0.37843567,-0.5996461,-0.8253455,-0.25805882,-0.22952685,0.06810332,0.6144106,-0.6258766,0.054684862,-0.1837056,-0.20663297,0.2829655,0.03522843,-0.3191486,-0.1515376
Sb,0.29300368,-0.40475607,-0.68623894,-0.5659368,-0.6932192,-0.6328949,0.23913446,1.0766739,-0.5328003,0.34219497,-0.35292336,-0.31147668,0.6095399,-0.13134369,-0.58793485,-0.42337507
Te,-0.010696081,-0.51527464,-0.31219196,-0.44252834,-0.72600484,-0.61234844,0.18053272,1.0908029,-0.973864,0.49593133,-0.2237396,-0.0744351,0.20614152,-0.06572696,-0.41864657,-0.5142221
I,0.05935283,-0.49434626,-0.17110956,-0.70743793,-0.39659142,-0.2505443,0.06775851,1.2659737,-0.4240682,0.57095754,-0.33964422,-0.15002772,0.19722281,-0.27732542,-0.3442747,-0.039328393
Cs,0.46451375,-0.25750747,-0.56946135,-0.25693,-0.1467976,-0.12649009,0.23281167,0.6251443,0.00023716688,-0.2715837,-0.45613137,-0.08227325,0.0679767,-1.2442653,-0.4032203,-0.19591716
Ba,-0.326544,0.047557004,-0.46434826,-0.62941796,-0.34189904,-0.22855237,-0.28316227,0.4977322,-0.016911343,-0.13735726,0.11427548,-0.5735533,-0.22295322,0.12887393,0.09509967,-0.026239548
La,0.08872244,-0.1828441,-0.5406035,-0.57654303,0.004711127,-0.4619123,-0.17933145,0.31093952,-0.16635227,0.23027785,0.134669,-0.6674254,-0.2920634,0.32194564,0.44947016,-0.20823075
Hf,0.040319398,-0.05408109,-0.7380744,-0.48852617,-0.2565596,-0.2837703,-0.5574599,0.42194605,-0.5255339,-0.43037492,0.19247219,-0.72717303,-0.21345653,0.16418087,-0.31366223,-0.16937959
Ta,-0.05596061,0.18997943,-0.5342969,-0.13761225,-0.060930282,-0.22272334,-0.74694645,0.36501643,-0.14518067,-0.2960791,0.407142,-1.1475422,-0.48980784,0.12877296,-0.30865455,-0.0247734
W,-0.59577286,-0.22679049,-0.3713973,-0.12900478,-0.2683642,-0.29589188,-0.62526685,-0.4089647,-0.5950199,-0.68260896,0.45561233,-0.6130402,-0.8406973,0.30252692,0.56131023,0.2980484
Re,-0.668002,0.16998187,-0.0682889,-0.16960979,0.103317,-0.03534759,-0.90974057,-0.15953436,-0.32397062,-0.55300665,0.7563986,-1.1398236,-0.9905753,0.2683083,0.25783515,0.6695068
Os,-0.33090493,0.03379678,-0.5230532,-0.34398967,-0.40403765,-0.423851,0.026426949,0.41421032,-0.74670964,-0.023880638,0.03621521,-0.5515878,-0.18087712,0.14457324,0.055935815,-0.14299506
Ir,-0.32745156,-0.31416366,-0.51097584,-0.42283928,-0.4788008,-0.30028576,-0.1254533,0.50410575,-0.83479035,-0.6097579,0.20751187,-0.5439575,-0.42165536,-0.16648066,0.069174394,-0.21628556
Pt,-0.22830822,-0.37194613,-0.55923116,-0.40614045,-0.90878636,-0.74230194,0.09196656,1.1365855,-1.2660857,0.3479628,-0.30709648,-0.2647022,0.20020886,0.17788357,-1.1146116,-0.3324938
Au,0.22456369,-0.35228893,-0.91551214,-0.8396276,-1.3377811,-0.7532592,0.34481472,1.2591903,-1.2659454,0.36429346,-0.7583144,0.37729615,0.2334357,-0.6849668,-1.025924,-0.71024305
Hg,0.3400322,-0.13116747,-0.40877393,-0.40316525,-0.83661306,-0.39445764,0.23682249,0.923053,-0.51815915,-0.1040908,-0.39096466,0.3061156,0.060090613,-0.8411797,-0.2071097,-0.18071926
Tl,0.08499783,-0.48337507,-0.11431916,-0.38255665,-0.5822461,-0.5716828,-0.25528032,0.48329687,-0.11066576,-0.022451371,-0.340402,-0.035028595,-0.0024438016,-0.43358332,-0.38897938,-0.11681722
Pb,0.32754275,-0.64676327,-0.75283504,-1.0310574,-0.7056975,-0.8121175,0.08641399,0.9355763,-0.588727,0.18476777,-0.47067928,-0.2182504,0.08255559,-0.43172765,-1.0186316,-0.40941116
Bi,0.59747195,-0.44758356,-0.68152666,-0.6808788,-0.79426306,-0.86396974,0.25832716,1.0380089,-0.31210062,0.3315801,-0.6289489,-0.14664221,0.50589,-0.44931364,-1.1690353,-0.2592984
