Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-1.1702768,1.5665642,-0.77620053,-0.72959185,-0.87078387,-1.3094876,-0.92085856,-0.69971067,-1.5566276,1.5862826,1.1050735,1.6897808,1.2568994,-1.6560847,-1.0652707,-1.2823764,1.4435014,1.0759825,1.6778373,-1.4842833,-1.0085944,-0.7087128,-1.3149714,-1.0616713,-1.6243701,1.5142509,0.8761328,1.2043939,1.0887755,1.3305122,-1.6726187,1.3058238
Li,-0.5302989,0.35897052,-0.40175527,-0.15125911,-0.5352199,-0.33082902,-0.19409102,-0.4125145,-0.42505735,0.7921594,0.7277575,0.64927,0.383929,-0.2621433,-0.4984342,-0.16126004,0.40105596,0.2739409,0.683508,-0.9258927,-0.15917195,-0.12913877,-0.2626314,-0.1069708,-0.49877298,0.46187735,0.27299583,0.16032588,0.5399362,0.653796,-0.706389,0.6545638
Be,-0.9341012,-0.06831381,-1.2338564,-0.14510064,-0.5645972,-0.16064176,-0.4675942,-0.8585074,-0.40829167,0.86716026,0.46815452,0.80583614,0.6383204,-0.75014377,-0.6185811,-0.17424937,0.49985558,0.15273312,0.72989166,-0.29295036,-0.19471312,-0.12726918,-0.30742553,0.47200257,-0.29618484,0.025193378,0.5563152,0.21029714,0.81460226,0.52636415,-0.53331584,0.48199987
B,-1.1319548,0.61513597,-0.6614873,0.2297767,-0.6483507,-0.6579098,-0.5408942,-0.7535559,-0.8906193,0.8824795,0.54531515,0.7152975,0.5502539,-0.6536593,-0.84824324,-0.6009418,0.38626802,0.6387456,1.3415022,-0.846323,-0.49916375,-0.4012815,-0.42938226,-0.29990914,-0.5477499,0.81226325,0.910379,0.2530661,0.9130237,1.034429,-0.9184973,0.4419482
C,-0.80434656,0.39563596,-1.1363786,-0.22919239,-0.7589514,-0.64712906,-0.6734765,-0.47530925,-0.8493617,1.0904245,0.7566659,0.67393905,0.60492444,-0.8261874,-0.61074644,-0.03149561,0.30604807,0.58450335,0.5823941,-0.25473276,-0.76818734,-0.43715963,-0.3216283,-0.28457955,-0.9449969,0.76366735,0.6060324,0.94763386,0.63416076,0.7746545,-0.5906292,0.53811365
N,-0.20709856,0.100214854,-0.30603984,-0.35391358,-0.15384938,-0.6043389,-0.8061116,0.09476678,-0.577888,0.52268445,0.64665985,0.16761264,0.5675382,-0.4918926,-0.598278,-0.30628735,0.36049864,1.1163328,0.7395115,-0.25238243,-0.6163065,-0.52016044,-0.33393726,-0.78317726,-0.39575458,0.57361954,0.41579074,0.7025334,0.14771123,0.3552217,-0.34903708,0.5041392
O,-0.2742749,0.8770451,0.12494736,-0.06387393,0.3222908,-0.41917914,-0.8385725,0.8174085,-0.50651616,0.16288534,0.19838038,0.709178,0.4335028,-0.7767304,-0.02525694,-0.4799031,0.38706157,1.0112249,0.2734588,-0.7624209,-0.85749704,-0.05095971,0.022786524,-1.2138011,-0.6072448,0.78000075,0.13437957,0.78438747,-0.6140311,0.26204756,-0.16598883,0.43467113
F,0.04334884,-0.22558953,0.35717493,-0.062229823,0.65143573,-0.17472962,-0.47887355,0.966108,-0.16031347,-0.014175005,-0.22620037,-0.02654475,0.15893203,-0.66833353,-0.13240114,-0.1812809,0.13640723,0.6710089,0.284934,0.20265472,-0.8012319,0.0031382516,0.2701376,-1.048723,-0.48659647,0.6867252,-0.23748669,0.47596985,-0.9600376,-0.34343985,-0.3406366,0.37598747
Na,-0.17169157,0.16067559,-0.46634263,0.028767217,-0.5570793,-0.15192652,0.21921158,-0.15166879,-0.00526198,0.626557,0.1516046,0.3502739,0.11014961,0.056652017,-0.07565429,0.16625822,0.05868485,0.10240117,0.005419053,-0.03399846,0.2567963,0.35031626,-0.14664881,0.18910104,-0.20085955,0.34935826,0.073946945,-0.05550217,0.2996128,0.36390612,-0.40911835,0.07398948
Mg,-0.30528107,-0.034719914,-0.87749857,-0.3226837,-0.5174172,-0.27158266,-0.32070827,-0.41276246,-0.39646646,0.59846914,-0.050407305,0.2979496,0.4411251,-0.19420293,-0.4364093,0.20064718,0.34254697,0.1732621,0.18980575,0.0505715,-0.046068475,0.2990712,-0.03269643,0.26242352,-0.23219724,-0.23198085,0.3740004,0.30583704,0.40528658,0.28925622,-0.2128115,0.35045257
Al,-0.6323854,0.20708759,-0.2259211,0.6764513,-0.642027,0.2444602,-0.108833104,-0.6429107,-0.6877488,0.60852355,0.26054657,0.307801,0.19307405,-0.08664643,-0.23539817,0.026762605,-0.16236591,0.2860551,1.0202305,-0.3188156,-0.4054303,-0.21690765,0.31047314,-0.4910442,-0.20246212,0.6832196,0.09057788,0.047385886,0.65397924,0.96482074,-0.60283947,0.2511295
Si,-0.64479405,0.13694885,-0.88070387,0.16317374,-0.8588126,0.1892313,-0.018896064,-0.6000924,-0.68822753,0.86274916,0.14282936,0.5679084,0.1053524,-0.0038495138,-0.3606791,0.1770888,-0.113547295,0.37134427,0.5602096,-0.11651999,-0.29525727,-0.16980612,0.09643248,-0.32384688,-0.48975956,-0.03087122,0.3414635,0.2805984,0.42805022,0.48912656,-0.18786055,-0.038967244
P,-0.29495588,-0.18692441,-0.8270979,-0.0056989305,-0.460957,-0.051533937,0.036976136,-0.3407808,-0.4887986,0.6248533,0.10508923,0.17393519,0.12084644,-0.5118704,-0.31499577,0.11526933,0.05109728,0.1578799,0.26838067,-0.060910426,-0.028151782,-0.036980722,-0.0007099733,0.13793816,0.012487188,0.44491035,0.3686409,0.28173977,0.32624006,0.3280641,-0.15242732,0.21644683
S,-0.19620302,0.06921317,-0.78205895,0.033809844,-0.3794878,0.035209894,-0.19222431,-0.036915295,-0.38226885,0.30518532,0.061311364,0.37029505,0.3348695,-0.47820044,-0.1140771,0.1335656,0.061655767,-0.089790806,0.18226264,-0.08606006,0.033337332,0.16989541,0.034807604,0.069298916,0.047595724,0.64803284,0.078216195,0.30091494,0.18234697,0.10596923,0.010065496,0.3647237
Cl,0.14613567,-0.40802932,0.17696214,0.064498186,0.29537544,0.32238215,-0.035001084,0.77680945,0.08110262,0.12760499,-0.12540996,-0.23297958,-0.19601484,-0.32884252,-0.1104464,0.021237269,0.048625343,0.4233543,-0.0630599,0.59800017,-0.3727753,-0.21925801,0.20352197,-0.7823197,-0.011068955,0.2980151,-0.17332402,0.4154548,-0.65176207,-0.24364525,-0.0575927,-0.025133468
K,-0.13735723,0.25309232,-0.09191307,0.22781168,0.06711933,0.09338608,0.33094808,0.038230263,0.047499813,0.19117194,-0.15345137,0.7399561,0.025458947,-0.34879515,0.27687597,0.096502736,0.28180802,-0.07569575,0.03500615,-0.7621442,0.15630358,0.45729306,0.17981164,-0.27528992,0.014220409,0.5020835,-0.58955294,-0.32618397,-0.24629617,-0.10146456,0.03798784,0.115068614
Ca,-0.20713241,0.10843927,-0.4748989,0.070335686,-0.1982783,-0.10719022,0.1017843,-0.31259957,-0.056140147,-0.047775075,-0.08470267,0.21161433,0.34089184,-0.31689388,-0.31467682,-0.081992805,0.1899249,0.06754154,0.21793476,0.012383431,0.122953475,0.16284558,0.1371676,0.5707044,0.18002759,0.09588974,-0.10705014,0.14502162,0.6397269,0.36438975,-0.117829755,0.21120708
Sc,-0.033503845,0.3509403,-0.46722904,0.14751333,-0.47038376,-0.09578735,-0.32433927,-0.3029772,-0.07560294,-0.08065702,0.013668375,-0.032544598,0.23946889,-0.021123454,0.0017597005,-0.106616944,0.19412667,0.21710867,0.55172235,-0.21949145,-0.029801646,0.13098833,0.12929678,0.0034573385,-0.51417494,0.22805491,0.21022749,0.051971674,0.36973816,0.1512453,-0.22839966,0.2910767
Ti,-0.15660451,-0.003833294,-0.6917738,-0.2629888,-0.48281014,-0.018215718,-0.2320367,-0.3641575,-0.09450819,0.17039157,0.24700327,0.2540282,-0.20306884,0.060236722,-0.12885591,-0.017775744,0.30443487,0.08686413,0.3252144,-0.26454166,-0.15409786,0.01894053,-0.080932945,-0.0032342067,-0.41887403,-0.42453808,0.14588553,0.4090358,0.5282678,0.16700196,-0.107684106,0.21219301
V,-0.38190702,0.4309314,-0.45750144,-0.16341847,-0.52993906,0.20675823,0.30557957,-0.6474153,-0.27150077,0.39024752,-0.087230995,0.27214527,0.08505893,-0.18782592,0.041175477,-0.3090666,0.15249282,0.2622121,0.3800441,-0.43541107,-0.23605782,0.023980193,0.3101276,-0.13393952,-0.26230192,0.16674033,-0.1739828,-0.15928128,0.48678374,0.7120637,-0.19971988,-0.11911774
Cr,-0.24312662,0.23816277,-0.41904297,-0.3288501,-0.5452381,0.15960786,-0.06593326,-0.61288106,0.10658855,0.22280373,0.045251846,0.19778158,0.14307874,-0.53385884,-0.12715495,-0.44390604,0.40300718,-0.10662687,0.31140065,-0.2646369,-0.2277389,-0.19874638,0.16630274,-0.18926549,-0.27156633,0.053525828,0.039465107,0.24020363,0.38015693,0.4347364,-0.21372502,0.16610067
Mn,-0.27399763,0.08338654,-0.3101241,-0.24081977,-0.30295017,0.671811,0.02808583,-0.48441607,0.09488391,0.17519528,-0.23582138,-0.16180897,0.090693384,-0.21579748,-0.1223027,-0.37472302,-0.018415503,0.15258537,0.2690601,-0.06841353,-0.42576793,0.034916095,0.48835096,-0.2058018,-0.111608386,-0.18343066,-0.1319536,-0.2998345,0.20168385,0.2842865,-0.068400055,-0.26398155
Fe,-0.13627686,0.07235532,-0.31031114,-0.20005502,-0.3977524,0.10908535,0.10457476,-0.763306,0.122573875,0.191046,-0.022421671,0.098451056,-0.059125468,0.071219556,-0.09585913,-0.15152638,-0.024542667,0.04280464,0.40845004,-0.26717702,-0.04350102,0.14254197,0.24058522,0.16837975,0.02068153,-0.45716143,0.05670374,-0.21640155,0.33359396,0.43876517,-0.10124566,-0.24288017
Co,-0.31418565,0.115125254,-0.41417816,0.19084558,-0.19332035,0.36463332,0.55235183,-0.39740956,0.29631355,0.5181702,-0.1335711,0.33433557,0.17686304,-0.25897297,0.062859006,-0.08809232,0.22297531,-0.31895283,0.29701784,-0.2800139,-0.23178524,-0.02080284,0.34658813,-0.1001113,0.16309091,-0.054260567,-0.0071339197,-0.17259645,0.307864,0.37844473,-0.24837768,-0.60884356
Ni,0.26313293,-0.01875259,-0.26070085,-0.13351524,0.29070944,0.4938267,0.7291475,-0.27164155,0.3002293,-0.34426242,-0.41906953,-0.33762366,-0.29347175,-0.24330899,0.13499582,-0.13218662,0.007879928,0.11784144,-0.34024185,0.6379199,0.039542913,0.23850125,0.73709244,0.023225553,0.38656443,-0.29479903,-0.2952078,-0.30863434,-0.17700672,-0.52224237,0.2348313,-0.6991746
Cu,0.71468383,0.14958268,0.28058144,0.014788765,0.4321049,0.67922986,0.63053185,0.52414644,0.8465162,-0.62273484,-0.726316,-0.6917067,-0.3827998,-0.093555525,0.8106428,-0.18987104,-0.23083699,0.30838856,-0.52923745,0.7263336,-0.20149922,0.32370934,1.3314886,-0.3444117,0.3189124,0.040336885,-0.8355377,-0.29003733,-0.8660254,-0.8565977,0.3621407,-0.5442851
Zn,0.19356927,0.21754585,0.1348542,0.39216304,0.35190606,0.63086873,0.5393386,-0.070836686,0.47691187,-0.49053884,-0.54329944,0.01603119,-0.40934175,-0.2878982,0.74082214,0.011073686,0.2283215,0.10363111,-0.046761744,-0.09683487,-0.252515,0.5663593,0.79507416,-0.1725892,0.005291775,0.014120497,-0.63101786,-0.17232275,-0.32633016,-0.053742103,0.28778186,-0.27084702
Ga,-0.23896123,0.10728319,0.13285702,0.75032264,-0.21898314,0.48383307,0.02139687,-0.10535113,-0.14113745,0.17601036,0.059374914,0.0018287301,-0.14651348,-0.090127476,-0.09460985,-0.02855353,-0.21200897,0.43368256,0.8173997,-0.020987779,-0.43134066,-0.0017432645,0.59094036,-0.7577998,-0.08934961,0.7076539,-0.27308428,-0.3463636,0.32585347,0.36159042,-0.29914024,-0.06421065
Ge,-0.2295281,0.15547255,-0.48788974,0.43316594,-0.20427051,0.29122502,0.31517935,-0.25271457,-0.370509,0.34624064,-0.30339122,0.17311294,-0.23349254,0.031753488,-0.14568877,0.20818421,-0.13664031,0.35780787,0.3732924,-0.12051512,-0.20769465,0.17428288,0.40015543,-0.32301843,-0.31743434,-0.028667167,-0.09548511,-0.07805489,0.058326386,0.027226605,0.11716473,-0.5211277
As,-0.17519033,-0.08236554,-0.23474926,0.5835888,-0.07200864,0.14010817,0.34395334,-0.08896484,-0.03475416,0.18595861,-0.14093298,-0.010167345,-0.38548064,-0.22645897,-0.19360629,0.18173027,-0.016923659,0.33422658,0.38300604,-0.113614306,0.10515903,0.13790813,0.17559785,-0.033668876,0.019624732,0.15996784,-0.037816085,-0.17131948,0.23219904,0.11295644,0.12537564,-0.32788488
