Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,1.1698514,1.2344693,1.1060361,0.7196676,1.2974702,1.0748734,-1.4456983,1.0259726,-1.2396964,1.2841893,-1.2981077,1.5318453,-1.4424195,1.0599642,1.2954043,0.57011306,-1.0314786,-1.3280325,1.2904427,-1.0298483,1.1426173,-0.7950178,-1.3852613,1.261752,-1.5063611,1.6846691,-0.9770301,-1.040844,-1.7718031,1.4321618,1.7127885,1.4357015,-1.3269457,-1.3169682,-1.3758223,-0.7557239,-1.1112654,-1.0798613,-1.5038335,-1.1341778,-1.6902754,-1.5267181,-1.4223402,-1.3822311,1.7100991,-0.90165436,-0.62559754,-1.4477434,1.5156157,-0.995333,-1.0729622,-0.97467273,-1.1839503,-1.4690899,1.3773614,-1.5554192,1.1857169,1.5337727,-1.2837371,-1.5366145,-0.9861716,-0.87322474,1.2670426,1.251136
Li,0.15776724,0.4732604,0.31412536,0.14389476,0.4864868,0.18127021,-0.6764245,0.6345452,-0.5303611,0.6455997,-0.3775839,0.46439627,-0.90745807,0.094277054,0.34693846,0.33147436,-0.21895209,-0.6178433,0.73049855,-0.40383062,0.41461304,0.20848534,-0.65471077,0.55563813,-0.48520696,1.0664372,-0.33422714,-0.031102024,-0.6631542,0.4661612,0.85726786,0.00944851,-0.3933104,-0.34748924,-0.640328,-0.40947026,-0.576652,-0.15679291,-0.7445415,-0.5103757,-0.98008364,-0.58591366,-0.65602756,0.015123048,0.38190204,-0.42170992,-0.36052525,-0.4732532,0.5656141,-0.39053395,-0.53729874,-0.38785955,-0.4796093,-0.7254881,0.17947784,-0.5580789,0.32200783,0.48603323,-0.34351045,-0.19285291,0.19985864,-0.31079558,0.8088036,0.14230779
Be,0.803303,0.74239427,0.826239,0.5861102,0.42759162,0.53836024,-0.7246789,0.92888093,-0.9313122,0.7062914,-0.59581375,0.17866611,-0.6963059,0.2152867,0.8101005,0.11029429,-0.37070864,-0.8816254,0.4607076,-0.4544434,0.7555239,-0.26268566,-0.6985104,0.74682695,-0.8946339,0.9397969,-0.47642943,-0.14245401,-0.42627144,0.62717235,0.6366027,0.5209998,-0.82767546,-0.5504734,-0.45091063,-0.44522578,-0.78287774,-0.833795,-0.6444691,-0.653081,-1.1226735,-0.38684,-0.6410583,-0.37180313,0.47469226,-0.72553194,-0.36759874,-0.7259361,0.5515947,-0.33081114,-0.78339356,-0.3397982,-0.9717877,-0.6045986,0.55072767,-0.48093435,0.5946459,0.521116,-0.53451025,-0.527307,-0.2776433,-0.47032478,0.8680873,0.38697767
B,0.6607299,0.8868706,0.55526626,0.19375336,0.49375403,0.5130988,-0.9461192,0.5861725,-0.7987218,0.4306116,-0.486658,0.61041117,-1.319267,0.14059457,0.47610554,0.21493275,-0.6288891,-0.41144833,0.44439456,-0.4321719,0.7500857,-0.18281087,-0.9300429,0.8141843,-0.6601112,1.2000941,-0.35035616,-0.33442932,-0.6380362,0.43613797,1.0544722,0.7094617,-0.6352151,-0.2248944,-0.6081322,-0.23586711,-0.5760135,-0.6420037,-0.86414117,-0.9556584,-1.0783763,-0.7041594,-0.3508298,0.11052786,0.86957103,-0.5945195,-0.15282688,-0.40899307,0.96374273,-0.08531869,-0.70182127,-0.4996205,-0.6940321,-0.7441135,0.62196773,-0.613714,0.35460728,0.6842175,-0.8643961,-0.78731924,-0.24892578,-0.4238862,0.5514228,0.5090901
C,0.77463436,0.45886016,0.77630055,0.31081197,0.48198718,0.089137346,-0.9362873,0.35886282,-0.53151387,0.51598936,-0.57361823,0.6239569,-0.2958211,0.30894676,0.8586839,0.12989151,-0.5924265,-0.7985389,0.39251336,-0.37557772,0.4740626,-0.43211272,-0.40776193,0.6854694,-0.61601806,0.2052009,-0.4070011,-0.28887635,-0.3472417,0.23536141,1.0218003,0.5401812,-0.6839407,-0.4623071,-0.121112004,-0.31489536,-0.48462206,-0.65081054,-0.59003514,-0.6691825,-0.58619267,-0.3707764,-0.59869254,-0.49371338,0.78311205,-0.6683289,-0.3155335,-0.5575165,0.26739556,-0.57635576,-0.5603702,-0.37756464,-0.6984962,-0.45979762,0.76659423,-0.26928633,0.7470966,0.7490531,-0.8918922,-0.5320607,-0.6835208,-0.33397773,0.22307397,0.48294842
N,0.5467266,0.400009,0.33598718,0.4067995,0.37777072,0.023534466,-0.29848668,0.32407457,-0.26536977,0.24680722,-0.51917964,0.6349265,-0.31451824,0.3776125,0.3283141,0.0327804,-0.8576004,-0.7879693,0.34067345,-0.2546775,0.29720813,-0.43955693,-0.42887485,0.3878622,-0.5608709,0.5743456,0.082903095,-0.31144762,-0.527626,0.26276833,0.8302924,0.53388405,-0.46891788,-0.3364287,-0.0051254667,0.045948774,-0.5114867,-0.6535623,-0.47633904,-0.44059554,-0.4367151,-0.55288893,-0.56147236,-0.99900997,0.7492391,-0.47497478,-0.00756485,-0.6021951,0.14038053,-0.44833213,-0.43487567,-0.21072745,-0.26654017,-0.5024887,0.7152074,-0.58936965,0.47145998,0.4574861,-0.49522105,-0.6297733,-0.8051503,0.013252668,0.15104902,0.95388526
O,0.33902937,0.38411295,0.013496533,0.07518981,0.2966923,0.2683393,-0.49585906,0.36527833,-0.30514452,0.16501382,-0.29383138,0.7654991,-0.07462483,0.6280869,0.5957065,-0.34814617,-0.85824436,-0.61677104,0.01183971,-0.58528465,0.060220428,-0.81042564,-0.37236124,0.45173585,-0.91161466,0.27865887,0.2938715,-0.05551944,-0.72701627,0.36143625,0.91177267,0.5928974,-0.56543875,-0.42791545,-0.17067134,0.024399862,-0.29943976,-0.4499293,-0.42098594,-0.6013438,-0.31413624,-0.3731901,-0.3825904,-0.7155907,0.6698913,-0.2932328,0.3924395,-0.3128479,0.2938135,-0.21629918,-0.19825408,0.18597594,-0.40703776,-0.3552693,0.6059297,-0.62886596,0.4371261,0.2850905,-0.56489986,-0.42241728,-0.8847879,0.07457972,-0.11270554,0.82056946
F,0.06476588,0.19628458,0.15378073,-0.10582145,0.39251158,-0.10479978,-0.4658482,-0.11179155,0.059752315,0.3076487,-0.33281276,0.39394906,0.055121757,0.29005763,0.58062935,-0.53423107,-0.46046314,-0.45739087,-0.10666794,-0.53221893,0.11455177,-0.80854404,-0.1818412,0.20610341,-0.27813125,0.46765321,0.58558863,0.25546253,-0.86606723,0.31908876,0.73121554,0.27453503,-0.289701,-0.07949109,0.04501768,0.29903084,-0.5248313,-0.052281268,-0.28866822,-0.13026944,-1.0316479,-0.48527157,-0.037444424,-0.3325921,0.5542177,-0.19830313,0.70068115,-0.43116045,-0.2190218,0.07092745,-0.044426665,0.5324229,-0.92795074,-0.039267387,0.35072103,-0.47125787,0.16884331,0.23847187,-0.8612722,-0.5572323,-0.91200376,0.5985549,-0.2994116,0.52133274
Na,-0.0028519705,0.18558417,-0.0788295,-0.1145918,0.47801605,0.07913104,-0.12455413,0.026908465,-0.10468116,0.5478638,-0.1079233,0.209744,-0.62855947,0.01933138,-0.07501989,0.31443265,0.38996157,-0.10043945,0.3285363,-0.1342817,-0.008859947,0.6910644,-0.37926143,0.104454055,-0.14527543,0.59022707,-0.31469688,-0.004458189,-0.113459475,0.18630831,0.53230387,-0.24127792,0.27664778,-0.38659716,-0.43284607,-0.24517655,-0.06805235,0.2498236,-0.49179643,0.09844774,-0.39646757,-0.26731443,-0.35662407,0.38465762,-0.10934256,0.04554475,-0.15008047,0.014748897,0.44438004,-0.10390932,-0.11096683,-0.20552665,-0.20498623,-0.55366683,-0.0001770705,-0.30017617,0.06405811,0.25025353,-0.19867226,0.20501198,0.5326661,-0.30607828,0.55583996,-0.029901393
Mg,0.6149471,0.22756967,0.22124088,0.16773611,0.4198809,0.34562388,-0.25732476,0.23032144,-0.29226542,1.0061746,-0.055611428,0.049437307,-0.94391394,0.17715053,0.25599006,0.28019866,-0.0058558434,-0.5631886,0.22926706,-0.13505338,0.1481737,0.041701935,-0.36290234,0.30380878,-0.45570803,0.39601994,-0.13305545,0.20240138,-0.17739877,0.32816637,0.47046053,0.13705704,-0.044726692,-0.7509813,-0.4019965,-0.17025262,-0.10193929,-0.29606283,-0.7487841,-0.21654767,-0.6459889,0.03649129,-0.22631067,-0.06441799,-0.0012326203,-0.06116095,-0.028859608,-0.36303532,0.69448274,0.23386326,-0.12689416,-0.120565996,-0.6408714,-0.67638475,0.3691918,-0.6468142,0.25360423,0.29102874,-0.2645493,-0.12197824,-0.026737466,-0.23290509,0.41396895,0.09269787
