Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-1.2268142,1.567375,-1.4984202,1.580059,-1.2019686,1.2291032,1.3038919,0.94588953
Li,-0.61623967,0.49381387,-0.27426806,1.1241347,-0.34763494,0.41570872,0.3273301,0.47332823
Be,-0.6791684,0.4822954,-0.25682032,1.0167171,-0.95998704,0.93563807,0.22319673,-0.065087095
B,-1.0051633,0.6136105,-0.5351513,0.97581077,-0.71266484,0.5599448,1.0439194,0.45617723
C,-0.34355417,0.46838564,-0.5415764,0.84743303,-0.9317019,0.71190685,1.0571163,0.22908495
N,-0.25292015,0.32908797,-0.5241914,0.38853586,-0.35202274,0.28088433,0.9712628,0.89526933
O,-0.39992803,0.32663104,-0.857498,0.48908055,0.036687244,-0.17450853,0.63873816,1.6459838
F,-0.215746,0.17503199,-0.43527097,0.054746203,0.24763179,-0.39822716,0.64163166,2.0859952
Na,0.038934756,-0.21577877,0.017051518,0.7930972,-0.3043485,0.16995835,-0.35342932,-0.24045013
Mg,-0.25084868,0.023338832,-0.25311145,0.47275585,-0.6811942,0.71436083,0.032179922,-0.32568842
Al,-0.6400492,0.114757426,0.30545333,1.0345582,-0.13737984,0.4653986,0.13110338,0.14658672
Si,-0.40357026,0.07771263,0.3807202,0.7613566,-0.24186619,0.71778727,0.3359182,-0.25954813
P,-0.23685172,-0.18044752,-0.21534364,0.507962,-0.51511264,0.2290259,0.19618471,-0.5233475
S,-0.15014617,-0.1660592,-0.19630322,0.5771724,-0.36042804,-0.07187158,0.08976661,-0.20642866
Cl,0.29379013,-0.014023729,0.20501775,0.22502482,0.5285247,-0.03871937,0.33520827,0.7873182
K,0.2894877,-0.33329153,-0.21101692,0.028572753,0.026686508,0.0012883842,0.07054086,0.13998905
Ca,-0.106000856,0.31648993,0.13130572,0.37888947,-0.6336797,0.86139685,-0.40210712,-0.5208269
Sc,-0.24572757,0.07672056,0.020404927,0.11029697,-0.12924509,0.08179647,-0.1652386,-0.35886496
Ti,-0.3460972,0.1576156,0.2462267,0.24561071,-0.020711135,0.36301395,0.18313639,-0.28539222
V,-0.6587575,0.08123156,0.21036002,0.3487212,-0.10596727,0.35035375,0.009108735,0.14266594
Cr,-0.51590466,0.3909597,0.026972324,0.52080166,-0.12667175,0.25416696,0.0929576,0.09025988
Mn,-0.48891145,0.11338825,0.2260845,0.15046784,0.19284533,-0.010736823,0.07500318,0.37470484
Fe,-0.33434293,0.14686587,0.6069939,0.5120051,0.10967974,-0.013480723,-0.29578328,-0.060762573
Co,-0.27133784,-0.025552444,0.035540625,0.36573225,0.037585806,0.15706465,-0.12200683,-0.090441436
Ni,0.40223396,-0.38141644,0.19262473,-0.71638346,0.56312495,-0.71951574,0.024727477,-0.057406772
Cu,0.6751485,-0.9203347,0.59096396,-0.7693488,1.2573112,-1.1737212,-0.50222623,0.1518865
Zn,-0.13056569,-0.50977755,0.7945488,-0.23538536,0.75721425,-0.6294136,-0.48041487,0.16635412
Ga,-0.25520945,-0.26468277,0.4669493,0.379933,0.5102285,-0.10976702,0.119435966,0.22379318
Ge,-0.07433638,-0.2454853,0.4727188,0.030701227,0.22229634,0.1118626,0.4193719,-0.2976743
As,-0.07506165,-0.52985364,0.46292388,0.10894672,0.2321133,-0.22929561,0.12732671,-0.28870505
Se,-0.057473715,-0.59096384,0.37768567,-0.0077919737,0.26355764,-0.6853683,-0.06794808,-0.036879506
Br,0.7913737,-0.6139714,0.411515,-0.49208468,0.94260156,-0.76413035,0.07646893,0.5090278
Rb,0.37701163,-0.30378354,-0.070246205,0.16171885,0.19070809,-0.26603627,-0.06297617,0.21948917
Sr,0.31249455,0.20399046,0.32057482,0.17080519,-0.19985001,0.44035462,-0.7190704,-0.3033393
Y,0.1433531,0.12577498,0.29125342,0.44094744,-0.32349747,0.61229974,-0.39281997,-0.52963245
Zr,0.12265514,-0.1277911,0.30980405,0.07879049,-0.338233,0.36013156,-0.53188854,-0.5717516
Nb,-0.23332892,-0.12145116,0.3270052,0.23516327,-0.26296118,0.50674486,-0.4324486,-0.14627168
Mo,-0.14098048,0.1391396,0.22173621,0.37407443,-0.6508631,0.6068406,-0.48190975,-0.29901606
Tc,-0.46902725,0.1127618,0.3159412,0.37514055,-0.36331084,0.59079826,-0.22404388,0.09121816
Ru,0.0101505555,-0.060521923,0.786358,0.50750285,-0.1381952,0.39377624,-0.6865914,-0.22307743
Rh,0.104935035,-0.2276003,0.4969298,0.3512599,-0.26514447,0.45859838,-0.59202117,-0.15251724
Pd,0.4701858,-0.64498323,0.95903045,-0.31558937,0.40786627,-0.25600296,-0.5272412,-0.23953275
Ag,0.7442575,-0.9350652,0.94704956,-0.69177353,0.84933805,-0.6865199,-0.75281477,-0.038963843
Cd,0.04300322,-0.48646232,0.9095503,-0.117538445,0.63673383,-0.31835175,-0.6700444,-0.03577954
In,0.010422427,-0.3708924,0.56302893,0.10348778,-0.034532767,-0.07356015,-0.48877424,-0.11868331
Sn,0.2310061,-0.5135603,0.52572435,-0.21139091,-0.21321656,0.11610583,-0.18686423,-0.59419066
Sb,0.9217175,-1.155371,0.8553507,-0.33696765,0.219062,-0.40120012,-0.8015644,-0.58920604
Te,0.4493996,-0.72766745,0.76744366,0.055695206,0.30501717,-0.3617594,-0.43662894,-0.31425777
I,0.84486806,-0.8632827,1.0681012,-0.53141505,0.4626807,-0.36208445,-0.53511894,0.2062761
Cs,0.50700915,-0.32720673,-0.10880807,0.15468624,0.025881846,-0.07697222,-0.10066323,-0.1456117
Ba,0.4466971,0.031238519,0.25739986,0.05953411,-0.36271727,0.39343995,-0.7144002,-0.5490005
La,0.7371344,-0.13480586,0.4593012,-0.0054728314,-0.15594661,0.3573262,-0.6048252,-0.3163486
Hf,0.2981111,-0.2012349,0.46700877,-0.049781702,-0.41564888,0.5285332,-0.33033246,-0.6746536
Ta,0.14237514,-0.13727519,0.23242295,-0.07105329,-0.56085896,0.6298904,-0.1962768,-0.4393428
W,-0.118454605,0.15272743,0.39372668,0.4996751,-0.6688477,0.80139875,-0.3970145,-0.19720323
Re,-0.23435234,0.062217094,0.5326494,0.23498327,-0.5270573,0.66264915,-0.39305055,0.060266953
Os,0.18404001,-0.115447514,0.85341054,0.44949242,-0.32473367,0.3954635,-0.78600806,-0.5329135
Ir,0.15337901,-0.11490881,0.48799673,0.26176414,-0.42637125,0.5778292,-0.54185474,-0.49693084
Pt,0.62197185,-0.55519587,0.8966124,-0.58249277,-0.12438491,-0.22602403,-0.5321738,-0.6376464
Au,1.0156944,-1.2155952,1.2608011,-0.7374179,0.51632255,-0.8315595,-1.0377674,-0.5666228
Hg,0.43087715,-0.6615726,0.659881,-0.56208515,0.37887707,-0.44621086,-0.6124144,-0.18191764
Tl,0.31988123,-0.6990319,0.58345276,-0.101408474,-0.007949535,-0.09942289,-0.48288953,-0.23056151
Pb,0.83339167,-1.0440123,0.9801439,-0.27395147,-0.10636218,0.11609316,-0.53686655,-0.7715605
Bi,1.1102433,-1.4594293,0.9961121,-0.50047785,0.13788272,-0.28877532,-0.79542714,-0.51639646
