Element,total_counts
H,18003
He,0
Li,38651
Be,2232
B,11994
C,14696
N,15232
O,121913
F,19973
Ne,0
Na,15488
Mg,20030
Al,13972
Si,18277
P,27664
S,20895
Cl,11252
Ar,0
K,13445
Ca,12601
Sc,4680
Ti,11929
V,15096
Cr,10334
Mn,22633
Fe,20974
Co,18340
Ni,15050
Cu,17622
Zn,11104
Ga,9062
Ge,10028
As,7507
Se,11722
Br,5490
Kr,0
Rb,8203
Sr,10662
Y,8341
Zr,6042
Nb,7271
Mo,8391
Tc,1138
Ru,4652
Rh,5230
Pd,6303
Ag,7461
Cd,6496
In,7740
Sn,10229
Sb,9616
Te,8843
I,5646
Xe,0
Cs,7639
Ba,12737
La,9047
Ce,5916
Pr,5119
Nd,5713
Pm,1200
Sm,5244
Eu,3362
Gd,3073
Tb,3967
Dy,4345
Ho,4333
Er,4464
Tm,3509
Yb,4096
Lu,3337
Hf,3827
Ta,4722
W,7075
Re,2434
Os,2152
Ir,4007
Pt,5122
Au,5070
Hg,4411
Tl,5567
Pb,5361
Bi,8028
Po,0
At,0
Rn,0
Fr,0
Ra,0
Ac,720
Th,2175
Pa,600
U,4552
Np,703
Pu,737
Am,0
Cm,0
Bk,0
Cf,0
Es,0
Fm,0
Md,0
No,0
Lr,0
