Element,matbench_phonons,matbench_log_gvrh,matbench_log_kvrh,matbench_mp_gap,matbench_mp_e_form
H,62,231,231,7585,9894
He,0,0,0,0,0
Li,126,907,907,17724,18987
Be,29,157,157,790,1099
B,37,350,350,5083,6174
C,34,391,391,5159,8721
N,94,525,525,4882,9206
O,360,2184,2184,52025,65160
F,148,565,565,8580,10115
Ne,0,0,0,0,0
Na,76,436,436,6544,7996
Mg,46,731,731,6996,11526
Al,59,770,770,5523,6850
Si,56,767,767,7201,9486
P,113,465,465,12583,14038
S,134,551,551,8614,11045
Cl,77,267,267,4525,6116
Ar,0,0,0,0,0
K,166,335,335,5527,7082
Ca,90,464,464,5070,6513
Sc,30,419,419,1710,2102
Ti,30,550,550,4918,5881
V,5,387,387,6697,7620
Cr,1,230,230,4444,5429
Mn,1,482,482,10231,11437
Fe,13,541,541,9123,10756
Co,7,542,542,8002,9247
Ni,10,657,657,6351,7375
Cu,81,718,718,7281,8824
Zn,68,543,543,4322,5628
Ga,52,415,415,3788,4392
Ge,38,460,460,4249,4821
As,81,338,338,3024,3726
Se,96,374,374,4942,5936
Br,60,161,161,2212,2896
Kr,0,0,0,0,0
Rb,123,239,239,3342,4260
Sr,84,390,390,4447,5351
Y,44,418,418,3294,4167
Zr,34,394,394,2325,2895
Nb,22,303,303,3008,3635
Mo,4,151,151,3586,4499
Tc,2,121,121,373,521
Ru,12,338,338,1835,2129
Rh,11,432,432,1995,2360
Pd,33,492,492,2386,2900
Ag,59,406,406,2938,3652
Cd,54,367,367,2512,3196
In,46,386,386,3208,3714
Sn,47,476,476,4117,5113
Sb,78,406,406,3804,4922
Te,84,329,329,3668,4433
I,55,142,142,2369,2938
Xe,0,0,0,0,0
Cs,140,216,216,3242,3825
Ba,108,380,380,5351,6518
La,41,194,194,3987,4631
Ce,0,184,184,2513,3035
Pr,0,213,213,2209,2484
Nd,0,209,209,2470,2825
Pm,0,118,118,459,505
Sm,0,257,257,2216,2514
Eu,0,60,60,1541,1701
Gd,0,51,51,1426,1545
Tb,0,149,149,1741,1928
Dy,0,199,199,1886,2061
Ho,0,199,199,1872,2063
Er,0,207,207,1929,2121
Tm,0,177,177,1503,1652
Yb,0,217,217,1625,2037
Lu,0,156,156,1446,1579
Hf,18,298,298,1354,1859
Ta,22,225,225,1927,2323
W,5,164,164,2876,3866
Re,3,115,115,938,1263
Os,8,156,156,778,1054
Ir,6,291,291,1556,1863
Pt,43,447,447,1817,2368
Au,47,354,354,1891,2424
Hg,31,267,267,1605,2241
Tl,22,289,289,2188,2779
Pb,18,182,182,2257,2722
Bi,45,256,256,3287,4184
Po,0,0,0,0,0
At,0,0,0,0,0
Rn,0,0,0,0,0
Fr,0,0,0,0,0
Ra,0,0,0,0,0
Ac,0,80,80,256,304
Th,0,123,123,874,1055
Pa,0,48,48,219,285
U,0,119,119,1890,2424
Np,0,21,21,251,410
Pu,0,22,22,248,445
Am,0,0,0,0,0
Cm,0,0,0,0,0
Bk,0,0,0,0,0
Cf,0,0,0,0,0
Es,0,0,0,0,0
Fm,0,0,0,0,0
Md,0,0,0,0,0
No,0,0,0,0,0
Lr,0,0,0,0,0
