Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
CGCNN,cgcnn_emb,matbench_jdft2d,0,8,7.895121661338838,2.0681905691796327,0.04664008691410259,39.380842508523415,35.61906819364454,22.27445132556027,-0.0067255827462131814,0.09793591480204937,1.4845161179960387,47.5090217590332
CGCNN,cgcnn_emb,matbench_jdft2d,1,8,7.905497550241696,2.0725907386910536,0.043732676844746785,39.17844425758353,35.75554035074774,17.71932669784944,-0.002006608783962986,0.07995887400912076,2.179207204133347,60.2819938659668
CGCNN,cgcnn_emb,matbench_jdft2d,2,8,7.87154767007538,2.0711049297673583,0.03780685076498225,38.871720868894414,34.993820243714445,25.860289419366598,0.020818486203332928,0.1000837224692882,1.5782295839975373,76.24305725097656
CGCNN,cgcnn_emb,matbench_jdft2d,3,8,7.910260689720813,2.0674803225302503,0.04434313604627567,38.191307579932854,34.80541996380557,25.68175997057048,-0.009278608697097953,0.10520926548144521,1.615534405540061,43.12605667114258
CGCNN,cgcnn_emb,matbench_jdft2d,4,8,7.886378203073128,2.072898408013762,0.04251855519919031,39.24584912221238,35.04014448657939,23.31977495797276,0.002019227105901477,0.08148492112399278,1.6805757312896927,56.84969329833984
CGCNN,cgcnn_emb,matbench_phonons,0,8,7.835317515417504,2.057790688247293,0.0470276592639526,32.6419558123143,29.664339889383562,13.158857900641836,-0.015027256620710382,0.09015991830860572,1.5535041847238782,120.85586547851562
CGCNN,cgcnn_emb,matbench_phonons,1,8,7.915797804301414,2.063131585114398,0.04491652439458938,32.777917363030056,29.986957087555503,20.712516626014896,-0.04443603330809993,0.08966096686879182,1.5135751488320088,95.01361083984376
CGCNN,cgcnn_emb,matbench_phonons,2,8,7.860147645606931,2.0728731438465964,0.05188152526968418,32.329106074672076,28.770759927162526,18.597196504023817,0.005904509823882724,0.10609425896389685,1.4604440169495558,107.58792877197266
CGCNN,cgcnn_emb,matbench_phonons,3,8,7.841739729630275,2.0690155964206993,0.047508975053687105,33.14850297842378,30.412871908483424,14.588891708656215,-0.00842273080875503,0.07241914351160286,1.4186555535748337,106.3216552734375
CGCNN,cgcnn_emb,matbench_phonons,4,8,7.850655576140091,2.0723283718145242,0.046180936356359316,32.30678541239045,29.1688516914528,21.709279232442043,0.0018627019338232804,0.12511229013630648,1.505135548951174,83.64874267578125
CGCNN,cgcnn_emb,matbench_dielectric,0,8,7.879740006434417,2.0653622184727674,0.04465874693010559,40.95440394387807,36.80417710021482,23.756756160961196,0.012282601263649526,0.09773877872129584,1.604855839575211,0.416130393743515
CGCNN,cgcnn_emb,matbench_dielectric,1,8,7.881111219637887,2.0689318229334392,0.04633035998449737,40.73685468653288,36.48702368382993,23.504303450926923,-0.0048476392644213225,0.14198783983432978,1.7324357282858254,0.4816587567329407
CGCNN,cgcnn_emb,matbench_dielectric,2,8,7.8354359819756425,2.0621921229559463,0.047870684873302045,41.32642532755063,37.580704458287755,16.606900281190306,-0.00843710451072606,0.1178960246743678,1.6122993729143877,0.6333900690078735
CGCNN,cgcnn_emb,matbench_dielectric,3,8,7.908503337712244,2.069906815428853,0.04861018008528823,40.83925765598565,36.79584461737774,26.978597426958167,-0.007099180457689071,0.1187843551323543,1.5764197657764967,0.4796147644519806
CGCNN,cgcnn_emb,matbench_dielectric,4,8,7.895979721122222,2.072206907512529,0.0454114084396332,40.373932018365075,36.22138715151388,26.951044323285206,-0.007196958266694831,0.10033067385405806,1.4729917330275666,0.5495129823684692
CGCNN,cgcnn_emb,matbench_log_gvrh,0,8,7.880942329601584,2.0748332295349368,0.04822416678647598,43.1533420880921,39.010412864707156,28.308767150966013,-0.004943650760400519,0.07967728118145341,1.4326498475904725,0.1072946935892105
CGCNN,cgcnn_emb,matbench_log_gvrh,1,8,7.8955187094596155,2.0677285003636294,0.044569950867785695,43.18873083093778,38.67965682438599,23.842493632654495,0.02996350416790923,0.10082141588568325,1.405770056240137,0.130126342177391
CGCNN,cgcnn_emb,matbench_log_gvrh,2,8,7.90050646590924,2.0648017311780427,0.04398302725433042,42.78568562897091,38.400113971753235,30.532369318773622,-0.006144714291685826,0.08877592960940801,1.4317004286132637,0.1216098889708519
CGCNN,cgcnn_emb,matbench_log_gvrh,3,8,7.916843856497686,2.0738278812632664,0.04918536473825676,43.15594395682554,39.1289820187185,24.33253685446966,-0.0030076202036550003,0.08332628557362995,1.5390871576669898,0.1138070821762085
CGCNN,cgcnn_emb,matbench_log_gvrh,4,8,7.9144057680518,2.0727006041935745,0.047563247180394966,43.23922596684573,39.55840924811394,25.37608784300181,0.02013647590739733,0.09522740026326683,1.3931919506116677,0.1131841763854026
CGCNN,cgcnn_emb,matbench_log_kvrh,0,8,7.882963932293324,2.070086825322187,0.04524020910307796,42.78662492627212,38.42964452601507,28.131316546206577,-0.019218638294293284,0.11150469990613011,1.539721945701583,0.090876817703247
CGCNN,cgcnn_emb,matbench_log_kvrh,1,8,7.892168975554052,2.0762945621806503,0.045231873299272106,42.84749858627377,37.89188987784634,26.984014154102514,0.011533592108741322,0.10846058278265847,1.521277617876827,0.0929401218891143
CGCNN,cgcnn_emb,matbench_log_kvrh,2,8,7.897247756305575,2.0688435713871933,0.047800894008946354,43.15766376757173,39.04435063201593,25.73445947877712,0.025112755317554403,0.1272269618402971,1.5846021031874322,0.0866594761610031
CGCNN,cgcnn_emb,matbench_log_kvrh,3,8,7.955632669131802,2.076777800902752,0.048460927889861984,42.87593679585375,39.04920665161039,24.638343568105885,0.0018907008104989504,0.10926194388698447,1.4667535507873655,0.0883557051420211
CGCNN,cgcnn_emb,matbench_log_kvrh,4,8,7.921287801607825,2.0701843317174937,0.04387641489466435,42.92091543985053,38.766546527986925,27.250580976205665,0.059584879954400746,0.10759306339722145,1.4790664670971168,0.0895930007100105
CGCNN,cgcnn_emb,matbench_perovskites,0,8,7.860741627085154,2.062720999530205,0.04952674580876424,28.38418889285652,25.835631443376958,19.28565676959221,0.03502619239145363,0.14192073322864135,1.7567194699956123,0.0697182491421699
CGCNN,cgcnn_emb,matbench_perovskites,1,8,7.7822057861393645,2.05929053203989,0.04262379646738784,28.603797598769187,25.719589053121233,16.660963931927636,0.01021209740769835,0.12209213176526612,1.61100863704537,0.0786404982209205
CGCNN,cgcnn_emb,matbench_perovskites,2,8,7.888712244927677,2.070243474697869,0.05182668548368352,28.272408283008623,25.421186897778174,19.41493758540143,0.042505303525818786,0.13740296851171846,1.6261978468491887,0.0700287371873855
CGCNN,cgcnn_emb,matbench_perovskites,3,8,7.872536526804887,2.0657496137976095,0.051146825634212745,28.401318886245814,25.4996596368716,19.442643944350813,0.0549609967170982,0.1050742371792168,1.4563583497698172,0.0761086791753768
