Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Inverse_Squared_Distance,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,QCI,MAE
MEGNet,megnet_emb,matbench_jdft2d,0,8,7.870319173149717,2.066857112374029,0.043019599405253836,39.31297749546157,35.36595203275764,22.362099160958607,-0.02081171544166592,0.11079956091895243,1.5933729059102588,39.00766372680664
MEGNet,megnet_emb,matbench_jdft2d,1,8,7.853996712371502,2.0729078568433508,0.04131427418164825,39.00915919637648,34.63261631246019,22.21763828033907,-0.004384976688562664,0.09181174352115905,1.771577213610769,58.78205108642578
MEGNet,megnet_emb,matbench_jdft2d,2,8,7.876802418437706,2.070898614639982,0.04394067185285063,39.422286598610846,35.575492086247415,21.231687080955528,-0.01077355460385439,0.10446053728558609,1.5430209957324423,78.10436248779297
MEGNet,megnet_emb,matbench_jdft2d,3,8,7.8947115458554045,2.0620926200422596,0.042642352853978875,38.50817663564826,34.84125909876679,22.253132351387425,0.0030046788917684015,0.09289339365125752,1.651559514014971,44.923221588134766
MEGNet,megnet_emb,matbench_jdft2d,4,8,7.863148722334297,2.0678387578153794,0.04466451785217551,39.461326627450184,35.49491269094432,23.270531313758628,0.010098337355910163,0.10571073894802484,1.5427538113478325,52.37869644165039
MEGNet,megnet_emb,matbench_phonons,0,8,7.860807409386492,2.0712495283594197,0.039718070417227434,32.06467103819793,28.966112551879007,18.589328270876685,-0.032232978466654155,0.1340089750820674,1.6010270287865525,35.297203063964844
MEGNet,megnet_emb,matbench_phonons,1,8,7.887490972841225,2.064036680668564,0.039725048205977394,32.756909375154194,29.55904797027841,19.409073891148978,0.01605685706764938,0.07588110101113518,1.6642494177155052,35.19483184814453
MEGNet,megnet_emb,matbench_phonons,2,8,7.868921635468445,2.054861403588978,0.04681997027349514,32.15557153845438,29.45215960865959,21.42011538776806,-0.005947662949873955,0.08341898147475703,1.7816687027372207,34.863136291503906
MEGNet,megnet_emb,matbench_phonons,3,8,7.897061799110865,2.074748137276823,0.04476283868397762,32.63965978350512,29.875098404341905,21.80514033381577,-0.0394659191501918,0.11229852733947104,1.5590232696125415,34.555877685546875
MEGNet,megnet_emb,matbench_phonons,4,8,7.870112292873171,2.0590801415589985,0.044477767504123904,33.094246111045386,30.070179885648166,16.92064219899469,0.01927818874691773,0.10557869796052176,1.7040574742391807,32.990089416503906
MEGNet,megnet_emb,matbench_dielectric,0,8,7.893125435248877,2.0682989896187967,0.04194042711865306,40.84185609396731,36.82081765167818,25.128480133538798,-0.012243472784791876,0.10502977002595207,1.5271275596328882,0.2428307086229324
MEGNet,megnet_emb,matbench_dielectric,1,8,7.864248260286193,2.0626177899260414,0.046442848690731196,40.691004640059546,36.7439122356568,20.979252460471713,0.03654761307635397,0.11529700542280645,1.621309765116708,0.3290224373340606
MEGNet,megnet_emb,matbench_dielectric,2,8,7.81721994894923,2.0673331127188024,0.04094616636167419,40.774433470660384,36.140661899505545,26.971142312171754,0.0204919096804546,0.12308249912230178,1.5663810041625512,0.467822790145874
MEGNet,megnet_emb,matbench_dielectric,3,8,7.884701119777475,2.0605766869854194,0.040534456078910965,41.38496382025677,37.52845570978575,24.655192269984266,-0.006010780387620834,0.080944627075347,1.5709532217164948,0.3683082461357116
MEGNet,megnet_emb,matbench_dielectric,4,8,7.894521333828879,2.0631234445808984,0.04523834322679099,40.68842089550419,36.90808945398532,22.390456569910558,0.014888451353224377,0.1077945763903693,1.7730977500002396,0.3589948117733001
