Model,Method,Task,Fold,Dimension,Effective_Rank,Embedding_Entropy,Spectral_Radius,Spectral_Gap,Fiedler_Value,ARI,Silhouette,MAE
MEGNet,megnet_hm,matbench_jdft2d,0,8,5.503349975555513,2.0686796446093263,28.194015496903987,18.88363300781587,15.916808808241935,0.07335394628188438,-0.055320122009281054,35.54682159423828
MEGNet,megnet_hm,matbench_jdft2d,1,8,5.428656365336479,2.062654648728363,23.001887719025664,11.026476754088623,8.801396227132146,0.11922330855091147,-0.1603070052204354,53.650299072265625
MEGNet,megnet_hm,matbench_jdft2d,2,8,5.111406579593839,2.057262512734004,24.624314994874513,15.606942466995594,9.803214886248437,0.14469438610144994,-0.042843009623244305,72.97830200195312
MEGNet,megnet_hm,matbench_jdft2d,3,8,4.984070606447996,2.068215174080725,25.544096254946485,18.092827486726474,9.097382675069792,0.16072064380912307,-0.07482754171389848,45.44623947143555
MEGNet,megnet_hm,matbench_jdft2d,4,8,5.182245077374966,2.0686635215471427,26.289612792895344,18.144434404448866,9.728626234883771,0.03339494077166359,-0.10668394123503674,51.41798400878906
MEGNet,megnet_hm,matbench_phonons,0,8,5.695716791041648,2.061897231444859,20.69616632243804,12.942195100167329,9.211832241768256,0.05635237134952764,0.15702194290117538,37.15433120727539
MEGNet,megnet_hm,matbench_phonons,1,8,6.09565842090141,2.0641474602029852,19.998217804717765,14.48410091145358,9.126102374969404,0.09050199152523128,0.2186974214063121,31.56780433654785
MEGNet,megnet_hm,matbench_phonons,2,8,5.970036276321802,2.061678669531147,19.0923433336434,13.35308149022388,9.308984189615495,0.06646438722521378,0.22569456176090957,31.6718807220459
MEGNet,megnet_hm,matbench_phonons,3,8,5.943999688557419,2.078504487505966,18.455530090211813,11.564958005771054,10.24324051528625,0.054989366697047536,0.05692582873273713,31.14019203186035
MEGNet,megnet_hm,matbench_phonons,4,8,5.587099167322887,2.069616314003321,20.617866556043744,13.266855136027857,9.456850018821921,0.12774738458585277,0.11916510621656953,27.55644798278809
MEGNet,megnet_hm,matbench_dielectric,0,8,5.394975299356897,2.056079170316366,33.72035742029086,28.76155976510784,9.600079173705648,0.3118243591620341,0.18595053226723923,0.2190350592136383
MEGNet,megnet_hm,matbench_dielectric,1,8,5.519411375311242,2.0688891365415447,32.71525315487102,28.12542750593152,9.784104103570183,0.2721380394480064,0.2007426014721984,0.302244633436203
MEGNet,megnet_hm,matbench_dielectric,2,8,4.70945337825002,2.0542340282927407,39.540000342816654,34.2334032251436,8.850462282167747,0.4484474820696183,0.2670515962487058,0.4581956267356872
MEGNet,megnet_hm,matbench_dielectric,3,8,4.962366042661758,2.054508587740462,36.16786368934748,29.843081055807787,9.212432255279955,0.3859886857812169,0.24534816962837672,0.355884850025177
MEGNet,megnet_hm,matbench_dielectric,4,8,4.858285048149459,2.039419388706108,37.82149140469229,32.62121798956244,9.016453316086901,0.38097318759719107,0.23102613290819576,0.3252992331981659
MEGNet,megnet_hm,matbench_log_gvrh,0,8,6.1585792885875525,2.0574275351522724,24.754347220284973,16.745808658604773,12.351562288157277,0.40624298818715765,0.4068998210668267,0.095697320997715
MEGNet,megnet_hm,matbench_log_gvrh,1,8,6.055435257323618,2.0425706368580205,26.503677149187084,19.054341781025915,12.0057102059941,0.2817769523732623,0.31189424983601716,0.0980541706085205
MEGNet,megnet_hm,matbench_log_gvrh,2,8,6.29748601078327,2.045989387196286,24.99645530238291,18.003736791530272,12.308100770718886,0.41057928585705383,0.463985003554539,0.0946890637278556
MEGNet,megnet_hm,matbench_log_gvrh,3,8,6.032692815558233,2.038444101537803,27.246803435211294,20.725545185851306,11.662857132833212,0.2800249737642636,0.27334423566871396,0.0992141291499137
MEGNet,megnet_hm,matbench_log_gvrh,4,8,6.489482063946306,2.039069794691965,25.59976822183626,19.100340047557808,12.482085383553406,0.3561892182380897,0.41426652248537965,0.0992723032832145
MEGNet,megnet_hm,matbench_log_kvrh,0,8,6.325250885265803,2.0336026917969687,26.027996755077368,19.496901347955085,11.90901818010577,0.4556530396366125,0.43475523855207127,0.0662681236863136
MEGNet,megnet_hm,matbench_log_kvrh,1,8,6.2054900013117935,2.048378751794157,27.41877144724856,21.20039370506555,11.704851172256548,0.42071023345755376,0.45334237787237525,0.0686960890889167
MEGNet,megnet_hm,matbench_log_kvrh,2,8,6.6152087441380125,2.042925525924539,24.23221039949869,17.766468328584537,12.664862052518567,0.37933516315949983,0.361586955315178,0.0671212598681449
MEGNet,megnet_hm,matbench_log_kvrh,3,8,6.261720236844392,2.019994809796123,25.55435520606962,18.58142724544626,12.25483355227683,0.5312283251312878,0.34578507230325545,0.0752314403653144
MEGNet,megnet_hm,matbench_log_kvrh,4,8,6.514765047110235,2.0184929800753544,24.36322183258782,17.27148139637553,12.310310128571942,0.3236878597111267,0.3976777069630358,0.0679202303290367
MEGNet,megnet_hm,matbench_perovskites,0,8,6.749319375474191,2.0606180194393406,13.96933504779377,10.241662653212881,9.615838418416407,0.17598344701646218,0.2015124259518439,0.0452129356563091
MEGNet,megnet_hm,matbench_perovskites,1,8,6.887238717621073,2.0626390769636203,14.358284511954643,10.751189839465864,8.951542013309355,0.21876234299707717,0.20794009995527846,0.0420187599956989
MEGNet,megnet_hm,matbench_perovskites,2,8,6.619054042544302,2.0606939756058207,13.47497287246259,9.257363133054685,9.231788876260499,0.2137444023424044,0.2220343085524205,0.0446749813854694
MEGNet,megnet_hm,matbench_perovskites,3,8,6.6453561330823305,2.0656351532447723,13.655952564288887,9.55196885282291,9.376267251801142,0.15148315907775092,0.07126373518132219,0.0450346283614635
MEGNet,megnet_hm,matbench_perovskites,4,8,6.689306380305613,2.059729821581027,14.56725139104233,10.546121601886448,9.200126745863393,0.11345836063009064,0.03638273971732051,0.04295190051198
MEGNet,megnet_hm,matbench_mp_gap,0,8,6.648802004755282,2.0439962881703293,21.593268622038206,15.011376381072019,12.65127700745906,0.25434790954812453,0.18430039135097118,0.2865048944950104
MEGNet,megnet_hm,matbench_mp_gap,1,8,6.679989770230469,2.0232958810480426,22.603310996009128,17.00154810730315,12.922743677717467,0.3362114364796512,0.2027242058510042,0.2847338020801544
MEGNet,megnet_hm,matbench_mp_gap,2,8,6.130822450167237,2.0395995311261172,23.871557022170954,16.919977561115573,11.910725246414433,0.36338069323203914,0.2707163090421104,0.2795590460300445
MEGNet,megnet_hm,matbench_mp_gap,3,8,6.89668707135293,2.045628260945717,22.294507974714694,16.96111072870474,12.179987083683958,0.2561973852659348,0.13074028500667517,0.2729722857475281
MEGNet,megnet_hm,matbench_mp_gap,4,8,6.873963852832799,2.061842705717951,20.93447644533781,15.352096866839101,13.2584328063775,0.39223072551118865,0.08961015547494304,0.2903774678707123
MEGNet,megnet_hm,matbench_mp_e_form,0,8,6.733993285303139,1.9936770645779136,24.127136011858855,17.255556888430018,12.194727570204916,0.4123316994084939,0.24912465956929286,0.042295217514038
MEGNet,megnet_hm,matbench_mp_e_form,1,8,6.800277261151615,1.9627047767454049,23.543455379191908,15.873763507392907,12.72405550929153,0.4638200220197116,0.25433933042983425,0.0424300208687782
MEGNet,megnet_hm,matbench_mp_e_form,2,8,6.977795710327897,1.9600585195505205,23.162960974744827,15.638403688675776,12.954063717818704,0.43608100882855394,0.2636033762307951,0.042421244084835
MEGNet,megnet_hm,matbench_mp_e_form,3,8,6.8188583935557325,1.9496879909302076,24.24887715319897,16.472389050072707,12.206670164698629,0.3223509579700847,0.21492290143819665,0.0417401678860187
MEGNet,megnet_hm,matbench_mp_e_form,4,8,6.733340758211871,1.965187513293241,24.02604560546051,16.040089077713,12.334160955575552,0.35122014036443244,0.2803401480171524,0.043384451419115
MEGNet,megnet_hm,matbench_jdft2d,0,16,8.951851354750916,2.681532414250972,31.77089627179725,25.712560329772458,11.406436986473395,0.21651705267659874,0.07860900411126977,36.60160827636719
MEGNet,megnet_hm,matbench_jdft2d,1,16,9.87347478127311,2.751341922799413,28.255115408382654,20.2686740763538,14.45588693787995,0.10202961542086385,0.08133531394074749,53.81731796264648
MEGNet,megnet_hm,matbench_jdft2d,2,16,9.601929072200996,2.7524505599461984,28.106823380596442,22.114279269077937,10.047073879372517,0.2736696686562757,-0.014665138536850619,70.52222442626953
MEGNet,megnet_hm,matbench_jdft2d,3,16,9.587020322444586,2.725665868093511,32.81328447958606,27.60427041687064,12.702011670682685,0.18853105083132243,-0.0027923817440719113,37.49980163574219
MEGNet,megnet_hm,matbench_jdft2d,4,16,10.07323600655398,2.7160418651615466,26.10230515345923,18.312569932800134,12.339176984173035,0.14612735151814127,0.033855672997043416,54.82179641723633
MEGNet,megnet_hm,matbench_phonons,0,16,9.951416270111684,2.755352418580978,19.383251178822853,11.27460751184448,10.285744774028156,0.035920532307497456,0.12629216289603384,36.13421630859375
MEGNet,megnet_hm,matbench_phonons,1,16,10.718142932869164,2.743203549931927,18.785684021937872,12.085066334690776,10.602130969587842,0.09965801174477594,0.2606088877298302,34.048526763916016
MEGNet,megnet_hm,matbench_phonons,2,16,10.400739538861835,2.742756565629638,18.35418649994203,11.298260825003743,10.44729603218326,0.03368843165817994,0.1660774352751938,31.2317008972168
MEGNet,megnet_hm,matbench_phonons,3,16,10.544982342215077,2.7452408680815106,18.103781463148827,11.800123705841262,10.452210429172972,0.03343722633923107,0.2933233884039975,31.015586853027344
MEGNet,megnet_hm,matbench_phonons,4,16,10.745379352698242,2.7463458966844154,17.94416984819188,11.375666547517897,10.668304105386362,0.025543956970707847,0.25129621271468217,28.68390655517578
MEGNet,megnet_hm,matbench_dielectric,0,16,8.557920286140734,2.730037306407867,34.05375440952334,28.939412555879926,10.105002649074025,0.36368206042946655,0.24280568307176456,0.2248934805393219
MEGNet,megnet_hm,matbench_dielectric,1,16,8.394391313353575,2.755900082470137,36.08529977064764,32.1190077776522,9.598028105801,0.24863522298308074,0.019042818605629237,0.3129140436649322
MEGNet,megnet_hm,matbench_dielectric,2,16,8.372507764946928,2.733370711355358,36.795821234842784,31.928992412277662,9.517758947530393,0.3001297875701756,0.17244157639453964,0.442432165145874
MEGNet,megnet_hm,matbench_dielectric,3,16,8.78435386573989,2.7473044884682047,34.36014836505044,29.422009935062874,9.670996781577434,0.36353488183044147,0.22157337376066724,0.3425777554512024
MEGNet,megnet_hm,matbench_dielectric,4,16,8.28173134283692,2.737968086743937,34.169013920325625,28.7287566319364,10.4853148651701,0.40190484786360053,0.38594012859385046,0.3667110502719879
MEGNet,megnet_hm,matbench_log_gvrh,0,16,10.62683770797243,2.5887184750834367,25.011955248292974,17.629163202504238,12.925139403010737,0.315096251266464,0.39528293413057397,0.0990026146173477
MEGNet,megnet_hm,matbench_log_gvrh,1,16,10.223207222867012,2.514139674792438,26.462765200761712,18.462886173434498,12.643629275177782,0.3464485760771017,0.41772767193436844,0.0987881794571876
MEGNet,megnet_hm,matbench_log_gvrh,2,16,10.416902096225948,2.561353698325455,24.71074782134609,17.200716234236282,12.732364595147416,0.3508471845213748,0.36612220698557846,0.0917234942317009
MEGNet,megnet_hm,matbench_log_gvrh,3,16,10.449417145827189,2.567263281913961,25.203228080711227,18.031539816890373,12.87479497303467,0.32859306319949766,0.4716441182986641,0.0974393039941787
MEGNet,megnet_hm,matbench_log_gvrh,4,16,10.553851327093012,2.6287900553053074,25.53360524290546,19.027378835692186,12.784781724816192,0.4084767525414944,0.4839750946030428,0.0945558249950409
MEGNet,megnet_hm,matbench_log_kvrh,0,16,10.665988324162605,2.6182812186841056,24.987706768153522,18.789809414708348,13.211106728292854,0.2762869007740851,0.1767546026302947,0.0679345205426216
