element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.7078802615880059,0.4043342083732142,0.7859958392402587,-0.3063733545436601,-0.1160472188742913,-0.1934449139245769,0.19583810408273805,0.15701960947440274,-0.06154292948760716,0.10290792394578581,-0.11156146255245483,-0.00430378282650298,-0.05856264001076185,-0.08139075560511595,0.09492514238556105,-0.07296839023861963,0.13618113962527392,0.018720968739299407,-0.029129520392201038,-0.1127281578773376,0.016730346313999424,0.02507958720966509,0.10375042252586308,-0.02675501540813944,0.04387028676119538,-0.06342407491492448,-0.004988053071265382,0.01752827763728234,-0.04449155696919352,-0.03436044070369113,0.014962382112406183,0.011241490877858633
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.2373690445193517,0.5494251819120033,0.3600791244410797,-0.49411242521279547,0.13046560265514784,0.09773766094376135,0.13025929586500354,0.08922014455383767,0.04553871588382472,0.17147691469033804,-0.1655858765857459,-0.05484793382960273,0.03769675263916112,0.00788174636987131,0.03713241540273307,0.16669006660821012,0.05256110403644105,-0.14533979612447342,-0.07667057331520033,0.13710555844743122,-0.09092583741520525,0.04520261319005847,0.010795591844932327,0.039482507176039815,-0.055402578310496185,0.02185348513713725,0.043414251171251084,-0.053921857910382606,-0.057756920966590665,0.040626509806475364,0.004904091660276475,-0.019710535086912204
Be,0.1027233421915063,0.07617389954683977,0.508135054343039,-0.3617179107227071,0.34389432107406914,0.4842716440761477,0.06547113668244346,-0.15505430568155612,0.0039094907101179105,-0.06699138762554038,0.08776805663095058,-0.07611711779273735,0.13832485473936865,0.0700274837872276,-0.0560242836360453,-0.07755600476118789,-0.06985232258673438,-0.02709533368209869,0.07946128372845458,-0.13509214671132636,0.15731968760990572,0.025248690544957368,-0.012858370571036752,-0.06830461475290589,-0.02023005987736554,0.03847294394088486,-0.047207966609565714,0.004075029082497065,-0.039553601016489186,-0.013009868572820892,-0.021288813030897746,0.015194600599196882
B,0.35573189929534565,-0.27087367873906576,0.6293951501563759,-0.00946092139698526,0.2581879788722787,0.09120752400173779,0.24835804796049096,-0.19642644345488952,-0.25168258332904275,0.10747860891020423,-0.0010981172190656738,0.11435247854455563,-0.019506012092100997,0.2713933153027971,0.024742485051001913,-0.004296315843474787,-0.004962355248746226,0.12058733584071789,-0.048693285824071085,0.08216467594662091,0.08566579109708944,-0.03508047412247829,-0.05681847042112899,-0.01627896892507632,0.06684489754574997,-0.012089692425687814,-0.017999539245382935,-0.022323972813737634,-0.00443323566046274,-0.001025141452730869,-0.03373955283315304,-0.007155926013751806
C,0.5118483672725048,-0.21953081614243894,0.4872462339935121,0.21107789594564527,0.1560814528064964,0.31738792329146653,0.1113638972148504,0.023265858646237758,-0.2893724067598242,-0.09501178125400955,0.12802124890478436,-0.002174788076502851,-0.14933355815999264,0.04553140158405576,0.08751252144908692,0.12764477325070092,-0.11495457857806202,-0.034274238364960026,0.06381422506100552,0.021733340379541655,-0.07907474039307653,0.029470686709333116,0.015297860861616285,-0.17041089836797904,-0.06220839197733758,0.08182507165254711,0.04885627295206079,0.10623850940359594,0.012912708272059032,0.015313506322968521,-0.014183643966340835,0.0378192375550228
N,0.749034990852551,-0.09931660108375968,0.32958189953688916,0.27170239246974404,-0.06112382844862768,0.38635218397042886,0.09984166645197061,-0.04165742953022256,-0.06055225373144682,-0.1376369795881881,0.05287318411238369,0.16557109278522536,0.07881685464523194,0.10350077740808457,0.005183088200910737,-0.13768277702437334,-0.06013247667206095,-0.1913434636939459,-0.05178718088663959,0.04825609722813935,-0.16814251702494284,-0.15720749117609684,0.077185394223505,0.03448042618953801,0.002416293944043321,-0.14168684832013442,0.03702921722293038,0.036831319134384144,-0.024699688619376037,0.04837902949028477,0.010525792613059679,-0.04180308727804039
O,0.8257530850754502,0.07996711633900384,0.5177741273388875,0.3231148738311224,-0.34298313735072017,0.12018846554551402,0.10043648306811619,-0.020694915425439147,0.13077731780682056,-0.08328257283921667,0.077918023261332,0.21374815151902474,-0.05755357726060822,-0.1083831898966711,0.03868994020234909,0.08400126407462223,-0.03731659768854564,-0.060258320731864094,-0.13918325327842454,-0.005221432492531608,0.10420181171441839,0.08037516662765946,0.05136468303589296,0.09030057292560885,-0.14417255681729946,-0.048631455047729547,-0.06705545007104716,-0.07089341386292691,0.06787969595354132,0.003936334020808128,-0.0346014167062065,0.01195641647805061
F,0.912560475525337,0.33740790716787,0.47842358861603895,0.27971720209350776,-0.29514656864374245,-0.14246543430267186,-0.05265616769262676,-0.011966880977303394,0.26387219467281936,-0.16099643961798898,-0.029482360394727188,-0.003486733229608453,-0.007667098383693562,0.09522204544074245,-0.07070507908403341,0.0697192954009932,0.051252438260197104,-0.10765699862082638,-0.10169884256465467,-0.02267812204449163,0.07822142200404311,-0.04260976567316189,-0.11560554634712707,-0.06180370935842603,0.00860496306747807,0.19679360715806613,0.02640874524748466,0.009124208270909793,0.017961089499473434,-0.04228540543623075,0.025428791906155237,0.007203825539903993
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.13909034280357133,0.7364554105767239,0.09687688827501038,-0.31655768044091637,0.10030312364811585,-0.11171820873829531,0.09905169098443173,0.2236574706275896,-0.10078472173432289,0.031763258639203776,-0.08961028748977394,-0.062237436970885865,0.12476833354707757,-0.023756971098784187,-0.1792518083778182,0.019485690537989604,-0.11828786200956228,0.03746943576678834,-0.067003140620883,0.07891224684693156,-0.055079482062325824,0.05616518380537585,0.1217061558037837,-0.04336025701529563,0.010528484751762312,0.03895436303757468,0.08837451366504546,-0.06744056502011457,0.012993223208803546,-0.05431384086863262,-0.039124292937386056,-0.039137103948465916
