element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.37974926746267573,0.3199059115997339,0.39198797418427184,-0.3506238520973599,-0.07067564038787516,-0.10821467493017281,-0.11530991319854732,-0.07851008855670827,0.09752874767703062,-0.02153327185671894,0.11686302278716199,-0.04789608876175786,-0.09907683681862699,-0.020090599667588867,0.08523199681619538,-0.1714292186808406,0.004429786000207414,-0.05803551333952165,-0.1443587813448978,0.18704779922944983,-0.06886049981214669,-0.14601909086421214,0.03634619154558822,-0.012531421722773755,-0.1475058530186145,-0.007770310398630868,-0.0002391801264487674,0.02829633165184108,0.16841010637396056,-0.08076730972988469,0.13389216538115967,0.11371076443015145
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.14259060828064646,0.38207345930539777,0.09112031353447429,-0.45008256958425924,0.07139589480733674,0.025195765962522466,-0.13224000999582192,-0.03746320666570422,0.06641825280562082,0.11111786435148914,0.16143131254036702,0.05405250388270047,-0.09350983828272229,0.04987354776085044,0.10946522801863867,-0.0279799970173426,0.034533583935289255,-0.1370649058544618,0.024721859647591975,-0.10138701638811365,0.1010694341686581,-0.03873889881790194,0.05847360050975338,-0.11128638856683991,-0.10360273231992405,-0.004181153989001526,-0.07305377027208032,0.0600100904520432,0.05599499723271752,0.031138231350473125,-0.06381752182701518,-0.13373177165370978
Be,0.11888692133804407,0.0904581340856586,0.1922177672899946,-0.35483831601436905,0.09409758957239608,0.4871801344609733,-0.007704992757646158,-0.06457270388999672,-0.1430953933992776,-0.016276478803109017,-0.11191665512327204,0.07072023121482152,-0.024233638473621182,0.005222875208092527,0.06635739343297933,0.18265899106498715,0.1343609504991137,0.07184392622321467,0.0008418231775124137,0.0977236131007517,-0.22284776673994516,-0.048000197897362214,0.05835122440753057,0.03442706551594749,-0.014076966370472236,-0.03417724472097523,0.009551792146155504,-0.011426123470795359,0.08208704165475474,0.05091980940373421,-0.0027555321152516934,-0.015288157461564126
B,0.28803987499667477,-0.0796092066262507,0.40684685289920997,-0.14551961895854854,0.09923932911881608,0.23947168660515472,-0.04212543802331209,-0.28245697747604465,0.12042507886416101,-0.03500171619521775,-0.024670504157586974,0.007263220215163628,0.030284186472982106,-0.0469888425722737,-0.1911677246655221,0.18171202590058427,0.014408053717678157,-0.1172489125646186,-0.06693339434913377,-0.08938276177582465,-0.10840475398795138,-0.12072587212658696,0.006772046998732745,0.1400014653987709,0.0013237464002714156,0.02619264680440905,-0.012529352995754734,-0.0060792972753346405,-0.07367656959803026,0.04359811206915524,-0.06228402970612629,-0.017015896505129725
C,0.3540438957161642,-0.022976839121598536,0.39713410296041196,0.01880099564941944,-0.0069463069920184094,0.29596067895564776,-0.09944869151952827,-0.13550785825116393,0.19547529749318515,-0.12004175360494822,-0.09997448861244579,-0.04703575299017487,0.09828069928974864,-0.04955028759303786,0.012928474897428578,0.12201277992022971,-0.12362122510457516,-0.07628531822118555,0.11139286533260678,-0.0596859129769312,-0.006660788891628865,-0.10682471550544767,-0.046579162640089766,-0.06372772150854404,0.14778349462658533,0.13177244207583297,0.08741968554119606,0.04294514473409313,-0.023223269718531427,0.11223698443863811,0.09878400569334994,0.021733381462430087
N,0.44261224747421446,0.09245135511710259,0.32252577842708574,0.10944529660618618,-0.1746621353868185,0.23300283661440266,-0.08309602068742551,-0.11288774264117658,0.039705856064382775,-0.12660324437850098,-0.11119889139807361,-0.07710896938459501,-0.09486376377979273,-0.1781388942877084,0.0009668313016455555,0.09238270670782221,0.02467105663729305,-0.03386102972531411,-0.030541499634702728,-0.02978783123320703,0.17965319167456895,0.11081691844832739,-0.2544210143730935,-0.1585865748054738,0.06212974743650562,0.042172515845160734,-0.034181749221718676,0.06624271445765033,0.020431532376717788,-0.14187132749479783,-0.06393703777393014,-0.07754927272865034
O,0.4404671338522699,0.18774235164158354,0.4364535597736922,0.08082492842048382,-0.28023021820547994,-0.010496036782201155,-0.04919567005838748,-0.08839606238177228,-0.05867937551092604,-0.12790855348023594,-0.07010828774121067,-0.09639921678380381,-0.07853316229646759,-0.19388933094972058,0.02907571582872871,-0.232935805379721,0.018564886382936612,-0.09218222519470616,0.11329588708961516,-0.031555791121541055,-0.03365494058789362,0.17479091024855833,0.05752117174189311,-0.03031319219897716,0.0049672939388008845,-0.07125214482358348,-0.0526787860760031,-0.12666570478931433,0.005838224775122403,-0.07455786358664762,-0.11680336289331703,0.057212110113034356
F,0.459594926875793,0.3294665779828832,0.40497518354453327,0.06788169082297954,-0.24898392609939737,-0.16883010096298082,0.03913088292904733,0.021706737258789053,-0.1738401370138844,-0.15317141572484488,0.015162863820247402,-0.015159789486098448,-0.0022810490428184964,-0.02597952551241976,0.0763628388643153,-0.10870257205729705,0.12137320839959152,-0.14852512096812168,-0.0015429578350794923,0.005820076920078986,-0.019956907399430818,0.13108135561625625,0.10843535751041289,0.11853985126070732,-0.006197003355173033,-0.02720051365591914,0.05736883392220189,-0.0497314221456684,-0.1342617975214825,0.18426200096321488,0.13293023863364808,-0.009123532994556505
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
