element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.37974926746267573,0.3199059115997339,0.39198797418427184,-0.3506238520973599,-0.07067564038787516,-0.10821467493017281,-0.11530991319854732,-0.07851008855670827,0.09752874767703062,-0.02153327185671894,0.11686302278716199,-0.04789608876175786,-0.09907683681862699,-0.020090599667588867,0.08523199681619538,-0.1714292186808406,0.004429786000207414,-0.05803551333952165,-0.1443587813448978,0.18704779922944983,-0.06886049981214669,-0.14601909086421214,0.03634619154558822,-0.012531421722773755,-0.1475058530186145,-0.007770310398630868,-0.0002391801264487674,0.02829633165184108,0.16841010637396056,-0.08076730972988469,0.13389216538115967,0.11371076443015145,-0.008066134877076154,0.10975368859169633,0.06866380225176576,-0.0010285530345083092,-0.06389862346057915,-0.05780379933054586,-0.02027622184826289,-0.019487797815060746,0.055737537950610344,-0.0046604787411684305,0.007350238381263396,-0.00035694715306657367,0.02640717548950967,0.0027166702572516276,-0.021447063598019785,0.004921375387285333,0.020595687810339523,-0.018922269090132296,0.02528520749725646,-0.024819322938441708,-0.0037930729806388715,-0.020242201059954792,0.021376337299653447,-0.0005547601682680432,-0.007273431565407666,-0.01738300305364883,0.005563810024327658,0.015566190953764932,0.003976275297237727,0.012559965514218363,-0.00026587968104830885,-0.01531909361679038
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.14259060828064646,0.38207345930539777,0.09112031353447429,-0.45008256958425924,0.07139589480733674,0.025195765962522466,-0.13224000999582192,-0.03746320666570422,0.06641825280562082,0.11111786435148914,0.16143131254036702,0.05405250388270047,-0.09350983828272229,0.04987354776085044,0.10946522801863867,-0.0279799970173426,0.034533583935289255,-0.1370649058544618,0.024721859647591975,-0.10138701638811365,0.1010694341686581,-0.03873889881790194,0.05847360050975338,-0.11128638856683991,-0.10360273231992405,-0.004181153989001526,-0.07305377027208032,0.0600100904520432,0.05599499723271752,0.031138231350473125,-0.06381752182701518,-0.13373177165370978,-0.016241383749114255,-0.06842585241426401,-0.033177449211750434,0.07397697707215144,-0.0003470298487686448,0.0329559623995307,0.057421806696138424,-0.05313346904945888,-0.07243279917032282,-0.02672781304584256,0.04774834492499761,-0.012505079071331117,-0.018203389757660705,0.0036305984431104885,0.044536153899725324,-0.002358138513931177,-0.04329583725345912,0.019161063451416282,0.02769767930124204,0.04620468428173112,0.0226033228334609,0.021575992061191915,0.003616962326415143,0.04226500850551576,-0.04105911016354329,-0.013345608338232222,0.003562830365121435,0.010876436988015622,0.011921013728360933,0.004088383484598494,-0.032301649156184706,0.02553114490788714
Be,0.11888692133804407,0.0904581340856586,0.1922177672899946,-0.35483831601436905,0.09409758957239608,0.4871801344609733,-0.007704992757646158,-0.06457270388999672,-0.1430953933992776,-0.016276478803109017,-0.11191665512327204,0.07072023121482152,-0.024233638473621182,0.005222875208092527,0.06635739343297933,0.18265899106498715,0.1343609504991137,0.07184392622321467,0.0008418231775124137,0.0977236131007517,-0.22284776673994516,-0.048000197897362214,0.05835122440753057,0.03442706551594749,-0.014076966370472236,-0.03417724472097523,0.009551792146155504,-0.011426123470795359,0.08208704165475474,0.05091980940373421,-0.0027555321152516934,-0.015288157461564126,0.04427308039283402,-0.03171917975820203,-0.04598455994110318,0.04668268716917736,-0.04370193574511977,0.1179108947532411,0.021434637434456387,-0.01782919029280286,-0.036445090073252105,-0.046220904809770806,-0.060586451039852655,-0.010977310643703232,-0.00574275440710802,-0.007981343785129097,0.010807513564738313,0.01973152068860096,0.0003638639668373941,-0.007011246261908485,-0.013845449073326233,-0.015253402358160719,-0.01302847847756336,0.02174649860578204,0.021660330308068302,-0.010098692277997402,0.054981553834165114,0.045095163742057055,0.02055327634075585,0.02513144459359448,0.009758779377527383,-0.007475217543901972,0.012484973577009709,0.012054927552358619
B,0.28803987499667477,-0.0796092066262507,0.40684685289920997,-0.14551961895854854,0.09923932911881608,0.23947168660515472,-0.04212543802331209,-0.28245697747604465,0.12042507886416101,-0.03500171619521775,-0.024670504157586974,0.007263220215163628,0.030284186472982106,-0.0469888425722737,-0.1911677246655221,0.18171202590058427,0.014408053717678157,-0.1172489125646186,-0.06693339434913377,-0.08938276177582465,-0.10840475398795138,-0.12072587212658696,0.006772046998732745,0.1400014653987709,0.0013237464002714156,0.02619264680440905,-0.012529352995754734,-0.0060792972753346405,-0.07367656959803026,0.04359811206915524,-0.06228402970612629,-0.017015896505129725,-0.043067774525162805,0.09517946276384966,0.009327449502948183,-0.07798015994026482,0.05960780904092753,-0.04249790791302346,-0.05967221725808694,0.03777494282275672,0.02922541991041609,-0.03895787645564892,0.020626440809133253,-0.013903113293319657,-0.016007597475812003,-0.0037546265482470984,0.06548070378029208,-0.03512792889176889,-0.009987038953227797,0.007477062772877943,-0.00480632258414388,0.012218590943813383,0.015570221834884953,-0.006471648392031805,0.002874234489074199,0.05677234399518049,-0.0045501903892519084,-0.01176853919193816,-0.0556242454213805,-0.04926993005211265,0.002877455700468942,-0.009699406914786666,-0.01341906866457554,0.0018385169929415802
C,0.3540438957161642,-0.022976839121598536,0.39713410296041196,0.01880099564941944,-0.0069463069920184094,0.29596067895564776,-0.09944869151952827,-0.13550785825116393,0.19547529749318515,-0.12004175360494822,-0.09997448861244579,-0.04703575299017487,0.09828069928974864,-0.04955028759303786,0.012928474897428578,0.12201277992022971,-0.12362122510457516,-0.07628531822118555,0.11139286533260678,-0.0596859129769312,-0.006660788891628865,-0.10682471550544767,-0.046579162640089766,-0.06372772150854404,0.14778349462658533,0.13177244207583297,0.08741968554119606,0.04294514473409313,-0.023223269718531427,0.11223698443863811,0.09878400569334994,0.021733381462430087,-0.04246403355737113,-0.05817537125184261,-0.06931959965268623,0.050109869447236756,-0.006015801445217519,-0.004414518065170745,0.0775369421332685,-0.007146130904169701,0.04319497321999542,0.07697404395761501,0.05621371161372096,0.02274666096889215,-0.011855562557099584,0.01118059046835137,-0.05772941620975158,0.018640224830714366,0.017540398524533735,-0.005148394971349306,-0.021041185407878124,-0.02107560882699208,-0.0022705467611804455,-0.00047820692666806163,0.0009850488299113732,-0.03438137390241541,-0.023829034572824842,-0.0211341660106851,0.024185366637369036,0.020910903656526765,-0.011397358540092323,0.015742934021901155,0.017603701891977866,-0.029844264622577745
N,0.44261224747421446,0.09245135511710259,0.32252577842708574,0.10944529660618618,-0.1746621353868185,0.23300283661440266,-0.08309602068742551,-0.11288774264117658,0.039705856064382775,-0.12660324437850098,-0.11119889139807361,-0.07710896938459501,-0.09486376377979273,-0.1781388942877084,0.0009668313016455555,0.09238270670782221,0.02467105663729305,-0.03386102972531411,-0.030541499634702728,-0.02978783123320703,0.17965319167456895,0.11081691844832739,-0.2544210143730935,-0.1585865748054738,0.06212974743650562,0.042172515845160734,-0.034181749221718676,0.06624271445765033,0.020431532376717788,-0.14187132749479783,-0.06393703777393014,-0.07754927272865034,0.03905131538993522,0.053864376765320424,0.12995503239597367,-0.02321439951745413,-0.005695760579641637,0.006116117810024844,-0.041483600803542464,-0.030221943234006603,-0.026304923504050188,0.02098889054345991,-0.039834061622119096,-0.03973740105263039,0.01830848282073301,0.019002588360371615,0.01897935212956165,-0.00023345554626645867,-0.0004420642716856167,-0.008705901849601353,0.012375486412199372,0.012694682536055865,-0.014625259607358065,0.008233998034107065,-0.007116851557351671,-0.028013144585384817,0.006549835673273808,-0.006468998866869094,0.013376336086305143,0.009159152893137444,0.002012948613209473,-0.005972463068535231,0.002554163119140313,0.02281262157150245
O,0.4404671338522699,0.18774235164158354,0.4364535597736922,0.08082492842048382,-0.28023021820547994,-0.010496036782201155,-0.04919567005838748,-0.08839606238177228,-0.05867937551092604,-0.12790855348023594,-0.07010828774121067,-0.09639921678380381,-0.07853316229646759,-0.19388933094972058,0.02907571582872871,-0.232935805379721,0.018564886382936612,-0.09218222519470616,0.11329588708961516,-0.031555791121541055,-0.03365494058789362,0.17479091024855833,0.05752117174189311,-0.03031319219897716,0.0049672939388008845,-0.07125214482358348,-0.0526787860760031,-0.12666570478931433,0.005838224775122403,-0.07455786358664762,-0.11680336289331703,0.057212110113034356,-0.0893212496556825,-0.04986471022405153,-0.1567641263857203,-0.006647572305302031,-0.009015506057134677,0.0175353914794483,-0.006450144204480454,0.027112196142464108,-0.012294868641962367,-0.0462098722926096,-0.010836604041982502,0.029710033151084947,-0.0006534439890699813,-0.05868725494323898,-0.07137093343749351,-0.02340135027137493,0.002710241827085533,0.004247234539368955,-0.012013603661186046,0.0011034207063342928,0.010949456473405629,-0.030215486321950855,0.0007014086108576104,0.01572721978319331,0.008766224441198673,0.029588379316176538,-0.005067370822651328,-0.015467535914536203,0.0012339871481002694,-0.007566934800131759,-0.004576446084419901,-0.015084552093104858
F,0.459594926875793,0.3294665779828832,0.40497518354453327,0.06788169082297954,-0.24898392609939737,-0.16883010096298082,0.03913088292904733,0.021706737258789053,-0.1738401370138844,-0.15317141572484488,0.015162863820247402,-0.015159789486098448,-0.0022810490428184964,-0.02597952551241976,0.0763628388643153,-0.10870257205729705,0.12137320839959152,-0.14852512096812168,-0.0015429578350794923,0.005820076920078986,-0.019956907399430818,0.13108135561625625,0.10843535751041289,0.11853985126070732,-0.006197003355173033,-0.02720051365591914,0.05736883392220189,-0.0497314221456684,-0.1342617975214825,0.18426200096321488,0.13293023863364808,-0.009123532994556505,0.07200825593640567,-0.07655745544005142,0.10563797541205865,-0.008511340460073517,0.05337653905269698,-0.023879336569200892,-0.03742733831248421,-0.011719680763379606,-0.05115039496950429,0.020281016995502364,-0.030776220027066956,-0.03162942290745288,-0.002116218123088071,0.025600479574490548,0.05065248318465243,0.028336792081192882,-0.021699668257604634,-0.0019178001693951955,0.0037003412132836687,0.005446974721534036,-0.003358344467270988,0.020637709206444175,-0.03632112207974359,-0.011800214077446898,-0.014141278362122454,-0.014154383104764334,0.003941707551303269,0.012469204182133226,-0.0034495120409831813,0.011556445476666089,0.004604567221078383,0.012809950297832435
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
