element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.026415295890049272,-0.1620656170322092,0.05539841314593922,0.17129022983415385,-0.22392921535570515,-0.04671572187201884,0.25840386337124427,-0.05427624152876044,0.12067692659364236,0.5302549495339978,0.2320936622113412,0.00014997155112250933,-0.004878771632572019,-0.05031961848991143,-0.06622372027716242,0.3294544027585574,-0.3390795156003364,0.01416429100341382,-0.12050528268740147,0.09879747035858176,0.04376544581957451,-0.4170346273887551,0.059031635600868465,0.008681617810023905,0.4771394109759561,-0.08946544616024947,0.15423450790311008,-0.29427176824805834,0.12150051986817355,0.03895379159148188,-0.09238333395045348,-0.2589324497861068
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.013825300913671545,-0.1485787306379098,0.08045258943939206,0.0036910462183447376,-0.06454188177159735,0.005834111367985691,0.08896957281377581,-0.13948027930558152,-0.07022963819907628,0.429009107571168,0.37897088449058736,0.04125573674828163,0.23721778846578778,0.033447447000196515,0.05163982855390704,0.14620949209043752,-0.018446860622276035,-0.10237923491894625,0.0975272843404473,0.03779798121236889,0.24113824589509647,-0.17146732991234045,-0.04401260000354065,-0.03525678722139371,0.25371433459779924,-0.1294087754886764,0.20986988032962936,-0.20525850881965718,0.158539531409694,-0.13586115916047575,-0.07077703000660816,0.010095318742212752
Be,0.010184382028882057,-0.04918600030867633,-0.16610615848599547,0.021401502352020773,-0.14527796934606776,0.34930798581089856,0.2470285409725317,0.10888420341599853,0.10651486607039626,0.1948777498643918,0.12996258258924398,0.18172227385717904,0.17781833239474037,0.1309878215644784,-0.09244923895228296,0.14564997935442414,0.03309380931518652,-0.10345510405755895,-0.02293441753013965,0.19598842005100628,0.12219583668769746,0.021468656675919625,0.026563718767511624,-0.046058497342182446,0.17486352676792424,-0.0012136634883236242,0.06833449732635086,-0.08946908302292653,0.1397333225463007,-0.14133213772980283,-0.20673112638028662,-0.19822985746078947
B,-0.005810309648097847,0.10878980787045259,-0.248081298649342,-0.09517933849060528,-0.1634095054208006,0.35471173861204675,0.0672323616819334,0.16750069086189057,0.22824467803391416,0.2586015971780155,-0.12321791144943374,0.025323973934288157,-0.008683903237743573,-0.02672618471765877,-0.20524690352749003,0.3048986163089036,0.0044337866050902525,-0.02837796358847892,-0.15043319916590275,0.09175150145705302,-0.10372295435922575,-0.20745799321371078,-0.05237096166297826,0.04717462797914481,0.13177093413938906,-0.15625900017914485,0.24939495257925523,0.03998206925913741,-0.013327336962727613,-0.08634608421098831,-0.23454331062115288,-0.20024750592357432
C,-0.023697762548465947,0.13065553519830442,-0.26487041473149764,-0.004572734651812507,-0.06142729426809087,0.22569450993273263,-0.05976311763655254,0.11305999780835947,0.18057502416563362,0.21930385073117958,-0.1342881569387911,-0.12167800767954562,-0.09131995465649512,-0.08090643795731564,-0.03530701157753724,0.3598674824862927,-0.014524575745206039,-0.12678952939637186,-0.20546748767651357,0.3529668746381111,-0.11274666012290975,-0.34971745312593383,0.051143345262480794,0.10269178766633312,0.20229684334467823,-0.17683517540194316,-0.022514553314421815,0.1642940367957733,0.07485038294586074,0.065604843397883,-0.1031282403215234,-0.13742958106463804
N,0.2663472706332252,-0.20266719146435416,-0.2059743721524735,0.1770865289552675,-0.016153731263965566,0.21522516704774955,-0.1328041232085213,0.1859157000088275,0.23485756181587605,0.11800635572547973,-0.02640323739215158,-0.1719248862673705,-0.11585684325631264,-0.10055754552910615,-0.003016955774569957,0.17139495517924916,-0.05394413039012999,-0.033943098961107046,-0.13308996678671572,0.2838790068867609,-0.19365603008128857,-0.4430155121062796,-0.13084699273477585,0.28233677713170435,0.19823778045754223,-0.2434555862656893,0.10092978698702612,-0.05688120063223674,0.10868008905843214,0.13844881737975057,-0.10047473666693099,-0.19077921021817804
O,0.3721651979542676,-0.060156542877686695,-0.04603254611635696,0.024911000968441472,-0.17391230897895524,0.16566214051199601,-0.07817382669611676,0.1461350923414022,0.2757020778727456,0.2407917339575214,-0.01824268177020512,-0.3051523595151514,-0.09810102846789158,-0.018690793551585642,-0.008158555935210034,0.4720818241454858,-0.3596990750599275,0.09307479051722278,-0.07092660322270816,0.24785621176074382,-0.019200467846966336,-0.4472574818329496,-0.1382010165911091,0.18546844932760415,0.09792002907790938,-0.1845845273199214,-0.07032878036733635,-0.2298022462518219,0.14955153739207774,0.1199077792659559,0.055283755207949974,-0.1824861366900388
F,0.3066550319907199,-0.07951828757167992,0.18469333627086013,0.038346682550946504,-0.00868393542429643,-0.04467505410515352,0.011831982959250436,0.19970856834593625,0.2751842861820998,0.30334908170022173,0.1028310101484639,-0.14090316568139757,-0.2480064533563884,-0.08306082114868873,0.07756995737892207,0.3831434854638748,-0.40363397472156626,0.10085052282339022,-0.09550388326802553,0.34211570059069285,0.17947801348514805,-0.24305613628134698,0.008668163479914259,0.2612519081477029,0.27514306390698257,-0.4036501700778727,0.013441540445875857,-0.10480884697845297,0.24893777131263034,0.08705694822321274,0.10191594900009189,-0.298723763866956
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
