element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.00864574745853369,-0.10891009327514108,0.04122319363440455,0.14821344074324158,-0.17697962493777375,-0.09590040776520214,0.21845061259896642,-0.07427962604096587,0.05578279123869414,0.355328427888813,0.14559533607434486,0.018797820455190503,-0.050505012140267085,-0.046317776966215536,-0.03921410097314638,0.24396412338614523,-0.2644255297799604,0.05771832024769721,-0.10864788579159598,0.035387331897022714,-0.011756519633819578,-0.32118640511670876,0.08156490210611783,-0.023700950586740387,0.396681687791582,0.012828393874182447,0.14902225943286568,-0.2489387514370416,0.01853890359080682,0.0456281492102886,-0.11646978282136676,-0.18108661408362556
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.04452613427167081,-0.11813652541047234,0.07053436093217653,-0.03936685237976459,-0.04787153122993293,-0.03785740102238268,-0.01979873278951483,-0.10027372034028385,-0.13621553705227699,0.3316269705549997,0.29948427224066004,-0.0017097710836540259,0.21761202789072506,0.01154059997945301,0.024382880476664655,0.13451293442148266,0.0724313343185352,-0.06717623691184868,0.11341520349150755,0.014202131714882405,0.23513518048892193,-0.18358461388830935,-0.009410615472353374,0.014429853206073666,0.18670399600825455,-0.14718421965810263,0.2298146357705646,-0.16449323900107443,0.1015759604881933,-0.14804000471996095,-0.1145759472875625,0.08033147127910548
Be,0.028322286533457273,-0.09160710391817191,-0.11153431199048232,0.009173683461362533,-0.13726891731583757,0.28520159326702016,0.2371644975705896,0.10928676881813666,0.10768862705765461,0.07291714079967045,0.12587010912909172,0.12457274108077569,0.14128087698205788,0.17936644741923075,-0.12214371239536273,0.09793892537170036,-0.025387483884454092,-0.07662892607420081,0.016102795575839705,0.20412349210231812,0.13616402052007265,0.058825825036222246,0.062338567759015875,-0.02262176382199676,0.131492020655609,0.0028183685588619657,0.02479590315030017,-0.06975945955179849,0.15636091805231817,-0.14708444683405753,-0.1970531220633372,-0.2531123773454365
B,-0.025826810037376708,0.09621081199046311,-0.19015351073777492,-0.1446718272367783,-0.15270096063707436,0.2660458275675503,0.0417005784861396,0.12565040099397476,0.22474759739154743,0.23402466082122858,-0.10762868889570609,0.002624608388804113,0.01549882037477522,-0.0011839518700038278,-0.19886998369027742,0.23502947837685542,0.007748127624657246,-0.0573120851146688,-0.11813666776904953,0.03567825735163386,-0.11284018229583488,-0.09563712953590969,-0.11904489446177409,0.04057156930799582,0.07780199589542312,-0.17329269335114877,0.265904374182236,0.03873223033331282,-0.009937654886121245,-0.10768509857399325,-0.1928921094360911,-0.18438710427490285
C,-0.09672704073164481,0.1710961003403826,-0.2048994464790834,-0.04339676050510078,-0.017895690332110227,0.16606253242709035,-0.06465158245122796,0.03221210347272009,0.11759728663741845,0.16343703673301058,-0.10591890001491007,-0.09890178945235457,-0.06027225153696141,-0.07905429931916433,0.0024801766266377948,0.29991699675112626,0.0016420871220364616,-0.1494414843110421,-0.1689578006206825,0.3456580093265169,-0.12874913632292803,-0.27296600491871764,0.012682415853341069,0.0709254930716826,0.18235887033194514,-0.15879244675553722,-0.08880722056253448,0.17855742423761933,0.06624228746819753,0.08448228393469986,-0.03543540179603007,-0.0711006256107488
N,0.24295783464668871,-0.1818754126341017,-0.22251332544151078,0.1833500434100118,0.028276509971668327,0.17513552210996658,-0.12638961480370994,0.14073667915992163,0.18043184457856337,0.08261148071137667,0.024762815872054002,-0.08934178827847035,-0.07774993623457954,-0.12276252546494798,0.05692452063554824,0.053493513001885394,0.00823102165055298,-0.043749648346740826,-0.08178177947262945,0.1798558349095039,-0.22223280660358866,-0.33603694915985816,-0.17574038040309575,0.19583752655921177,0.17617772695067443,-0.19627685924164656,0.10804560613378304,-0.06099773772141115,0.08004148254995494,0.1265536978553521,-0.09242093346323292,-0.1054400177226749
O,0.3291937256282373,0.0012706831783356595,-0.06776535207164913,-0.015950084988715908,-0.14132475437241535,0.17097920415522141,-0.10880428075274588,0.08922480854219958,0.2089041929533688,0.15697552983262916,-0.041008457044093144,-0.269604586088012,-0.03958136468720365,-0.016928196856999454,0.0014230786403450252,0.35904560294460847,-0.2818263031060461,0.11436940644959563,0.0009694844865390828,0.14949618834455272,0.013751306415400847,-0.3320154075372162,-0.1978894295866441,0.0625059624580174,0.029118809525433022,-0.06769928958990112,-0.06695741668117394,-0.2106874207793789,0.09260829027701624,0.0897401562694686,0.09031907158286952,-0.04251623824064318
F,0.24944731204485351,0.03519975202762327,0.15253115632886016,0.020014256798117924,0.043077467452968504,-0.021790106313113327,0.008690395729932047,0.18682794891248872,0.20013447074669916,0.17090160373982732,0.06517742007294505,-0.0630541112245298,-0.2510238150545254,-0.09129237700170464,0.13640770992032628,0.3174033735058596,-0.27192022531465626,0.11813283785045665,-0.09939553514512105,0.23004912893686016,0.20417609581105112,-0.09357959266948564,0.009985760982916144,0.19467263869995124,0.18854458743557773,-0.3061405486491809,0.024454743696412325,-0.034409058530357084,0.149817394571368,0.02903481621763728,0.13393624532870294,-0.21143575363972306
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
