element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.033825634231565316,0.10309741741160709,0.15866443309502629,-0.15284792443563353,-0.030088430438813905,-0.006542600151465232,0.05795553575912695,0.17305213317074702,-0.28612783237017264,-0.09414362683417941,-0.18178691081114157,0.024898125352593326,0.16324071650588395,0.17244930813509823,0.23398000443229044,0.01467879025526064,0.11752186966002717,0.00439743603858924,-0.08930810283037169,0.29249135131613063,-0.03337644789355268,0.2596403015451529,-0.03408811779739013,-0.1754523154885749,-0.19593911685692667,-0.16808863843864458,-0.03776955862645736,-0.03620326646307121,-0.009996769972055604,0.028965483689008288,-0.11641359185179061,0.16259369915336214,0.04270059036298915,0.08430292479691189,0.04379836486813413,0.24401834723125984,-0.17323360762776724,0.05355075175108249,-0.18337816365243223,-0.10526644859428871,-0.1386241801516281,0.11089888146034152,0.23460524175137415,-0.19310414210287058,0.009080278159332876,-0.006839459372654196,-0.293402393007725,-0.03494496294843313,0.003835195721323134,-0.16450977412717102,-0.030556312703479166,0.15363679560364535,0.0036058795803557303,-0.2023313750523478,0.06765924622386055,0.22489539872573136,0.09449103463121156,0.025228774667546278,0.24700686487111845,0.2613084316516942,-0.13984936956555113,-0.14297298533050432,-0.25354434257702535,-0.07358023886088957
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.048977169668755684,0.06682364056361208,0.15150986657916826,-0.04630312189299646,0.030495618330674885,-0.06587560467585175,-0.14353516133196023,0.09936646748278048,-0.16026414026994157,-0.08693624662909462,-0.17253832754269688,-0.04764511990537676,0.14989753909202383,-0.005555354690199339,0.1706767111913579,0.09760871400460683,0.03536750779559684,0.12343580232104785,-0.09606145242361751,0.13807616409570792,0.10053953805826558,0.18429363213339855,-0.06533484568231047,-0.08402719821224243,-0.1856080550950893,-0.0751815415759799,0.014672145075588935,-0.032836640948597215,0.04984209017519333,-0.0051769795333408055,-0.06069790599979975,0.14141518421090607,0.08856130666148508,-0.04304601640256011,0.03468878298302651,0.021504048924106293,-0.023045820474840516,0.1644565059881738,0.03931803938856396,-0.07678609655769876,-0.23500307946352858,-0.06573640750384802,0.21389667965053516,-0.24249584288937467,-0.032487879338461575,-0.11095934149889236,-0.1714836436565917,-0.032226683001695865,0.1395973030743261,0.09404156365286223,-0.04824764925386876,-0.005915759616908652,0.06797463098474035,-0.17099768893998074,0.025853954932575134,0.23227261352367412,0.07270652864438042,-0.011440476545706289,0.06072659610857175,0.17439166565857792,0.05944232216327276,-0.09033668948924248,-0.10887759383675148,-0.07174764624479334
Be,0.09121184362300418,-0.12925194747250238,0.19847094252181768,-0.15489876736625538,0.09848423973569759,0.02955521487496793,-0.057343140770080465,-0.01695511569092304,-0.08350257119779014,-0.029598086099415683,-0.011342781061540595,-0.004875150150150736,0.10797217158443466,-0.20952600512554753,0.09397102922322882,0.18473487005351905,0.03271667122317163,0.14172588278548903,0.09307417417864054,-0.029436466555582186,-0.025597607447318375,0.0817330576656879,0.05315129194271133,-0.21151279004761506,-0.12032796177149409,-0.018228764898184077,0.01157314352029284,-0.011083683484259957,-0.1089157397020593,0.07835447828893237,0.047762459868482536,0.13176718497559853,-0.010716869367094897,0.04145081560755956,0.036501257842820545,0.059036746980237684,-0.07221423699982354,0.19794514423800097,-0.032706576875812805,0.0762895296098266,-0.14553671225231352,0.13749680520284133,0.19186972494154225,-0.1890170494216118,0.09435094057198937,-0.14279003720685596,-0.015200980383340505,-0.027666035444019903,-0.009835431923590543,-0.004326693189016815,-0.13179975397938146,-0.06368323819659295,-0.00147663246986294,-0.0003785639250573331,0.04397460343932676,0.11482775836453975,-0.03299958827156785,-0.010724193162692918,-0.0034861277652255647,0.10052524904902546,0.0515506970800177,0.0004341346749364823,-0.2241630293121946,-0.10943374933007269
B,0.01391216971155896,-0.11083304667399557,0.13402987297233773,-0.08058632826175836,0.14496588569667004,0.15705394453089802,0.1267858170707394,-0.09128011859682696,-0.2387817906920944,0.045470302634723764,-0.08035495242921885,0.027406157881976735,0.07975132003873356,-0.18931825635037894,0.1529883681728128,0.07150138360606938,0.13629161269595552,0.11902735075256542,-0.029371373283996874,0.10749052658416512,-0.2004649584137282,-0.016193798247938318,0.12945485418875938,-0.032345280855162695,0.004093227302505945,-0.07331875906188047,-0.05388070549414798,0.18221301388435207,-0.18999817055160062,0.0067428763313611,0.03093728396484125,0.1262370834160006,-0.09823924791305619,0.05888078262580173,-0.06574227466137869,0.11774983282366487,-0.10276164057280666,0.23664501368123178,-0.1705277554995414,-0.053423210516625935,-0.09491239632383154,0.12401785658164115,0.03104344491770788,-0.030850465060158958,0.05717288675697682,-0.036883099275558925,-0.08497138940626416,-0.028698886529792546,-0.2183365122297286,-0.0862052736045142,-0.1048711226468873,0.07167498710695058,0.07688704962317366,0.025220532973217157,0.05259150739924072,0.09700319180348432,-0.13677642026577183,0.03933079271995722,0.27578091768165824,0.017785521730354883,-0.09079491455550909,-0.03656011163115049,-0.17758046145474804,0.015632243443824464
C,0.12945140182548365,-0.1956389199376345,4.16231020656162e-05,-0.1763166881125182,0.06877067231281216,0.140428313266327,0.013268596309711125,-0.007197244677497889,-0.1510820648908383,0.06778566656186873,0.11417433429283885,-0.0708497862015913,0.06975833768272338,-0.10148063834670226,0.041137198314248925,0.11804324731744296,0.2990913629594881,0.039660212092204765,-0.012452722026855526,0.16439227000970244,-0.11743715156676086,-0.029579158521978226,0.10064682129025693,-0.09908750505243476,0.07340874037710499,-0.05060692574745914,-0.0469881875840914,0.20443440355259174,-0.10473242587653919,0.07001545421376489,-0.03640650745550207,0.0917731524258381,-0.0015704773276022069,0.0828286889614715,-0.01709086308165397,0.09354255345931939,-0.06969952212037739,0.18997627651235832,-0.2165107186436105,0.02769196143260709,-0.019226770148895896,0.01923010347804604,0.1337824325105928,0.04468998805386007,0.16312110148726827,-0.10665783553861166,-0.17062501323197177,0.02458561159802911,-0.24830737788568125,-0.12976733838671423,-0.1634195311310602,0.027202478938197255,-0.11205459061063988,-0.0730652574721678,0.14835131686642875,-0.049688713057554464,-0.018071896550479714,0.14822538400367993,0.23453639266359536,0.11644074721535017,-0.09643436281306082,-0.08839141929121722,-0.11804798761620564,0.10044004618718264
N,0.09121547861926664,-0.057350146111250375,0.06027380197810496,-0.13263688190490389,0.126940512092103,0.09738549675435298,0.031586584459579535,0.13395181857756375,-0.21365696349703117,0.022447569607028546,0.16865887256693507,-0.0076261138007648315,-0.08018163313626081,0.048403887819832785,-0.0018125594262479322,0.1232583290367693,0.24971161889523807,-0.11260879256393407,0.08780821446629754,0.07924216243384494,-0.24672882532997195,0.00021131289508526417,-0.11243419286336818,-0.07320710121791794,0.10084953214211823,-0.01530901536511356,-0.10351607710497783,0.13544594178506414,-0.12291344116705258,-0.030494519476102072,-0.1742822243877674,0.029227664530293896,-0.049085219453139636,-0.05477442982333857,-0.024527918640178826,0.09558379990173306,-0.309130289421566,-0.023841797493107334,-0.1887449024696585,-0.03760905260381339,-0.10015872172035319,0.010334967466560915,0.20289033873416382,0.10087113870834234,0.0974265218231324,-0.046625795156949534,-0.18936289686050262,0.06724613594232205,-0.275215100283037,-0.20157629269815247,-0.1495073199440007,-0.03774813767353746,-0.04969326100899404,-0.17957478981884076,0.14278367145258544,0.05242667566470268,0.08202680754725293,0.10197966998616168,0.24770619740249727,0.030181927961664707,-0.034406202462267346,0.04709434168022952,-0.29127190261240754,0.052437553358367216
O,0.09403809205452339,-0.032259562415278976,0.17993524240073633,0.024089941267378744,-0.0511388530657062,0.012623112478292665,0.07211141272052485,0.12199075003760995,-0.2156035280162633,0.025458415979947944,0.14528675936441127,-0.1466112243547277,-0.006330870468007379,0.1779942594073,0.12933427150191892,0.0723671835350927,0.32355806046236496,-0.05181998803372775,-0.0886707021909591,0.17687130149748823,-0.12311425869053741,0.20753367072976078,-0.010185253700948308,-0.11905150458939873,0.000863962973376365,-0.10606076052795409,-0.17661714984062366,-0.006080796752056546,-0.1737163669959578,0.06994719235089888,-0.15982183190328733,-0.05887464887572362,0.12222261519367207,-0.01758216048441703,-0.10293751136288921,0.048794197081133805,-0.33952446640903716,-0.07739127978290805,-0.21496765719640828,-0.08703166863875714,-0.02597593745533424,-0.059100827491515524,0.24599963704734298,0.0655091331461184,0.1288635957316873,0.06642444381533537,-0.22804474003992978,0.014161400384138352,-0.2611424598582929,-0.2870880706164792,-0.04841757695447112,0.07495308404725991,0.02134296739913437,-0.091646223824768,0.006254741160789827,0.11027869133951546,0.10208133511493687,0.24034726545056495,0.24634482784388567,0.23449642346888222,-0.169792650640105,-0.06956990737590056,-0.21162629300924268,0.033982599982017525
F,-0.11680268544444086,-0.11292246847565196,0.15534288533879606,-0.009451457339867707,0.08476254036500508,-0.01674507934847902,-0.02456244979094299,0.28054665544197066,-0.1720113525834825,-0.021863224116252522,-0.03324613019317056,-0.07005150572517191,0.0590404062026666,0.19053797931396202,0.0436322484495021,-0.031126247318575655,0.3696680949890858,-0.08841600173386813,-0.054431491255771354,0.27307453378751695,-0.21886229710284438,0.21747593022046893,-0.0803357950608624,-0.041653281563025106,-0.07777862133264546,-0.13356589168963806,-0.05649432243212013,-0.014359201820005598,-0.0844262545587347,-0.060780341770769006,-0.20618933367352812,0.06365843504714522,0.044379376245715814,0.09990954186113717,-0.015042022380347643,0.11221982759807711,-0.32731161087302163,0.03024608641798683,-0.08479706747430106,-0.1631942069287842,0.05941980305631625,-0.11975258857508081,0.2705727534718365,0.13746133153097032,0.1281173198689552,0.20400262088456583,-0.26316220826745784,-0.0730313153134372,-0.1685307160866374,-0.17292093989663943,-0.01419932694879011,0.02050413654265364,-0.020339801078637254,-0.25326442317395237,-0.05857402050691674,0.19878915149711643,0.16304039038302934,0.18958129311574623,0.10605210430927799,0.2730089632693607,-0.22590905265892913,-0.21030957106426693,-0.12179517685005428,0.12263204458808692
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
