element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,-0.10248233088702045,-0.14648157244814664,-0.0323530934930075,0.1172007935448153,0.10551440894392047,0.10511242810008964,-0.24519436256493776,-0.10062215478529149,0.06891055065762179,0.10518324535438148,-0.05496929289046058,-0.09214958440654657,-0.08790962586146842,-0.1300586879193745,0.05361940617071224,0.06341505429630226,-0.12414894647469711,0.08122443673250679,0.06558136482945491,-0.10446446340590633,-0.07844049924609706,0.07198989904766435,-0.03754106696994212,-0.02516559318556709,-0.02816015794164607,-0.032007561312988396,-0.014311688626868158,-0.012298628216074517,-0.012434709723353008,0.056565459074094444,0.13237133082250702,0.263047610835264,0.06276803437597846,-0.032498236710689236,-0.023286270552607038,-0.19699288795516995,0.13977586820810622,-0.08202168308056373,-0.10577133930938222,-0.0969088519581891,-0.10823145366583338,0.1428195145994092,-0.011896227856885065,0.038040950996502294,-0.08028301029197321,0.05349414847965191,-0.23668540688702308,0.0750351427537227,0.021561416377460403,0.03179367461690294,0.09934242674982317,0.10925059012220889,0.2111404676482697,-0.16156341646810007,-0.1671803121001283,0.01854326983686073,0.12343662257273103,0.21493648386097047,0.19797346471334323,-0.10763751397113369,0.1923168550432104,0.026197957507495862,-0.08257221839548068,-0.13226797682126093
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.121895447436058,-0.1798017955277934,-0.07526446996853965,-0.06794072211232129,-0.03551598476866569,-0.05220928602526268,-0.16862780266654767,-0.021685209772478953,-0.07165076803990388,0.16152556527119244,0.11835207742745152,-0.07344299512543596,0.026864003250203994,-0.08441034069629377,-0.014864213332721962,0.021433256717319788,-0.169872343865746,0.061749888178770695,0.11353597872714785,-0.13289056472602337,-0.07829321180814425,-0.09835780864627085,-0.15896471212399294,-0.05810145735971449,-0.049124262544275654,0.04716470422469719,-0.20862046638559256,0.0049425445271186015,0.10795876996988055,0.04452171170962503,-0.05903848238168695,0.19157751982848417,0.04084736906161594,0.009845806273665958,-0.14573297336067212,-0.16761916372942864,0.05959778569982772,0.06802942011550854,0.042872943080762296,0.006804936270496436,-0.06686868901073675,-0.014171712257464424,-0.04042205338363235,0.07175362551523293,0.04983621475366235,0.0642472147062155,-0.14444942437728805,-0.030719258911668632,0.06153513039874379,-0.0751241038957676,-0.10495260204466748,-0.11023095846978684,0.01403613935911892,-0.06046151998322646,-0.16853427121474124,0.07551338168041134,0.0021307310336752612,0.20342672917723356,-0.020220079069798565,-0.050249913756422925,-0.08644735376452166,-0.03807967943303233,0.061432314163640755,-0.18421920221350402
Be,0.1771831498350235,0.006619268834496679,0.06987761433955665,0.025995969926228712,-0.026707024643953754,-0.021758329050075326,-0.051863479049534485,-0.13452884211527327,0.06603521816272262,-0.0022730634109613245,0.04922890195699593,0.0032840838768680098,0.042031744582989146,-0.09898527001626248,-0.019418806119998192,0.005390479094682296,-0.13419397322877644,0.06666710002985518,0.0704041429511443,-0.002043516066716579,-0.05974896719968929,-0.12590265195405181,-0.11609222383431196,0.08002566525991305,-0.0541389345037577,-0.028920298158534617,-0.03267025434930146,-0.0878554734430807,0.20850950996798345,0.07213609359344487,-0.06717464831064787,0.06638314916169953,0.03216155596278652,0.1822633223287954,-0.12599884999614092,0.060382650301748865,-0.06906720107249714,0.0379598254887949,0.06537658300572238,0.05756605966508996,-0.05480890984579874,0.16964339601029851,-0.17184595061545713,0.03915625918408224,-0.11251489965468595,0.09078150233438695,-0.12379042180461365,0.126721335075434,0.039145172303773325,-0.08892583478932521,-0.015335614440255085,-0.023635933620542334,0.011500741228045105,-0.0874847295021813,-0.20343121130457933,0.15004321186224398,0.11305312200206716,-0.05993568716211777,-0.03600602902314029,-0.1926708976923174,0.08147681329243185,0.1251549855237718,0.033501079485037784,-0.07346022938706138
B,0.12472176531155195,0.14662318039167307,0.13020960796647246,-0.08136090591608096,0.14395612323902712,0.09694246644779844,-0.11195317594092355,-0.16893222061157379,0.00991679390537403,0.08664053888413277,-0.002272512557247779,0.019520810970944522,-0.07413027833932417,-0.03870446604512803,-0.158890324356288,0.02592708768172944,-0.006434230534797057,-0.03140301465021384,0.08087037741783994,-0.05388697031848431,-0.0005652502849183283,-0.044653903037919836,0.017084377769263644,-0.03759372345773816,-0.12189996183704957,0.15540229480869971,-0.05490309075872932,0.027803153784949595,0.19629830111082644,-0.03863929058918937,0.0024200747597069956,0.09227821543070891,0.2483662823305636,0.13119908108470923,0.007957789087558578,0.06708284142056554,-0.10196789410944454,0.07385209287391895,0.06012968129701953,-0.06587000770171925,-0.13260856889705333,-0.10555713415594727,-0.11090318496342261,0.12708482476210953,-0.08955041312984155,-0.0714368854803696,-0.08564533301418213,0.15814221641098766,-0.015648223127471026,-0.08216378340719631,-0.08825165901806212,0.14106262079366486,0.0830908663539068,-0.13117220598501542,-0.16990717295850508,-0.08645846808286024,-0.06943158034264922,0.05313926533297708,0.12236017207043838,0.022314435034192996,0.16232503545378413,0.03253649993657038,0.06282457408113538,0.026837490101777158
C,0.031643412754377764,0.13836863082264694,-0.025809450937409797,-0.083874324066655,0.11159809009528159,0.05494263060152863,-0.0482314253356705,-0.1577688444585836,0.03489084549993208,-0.10020116827410883,-0.06770300761757755,0.08114233759944255,-0.05218028437534611,-0.04222212222328807,-0.06671970885608035,0.10571030946622936,-0.054657001401875245,0.10943222160062037,-0.04295546071699474,0.044112756080633905,-0.11521538571028457,0.05870663122124016,-0.0906927568978939,0.0942748723088374,-0.15120254810048933,0.010485751728007774,-0.01568078409392647,-0.1711895978806282,0.01030924743451708,0.12591826747315502,0.138745554621986,0.05685621450808822,0.26013453839386547,0.12534844453958677,-0.05696385036997109,0.0588040700245104,0.03822271073346063,0.08570400367273294,-0.03729322938884686,0.007725860018404043,-0.2318439947328361,-0.0711366878395969,-0.1492244642595011,0.2278143754807514,-0.008456997526809189,0.1183860474537837,-0.034672537737515066,0.0030247905001226727,-0.16669351499443905,-0.07997749101908458,-0.0211998587671329,0.09985620901841416,0.022823378813333378,-0.18418398364597363,-0.18110417484073704,-0.05012672377728445,-0.05045403145760026,0.11056762990913055,0.05087425208061247,0.11244852358802863,0.09486029993021221,-0.036138004441083116,-0.025095829332941147,0.02591567450637715
N,0.08253211106598213,-0.07104479340694399,0.047350569940229514,0.0250285215837616,0.25924239133910276,0.025795781274592557,-0.09477740121550973,-0.18700044082511572,-0.09138055821788418,0.1288131734605895,-0.06589046432552347,-0.09847592803821804,-0.12370388944965592,0.0419273642494611,0.052510640183646574,0.0109929448683514,0.14403799921432298,-0.024414891481764598,0.029830234607130923,0.02390452573247746,-0.13700901481170202,-0.041532925790272006,-0.03911874643351343,0.05829860907335586,-0.19864635974030076,0.10939922755226793,0.09030466885163499,-0.18084560907598202,0.06897773468652763,0.009852636496639876,-0.0013192575213410087,0.15518727731222612,0.23278132749112215,0.023100755136075315,-0.013875826940582533,-0.01915032295689124,0.0121655180867291,-0.06234856114781081,-0.12219280188432088,-0.04358007372092351,-0.1402943244652692,0.0018977496478668446,0.12400042690240959,0.21272759862982238,-0.08317770977579506,-0.002156974509240682,-0.005730429081540228,-0.02894617143473196,-0.1892638073014391,0.041554965813773354,-0.0735541473624373,-0.02561971170565552,-0.09990898235204597,-0.20168416965168093,-0.12872454606167552,0.1669762449201722,-0.06179355993985499,-0.0596716597313422,0.005766505596711136,0.10171359551432099,0.15238832359746635,-0.018409567744952844,0.12643959896305834,-0.056901386780766235
O,0.042775764246597486,-0.018781724159871935,-0.11245995587143703,0.020607382979171026,0.32734363184244036,0.1544267237864462,-0.16933064902587172,0.034291704238361406,-0.07758152072813725,-0.03239381152960161,-0.12441989163706958,-0.08060560701916519,-0.05954672804496331,-0.10389593755795552,-0.014797433784685557,0.09078199813619398,0.06541447121643947,0.08021114072892176,0.1307080294530109,-0.20087747115949295,-0.03512554986383901,0.17795151030367523,0.01689967252771744,-0.05524005070240357,-0.13483914704416344,0.10161705545779569,-0.053182851548698756,0.050425723310427994,0.0631261356539977,0.04339649834013687,0.10082978099297973,0.1618742407939752,0.05056625164407098,0.04287019371089791,0.06149000850892182,-0.08849070452112931,0.05462354606222881,-0.09877625758507154,0.07612215093945593,-0.25071356662924105,-0.07347149696903128,0.06365760335307699,0.017145678455386615,0.2737814726340899,-0.14083135687437223,0.06990563675594288,-0.00761856232869817,0.1276694497434023,-0.21197602609622374,0.0725705274106116,0.018552353497680082,0.15887803884767374,0.009698210888066213,-0.0922483916050186,0.05087424893382295,0.2081108613610417,-0.02156112370244421,-0.06687364518110193,0.055973835054881904,-0.015494371829594211,0.07246213998184978,-0.07301446091028597,0.08602586021586671,-0.13109509296332736
F,-0.039754011743383985,-0.14553329345287142,-0.12429960762395965,0.11244733703423751,0.2623143407058597,0.14628851971476367,-0.2793854796602916,-0.09843678948404823,-0.08466062685168413,-0.10706266375546945,0.06674524062197561,-0.04669028522877467,-0.09418456358769611,0.017774740370620504,0.10504955833442513,-0.09379478475919098,0.01833499420437014,0.008240924986958073,0.0797840677857507,-0.18709649293050756,-0.058609294403677126,0.19799490542379158,-0.024048224148421886,-0.16061482060795237,-0.009480730207060247,-0.07474286142890064,0.058151128640593464,-0.04481053810213432,-0.04831989930423794,-0.06938706791280246,0.06745003344467926,0.07000574791354937,0.17049400852826085,0.016117151909424202,-0.04690142099817132,-0.09318459008113282,0.21110228921401653,0.05245741975198636,-0.06571753735793376,-0.20460136813422317,-0.17612608848935926,0.05370763688832918,0.08008156335709789,0.2720694223386465,0.085293955797257,0.0008936655430375721,-0.09587407129030441,0.1485535806916142,0.030783437084920727,-0.13504343996854612,-0.027765531416050912,0.025924158660555086,-0.019137823739673997,-0.19750179877020888,-0.09310447434242893,0.13649069054958096,-0.05326094137417482,-0.08055362703795763,0.040016181268359007,0.03943755965064051,0.18057346494840193,0.017845649742472946,0.028411172938783768,0.08598747176474315
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
