element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.08881183329566217,0.006901949445413593,-0.17247757448207396,-0.13323718928446598,0.12889600794773176,0.14567805272357684,-0.06947615118763265,-0.13939156976850947,-0.012268600210590503,0.005680194370934309,-0.24484332456707147,-0.11043140708689907,0.09764069071603523,0.07659804792325879,-0.1752361312177802,-0.15340643311313698,-0.060292910573335926,0.08804196089577486,-0.2409458004434049,-0.19362985784317077,0.138556783420048,-0.09223203587321341,0.08274838656143092,-0.041102723380672945,-0.16141013839015006,-0.12414996295772154,0.12029333913470644,0.16085546621166372,0.10190434244512139,-0.04386283747715421,0.0793422306434549,-0.135523460386422
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.12335444398306844,0.12453616299977938,0.08164953685105916,-0.18063048469520282,-0.027724568923185585,0.17969328972818102,-0.1345330075867411,-0.08685833811399017,-0.04193163264014582,0.08617164772963455,-0.22028079577165832,0.09038410816922668,0.17250267257601842,0.17060934086408605,0.12998003920839427,-0.1297512769301547,0.05009697938193463,-0.19788543005641782,-0.13172877778935393,-0.09677312455648417,0.09083148625156273,0.04470016132055857,0.06362915798361228,-0.0033211533351365304,-0.09012794022155123,0.18095705609364723,-0.011941036635136017,-0.08513029772984473,-0.12699794707019615,0.1375454451387584,0.08566505128992045,-0.20570823516387393
Be,-0.06816715869588287,-0.055770175436326494,0.2785281056040612,0.036423029480602644,0.026348059519026842,0.01816928224863036,0.14754156270338653,0.02690865037083982,0.020513799386082807,-0.005875630175359228,-0.16553032723583777,0.056531133662059876,-0.0554900146843319,-0.1958775942306996,0.18122987553397849,-0.1688933486083618,0.19860964619891996,0.1568847473525657,0.037726320588368494,-0.09629399060878933,-0.051553283438789524,0.08800835974813019,0.021301381048066115,0.1563634425003253,0.1024146331296832,0.19603026755833602,0.01660123195456689,0.06367607646359383,0.21415519051260457,-0.020634353936117313,-0.08555027726237058,0.12943973480867502
B,-0.11683594298380286,0.04616807851077683,0.0841077240618558,-0.002029545743400825,-0.1855024111694976,0.10627837112055323,-0.046753623340408605,-0.10452892555090729,-0.2381568152238535,0.09212773278925021,0.02567275860478121,-0.25378699556163814,0.024295484116456562,-0.07312743901227574,0.01447647869755777,-0.08730079004038661,0.10470570953705668,0.05602732148902311,0.22798993548464347,-0.21038394157463236,-0.07700737057478854,-0.158924522475355,0.18480817325382684,0.17230521671262727,-0.03994558462583234,0.07903613805059555,0.13666115653595476,0.0256269323676157,0.0003108208934804362,-0.014929364044075924,-0.129586498979736,0.15452979989705662
C,-0.024585529586647534,0.09568812032666078,0.0754782998895885,-0.10641303991076385,0.2734621112935301,0.11614671302807898,0.03414754568787381,0.027266959506203024,-0.0584006986140318,-0.02399541191360137,-0.020108468335965277,0.06105538982919961,-0.11435704490962607,-0.1748772747064212,-0.23626904533774962,-0.21733573523248215,0.11409320532020953,0.128396775981053,0.03064177977533732,-0.2743604416177938,-0.0020435372634187766,-0.01933785567944354,-0.0990574395500965,0.04298271948692891,-0.047987145591557166,0.04041753900476351,0.05283382060068216,-0.20355818525318578,-0.2230725385864307,0.07722985869894192,0.026038979236714423,0.1368288634290843
N,0.09756724970042953,-0.10182005831153697,-0.08032977087544735,-0.040447778408493,0.20363197623071622,-0.14615892093793947,0.18824053462509435,-0.010659254985399581,-0.00306781927811862,0.1477453357556062,-0.0730669801268572,0.053041287139060596,0.1688390002310457,-0.0040310384279551,-0.13105772209969357,0.01922183023568235,0.25664377379132514,-0.08903578090144931,0.15552975860160478,-0.03211887388568692,0.12276725867075076,-0.14890789127248116,0.10225080173326853,0.20170184644725453,-0.17070404324421817,-0.030147598404249,0.21386277885485172,-0.11670509367659196,0.09366347602730202,0.038801065801994446,-0.10511877458631211,0.0932932057935269
O,-0.22098717760389636,0.04833547790243217,-0.1488907103993398,0.0317275029776155,0.06709053993305467,-0.11256840893286353,0.021907350435215425,-0.21592774241390905,0.17876332366056885,-0.050222737280073,0.0363097081827825,-0.04133979653403236,-0.14523613333370655,0.032028677427478905,0.18284361879472877,0.06748787211048977,0.0935482124658998,0.12166902878575922,-0.1230909492330002,-0.10632222744544437,0.024700876639112898,0.051502908130702726,0.17235692949099396,0.25333242056517785,-0.10879729895363809,-0.11793764847791031,0.1564668358237521,-0.0678058993714472,0.09593184485700816,0.03081099275599871,0.09333141995870382,-0.2402062890172298
F,-0.28433998701680174,0.09306012478891773,-0.11347584549799099,0.06160003288294573,-0.07991732334450044,0.13385374638795713,0.060538596597137374,-0.07359561772166388,0.04571510871785383,-0.05917678023277746,-0.0725292322164163,0.1253131314577226,0.050375581202351104,0.20674024078690273,-0.0989575726136808,0.1532471994641355,0.21132849369357168,-0.10226602963249874,-0.17026147264002764,0.04551095104775279,0.11848030165849875,0.12539217706469602,-0.1568143617988743,0.11047876140621479,-0.19670166349848606,-0.1402130103769241,-0.055320693942300124,0.18515182153979837,0.09859857488096968,0.009336312207101117,-0.10212861764097257,0.06818213331483232
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.025845844318712577,-0.09765062849943973,0.00047287686998353514,0.04030035342840957,-0.16303460824751492,-0.052190035666498234,0.14849467066634642,-0.11428413428790055,0.0966189060992756,-0.040478685318428284,0.02310358022181004,-0.2453419739452698,0.20234352084590618,-0.07610426914689437,0.010634825793174495,-0.23106763437048428,-0.13609590351296655,0.054219911375865446,-0.06320327672238363,0.20320512870298807,0.06441166373840629,-0.14615967990106016,-0.011217753965639031,0.030814025410411398,-0.22594217653013987,-0.1600263606320715,-0.13478982824375146,0.16097214280893335,0.0006858162286125859,0.032556434229425994,0.16916811384441996,0.1109215882750567
Mg,0.10570809903854618,-0.0009926879865320975,0.0705628048289972,-0.04753191637084039,-0.2502747413242796,-0.11338014699493264,0.022350125291925205,-0.0484117155041452,-0.13385313381043887,0.06275553485691449,-0.2711898520041009,-0.004318179395970045,-0.09833861825723587,0.1247694033683564,-0.03512182467798617,-0.0026076340682699736,-0.22670903963492786,-0.13511474662455966,-0.06516908718173821,-0.13091101522231505,0.11855888943813439,-0.09971606505890865,0.11553147657134866,0.16737181627077746,0.12760528796390144,-0.13385538776165343,-0.006471157720332535,-0.13463914256813717,-0.13409452952643153,0.20468333143627057,-0.11757434433577535,-0.0473085929953856
Al,-0.11958736222735614,-0.07961797272094015,-0.10815577236565509,0.06884924824119464,-0.12855952656784322,0.2042116864618151,0.08194160877736605,-0.17069160551702606,-0.28439897622806126,0.18289117799464485,0.002116950933111934,0.058412401214626083,0.1304568720970416,-0.11467169007944758,-0.05944830256451182,-0.14697209991609841,0.1679680211213272,0.07929898072665308,-0.08225593270614326,-0.20593139065782298,-0.0494093309094327,-0.07470009888610357,0.11331390839594033,0.04001333172381855,0.23972540426435027,-0.028067626496402855,-0.11847068756341586,0.08464806779334712,0.0282256276318628,0.022012693579372692,0.049318917237636026,-0.04354796480713497
Si,-0.11129529286458023,0.11126657370946727,0.029149166593160997,-0.23207345911641442,0.02261277839381673,0.07637810576566567,-0.1545149695878768,0.17272420414386144,0.10477170245264333,0.06560894397433488,0.25253393722241396,-0.020647668432021576,0.1900710405889141,0.08060361700985265,0.028113100053232254,-0.1168156486689447,0.0956848229871627,0.015862679803938365,-0.074581040175852,-0.24530817856625783,0.024183115220734526,0.09046182415303515,0.08507920451926944,0.1731098487256044,-0.16948396306765487,0.03683655055842769,-0.12030277117530384,0.1113513033516084,0.12335699128481334,0.0713768578513869,0.04008321666221728,-0.10487364515809616
P,-0.16537227083795947,-0.1431450481624837,-0.09367420235187356,-0.08985441590248912,-0.24067031201486086,0.0053503377994228735,-0.22383222425981578,0.17254351867716736,-0.1631058434660602,0.05722392731139676,0.174774886818635,0.050038908488326504,0.03490942025505239,-0.043065041911770574,-0.04584573283442722,0.06285908451933256,0.16971053459424099,0.15182991856440198,0.08988707076553842,0.11046471248576756,-0.0306375393521782,-0.2529367944709495,-0.07232432131777236,0.14102392149290927,-0.0575346479068144,0.01375414394684285,-0.05436618290664647,-0.007157797818704671,-0.16392186240609538,0.035600217943174396,0.08539465569413858,-0.1336120405034853
S,-0.15641984494436642,-0.27325125124503097,0.09793609873824109,-0.0008561791384647433,-0.036271249462953604,0.09198560468001041,0.03612995934972714,-0.17070386732543533,0.08809775879237819,-0.16415040862061883,0.1480762922807812,0.08754663604592729,0.1438400006814368,-0.17087025100217484,-0.12707773690838986,-0.02174820604627959,-0.05249248081936203,-0.06691970596742088,0.11148372918228791,-0.11637018410650313,0.04812643372392046,0.18100783346976052,-0.11470552029913994,0.14178782858035427,-0.18878411405731735,0.07737001188928035,-0.09983267638107897,-0.1504415821623671,0.1243026361268121,-0.15516903909609542,0.03552700247784945,-0.1030031929696002
Cl,-0.1426046546170616,-0.24367684011756982,0.04701877071144648,-0.01266561490908775,-0.068708863768768,0.10176637122443087,-0.0807432037079986,-0.06236666178301467,-0.13989212783033578,-0.07051394494239323,-0.18242648364247624,-0.19781852178497228,-0.08097314111392609,0.0547714230930986,0.09680856163020925,0.07722109505744326,0.1738783097701686,0.05412130859460444,-0.04160167992813209,0.17236916708457836,-0.012341356557205703,0.13800411188314424,-0.21440080712635695,0.17597053564224494,-0.1883100650113215,0.1251101017795131,0.048511034464368996,0.16179634431282366,-0.09061517132218457,0.004610904154003027,0.2002201128589802,-0.05677018389031195
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.17235688251004944,-0.1159151740968962,0.16032335172909845,0.030685140682561108,-0.041179390895549034,0.0406135544472346,-0.04285974158931234,-0.17803836439843176,-0.08919468805011196,-0.07504734108028512,0.07149115063637186,-0.05949018892485083,-0.09171602359746218,0.18226447467749785,0.15357262350257195,0.1715878943229033,0.20845083943047749,-0.14506883518392402,0.03212582756773598,0.08099209597250209,0.13628919140182663,-0.17241611468527854,0.09501267898006643,-0.17587368156502597,-0.16029686900411236,0.02829052487632622,0.06285061683260483,0.0804006524591709,-0.1450128464539251,0.15320974730225487,-0.03320826126866494,-0.19456424018266413
Ca,0.08078645163254915,-0.1386562551607349,-0.15646488063184485,0.05340726650770157,-0.22323807018466055,0.07534816628067624,0.09975446692631508,0.027089939224431238,-0.054355944204067586,0.0393359781843972,-0.05548595572201818,-0.019040988346339716,0.2170782357271998,-0.11034924310366766,0.20444272801649185,0.19193555366034504,-0.12514549021488192,-0.12554896665205534,-0.16320833982662863,-0.19390924001111723,-0.06928011010987413,0.00299696293790755,-0.19452279855925567,-0.019498756084356837,0.045512432156539905,-0.14495080567297303,0.15100994209070287,-0.13972009136298436,-0.1487774273351394,0.018296453555193683,0.03530615098111449,0.0544875849650218
Sc,0.01293281927033042,-0.18261724112711958,-0.04292061097883353,-0.08173001849256648,-0.0864568596347051,0.14086332883483732,0.15542176645520947,0.06964599145029689,-0.06156757565972928,0.02030748195518546,0.0828460340686524,0.03587866130778797,-0.17584728391710303,0.05423136145105275,0.08584729031611481,-0.02754220929595149,-0.2592018701648789,0.19037739545830196,-0.022373283707162777,-0.14327250455440993,-0.2001581344635645,0.006174246176541703,0.16785360840673919,-0.016556369849646313,-0.08908923856391238,0.06650860453939259,0.17763403940947933,0.12552288224903757,-0.17025859906150922,0.009952961413609008,0.20716445049551316,0.09634005506740756
Ti,-0.10151075870555316,-0.16106648246220048,0.018393003074318074,-0.12423327228780646,0.048872434354421866,-0.014092381265282193,-0.03367010758929762,-0.024617701919393095,0.21654252326414694,-0.021360263999300168,0.07112112157924552,-0.10190971653841704,-0.009395205692421933,-0.14306202243710117,0.018862973038581782,0.2021796599459191,-0.02191144349844276,-0.20632276392051532,-0.17592714829773595,-0.09118067730941827,-0.1628655806997505,-0.12255576119753435,0.14682429759698024,-0.023225231289412146,0.07305431955392064,0.11121053548288744,-0.21917030242546928,0.15427848125131732,-0.027634913588156847,0.1966803487503478,0.00608706753192324,0.17193608519459386
