element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,-0.08881971711907286,-0.126700038148901,-0.003952608664231679,0.11952058004928541,-0.0007177438820705739,0.08595327505078171,-0.14294745550206683,-0.055816488732254345,0.09474901423929014,0.09294163581396941,-0.07624131896423975,-0.05513972975406083,-0.08141459891285416,-0.08795791594184627,0.06251966398561891,0.05710983866987553,-0.059824781551115244,0.07478156550075266,0.041174984570385584,-0.07166187856597513,-0.0038867133129977484,0.042423387783347956,0.038565186082842526,0.0015060820394342928,0.020292136695106624,-0.02367739617255764,0.04586542131198343,0.01687532020646174,-0.019581936003395067,0.08301338668621834,0.12254987769879072,0.1526592481530398,-0.008170882942925863,-0.050703366795506,0.02985513239618276,-0.13774044414929804,0.12251272306144179,-0.11861000664495211,-0.11746084229248345,-0.023932104017167433,-0.058534954524168945,0.12064351539527016,-0.02953299191083248,-0.05286639598224066,-0.04603668731448632,0.001998517517546061,-0.17485927682903585,0.07894497542094935,0.027429509921188835,0.05898967652403926,0.11204532925299177,0.10677272981793048,0.18123893399650762,-0.10358682303288609,-0.09545652108029401,-0.03979444479871175,0.08191870765456626,0.15432649218476088,0.15124665657418496,-0.11140772702711806,0.21853573605063495,-0.013156016777622343,-0.08234444017708419,-0.08857240389723486
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.09535453474954905,-0.17947843823532747,-0.10003892122768543,-0.08821993338902664,-0.09259378103202684,-0.06046984102119148,-0.12547888670306534,0.03169072892146222,-0.1190223485878085,0.15823207509119833,0.08466611701052731,0.0017426777816312105,0.01271565385108754,-0.040465501690034746,-0.018405071756111335,0.04488919940258719,-0.09009428285886235,0.0805471001279768,0.13513038257168825,-0.1066066162294503,-0.03476939949376147,-0.08178481591124614,-0.1067241371617358,-0.018101201457188732,-0.010673550075362588,0.07198819962567338,-0.15148738529494804,-0.04171488627715417,0.06777016234159833,0.05713641595271109,-0.05173920943265077,0.11026197874720785,0.04758985194827799,-0.007230526722916533,-0.09689286484157081,-0.06272323500773122,0.07041935734084014,0.043950206303438634,0.08645909671741463,0.01907874056834696,-0.14460153579447158,-0.09472505768641819,-0.04996111903156184,0.11048486790098602,0.10695114864689446,0.03194830276123829,-0.0523545474741699,-0.03774804250981349,-0.004835986613574059,-0.06251622046962374,-0.12199141235261707,-0.12562888042028925,-0.08416606857394109,-0.08812261212695274,-0.1050214897086137,0.04007912195931352,-0.046359446064280496,0.16236017934926195,-0.06140480179396485,-0.04308137308041562,-0.03832955812531156,-0.1178731862516705,0.12230322407372606,-0.17689917367369573
Be,0.15659025748733896,-0.04311145282265116,0.01940787289080318,0.08307901532097389,-0.02984348929972817,-0.051999294515071716,-0.005158568694352568,-0.06935303178813694,0.08332056252668059,-0.026392130126776478,0.070251209506062,0.044406388648128535,-0.008426415462523203,-0.04782553287951911,0.010789876162281,0.005927949667664695,-0.1143264823189849,0.04747998368643979,0.026798781792451303,0.050852360346943834,-0.005320758873000056,-0.07366758633532015,-0.052680284028979577,0.10398149174282403,0.0037432535845587484,-0.0735664953285152,-0.058704895203911096,-0.0790196209377452,0.1828814849463293,0.019554261028154846,-0.09027669583933982,0.03322909425204868,-0.05951255964833934,0.17194390025139306,-0.1144198776135568,0.06297650884683846,-0.06278493801450327,0.04841936355964776,0.06605967006107263,0.0758174994318783,0.007872155706077024,0.21630448304913397,-0.12081912653693683,-0.0019728582660109464,-0.09445976358742363,0.12536087472762694,-0.08359769859041298,0.13288713352413295,0.04879433503725605,-0.07330564042875189,-0.03465566110912999,-0.050261369315632604,-0.0024659092993705887,-0.06667780741422304,-0.1990887860666078,0.14053904851032928,0.10853144425218945,-0.08850086416193399,-0.044028973841576384,-0.18073968425968626,0.03648302320541466,0.11588433114305453,0.006313237695862948,-0.045014088153742436
B,0.053843679220196415,0.12786668820520866,0.12744332355890176,-0.045737126995678765,0.09925584389092065,0.11301825182506639,-0.08520546985900322,-0.1161770725272383,-0.015767044180898988,0.09151720909138734,0.01141424296246106,0.025946595379242196,-0.03428746709245611,-0.015050862719315395,-0.13315385296944598,0.014961787313669152,0.03484189216729549,-0.08787143989090689,0.05207699172624197,-0.06105703401207813,0.04182513599707022,-0.0280532415941347,0.05077499783019318,-0.08017222658980351,-0.11322761193992666,0.11055952688926687,-0.08339713242663647,0.07905051606899771,0.19866918158224184,-0.060305820614820524,-0.059150109918085156,0.08079618026617078,0.18811938030858638,0.1207805765099611,0.050172972412488324,0.05911855567418781,-0.10569561317110315,0.1085281206982209,0.07398517729516398,-0.06832782012293344,-0.05376903980291327,-0.09035991454421173,-0.04746488435685828,0.08622662659960659,-0.06603226873120195,-0.07587603519373533,-0.07926989756258204,0.1373581261498326,0.042229907348514756,-0.05167727840338136,-0.07338774750361289,0.149099623944825,0.054810086321851303,-0.06251404777920787,-0.14794525686983015,-0.13748597880726862,-0.0710947236888689,0.02455028577544245,0.12447692514034255,0.018390838099531022,0.1475905432898449,0.016332695730760953,0.03703791169366715,0.05194790737253147
C,0.001026237543146684,0.17151007473645993,-0.032424361072638734,-0.050134138323090376,-0.0038028115242990526,-0.0012915809621037832,0.028251736046331945,-0.11144380888194322,0.03616965754745788,-0.1047498644354902,-0.06374177305757206,0.09004597577623923,-0.014554080217027043,0.010811726562274415,-0.0758112911778668,0.0814674106076773,-0.09682609506060307,0.10920604169740286,-0.08774461755570183,0.06383748672064735,-0.08188435145922836,0.05687404833954195,-0.09886709267763981,0.14588128012585003,-0.10447188844973483,-0.057429584809891625,-0.043546623898336176,-0.1266773655846697,-0.04162985458920869,0.10244069944815667,0.16476055662859523,0.0009232604317442805,0.172514474062596,0.08336567839699775,-0.06868530725492611,0.05164341103249934,0.022807161532192886,0.11292182367066474,-0.05101117249706274,0.026469011526164193,-0.1643068873992467,-0.11171864716378391,-0.12418608956634537,0.16118139202651466,0.036632913651382645,0.13883534977031536,-0.007767560806120736,-0.046766529124388535,-0.12114497768038457,-0.06036569373090534,0.015973333210233056,0.04364009341676295,0.05571733366265487,-0.07833818513293757,-0.1451369872509459,-0.10834249713120542,-0.08295996381656177,0.1323922504497897,0.01238825320476013,0.12953530206550334,-0.005574111051884113,-0.06708095531019378,-0.09832842699839688,0.047797192486246816
N,0.07871451616002248,-0.057179285645563384,0.08214833247952362,0.057141697648265856,0.14659155112802877,-0.032464438687239354,-0.007713888737903921,-0.08470604909555755,-0.060066494354789245,0.15236179928516916,-0.04435085888369711,-0.12096022957044962,-0.11727824128097916,0.04920518221786818,0.06612766543462324,0.015770325430938772,0.13313149141894315,-0.084420125024986,-0.030320707181146326,0.09445688843135272,-0.12070919330145888,-0.09980714276690857,-0.016041403979107374,0.1033610345472108,-0.144781732384482,0.12205659370048226,0.07698282965277248,-0.13306611719191971,0.08471148099270315,-0.03490884053454446,-0.02349346538549842,0.06735431340380846,0.17442745463390583,-0.02657174016038721,0.00315678569697838,-0.030074838646804426,-0.04940579193418832,-0.08925978521197181,-0.17441981862749684,0.03343694771599237,-0.03431122133675517,-0.06534808284634581,0.1323225915970476,0.11473532057964862,-0.06234043271178688,-0.004236947930925184,0.014621663382256142,-0.024545817930598787,-0.12094237695228476,0.09197988022663356,-0.07233561119182451,-0.08376142109809515,-0.0896266234513937,-0.11248563373482087,-0.11371002611775842,0.14592712060886398,-0.08256135864358725,-0.06759939022403358,-0.051266783865560876,0.11224637536443959,0.04778296238826623,-0.011876035809779792,0.13253199300665683,-0.04503488678474242
O,0.08083889175256903,0.02174214496743504,-0.07290977301704783,-0.021834739171436343,0.22496933053369148,0.09047100951174478,-0.07696307624815467,0.10818204174663464,-0.009575461743434547,-0.029188005905232624,-0.13404510365696176,-0.09212916865826372,-0.008502051062843824,-0.1103053077733319,-0.05702117957809213,0.09633424970825305,0.04989529220521037,0.031347765278617316,0.10543312190580159,-0.15316521413485082,0.02052569119334174,0.09625668391184404,0.023809717272680577,-0.02482327778595073,-0.1056018945963434,0.10887751551653353,-0.03181347282789834,0.11558518748930573,0.10909552043946671,0.04371678940684905,0.07464408005519386,0.08925165181804663,-0.03210673302699847,-0.005159553663927168,0.10038341334436778,-0.05682663635497032,-0.014338695882564331,-0.09973399026765341,0.08968696113165296,-0.1829502679502942,0.0002666783828429958,0.00399459720663111,-0.03057344543498202,0.1831940998366223,-0.12792295664408604,0.0643079873084958,0.006048652809683705,0.10613962079610054,-0.1473090259636742,0.08189213081067992,0.028176892643948934,0.14524289242426294,0.011847222195514321,0.059028999564099835,0.10677090406175335,0.17744407436792714,-0.02596298721773939,-0.09039797540766098,0.024763863510889435,-0.012780887904725561,-0.01465748077864823,-0.05077797810987467,0.08506865196585199,-0.1056582755203883
F,-0.005254655467418261,-0.13730053506200876,-0.08146142379059261,0.15412746656358128,0.19606032494417483,0.07425021213195904,-0.21304263023680334,-0.042774060943117365,-0.030858970922538528,-0.12340394760796998,0.07431651111698422,-0.008280974817942134,-0.08606995785586383,0.06399662246919367,0.0697102276299754,-0.08581823472748792,-0.020950565740884088,-0.03527803973756543,0.014002563488658032,-0.12464235151011899,-0.008443630390942956,0.14562008746558242,-0.02446703897636742,-0.15136018166925502,0.07762596929174596,-0.053394015323967293,0.07710080577303086,0.00037124211805126,-0.0260027956111788,-0.10914794197616799,0.06469457615606379,-0.06021266634971287,0.08205918192773451,-0.03752585296936671,-0.04024529877705176,-0.05749257984162794,0.16755513399646335,0.07103797632973047,-0.06684573749749483,-0.09349181076281027,-0.08511002070721764,-0.013409131496402963,0.05194913578813612,0.1382212730749926,0.1543890803744181,-0.011111590101538109,-0.05866114187037477,0.150374390865701,0.07657836881061418,-0.13549911380802934,-0.02880638639958014,-0.0110608540050152,-0.05198770033675943,-0.11078071350279381,-0.12748279533119153,0.08124255020440421,-0.05833218483819609,-0.07614412008271904,-0.015269433960973066,0.0721417159938615,0.12534158705193874,0.0006992571341622697,0.014631571483450302,0.054770690745712135
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
