element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,-0.45430842480762407,0.29241200651054283,-0.11826435314535463,0.23859628492343063,0.3161775735643337,-0.24093726671680868,-0.08218983467047011,0.05778824364914776,-0.088164363414774,-0.10677248605341433,0.024266641063318724,-0.1030684685854622,-0.012423446308508416,0.5246806856657764,0.09073214509875896,0.3175012652002523,0.03084168976371337,-0.15592502615441878,0.27861929459341206,-0.2272976678749178,0.11251391903536866,-0.24647620323929628,-0.09876131599410608,0.15025148829333565,0.5066571172160077,-0.3746562585900765,0.0520585311545147,0.03706547289916083,0.019989859291097836,-0.07471829088542697,-0.2695551027757091,0.18931893853224177
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.2822303233063306,0.229880355405559,-0.1399010826735525,0.13855121575128615,-0.008122501917119915,-0.05097000235814208,-0.03962697729872277,-0.17643618350350052,-0.01759053587443558,-0.09229968549150919,-0.17493017944197045,0.08686130486442271,0.20213312693550273,0.253130379532721,0.14516889444086187,0.37517843616174024,0.24681665774248465,-0.011250015975754703,0.16687751773309376,-0.17893736652309875,-0.021435252715166022,0.04968832222854177,-0.013300147554310226,0.09189594522807262,0.21462065064398994,-0.3291527953366237,0.00458577065074314,-0.0066030741787248505,-0.03762357187618592,0.04674761636142187,-0.26976639817187653,0.15674330144384033
Be,-0.2848260636316621,0.03241039650054393,0.08171830412112094,0.09551331465324754,0.006573724662603936,-0.13699521728902572,-0.09549931354699788,-0.1338270960280822,0.09844895509146998,0.21665060201586364,-0.11151668362924895,0.12014599496405874,-0.04869510403713809,0.170392188237859,0.22885012182407632,0.19558707756733806,0.23118312229582397,0.011317830173349818,0.13924246457326667,-0.056946300560276275,-0.030138034853470184,0.09049036965623093,-0.22348756745426746,0.050824689218173104,0.23286402659212818,0.0063963727234766865,-0.05120797282133992,0.19068258667008062,0.03257215334999704,0.05090046139158848,-0.18846902984336486,-0.18893888146281684
B,-0.39932792966050645,0.1189891365739655,0.053947389198927706,0.25835653374973516,0.0004855133242591579,-0.00736638018095559,-0.30075382982881566,0.19864812990469202,0.08023301948841152,0.1116434635869678,0.06972938566477942,-0.0773530241679089,-0.08618521282787969,0.12016903921917312,0.10671897768242625,-0.001288859555046371,0.15177281974307008,-0.06827563758005768,0.05160715976327536,-0.014864046610193828,0.08262807279149466,-0.019827175948475502,-0.23757639793271762,0.1374563217394242,0.40057874022389406,0.25005740988624203,0.026651113784903757,-0.052528620647941844,0.06372258244590787,0.08208127697153068,-0.0270110542814695,-0.2668032021565694
C,-0.3504313184111035,0.004815205675877432,0.16958594210631142,0.373589495804539,0.11330279089002426,-0.01870700765430319,-0.3152167859758937,0.18166612991455786,-0.022843110900612126,0.0038064657875215707,0.11898209443692884,-0.19683493889957918,-0.1963587155603027,0.13220777958527397,-0.10742168151389986,0.05266315969315812,0.0606812249038244,-0.03805943464406584,-0.05176334873769477,-0.1272118914180694,0.00924562354227141,-0.13920205395076551,-0.183791726963007,0.19755033853444864,0.1568113319835794,0.2589347484110504,-0.1804790671332582,0.06374727188641052,0.12477062649394542,0.037417447509138856,-0.1161480083788179,-0.2698921149125978
N,-0.3587639211375633,0.18605202446575209,0.014711855179610295,0.4075326028050887,0.17303818001878116,-0.2696479300601433,-0.1131931251231116,0.2635472050673699,-0.06147549428266196,-0.12550177865281406,0.19144620614901336,-0.34369586982547917,-0.12633722894137517,0.18344104870299852,-0.1032261335936807,-0.0335929986822111,-0.1448820353872892,-0.08265820992355577,0.12754176858521638,-0.08491598061507269,-0.05429690962736228,-0.19448687237040493,0.03263517641689739,-0.04426934440880399,0.28412711264710516,0.19618079111348813,-0.23050803495569655,0.12201353422290116,0.04231781083859794,0.17691358920583627,-0.16052214442194065,-0.3113285729830092
O,-0.3556913053189139,0.32431567261761507,0.10796416481930116,0.4646814626836034,0.39180136522005654,-0.23364180067007187,0.060839454632872755,0.37052433151837155,-0.0844525961030403,-0.3713639123475146,0.03459649018347867,-0.33371109051932585,-0.12656274649339352,0.20456579718809978,-0.18315616569830323,0.22730708144552703,-0.14300837103369352,-0.1934466861494552,0.009612085158642477,-0.096894913512427,0.05978443538020123,-0.2623866023309729,-0.13123188604986732,0.14486453775498404,0.2688541991705585,-0.11884748517301906,-0.0019301412009290252,0.1257361986950786,0.1298887610159461,0.15892706771319443,-0.1069219975279512,-0.23526618321444426
F,-0.47273192947221093,0.4172864451160224,0.015075199105143856,0.3545826673143681,0.41216420247947183,-0.23711076490681585,0.10887712468506199,0.13465028442696533,0.04356827142083319,-0.386380083678337,0.25117984719198455,-0.4543387325417272,-0.056490987602942154,0.20805264790564257,-0.11416718403050645,0.1469850839553892,-0.038868468495878654,-0.10940726466448156,-0.09526420528647303,-0.076980738372568,0.1678726182659134,-0.17501856719166012,0.006496739117730462,0.15144111589993942,0.1342923734781009,-0.30310148129055514,-0.058033377050114444,0.15207924656937827,0.3268469059587819,0.04030528981973871,-0.30668753765691564,-0.1153583062783884
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
