element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.02950214599353702,0.1245238097080308,0.18814218720819945,-0.15902178616955212,-0.025812502157021074,-0.04311032769166038,0.05530553807358444,0.21288522215371328,-0.31439858585517727,-0.08708524990644494,-0.20248741630203151,0.014370925270781714,0.1770840687221544,0.18644232397834887,0.26122415265983817,0.008461621242411727,0.13411978868239785,0.0053934375504957515,-0.10702464291132446,0.32173197891680455,-0.020434343813729574,0.31463173393602084,-0.045081665525167625,-0.19514624788134854,-0.21618522155256117,-0.17751706702806508,-0.040314249945140615,-0.08365224313234328,-0.005096408641074299,0.01111576905168568,-0.125711585948666,0.18342235982186378,0.054490372747136945,0.07049233343473388,0.03896157351156299,0.245548374577191,-0.1990643585366711,0.057857694572769,-0.16422147571760637,-0.11047525248528098,-0.14788337696603468,0.09271510533762979,0.27921319075032675,-0.2147843688252124,-0.0040570052540817025,-0.017954181945409656,-0.34164657841367346,-0.04604739489319822,0.001135104848035776,-0.17745501173483164,-0.03028830081195995,0.1662038473939174,0.021735124291852436,-0.24606304496016004,0.06333953554123756,0.27416428738407994,0.11304566665113644,0.04252262515194924,0.25302057006606227,0.27089761592297906,-0.15233748441869163,-0.15064144967110435,-0.2618755210719477,-0.10292751243036678
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.030139216517528697,0.08693087250436184,0.15675311101711858,-0.05627431458247972,0.05953342411245455,-0.07677700440243955,-0.14269593720667767,0.13108374845164528,-0.17458427782315106,-0.09836374626637909,-0.1900532526491867,-0.03224644159109765,0.15209200994899177,0.0048502367185213995,0.17866393579976075,0.08362271457321913,0.030155547221854283,0.11838993679977394,-0.09412911719265558,0.14539345400675074,0.09696123746463331,0.21492055133729948,-0.06725244726345493,-0.09487012526583602,-0.18047015769258362,-0.09806996065884341,0.027125989634890497,-0.04673393871972417,0.06656974756451382,-0.030523777026336758,-0.047062171278561334,0.14316334261876573,0.09243544698959807,-0.033848449204423856,0.03820829124632863,0.04259612629080909,-0.03396165436252704,0.1538407216915367,0.03054568380837632,-0.07523349140900193,-0.2656322864036277,-0.050912284833155665,0.24238969028118848,-0.25411503499497,-0.025313904710611818,-0.09907398882755111,-0.17505624071124687,-0.009752379040742372,0.1454922114113528,0.10492025128615826,-0.05162841953580319,0.03805233139987745,0.0732668869290311,-0.18426698843577896,0.023506290160374022,0.25985884992714037,0.07002126855871645,-0.013817222148782714,0.05922482296443658,0.16388762588072955,0.04930274177549841,-0.11002307707084792,-0.11763337891835368,-0.08547374992253194
Be,0.08201778074670221,-0.10052287698264026,0.20523360057562448,-0.15980133762376647,0.10947669676871588,0.02619410650299341,-0.05131168896004083,-0.025468353887008167,-0.09771194017643073,-0.014483330409199295,-0.04141982536106959,0.007614183423345272,0.11079013642270273,-0.20950869551089105,0.0866042837736222,0.18665135837830052,0.0324309030680023,0.1492641168493409,0.0896737435336608,0.0037879500677411356,-0.033839398304552445,0.0933986909745924,0.06906204265317333,-0.20381559913658742,-0.10813782931276669,-0.03699004160984823,7.077002808634704e-05,-0.008627531185233694,-0.12522931764774797,0.057865881911136355,0.033159407357265684,0.13999532331538864,0.004805969705301682,0.03404100145240788,0.04193922055671777,0.06978735018560407,-0.04303826857390368,0.21737264936683437,-0.027716760180473567,0.07648837493913514,-0.16250354111889753,0.1272022190907924,0.17968723164495526,-0.17701609412187944,0.10072623682719095,-0.14664132354482087,-0.03236799536530979,-0.02039433900511366,-0.008062507075085032,-0.005880064715248193,-0.13177011054092166,-0.045874892406672946,0.0215576211802567,-0.024513110209657258,0.04221996745839732,0.1074063821089874,-0.03918482577270414,-4.000920101495403e-05,0.001531252874827251,0.09287418524180785,0.05330428935107098,0.018685087648756864,-0.2069527725301107,-0.11205190315761197
B,0.010837364497637548,-0.1130475505890972,0.14156137635112298,-0.0973996862903081,0.1224369277562635,0.14122769165578078,0.12194672257256284,-0.08949799004452334,-0.23783666521466867,0.04952212294006529,-0.06236266225740256,0.02564967007743561,0.06558460064211202,-0.18766782835112947,0.14615029111331704,0.08715740485986569,0.1672579784700014,0.10442292930513271,-0.011300560492383541,0.12008708678816926,-0.20842446476313034,-0.013375772918049152,0.1312939710342273,-0.05634165558210716,0.006761272385107135,-0.07595491921071058,-0.048022586301118865,0.17593903766091445,-0.2243471466624841,0.011297807462056476,0.0097095873922417,0.12413211402720531,-0.08677009665186595,0.05334951255393388,-0.05125412105015914,0.11909422183593812,-0.116574290708626,0.23662141767452508,-0.1549305885085775,-0.048491934018976744,-0.08050040044369189,0.11169745090961773,0.0203637659793786,-0.012691723514383024,0.07575435716098523,-0.05214321560953449,-0.09792133256523883,-0.03678287080888879,-0.22903813616588725,-0.12636420635360993,-0.12327853759011344,0.060243046639726745,0.07480338654231007,0.011416163719055331,0.05178463557769132,0.0870807078062204,-0.12510182189741084,0.06154417621863717,0.26942181664456627,0.011764533162025036,-0.08767770303986328,-0.02561217757680538,-0.19327385127411817,0.009051442791053672
C,0.1287067969290252,-0.19553755732131275,0.005949166678428325,-0.1750150875536737,0.06970562461077424,0.12228957600130866,0.030221997976398164,-0.03620041213830942,-0.15908115881253446,0.06309121191131506,0.12321872797621561,-0.05514064657199604,0.054397873061192537,-0.09678630113548417,0.023152359457015045,0.11945968779323683,0.3208611828864811,0.02137749727824263,-0.00620870342061962,0.16220888836969022,-0.15493632686511938,-0.029504625974879364,0.09101002260092321,-0.1123988890791173,0.086314282868599,-0.04021980834005182,-0.0473823290385559,0.1970247965360067,-0.13592149020244307,0.0719692462103719,-0.03856842651217421,0.08567669658092228,-0.012032901260603059,0.079135221859299,-0.014084027821892203,0.08670142961956413,-0.09622071707006438,0.19101406519780686,-0.20208307436208242,0.020128928617656857,-0.0017865423785752693,0.022711745577707356,0.11884735142603436,0.06563741133825927,0.1694244893864347,-0.10502379237692971,-0.15655987768909266,0.024614493221316865,-0.2641177366569016,-0.16611856458901222,-0.17117942998200547,0.021689140016502944,-0.09973695509576004,-0.05903612631906625,0.12174657682564895,-0.0370437534786235,-0.026218871126437015,0.16097307187127055,0.22187046276849998,0.10029200052011966,-0.09869861790219696,-0.0738891708925422,-0.13439137880616536,0.07939994080349104
N,0.07879667791752291,-0.07134255941644067,0.08104525601637019,-0.13549015348078905,0.10952702119361424,0.09078086080873399,0.0547410742315603,0.117334399136697,-0.22712743749814437,0.044337713306326236,0.16976961559934714,-0.009345200668420085,-0.07248905299175938,0.06553986030817929,0.0030343173340715065,0.1111466008223249,0.2885276939199096,-0.11009938614044415,0.07444342311766898,0.1068173784511213,-0.26588532608631577,0.010145494897872032,-0.09938118594364315,-0.08864938266579128,0.1012007039513101,-0.029280707132667137,-0.12070901833035158,0.13078962892676946,-0.15609490313379726,-0.030235841048574144,-0.1876690135543383,0.027282270928076734,-0.04144730420965242,-0.036644029347517405,-0.01045056767315473,0.10762875185883668,-0.32489714281455145,-0.018778019981275575,-0.20104074997140473,-0.027016283274309248,-0.059564357240775564,0.0023736585281832374,0.19396213138168397,0.12006186037979565,0.12073572252932331,-0.04144690535980441,-0.1922541064169776,0.061503220439647115,-0.30445320731664116,-0.2596772159272054,-0.13948611960072294,-0.03850557983881691,-0.03997901485940145,-0.18871724416900457,0.13302406763431052,0.0470231273094216,0.09609805866031539,0.12783021548586868,0.2671684756641671,0.027000725623785825,-0.06249512753821024,0.05952421354787555,-0.29376348727682156,0.04492789068349004
O,0.07534023766325615,-0.022966278131438,0.2062923390578355,0.01087046593057627,-0.06675913927607961,-0.0032394401220006267,0.08455288100701025,0.14402666286467816,-0.2396891576556257,0.03548030705587192,0.14498038657813547,-0.14400592235963897,0.0026870120255379163,0.1944428297128296,0.1398131575969248,0.06819503172372632,0.36206530707384543,-0.07031196072770722,-0.09014413642012248,0.22072476205494324,-0.14743899932335022,0.2288300463697003,-0.013978877774286712,-0.13882600784139526,-0.010233062119162504,-0.10534866083892794,-0.19592475772749146,-0.025852089301525657,-0.19138251932012876,0.06431375421837376,-0.18614237341171302,-0.04755487658412291,0.12006963588974141,-0.01489558349595279,-0.08839861132479995,0.06813039649623125,-0.3667708689622568,-0.0809158948859087,-0.21744012373813076,-0.0874982754188907,0.017780622708242922,-0.0725549640211491,0.25692586883689006,0.08795793233360943,0.1271998682360429,0.07502534232282788,-0.27323595334364015,-0.007742953217736499,-0.28121535020635435,-0.3381923851668974,-0.05093042452706809,0.06773968718424059,0.011440649324842875,-0.13155857158515954,-0.001920944229659937,0.1107694718199346,0.12777290953295833,0.26862111722177023,0.2707199095639768,0.24012835487381703,-0.2012783041761055,-0.0710652321903101,-0.2121921853931698,0.01876981171926172
F,-0.10421249215605868,-0.09395901111348172,0.19500549204194484,-0.017522246700732932,0.05604069251535926,-0.03969806561642541,-0.007487398400268504,0.29848272225346356,-0.20311677624419391,-0.020344910299480393,-0.005575125328016127,-0.08148902136633451,0.049302581558335654,0.19858081728722166,0.0711152824971002,-0.03579020017759532,0.40988517266800584,-0.10191415699194868,-0.05325653635648379,0.30345657348190314,-0.2297178957058732,0.24848165650373846,-0.08480971581431396,-0.07845806069427988,-0.08684584778350908,-0.12568132387471226,-0.07579619343321761,-0.029534131879883983,-0.10364274112683901,-0.061600804241199826,-0.2244864005557741,0.05097632298647891,0.050417321981922565,0.08010218306655252,0.002359629471124728,0.11971491976038087,-0.35749809253822873,0.012221985262504611,-0.09092583736037035,-0.15551188792977685,0.08951710172019314,-0.1356699522682496,0.29251835754292044,0.14881049491492052,0.11824620632025466,0.19878793398140185,-0.30580639861438563,-0.08440275189512621,-0.1703781679798559,-0.22735828405176,-0.026941447346876073,0.02831432898450899,-0.026454421054569945,-0.2910564084714322,-0.06420640015184265,0.20015996997171107,0.19356153923726827,0.22169787568476731,0.13598507936453216,0.28292267113791364,-0.24389005779048928,-0.21019043753657632,-0.1283448721193141,0.08585837839472253
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
