element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,1.3274174955044329,1.0251237101078678,-2.5949414293669384,-1.548173488295912,0.22566405372205794,0.6562821394318984,1.035381837286699,1.0284732490473834,1.2499015209126851,-0.7513913984491233,0.4649969395330998,-0.6795375573715166,-1.0868575480249687,-0.9986200558536338,-2.2945915437702977,0.8322716396224523,-0.7540493771294025,-2.2334650179425,-1.1140794926236863,-1.1551375174697671,0.41853739466050566,-0.9242153770246588,-0.33758409744541634,-0.5650317873611289,-1.6863208579544209,-0.08425432618974683,1.227345683236933,-0.03756100186964323,0.11618093699579736,1.6927089876156656,2.921446207805609,0.8300011309175406
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.6214139107474064,1.3763756355289827,-0.8543381611613493,-2.3613140961161547,-0.9105227026590428,-0.3466113376495462,1.1529577092953245,0.7947184168292974,1.3893186636812154,-0.23832782549026876,-0.08307324556092452,-1.6130652766694404,0.1436728831378778,0.33195512751699907,-0.9707383549964214,-0.3802156531690502,1.3446344370618306,-1.4012879464397048,1.6662121068275801,1.1542626607596742,0.023592907758303867,0.23360284623894811,1.7247338367779423,-1.1991639997589938,-0.5844124731720637,0.7882075358392541,1.456419224381767,-0.08580202247436042,-0.3283840316564546,0.46863222510819397,-1.4247332508376371,-1.24545192156512
Be,0.3921130921110714,0.13980919350435675,-1.2579933588962204,-1.7737338131150147,-0.9531682131263036,-3.3347071753117925,-0.24171484294824908,-0.0968715021703758,-1.3010760813484883,-0.057239398792531634,-1.2795885170674572,0.39431428806087493,-0.6054001432093429,0.7969215435868514,0.793334077124101,-1.531212356721471,-0.7720394796155041,-0.46370265092325735,-0.9169340212456614,-2.5625186601214542,2.897926951840292,-0.3591040079343126,-0.08845106693239396,0.32700762433292513,-0.1812639361139001,-0.7134557689108861,-0.124111709723484,-0.472049533442093,-0.775085705827407,0.9100042180113287,1.2618620534537306,-0.07074469076175215
B,0.9405051134981901,-0.5836620653094681,-2.0386061128820026,-0.2772802761599453,-0.775066370758961,-1.8487931768039916,0.2676202934973716,2.4343232451630747,0.17424772961423088,0.2093114400645384,-0.20659229665552273,0.8091409844571883,-0.5760027014909285,1.9015854121109281,1.8499601482233912,1.8759430798618084,0.9965702567766327,0.24635507703896029,-0.5930200815564046,0.16697381851997767,2.1875909358662575,-1.4287089794890035,-1.1337986980931105,1.2149369705200352,-0.35696717273104217,-0.10800049563988688,-0.2089960119611433,0.3634707563918112,-0.713420321074711,-0.5267805502984759,-2.06019949820168,-0.7171512620136116
C,1.1001633391488284,-0.34427888583524635,-2.039257325777027,0.7920272738441916,-0.025860577074397352,-2.3016949093944423,0.36004200263148944,0.8327807608714571,0.931891411590383,0.412050440536478,-0.30569987300685186,1.7489824810512522,0.7400107667260261,0.3457563888517977,0.20630699964787647,-0.2784285666122618,2.2257550196333953,0.8620284538815203,0.019103990180999897,-0.15035655932440367,-0.2401425259342352,-2.1370480981482003,-0.7979541670139347,0.05908610881081881,2.1456560517628467,2.2905625430683747,-1.6442997791778882,-0.38910321915654833,-1.7790399331502955,-0.680574307256209,-0.05609864911128527,1.512069509372247
N,1.3279384425870728,0.12626544621393648,-1.7756785377240614,1.0331958299125843,1.1001418374068963,-2.1336340374536706,0.35973193206837645,0.4199376503190668,-0.17050260920547952,-0.2489803649831761,-0.08125392586590464,0.8114358192655106,-1.4695982195037,0.19822020167354057,1.934930447236977,-1.0148989475780934,0.7226767747093307,-0.3324044298982124,-0.0801988035462998,1.5285270888801958,-2.6528683543766314,1.0986640665388943,-1.781240702069024,-2.0920385705011495,1.1488585478287219,1.7808341373412828,0.8173976083620816,2.0168635080793154,1.8092878179101655,-0.15070064943451744,0.3623791551875645,-2.9393846100537235
O,1.4698760248409735,0.3635093711906088,-2.372980511005953,0.8679793117701046,1.76893251199868,-0.4459587940422444,0.14798366112043412,0.42154430515918995,-0.7932546133299831,-0.35808896602074075,0.6064937625770915,0.7275323655057708,-1.0535835890540377,-3.225955303047628,-0.013896383020947365,0.7035116714717231,1.6871000130843106,-0.23810817690101546,0.3856127530233863,0.17075246290806273,0.2337575919868613,2.08532191390839,1.500377429500823,-0.7194141870649242,1.2418129312607287,-1.2795242049333437,0.14567984931485684,-0.029817992626257346,2.9653752141536938,2.2124733039353117,-1.9218919626463882,1.8942555313183949
F,1.7344669496112401,0.9629661382082829,-2.126138226641123,0.6050400856383975,1.5055768907365243,1.172445809293809,-0.5696152592432038,-0.28391067237172257,-1.1246245871697411,-1.514780870799256,0.0011116262769746367,0.5861992183161752,-0.0266126657495636,-1.0678667667976656,0.5557785413940209,0.20917710857892213,0.9834194082190663,-1.982068894194601,-0.4128729182807994,0.019037542609570506,0.7205065884589384,1.9597670959826599,1.9219153648404697,1.6508070660263998,-0.2915396298155231,-0.07658718080410408,-1.3234338753223955,-2.428914677103907,-2.804723258103244,-2.7794507338026815,1.1811367970497704,0.8621814723794611
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,0.32808992147231203,1.8754035628414978,-0.12414557472853814,-1.5973407714119552,-0.8723037225594539,0.6472037766097841,1.518001727906479,0.19544904183469897,1.8062780771036355,-0.10299910836207182,-0.11318586000801036,-0.793813651967975,0.2674553168688161,0.2611812368662234,0.4953067274448914,-0.8110661280214551,-0.5947822753487152,-0.3742661491637802,3.056091742987781,-0.05077473206048449,0.35273204137307845,0.08549773867021071,0.5335928402451974,-0.9232937160575992,-0.35153536125343393,1.03985688621858,1.0443036565200898,1.862235131373134,-1.1082847580015343,0.18296650805507583,-0.15076104241941057,1.2992368213841066
Mg,-0.13946295606273643,0.6243383421406687,-1.3090773660515838,-0.7724706191971967,-0.9819820081357766,0.6130435479414698,1.2462590729969114,-0.15139205490691476,-0.02894006215625388,1.633417138691637,-1.3221906238711094,0.03998446116677305,0.9657055761411656,-1.2962461401988554,0.22256314562000368,-2.9797912379708666,-2.9946123092975294,0.8031792553873843,0.03600843071616721,-2.0402798547809704,0.9970117537668588,2.961786605094359,-0.899778941509372,0.5698305740748421,-0.3684677348429892,0.6946811121206116,-0.296328116159643,-0.10982412441099655,0.2013734383851581,-0.16310270355803566,-2.5145236800519775,-0.9167505347744931
Al,0.4597652058819655,-0.2196205223717742,-0.7209369383991562,-0.10246354319226142,-2.337042389170563,-0.9105493911762749,-0.7682349274579165,1.1263006383351213,-0.7143986807732686,-1.615255147646902,1.6017454001882212,-1.135786904320939,1.914907621897795,0.9687397647919341,0.5314038998272028,0.28343061669373837,-2.290228729002956,0.6810601831792165,0.9342506973739854,0.8441098361273672,0.2574768469347478,0.7842766041648762,0.7560442255517741,-0.38969100862843614,0.42698668096880377,-0.690992309450252,-1.6630682378873305,0.39427627541167587,1.0686101708860316,-0.6818530517304809,-0.01603738930390534,1.326667654946495
Si,0.6831047581696991,-0.5668086668853436,-0.7295699569151577,0.7468347337579607,-2.009550931349877,-1.239793963060659,-0.26942604348348337,-0.3787452803929345,0.8193029221455057,0.5667031830054002,0.18601619047202247,0.38782266646739044,2.9369321972620503,0.31054530070575465,-2.2882000031128245,-1.4560171151495311,0.7613576558771418,0.5631712457945416,0.7509966113788257,-0.09090958498058366,-0.7089724173954529,-0.40552450194553213,0.2740162968459265,0.3587112244019863,0.6446567851926083,-1.8899418841605335,-0.024224392023551755,0.7198187801060117,1.0897258006017136,-0.5840122195693478,0.44451095591982137,0.618568905552485
P,1.2967987172907394,0.04545003980488188,-0.46785472409084794,1.572011746185218,-0.5754898800967264,-0.9980515038237863,0.1690657365803343,0.13959510235728115,2.0030657897685997,-0.014487670108257626,-1.1808335774567627,-0.9697085844799048,-1.9483809075914922,-0.0492056455202997,-0.4494571010871693,-0.8642338764018507,-3.0717418106638195,0.380706680451123,-1.0917333224431776,0.7896003635145956,-2.171911262834542,-1.622847574259355,0.2418303812497465,0.35043606671036975,-0.9264853517793256,-0.49227594809595077,-1.1431488508975924,-0.7287316401451591,0.7688886264444038,-0.6484124777487666,0.1811274213828061,0.22165111671101562
S,1.65262525035033,0.7586297314908215,-0.7347907818348455,1.5177523732532536,0.7139287343039852,-0.1077929459647348,-0.5207997118235397,0.24911840794675894,-0.6407113424048825,0.21132979527639306,-1.2127651328184583,-1.8481986073692926,-0.06615916965416231,-1.4319598172196795,-1.0342498238946223,-0.9049268078197029,-1.7419787511324871,3.3344222720832426,0.6304353964223436,-0.06648612223777979,0.03486837552207603,-3.1893208966612567,0.8528815617864086,-0.3188307164132167,-0.048802406551360505,-1.209799024329425,0.3997852088985432,0.3706243977083845,-0.13360207423622,-1.225313501713851,-0.40302100540822067,0.5475152260772047
Cl,1.4807379822161775,1.842953282273785,-0.7158995003683783,0.8219333967881117,1.6626398568061678,1.0408704088638498,-1.341552666643984,-0.7431994903791674,-0.4622114465758596,-1.0094698904284325,-0.8264194911146747,0.4272388280908155,2.15062310575369,1.4700728127164129,0.5853260636182829,-1.0882691697071667,-0.7644889441767995,-1.3114350801617938,1.0913419071826114,0.7444783325600477,0.4036580042576079,0.0949298286835674,0.2149837702094434,0.3470614120713493,-0.17598695445010967,-1.2017065807014686,0.4903584073646874,1.5180129509765805,1.540999048439518,0.9131537840577622,0.8928540503406535,-0.5546288446257557
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.651055452738475,2.132955733161593,0.21260288931699103,-1.9374903146218503,0.09886904151088084,0.772652871085287,1.0156088560863934,-0.7372090551663378,0.9868222699451897,0.6962714142034456,1.5156498128817988,0.32037040886428186,-0.5715370624372828,0.8657248236173706,0.25870888098505085,0.4535480671387505,0.47913069595237634,1.8087250926332243,-0.33420963660923186,0.5331112442344049,-1.2349139201417945,0.9749673190885088,-1.114031171484807,0.14931207681630124,0.37267509177121777,-0.1693077479717072,-0.4860415361930278,0.16107710355436372,-0.3025592335715429,-0.6614877546403577,1.2051901786674672,0.21296724886798832
Ca,-0.610903575895018,1.217053244044377,-0.20193518785097953,-1.204289764500685,-1.1138999689049547,0.03192837765454606,-0.22048675033282508,-0.08639132251855605,-0.5912752023367105,2.035295020022916,-2.3269171715027146,-0.5570612779400154,0.6144619373824219,-0.7971027728548992,0.7071430059350813,1.2399763372000048,-0.6633771047460265,0.5119768804696573,-1.3965606624571336,0.8676248521800815,-0.5558025900535559,1.0170040397372628,-0.01799418980876617,-0.5155574142096275,0.9779930490305093,1.0549888465852344,0.29194693126825955,0.6170345093966826,-0.1492635824890505,0.8550757117781856,1.8370621693314,2.1311431559050322
Sc,-0.7134331442993141,-0.4994885622501325,-1.3424257960767672,-0.005843687131658079,-0.7068013240832073,1.5778005443688994,0.05869749174255991,-0.30388374789458117,-2.2637728430617714,1.3114680784371464,0.4646119560880502,0.5023546907554343,-1.3161463970116292,0.5074476542712608,-0.43754709824755916,0.8303756465175677,-1.5130518907010648,-0.47930247791946196,1.4405745822944094,0.478773915112614,-0.4800432708890429,0.19280244698962062,-1.5500480301075108,-0.7638660477451072,-0.917144332405982,0.5163898490569431,-0.514886151494173,0.6112932043923306,-1.74707685382496,1.0598387936382212,-0.6844930486436284,0.45243022801225224
Ti,-0.17576653906908607,-1.3177233256164052,-1.2171293473944793,-0.2935252039859351,-0.2031061336720598,0.5515047251232404,0.20021374600530878,-1.6932004362016246,-1.2514220657238875,1.7282899275638948,-0.23500031584852438,-0.8699835954030831,-0.07823427417443383,1.8097082262912452,-2.162739207438205,-0.019680982172248035,1.4813358569074657,-0.004292749933927233,0.5306702447640802,1.0611798870833615,0.8343222564198809,-0.22131866535009193,-0.08441618759852929,-0.04277594390311704,-0.435079683647891,1.3065819773088447,-0.5208210267629882,-1.0095187183233023,0.8670942475006783,0.26237334318368183,-0.17306049307593896,-0.5545780693556015
V,0.09577098962111084,-1.536629052001735,-0.17224781441420348,-0.7168799312363108,-0.15960054670488275,0.03373563362185511,-0.14200604802225236,-1.520596632985078,0.4544042454810197,-0.9936647741566025,-0.1345351711538106,-1.7357985889429302,-0.3641576123545883,0.06579410707215727,0.3238706139399808,-0.4434983418971105,-0.1275367743788991,0.37274735048453533,-0.22979591917761374,1.0517527078031452,-0.45892589031304865,1.3055116278533028,-0.2867868897596268,-1.0568239814234972,1.5131976670742915,-0.08765646100687509,-1.149605243810911,-0.6130720595562611,-1.9055114423711106,-0.2973829724474574,-0.6797740928298478,2.3247819790228936
Cr,0.01222716974690213,-1.4760733588136172,-0.5793699916616837,-1.074698209590754,-0.10881246930274671,0.7188307516126762,-0.8574049445348279,-1.7501777280938071,0.6480316956022383,-1.131544155836838,0.393904950262213,-1.1650597126168873,-0.3337224775879908,-1.4688256895426723,-0.19237758799356322,1.255824987750161,0.7099930023807964,1.3895996188092299,-0.39600234436541304,-0.4512374251050107,0.8320189714557753,0.266010664894247,-1.0427840714894572,0.46996316084716583,0.5508077400251694,0.11621811269873132,-1.5484417829215733,1.3982549343774304,0.24626867979826417,0.3259475822290009,0.7520325551610785,-1.041496344720624
Mn,0.3445872081398471,-1.4355760606046701,-0.6608213930904457,-1.3261967536477701,0.04631858097209942,0.3986902617509169,-1.468454934814048,-1.9515996985730553,0.21434130988588207,-0.9227774620294297,-1.0525917134045533,-0.22169816033813775,0.892917781402527,-0.7586544174100722,0.2967966351193635,0.7870022952014147,-0.004384931756106671,-0.620180691366097,0.02812211220547802,-0.9021560146836716,-1.0009791974634723,-0.09095477578311312,-2.6022171965272256,0.17893136815741073,-0.25909917320996106,0.6785592535819657,2.6526285882529055,-1.5717766594617484,0.3549518221044111,-0.8601685737537713,-0.5908774678578432,-0.46010049126318353
Fe,0.23882850886426388,-1.4002298952167755,-0.25294130695323197,-1.6010761396355973,0.11574453134217036,0.35891903778911444,-0.9416029669576667,-1.5108813697197045,-0.3291931180166547,0.22292902233871853,-0.9911123314651997,0.3754095450094529,-0.19261969600215542,0.47388368240804574,0.5171014789732373,1.92865711521395,1.2764597552132917,0.8092164449323299,0.5528315634707571,-2.1695511884208147,-0.957648181942642,-0.08775505762530557,1.248228182208941,-1.9469635827747471,-2.368710341435703,0.9073018818666857,-0.11691324615484693,1.0934068265953245,1.0300348179647054,-1.4107492705828932,-0.7653823659626919,1.0624053117552372
Co,0.2799298055271821,-1.2742817154304016,-0.15351958416607353,-1.5448733973403221,0.07209724310987496,0.3045338402551976,-1.4431058073838017,-1.3954342885546798,1.096664274107065,-0.3144628727175044,-0.13983867863060256,1.0440144451306295,-1.3171439595786665,0.3603454278548261,1.2381721970955117,0.5467573940419327,-1.1177994712434753,1.8300565545198029,1.2494393342838195,-0.2968599334667304,-0.11629449832516574,-1.118664173499623,2.2282151118707665,0.8849096953433099,1.0401043313325036,0.5319323312056773,0.721124586316097,-1.7791087554119922,0.4659648252092024,1.75999965284278,1.3245866236106314,-1.2772738673264354
Ni,0.4754440830450191,-1.0957890981884904,0.23107725399273032,-1.464860973332024,1.0055699587737432,0.04421867755323762,-1.7080577366084773,-0.8684785505061693,1.2063664180015108,1.4441619655886664,-0.543135120392187,2.3350496056012426,-1.2692832544613155,-0.5417233906694826,0.045433006104486334,0.6861531361532665,-1.4116833830723814,0.08796590821998893,0.21122488308881793,1.7241324177117994,1.0290223105542684,0.02246092740245729,0.7647174599881796,2.889101611297974,-0.35211077891633014,-1.081790698533748,0.7979838591050075,1.494980454393527,0.5881341747624683,-1.16765422768353,-1.1365449450673888,0.2929878449119257
Cu,0.4846886861488371,-0.563741458484155,0.7223591898058742,-1.8110435101937539,-0.04303598097482308,0.5178683214134812,-2.419354867793969,-0.6073778907622494,0.9870037787721051,0.7033961631006932,-0.42035291151553855,2.314010323128138,-0.8059053190297967,-1.155344573158154,0.48061934556238356,-1.4372181739216905,0.24219011060630138,0.4255928494675939,-0.2697341399155673,1.594925550781198,1.6492537656258133,-0.7768449733673048,-0.29108617846420687,-2.108061294665043,-0.484282548868033,-1.2968327601469574,-0.2644584616658471,-0.2687609908623035,0.4443036703400095,-0.3023098459669184,0.7316055452762332,-0.4724512582322149
Zn,0.44809011787869896,-0.4113989298966333,1.0402658535880926,-1.6619531475382887,-0.9258032646721319,0.23228722364492602,-2.2662546103074566,0.6766353223411287,-0.9462338989185639,0.6712761143806446,0.34182194755838186,-1.0027938459381416,-0.9413986300411126,0.15813078646000936,0.25205132702325045,-1.2808453930016586,0.7339782886567885,-0.7985064464686438,0.2589119981766914,-1.6072769344333202,-0.7810017443646469,1.3903951133872843,-0.9986819732191377,0.8552670584952455,1.7899172966545944,0.5730727326286591,-0.9271909406322053,1.6011844237151436,-0.7375280931597681,0.6140232497942851,-0.0496725280967777,0.8426356875999654
Ga,0.4102354366481191,-0.09679928451678806,-0.2933121468375253,0.12118653369139545,-2.876773399338775,-0.27592017225666515,-1.8535593223416855,-0.06211573883851463,-0.6012506942169497,-0.9066408573253887,2.0375937531272497,-0.7806386210387506,0.5145873139852839,0.8371094509820253,-0.1433113505202287,1.2987457300024112,-0.17768812357637956,-0.17517876027230067,-0.1254373185347875,1.4081396850313004,0.21687383261511578,0.9055668351203244,1.257138120097881,-0.38385581766098176,-0.1584436880012862,-0.016086758124585758,-0.18080827226926707,-0.4165380381380209,0.7013405847344428,-0.492860825462283,-0.435453056755637,-1.1860283218701484
Ge,0.8054396839998669,-0.4500546022476047,0.18257526560009057,0.9721960990207488,-1.6765849249242506,-0.7674348979924438,-0.5781848596880536,-1.1624787165270245,1.4172075992208952,1.7658025442218996,0.588556449253217,0.7741802085643023,1.704165389513642,-0.3340156608667921,-2.864324589657344,0.7848636987689691,1.0117317799806584,-0.9065058176933656,-0.035906199704141155,0.8750663575139915,-0.4084119731780925,1.0758833025848593,-0.5392982367023285,1.103541340831438,-0.22167666596621874,-0.32780436309940164,-0.08538471074103593,0.062167155942069174,-0.9993729603411587,0.30373073029623,0.14651214761209594,-0.41661873268287847
As,1.105768319095467,-0.25960294951317725,0.5823569705237506,1.2132796475771215,-0.951369378630528,-0.943651000904406,-0.3822274315308134,-0.815394563729404,1.518676015960147,1.0569230566074064,-0.18892062995161346,-2.3266537143893986,-1.9786265711089104,1.5799157331685743,-0.6773509701769274,1.0743800576598241,-0.2534651446663686,-0.9518712914525026,-1.0927757863642575,0.9300872826015892,-0.8611202131346456,1.525794990874804,-0.16923527453032022,-0.13381781348150754,-0.7633924218859572,-0.3025185878831034,-0.6885693580618342,-1.3479988148957738,0.11713491293552072,0.04779289804752787,0.4654098678125108,-1.0751393970989753
Se,1.5842981346825056,0.8820293857792391,0.4942172703007658,1.338437801621439,0.5235492920011843,0.16941631730627527,-1.0830870974662006,0.12862826282209608,-1.0158306923960747,1.0865515649202673,0.5392817021203257,-2.1892882943489904,-0.8301470059557248,-1.613760615404322,-1.2588555431943502,1.1304143212841333,0.7772406388436467,2.6842835206624645,0.9866679791828569,-0.45201361319728006,0.9066508071607163,0.6404136119330002,-1.1524881534857383,-0.27644726981463,0.05800817209202785,0.9075776577590633,1.2981528967765754,-0.703676705311954,-1.4054734216255949,-0.39739794602097955,-0.8380668597054972,-0.6705246458717495
Br,1.4395497695086472,1.7677447221335554,0.10654259785373,0.8613320584158733,1.4877138094749796,1.2981655668577436,-2.1551827763509763,-1.3289415373451694,-0.2681496370291881,-0.455421555460195,-0.8371071654944329,0.5068060294959253,1.1623969178855436,1.8323237442306093,0.7216472331528316,-0.28069180740814187,-0.3733802923994467,-0.46754722997284803,0.3694889858588109,0.755139465361893,-0.3693392460630202,-0.28097054109411274,-0.19014056584702807,0.4752181422086892,-0.3395046128362247,0.2608898993644924,-0.6977915571154826,1.1591841314765543,-1.3886591532222337,0.6889464752446418,0.6432191611594262,-1.224725597871838
Kr,0.5997403742716424,1.7161394943614774,2.5491401233765694,-0.21679490456135564,0.002036382857672199,-3.9716555525814705,0.6052066447604338,-2.8762327540055854,-2.524767944581941,-0.9838913707056116,0.35515447545652407,0.20031812166365867,-0.3612183961787695,-0.41450615281256104,-0.6408862770346464,-0.2760015363095967,-0.5356716201791607,-0.8150528388654148,0.0049753184381710796,0.06610157783495339,0.32276189128510124,-0.4916409361236816,-0.16102268249822912,-0.15365568132319712,-0.20943946005488753,0.026914365863625795,0.11046591392208796,0.15812816897161577,-0.08524655365809965,0.08854160154500364,-0.08090870546257148,0.15251931474380037
Rb,0.6677899834611768,2.049082913540818,0.4976348417245824,-1.5005845459768656,0.23097456550107986,1.0273441751612598,1.6664784233534915,-0.28879479893626553,0.8401279121450295,0.28493160681066476,2.4221480820268155,0.5905963110759419,-0.024506639531781966,1.1956553454616694,0.4620976191196898,0.355379027724453,0.3781569344917885,1.4249930092466947,-0.8467453547238155,-0.3562503351217317,-1.0150029482967249,-0.5361003026397808,-0.8806839415743721,0.4086745010512157,1.3155217404950097,-1.2074095216252683,0.6672387834598474,-0.8076061608092046,0.1767907531852231,-1.3037304929698135,-0.27188004749474576,0.2563321244129995
Sr,-0.6393439599026601,1.3033800874093924,0.4250712509273709,-0.8088661247047167,-0.8906246521297685,0.14716870110471658,1.1581448278852045,0.2355805518435095,-0.9724714429155752,1.845929659830966,-1.4486200920389294,-0.5722367871826902,1.3582384194331534,-1.6658931690553964,1.8881722057255954,1.0717910984229193,0.3949852084512238,-0.02519005177484891,-0.7820447597419267,0.34481804519689707,-0.5155642507699367,-0.13606709801295547,0.42325208919123586,0.19018328744392887,0.44351533966851636,-0.5181785970313129,-1.3057845249480688,-0.9121813843237909,1.880876097072867,-1.2863064423897546,1.9361510113743663,-0.9759078626881034
Y,-1.0846795464413923,-0.21636836284768932,-0.8578081983893273,0.31905595485723276,-0.06875871434739328,1.4352364830565427,-0.016426531984534705,0.3613994839244921,-1.4360949361034776,1.1922894054870123,0.18093450889914123,-0.1654282327348234,-0.2783314794612491,1.2339466590218207,0.2215997612285057,1.2455267082314037,-0.7021827756514778,-1.6142392906589005,1.3668029192504771,-0.10843060146230872,-0.06758017805894596,-1.9230991655653928,-1.5315807264321493,-0.8969993959947344,1.5790188682675506,-2.157892419105504,-1.320120694968291,-0.3435667083615751,1.0380172766342268,0.5588751059623737,0.46632559091026193,1.7756059547344796
Zr,-0.4791768386643788,-0.8226429345779968,-0.694396241337766,0.7727831588892354,-0.023243579498936767,1.3430143550191942,1.703310485438289,-0.8942700526971399,-1.2923573256938654,0.7321863862576588,1.1374350914058105,0.14173312635086568,-1.2532145338024994,0.12292707556521322,-0.3510296567643738,-0.7813816090581117,-0.8454283791661268,-0.28791897841792086,0.6181980367954519,-0.07796621176586596,0.6364784650088695,-1.1544192738523995,1.2077976289352936,0.13495040097924493,0.788396261835431,2.8144363897178812,-0.16045457762857337,-0.14317991779946135,1.08940026420627,-1.1923206190900164,2.4462847310440603,-0.6392054282462197
Nb,-0.173017493817633,-1.3507076179178725,-0.011767602758000165,0.34888467136534906,-0.43455890797787017,0.8182852441890817,1.5243409431239625,-1.4237303769074676,0.2987744911009396,-0.6012835555287382,-0.020722246189081597,-0.949307285114002,-0.6668671389111859,0.046794741715996443,1.3016198935105006,-1.660687177029303,0.5335457345713778,-0.6052072534301225,-1.2485049961936365,0.6193559323010653,0.22270651173411682,-0.4357127363452158,1.6891944496170619,-0.9031931603210972,1.5799457213142227,-1.2925433436562483,1.2609086591647254,0.3643251715550471,-0.8934938204382753,-0.6429046279160057,-0.324321481417878,0.5892119447261448
Mo,-0.036326521554200596,-1.3512842227984554,0.1466410224990809,0.19980873518984102,0.4968048190983093,0.9571889898982787,1.9593025619474636,-0.32451658959886204,0.7435239910364289,-0.7491648611363909,0.7763479853199552,-0.8114879169004278,0.5053756856312605,-1.499305587478292,0.7985051138645906,0.46200721803075456,-0.5500432647757819,0.01915471963322316,-1.1707895197341125,0.07044694329148664,1.608415408740347,-0.7287270178997851,-0.13326916953547202,0.2943733958359775,0.6507025399311488,-0.3628355976727237,-1.1935883987657185,3.2025984422975453,-1.6390747085140118,0.3331138493504924,0.5982039857499133,-1.9441215479543246
Tc,0.4298476472602068,-1.5366385445780921,-0.010274727224954197,-0.5022295275572837,0.8818688170774871,0.2140456438724091,1.3273617662509576,-0.008669056632939914,0.5772718956757469,-1.2544440729499957,-0.17752683347922013,-0.8267098542714607,1.7985024989705927,-0.5648927547154674,0.25339292984277184,0.46785336477661055,-1.5562873042107483,-1.7531006454123939,-0.606148549569054,0.48205045867893015,-0.4278349201167425,-0.8111010665645095,-2.232005555214139,0.8432336448375103,0.626216750834107,0.7683048880848343,1.1388835229509517,-1.505044969433199,0.912187677316121,-0.5971057762970954,-0.6322001830653888,-0.637889791528517
Ru,0.3914685870219649,-1.597697220404977,0.6681149544425928,-0.49305757332477423,1.323635503249696,-0.4100804169118924,0.9225619634883206,0.1690177437899358,0.24160019969689087,0.6202003582515172,0.33024986307193815,0.7140786894008123,1.210192511090738,0.12275336002623351,0.002736732020118147,1.2123394833632857,-0.6863452178476014,-0.7001787138021183,-0.02206969034481388,-1.9965637028371797,-1.1621545224996557,-0.1834513624612058,1.58604340921253,-1.9942864815952157,-1.1880624739476149,-0.21257012566971617,-1.3142289620197594,0.7018213091739408,0.24571184000624563,-2.1959112364432443,-0.7399433825097635,-0.28201712912231286
Rh,0.45479889339475293,-1.3573468928410706,0.9447463326902605,-0.5486770147016121,1.2333837190857133,-0.2871079712876799,0.39914543473929287,0.473726376598338,-0.12217014419237894,0.7884601398038893,0.6066141178920436,0.5620830947702268,1.6784808587592115,-0.24008161009004103,0.3677905977295358,0.10758679875506999,-0.9272017838105336,0.8419220674791388,1.2747564204454613,-0.3961657034753809,-0.9947817474631767,-0.6115009870147535,1.7862901479021316,-1.3314534395359359,2.198789703835441,0.38275420117373044,0.3534143082591841,-2.515043042264924,-1.6765878292013114,2.3759303679077557,-0.5313074805536674,-0.7350952516191182
