element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,1.3274174955044329,1.0251237101078678,-2.5949414293669384,-1.548173488295912,0.22566405372205794,0.6562821394318984,1.035381837286699,1.0284732490473834,1.2499015209126851,-0.7513913984491233,0.4649969395330998,-0.6795375573715166,-1.0868575480249687,-0.9986200558536338,-2.2945915437702977,0.8322716396224523,-0.7540493771294025,-2.2334650179425,-1.1140794926236863,-1.1551375174697671,0.41853739466050566,-0.9242153770246588,-0.33758409744541634,-0.5650317873611289,-1.6863208579544209,-0.08425432618974683,1.227345683236933,-0.03756100186964323,0.11618093699579736,1.6927089876156656,2.921446207805609,0.8300011309175406,2.014165401160955,2.9459776430850826,0.5007813797624378,-1.4327570639221967,-0.37026464123519687,-1.4684651470403682,-1.2306423950422642,0.3653830185409757,-0.9385329650735738,-0.14916743112630768,-0.15441081947870702,-0.1361766731228736,-1.4639579269902907,-0.05786854686941197,-0.9052927911449217,-0.894600791617141,0.51506701041503,0.3018613955776133,-0.40311783055137484,-0.6502377074143781,0.13494962291419868,0.36778295272306205,0.18538394238756722,-0.39187717608437433,-0.7021525740838597,-0.20944773135529385,-0.3296054614113564,-0.3046848527343687,-0.17220306522564321,-0.07772282828655758,0.7312264047950883,-0.0375794004008311
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.6214139107474064,1.3763756355289827,-0.8543381611613493,-2.3613140961161547,-0.9105227026590428,-0.3466113376495462,1.1529577092953245,0.7947184168292974,1.3893186636812154,-0.23832782549026876,-0.08307324556092452,-1.6130652766694404,0.1436728831378778,0.33195512751699907,-0.9707383549964214,-0.3802156531690502,1.3446344370618306,-1.4012879464397048,1.6662121068275801,1.1542626607596742,0.023592907758303867,0.23360284623894811,1.7247338367779423,-1.1991639997589938,-0.5844124731720637,0.7882075358392541,1.456419224381767,-0.08580202247436042,-0.3283840316564546,0.46863222510819397,-1.4247332508376371,-1.24545192156512,-2.1944183012401184,-0.3836635910645871,0.41037480433022805,1.4852240297799533,1.39678777408156,0.38025561938142605,-0.6876467623940369,-2.37032786276126,-0.6105520160388288,0.9662991808873976,1.7223837471079595,0.3346221005129834,0.8821189886867967,0.6560074136695442,0.2680368074326345,0.1279692219805196,0.09984339740858968,-1.501894809502283,0.6496709261777932,2.670234221754008,0.8079730070299472,0.22395442960455816,1.479673282712927,0.1170266100727245,0.5842238857834368,0.486184392786194,-0.4880662602317887,0.4586384325123853,1.2215279283377325,0.39259860344405195,1.2871033605649702,1.8206615488286313
Be,0.3921130921110714,0.13980919350435675,-1.2579933588962204,-1.7737338131150147,-0.9531682131263036,-3.3347071753117925,-0.24171484294824908,-0.0968715021703758,-1.3010760813484883,-0.057239398792531634,-1.2795885170674572,0.39431428806087493,-0.6054001432093429,0.7969215435868514,0.793334077124101,-1.531212356721471,-0.7720394796155041,-0.46370265092325735,-0.9169340212456614,-2.5625186601214542,2.897926951840292,-0.3591040079343126,-0.08845106693239396,0.32700762433292513,-0.1812639361139001,-0.7134557689108861,-0.124111709723484,-0.472049533442093,-0.775085705827407,0.9100042180113287,1.2618620534537306,-0.07074469076175215,-0.30049216032303266,-0.7146211346400044,1.3326171778229325,1.0424948839241142,2.0263813316978956,1.8565236894650334,0.5773850552706168,-2.058674602630287,-0.44220924286004376,-1.2315772242618643,-1.0359254549937769,0.9895272016725432,-0.16119548906123715,0.5432612625501677,-0.5679239590661497,-0.2934068326498745,-0.7251941925392823,0.17594414478564144,0.42954548382965335,-0.6252490869988783,0.6003528626529389,-0.46805963331543216,-1.324147676384507,-0.7619399175236473,0.22101617747854777,-0.3899269785986142,-0.23238640837201655,-0.32001400374024497,0.17746636820587997,-0.7264065848265514,-1.1525351175211933,-0.9608240318062076
B,0.9405051134981901,-0.5836620653094681,-2.0386061128820026,-0.2772802761599453,-0.775066370758961,-1.8487931768039916,0.2676202934973716,2.4343232451630747,0.17424772961423088,0.2093114400645384,-0.20659229665552273,0.8091409844571883,-0.5760027014909285,1.9015854121109281,1.8499601482233912,1.8759430798618084,0.9965702567766327,0.24635507703896029,-0.5930200815564046,0.16697381851997767,2.1875909358662575,-1.4287089794890035,-1.1337986980931105,1.2149369705200352,-0.35696717273104217,-0.10800049563988688,-0.2089960119611433,0.3634707563918112,-0.713420321074711,-0.5267805502984759,-2.06019949820168,-0.7171512620136116,1.5368631898225278,0.009558484677926492,-0.4066575584276532,-0.05489555707807886,-1.6579122566934044,0.008564582432294831,-0.17441104077703218,2.2201507715519577,0.9254360834868485,0.3862018626014522,-0.18347447179521972,-1.305895584968858,0.18177293620824742,1.3633656104951903,0.8547765071094591,-0.12131531854610751,0.05103864721228649,-1.7725359417301396,0.08988817995669973,1.2571758094756842,-0.24897688930711584,1.7819864372922187,-0.15174475594813852,1.462863098960197,0.27854646653089327,-0.5631602892291415,0.28908319624068646,-0.20400624266699968,-1.131438746136415,-0.39322846512126997,-0.45343150727502796,1.0988166524484253
C,1.1001633391488284,-0.34427888583524635,-2.039257325777027,0.7920272738441916,-0.025860577074397352,-2.3016949093944423,0.36004200263148944,0.8327807608714571,0.931891411590383,0.412050440536478,-0.30569987300685186,1.7489824810512522,0.7400107667260261,0.3457563888517977,0.20630699964787647,-0.2784285666122618,2.2257550196333953,0.8620284538815203,0.019103990180999897,-0.15035655932440367,-0.2401425259342352,-2.1370480981482003,-0.7979541670139347,0.05908610881081881,2.1456560517628467,2.2905625430683747,-1.6442997791778882,-0.38910321915654833,-1.7790399331502955,-0.680574307256209,-0.05609864911128527,1.512069509372247,-1.5178490231667054,0.33976225767223645,1.1970773272834925,0.7042951590190054,-0.11506335570309764,-1.1823767325394379,0.8497766211795541,0.4973709919249575,-1.5789667778999925,1.7938541522823932,0.6871223153137661,0.7760146411117794,0.10538312298957866,-1.7162293243647466,-0.003624343889230666,0.35998510937374434,-0.6902146876631506,1.6588302924150367,-0.36137911414357676,-1.292326020635212,0.6264812195079771,-0.906386058663789,0.3675820396308021,-0.5715867218952623,-0.4628358541456772,0.2832247286315806,0.05659475166916715,-0.10529807189639084,0.2626303742775814,0.9214752017658048,0.9053271288112827,-0.24593924871946346
N,1.3279384425870728,0.12626544621393648,-1.7756785377240614,1.0331958299125843,1.1001418374068963,-2.1336340374536706,0.35973193206837645,0.4199376503190668,-0.17050260920547952,-0.2489803649831761,-0.08125392586590464,0.8114358192655106,-1.4695982195037,0.19822020167354057,1.934930447236977,-1.0148989475780934,0.7226767747093307,-0.3324044298982124,-0.0801988035462998,1.5285270888801958,-2.6528683543766314,1.0986640665388943,-1.781240702069024,-2.0920385705011495,1.1488585478287219,1.7808341373412828,0.8173976083620816,2.0168635080793154,1.8092878179101655,-0.15070064943451744,0.3623791551875645,-2.9393846100537235,0.22658640279576348,1.706432312975159,-1.519937699100719,-1.1337876820870547,0.8853856310153478,0.44873866846807564,-1.049027320797729,-0.9961454358459799,0.8081566956596722,-0.6044400623437954,0.11069451060339033,-1.5787691946245983,0.337142838764927,0.3277870565410483,0.1049276001031949,-0.3747278278951837,0.503758057196441,0.5750531149504012,-0.03126016912627855,-0.47250827929144695,0.07409230161431962,-0.8369649516256172,0.37306673743633584,-0.09350407880356128,-0.4701932287147528,0.4995693960261289,-0.07526923682893034,0.09141185274073677,0.3706922166028892,-0.5656036094665746,-0.4467988085950676,-0.7663853549430806
O,1.4698760248409735,0.3635093711906088,-2.372980511005953,0.8679793117701046,1.76893251199868,-0.4459587940422444,0.14798366112043412,0.42154430515918995,-0.7932546133299831,-0.35808896602074075,0.6064937625770915,0.7275323655057708,-1.0535835890540377,-3.225955303047628,-0.013896383020947365,0.7035116714717231,1.6871000130843106,-0.23810817690101546,0.3856127530233863,0.17075246290806273,0.2337575919868613,2.08532191390839,1.500377429500823,-0.7194141870649242,1.2418129312607287,-1.2795242049333437,0.14567984931485684,-0.029817992626257346,2.9653752141536938,2.2124733039353117,-1.9218919626463882,1.8942555313183949,-0.6603860901747763,-1.845466609452913,1.9103918513693983,0.19172543329376934,-0.6867890204567395,0.33814628480704495,0.4292087490712796,0.35195957889703117,0.752956036929775,-0.4333079238187183,-1.291884830162009,1.3158895362015122,-0.9088198588879066,-0.9554773756608237,-0.46324555236434123,1.1186312010713535,0.1452523538700242,-0.735246883052519,0.2055276557392202,-0.03430916587141036,-1.0526677673413836,0.7400047541730305,-0.7286943810138002,-0.25295837849985764,1.0663381543909793,-0.25804873396900285,0.3639906464141263,0.5128394576873155,-0.6565711645912098,0.05990797605150667,0.44235563000853223,0.22469192705554575
F,1.7344669496112401,0.9629661382082829,-2.126138226641123,0.6050400856383975,1.5055768907365243,1.172445809293809,-0.5696152592432038,-0.28391067237172257,-1.1246245871697411,-1.514780870799256,0.0011116262769746367,0.5861992183161752,-0.0266126657495636,-1.0678667667976656,0.5557785413940209,0.20917710857892213,0.9834194082190663,-1.982068894194601,-0.4128729182807994,0.019037542609570506,0.7205065884589384,1.9597670959826599,1.9219153648404697,1.6508070660263998,-0.2915396298155231,-0.07658718080410408,-1.3234338753223955,-2.428914677103907,-2.804723258103244,-2.7794507338026815,1.1811367970497704,0.8621814723794611,-0.48739394574282746,-0.47489495932268916,-2.7871867138924005,-0.40658206818569437,-0.35011392304051814,1.0498398328856542,0.22790646167283715,-0.6081538647938552,0.9575729288931294,-0.5495495234514793,0.3855980295647549,-1.1555665676290872,1.1709676417652934,0.9574728803830717,0.6872683611433008,0.11644608868823711,0.7722254126374054,0.34740811411667744,-0.4253330074932109,0.5339254037670755,-0.026722158181008464,-0.9714209828098362,0.29160998295386614,0.12886341816840377,-0.1317138469852298,-0.0004708308220066547,-0.1766127757259315,0.13501556646393273,0.5653335241335992,0.13811516807331758,-0.44019903439622077,-0.0006700340626882935
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
