element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.54698991771028,1.0848829593462153,0.6041591280383812,-1.9799703322295368,-0.9374104705347468,-0.04076660456699544,0.9879102560271099,1.0483132322663486,-2.7975390685061163,-1.427091747844319,-1.8437496289400723,0.4938008377233732,1.3363699114625633,1.3868153123917484,2.6918574329533476,-0.30140765410069165,0.40311873067414694,-0.17618159556982502,-0.9935109146894952,2.6879027894835152,-0.1363527156932805,2.142363486290883,-0.27510021351240743,-2.019765621776621,-1.9748419566496143,-1.311427636799901,-0.12227154754043222,-0.47480319572294066,0.04427536313129129,0.5940980911991208,-1.28922475635524,1.2074176943985846,0.10219370649705534,0.9772535586201749,0.738467694152246,2.9064420046604478,-1.1682136687585163,0.00036124725463090374,-1.5369426762737202,-1.291432571044014,-0.5540870801675838,1.543718914677804,0.9710495209741705,-1.607443258608701,-0.18805698112130115,-0.06555667356634516,-2.3512028840641452,-0.5862539852919502,0.4503593204219225,-1.7672239210902552,0.10678048055755256,1.9349475625502044,-0.45062036328505245,-1.504974415393298,0.9888203797500523,1.4701282459490457,0.602030573320145,-0.22250019196256385,2.2350177189336886,2.2486864381691944,-1.1117672502763476,-1.2092085931057472,-1.9284990578824441,-0.6344974063474644
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.758594893309584,0.3812703494145348,1.3588744843196994,-0.19621211939842914,-0.12500232994413288,-0.739594704321731,-1.3078914813579925,0.11750473094573005,-1.808186754150095,-0.8869217490645689,-1.8838645835283572,-0.8581058283522586,1.3969885657638808,0.07487899847985831,1.478552136237431,1.2756469680570277,0.5012420037968242,2.41324025326475,-2.1514261432964443,1.5488268985481866,1.1857418046701393,1.5115315560229508,-1.3112350360186256,-0.6365068244239706,-1.6083225120272093,-0.41855223029401417,0.19530630602946442,0.003376626628418374,0.5350518123723831,0.12281425627947389,-0.6715072442863975,1.1066323468348862,1.3557674487007656,-1.4488040867897576,0.24491852609842185,-0.2756414407595639,-0.038878716280889666,2.308432852190677,0.43869594537964285,-1.2553179135213086,-1.7782425403149156,-1.2837525550920847,1.1587427673534718,-2.171054342480461,-0.10445741989715887,-1.3943195178401402,-1.3301210079983388,-0.30352671791910124,1.5499217165024182,0.9667023003539887,-0.3158071370514291,-0.5425515466146312,0.6980535812685736,-1.7309897763004116,0.38160992547141964,1.9986438955156536,0.7229941411637751,0.14018086319224368,0.7790808961309631,1.9668921290497765,1.347621688653824,-0.6385780586922716,-0.9045158240942098,-0.06790485563399906
Be,0.8354975036462633,-1.9056526852993358,1.752677156090478,-1.6814496691529826,0.8587745340470164,0.5058326648105971,-0.8985274421799536,0.05927202610411344,-0.36377565113931254,-0.7729672904011634,0.5605464116384713,-0.16961361866332478,0.7579902283552779,-1.4680125012165826,0.679111973069027,2.1558466109474845,0.2793590200824737,1.700545996661112,1.8725703569138634,-1.1363929304892109,-0.25069719477514235,0.8127850346350384,-0.13905946627253415,-2.502370512231926,-1.2140388780956175,0.04786664700055969,0.60308615473702,-0.24764236836297024,-1.1786905238852812,1.5363112046987784,1.0970391726882465,0.641390154369747,-0.3133563665197777,0.621530528165039,0.5537115937221726,0.33446159791013375,-1.0699371127674764,1.8052924646314983,0.052470435953142665,1.3633637688561868,-0.9590155581345592,2.196626839170147,1.5414718616249712,-2.088657166625069,1.1022005309309075,-1.167155262479817,0.37516216070101216,-0.19304808375157367,-0.030129844342359696,0.11456907511977417,-0.9577826426895165,-0.8893215169019647,-0.6542147675552823,0.4643525443151379,0.1186689738585239,1.1730869089329992,0.0437086596325592,-0.24213504490044918,-0.5661840918085838,1.0430363838607088,0.8448824249714588,-0.22519944491282465,-2.086080538478149,-0.7541860847472288
B,-0.4761614498399866,-0.7533540241347264,1.3243961820528223,-0.21478347601314124,1.7592638434806955,2.0475469075898762,0.9905887774185337,-0.6400838817195337,-2.720526278545814,-0.05005238289318225,-1.1350699203550259,0.27278842192197333,0.563054074678026,-1.9327135287954558,1.8300665089931234,0.24600480672868005,0.8126153763111055,1.6691984842392025,-0.323639650882975,0.6010917747044854,-2.1016324702355154,-0.245697671527315,1.3190416728697758,0.37692770620651295,-0.04291316454493683,-0.8285942232343088,-0.48862458336119075,1.7563862381325297,-1.9623559984254288,-0.013182107390765304,0.6034605635551357,0.7308351497282175,-1.5976012451677901,0.5851149268978595,-0.831247566700261,0.9316945695807913,-0.7872508644907175,2.416551073583153,-1.0633451671598786,-0.6806650871080069,-1.0138043002423562,1.5608105791847797,0.02627631186206717,-0.2681731977576494,0.01572719065698345,-0.07121833007603845,-1.0225213005265767,-0.37146342428239576,-1.7310581448883824,0.055212149143267227,-0.5930798967500787,1.1016477659444213,1.3588217509090394,0.6015034683445878,0.03249037682632862,1.1076414355658328,-1.3709330013578305,-0.10217280075064503,2.6977429733146074,-0.12309372926556272,-0.9264184776269065,-0.5648410387563508,-0.8979502269734067,0.07950680986646008
C,1.252933424844242,-1.6916015961901707,-0.34532996846035324,-2.113529756667353,0.4011552766712223,1.579814853565722,-0.3498126368299907,0.21570665677631026,-1.1153372065044735,0.6925790091607261,1.3264302097895144,-1.2908334413941835,0.8104286577913018,-1.0249605984245584,0.1623028047330903,1.258945933079742,2.295825526033313,0.7675001616951876,-0.07666699051753269,1.469224824699996,-0.36362353451064244,-0.5097291349576479,1.2298476699500382,-0.812429697367244,0.8020971816367429,-0.4139012073701333,-0.5501606889526073,1.6765996054327217,-0.7089224012086538,0.983117239690576,-0.6037340293879301,0.9550318832374198,0.25904858522588053,1.3504693872446285,0.030111175925182004,0.6887140670375,0.023301835748233222,2.0543105654689087,-1.844395457820933,0.6206057528885208,-0.2649490999386179,-0.24093034850651615,0.9106362317211982,0.3926699515924076,1.2223792312384385,-1.2678233026480783,-1.943718769527581,0.279438726057695,-2.176503709391344,-0.4571744015246257,-1.3775067794313758,0.48840298249932634,-1.9185228377808305,-0.7483275851003087,1.947493381525096,-0.8239136946215013,0.04598535929837466,1.8545510568694545,2.039612060763864,1.2059805941271935,-0.7912762174904336,-0.9078493445671214,-0.27610494588530754,1.1759576797747768
N,1.0929906739110706,0.1405203927049236,0.11084319153600425,-1.792485531578292,1.5697366239769508,0.9130311316773565,0.18740030040710223,1.1533722131911355,-2.0256297702672974,0.05536345097536403,1.7314644557848085,0.011214542168628465,-1.1689777772222636,-0.03935981072911753,-0.22679578940385065,1.2266907318312466,1.38866786914392,-1.706422501286967,1.3769912190723745,0.29555292859131654,-2.444235434514604,-0.12174962422672664,-0.9689214857536345,-0.8117412009684541,1.5457624444925788,0.4663306457692103,-1.1210085674230672,0.673136897514861,-0.8835964047427514,-1.1789644856610992,-2.1376620359194534,0.7824032204768553,-1.0676220049909986,-0.9680054824908675,-0.3472017731633226,0.8000062964544602,-2.5122940257636057,-0.5748060679416298,-1.1509149372959733,-0.128275631618454,-1.209070298119193,0.09340812317326326,1.2152857407955149,1.2331851881543023,0.2618941149197237,-0.8393410886533897,-1.7018393414102337,0.728968026791658,-2.2832150668843663,-1.2676697707769773,-1.489922258993856,-0.8830998518426988,-0.42597777320738955,-1.7086311473177345,2.1205847040265255,0.48314137496440274,0.5164052802320924,0.7701624462944814,2.002934562216657,-0.18193443092564535,0.6563809671766178,0.800449301253647,-2.0866534024619585,0.26195389794964596
O,1.3807742053285024,0.1965153457037657,1.4779942595645301,0.9741169683099606,-1.0480003284933046,0.11809057174039518,0.4885563301034969,0.5306257932885564,-1.9104844555192368,0.20122596645663599,1.6479561702876087,-2.169699604426931,0.050533998523490185,1.0295297850791174,1.77976526901928,1.10713280979441,1.9975075764383976,-0.42779325067710255,-1.3229182693313664,1.0113764653576134,-0.32918850898287655,1.9705415771566512,0.46126692787238704,-1.45702912391842,0.19832373308926723,-0.7701831147654858,-2.2632634549431723,-0.3095454793974677,-1.6779943188127882,1.4290786169797294,-1.5929846323228574,-0.6720379329636569,1.820122184569791,-0.381672054346834,-1.5697773931992782,-0.08248528960333111,-2.6512789163031605,-1.2537268064107785,-1.740292852589136,-0.6145394904821028,-0.42958157897997173,-0.6698328767959125,1.4878497364873404,0.5004888255292362,0.9790571999231458,0.4034514880629413,-1.727799985322283,0.3461200971058056,-2.3026888295728734,-2.3933363952067173,-0.5201049929506819,0.5247563861098767,0.6998648220489981,0.06880259903647253,-0.021591186258777834,0.6585651545807052,0.5094245944135389,2.8935750752633194,2.064914966173703,2.0383814840550722,-1.4215539030610536,-0.1974302445842525,-1.4229084777748944,-0.0768209780442502
F,-1.6309549964740495,-1.3939982282539432,0.8757538092257736,0.07034664721546813,1.2664401840093185,0.2051949624879833,-0.6742052469430356,1.9191618865194344,-1.3316914168224308,-0.1266312033785444,-0.7818592681672566,-0.7641224787297406,0.9002341774689242,1.1436907862207975,0.0033109391926512566,-0.1454315498599624,2.3704165095771508,-1.270663921732652,-0.7559745023226665,2.429114513619063,-2.221303785644364,1.7107501451630471,-0.2082705976586806,-0.22078972335226546,-0.7917233231769368,-1.1583874683156206,-0.5618236400977653,-0.3582255902709791,-0.8206558322358687,-0.9897134343399057,-2.556425909630595,0.895494271957773,0.306632880056652,1.7245543934960619,-0.4757065460073847,1.1942271201739085,-2.46622332834223,0.3735355950036161,-0.134715045965775,-1.7487963943890614,1.1189093629305036,-1.3144445062386059,1.467504887549492,1.7446320421697281,1.342336948333771,2.0075193442327723,-2.100451680932599,-1.0484516925207783,-1.4318642073566452,-1.1080013536257498,0.16342341315200073,-0.5625772229327594,-0.17065352642783937,-1.9534923347684885,-0.9447271834557911,1.544654663203257,1.240275283774379,2.1597051972836634,0.15062223755349646,2.3030032736453765,-2.096361360280606,-1.3313649264959704,-0.5229905854984145,1.2763312573482084
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Na,-1.2960946565993052,1.101286298888685,0.858746250180446,0.948405946686502,0.9563022771999548,-0.6304929128693747,-0.9031501283709935,1.4264308172713216,-0.8029406500745313,-1.2102771409446473,0.3438990562447629,-0.18208586353767633,0.7381495113386469,0.4447202370284487,1.4189707355580488,0.6437145346517448,-0.038536111055575306,1.296838680367687,-0.7643426911575143,-0.09733592848698555,-0.812208509276803,1.312962859360581,-0.32408482895322754,0.9510233240000464,-1.0539086584964183,-0.7802618023060314,-0.7488293299052753,-0.9831287620319017,1.6073358020153914,-1.0436093944588662,0.3051417866942295,0.7295963131804286,0.6304350454814434,1.3605268765268643,-0.02083693055939125,-0.7763094687921299,0.7251134247679926,1.2526895074774322,-0.38257830057733466,-1.8283961757755376,-2.177181247572658,-1.029260035880171,2.261726549420836,-1.1164205830150133,-0.7604733049610317,0.5436695182788376,-1.0035610205235004,-0.2098881279805283,2.061287225890196,1.7413263889783466,0.4519534430282743,0.7166594367155714,1.2368841247314795,-1.7842366606027307,0.48279224233949847,2.3845840885025233,-0.07853604384542026,0.5157493923460013,0.12261200187648724,-0.08407230059007817,1.0653907075897404,-1.5696976452776867,0.2509618145814627,-1.2094268374285755
Mg,1.7578898150187268,1.4688766872695207,0.6670018526846968,0.6310996462708129,-0.8219535967192799,-1.3445662646234093,0.7958486658463357,-0.02594716122381546,-0.43099682612014556,-0.7156841163025907,0.009941812665387418,-0.9446090825150315,0.38138192218907574,-0.8697176815656193,-1.0499869925113048,-0.6140660170343667,-0.8313068059209242,2.044691135163406,-1.6686888986919626,-0.45746156069827787,-0.39451114664097753,0.6369457657949751,-0.8176572315531683,-2.069605027465426,1.0616525576606992,0.30186907186644085,-0.49849423095871176,-0.43003337396922736,-0.8268246792880362,-0.6170501451596047,0.6895361222004293,1.5530876646881961,-0.7678659806312145,2.1881750503654844,-1.2986742686295456,-0.6699523339108228,-0.8083172918005037,-0.6669993291358279,0.8631968055515485,-0.6342897677015218,-1.8474609803819944,1.1966044230420247,1.3552873106863532,0.31610673376748916,0.685375654773396,-1.259730978423554,0.4120577339257454,0.5175789119325934,1.368141975956669,1.0059472573781738,-0.5037811145344592,1.7268722279515518,-0.3525106824243778,-1.1492039780414152,-1.577586206816225,1.8394079389788431,-0.5196671573510612,0.3897626523434339,-0.43806390233250686,2.0690835708305255,-0.31301440434441324,0.36433089851938905,0.7767565683920619,-0.2171757637220044
