Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.04445691406726837,-0.34311968088150024,0.21139995753765106,0.4398306906223297,-0.20725670456886292,0.0977063849568367,-0.22234360873699188,-0.10478626936674118,-0.08502592146396637,-0.20402958989143372,-0.04436797648668289,-0.180413618683815,-0.20183108747005463,-0.040337756276130676,-0.4119774103164673,-0.4722907543182373,-0.0907752513885498,-0.32511353492736816,0.19904229044914246,-0.22930686175823212,0.23803602159023285,0.8081382513046265,-0.13598619401454926,0.11537747085094452,0.3560020327568054,0.21622808277606964,-0.32224011421203613,-0.30658069252967834,0.31133952736854553,-0.0501052662730217,-0.06263044476509094,0.1739790439605713,-0.15219689905643463,-0.1864444613456726,-0.21710218489170074,0.02644854411482811,0.012590944766998291,0.4652118682861328,0.43597355484962463,-0.6858906149864197,-0.031615931540727615,-0.676247239112854,-0.37557893991470337,0.10132981836795807,0.377623587846756,-0.6427896022796631,-0.24159233272075653,-0.7315338253974915,-0.3721812963485718,0.5554324984550476,-0.6172900795936584,0.6130058169364929,0.3011403977870941,0.3830265998840332,0.14916180074214935,-0.07457059621810913,-0.07956068962812424,-0.0725773498415947,0.7212777137756348,-0.26887035369873047,0.6143700480461121,-0.19957110285758972,-0.19726966321468353,-0.03402729332447052
Li,0.06894407421350479,-0.17285943031311035,0.15810130536556244,0.2202991396188736,0.40079739689826965,-0.24655461311340332,0.2500559091567993,0.12818142771720886,-0.18754947185516357,0.17057546973228455,-0.010522451251745224,0.27602139115333557,0.4825962781906128,-0.08034393191337585,0.03572868928313255,-0.18002913892269135,0.014642100781202316,0.1818101555109024,-0.28141918778419495,-0.568401038646698,-0.3087986409664154,-0.5414183139801025,0.4908435344696045,-0.2642435133457184,-0.4192694127559662,-0.6087868809700012,0.3097752034664154,0.0004865942755714059,-0.06538853049278259,-0.20717744529247284,0.10377849638462067,0.30493664741516113,-0.11943351477384567,0.15419791638851166,0.3327012360095978,-0.12642797827720642,0.05522802472114563,0.07743056118488312,-0.025475116446614265,0.09407813847064972,-0.28958702087402344,0.04050230607390404,0.30245721340179443,-0.032432958483695984,0.1389426290988922,0.1725456267595291,0.18760041892528534,0.208785280585289,-0.05098716542124748,-0.4872859716415405,0.8030352592468262,-0.09965308010578156,-0.5761067867279053,-0.039711181074380875,-0.12435034662485123,-0.2524539530277252,0.385219007730484,0.031504303216934204,-0.6114537119865417,-0.14291423559188843,-0.27744564414024353,0.19062381982803345,0.38241568207740784,-0.07184795290231705
Be,-0.05533301457762718,-0.03793501481413841,0.4427514970302582,-0.18199114501476288,0.33869680762290955,-0.1368948519229889,0.13611218333244324,0.20305244624614716,-0.42871466279029846,0.34544968605041504,-0.03967602923512459,-0.014666402712464333,0.2067224383354187,0.024022100493311882,0.07686060667037964,-0.5133416056632996,-0.2278214991092682,0.3964933753013611,-0.21764127910137177,0.3405507504940033,-0.08224430680274963,-0.13110898435115814,0.18687662482261658,0.40765485167503357,0.3651677966117859,-0.32048285007476807,-0.192790687084198,0.13300397992134094,0.33833959698677063,-0.35481157898902893,-0.09295431524515152,-0.05356227979063988,0.16601291298866272,0.1380966454744339,-0.12413403391838074,0.22585861384868622,-0.3460291922092438,-0.2882712483406067,-0.38483333587646484,0.03047451749444008,0.03613153472542763,-0.1610218584537506,-0.01715376041829586,0.21816684305667877,0.29740580916404724,-0.042300160974264145,0.3082911968231201,-0.07071202248334885,-0.009015455842018127,-0.6110226511955261,0.10934621840715408,-0.2727815806865692,-0.6259615421295166,-0.1778482347726822,0.035242773592472076,-0.03168919309973717,0.5569247007369995,0.7135984301567078,-0.09302428364753723,-0.23086829483509064,0.2770039737224579,-0.16059044003486633,-0.22514362633228302,-0.11799109727144241
B,-0.13017050921916962,-0.304280549287796,0.27923429012298584,-0.14836502075195312,0.3728995621204376,0.015046383254230022,0.22193731367588043,-0.2949628233909607,0.04123862087726593,-0.08021983504295349,0.2658621668815613,0.03532162308692932,0.08861327916383743,-0.11321023851633072,0.020368918776512146,-0.057332299649715424,-0.37062546610832214,-0.1735399216413498,-0.21470388770103455,-0.11075514554977417,0.017449762672185898,0.02093326300382614,0.012690533883869648,-0.4110755920410156,0.1577519178390503,0.029698645696043968,0.09657502174377441,0.37347185611724854,0.09079542011022568,-0.23521089553833008,0.1605580449104309,-0.026757387444376945,0.08883655071258545,0.03383900225162506,-0.06842666864395142,0.06569527089595795,-0.21924731135368347,0.4689984917640686,-0.30178022384643555,0.07166613638401031,0.1671348661184311,0.4156026840209961,-0.11708752810955048,0.4219094216823578,0.09890901297330856,-0.5697092413902283,-0.06427832692861557,-0.19498153030872345,-0.7222117185592651,-0.1724163293838501,-0.14079105854034424,-0.2987796366214752,-0.2428305745124817,-0.13490082323551178,-0.07547946274280548,-0.04503553360700607,0.1260986626148224,0.35905924439430237,0.33662664890289307,-0.1348862498998642,0.26366809010505676,0.11682429909706116,0.05665489286184311,-0.1069670021533966
C,0.24697257578372955,-0.1781977266073227,-0.030578378587961197,0.5339885950088501,-0.16846543550491333,0.11825822293758392,0.1872374713420868,0.09294223040342331,-0.38019511103630066,0.3645772933959961,0.23127973079681396,0.4415505528450012,-0.09767743945121765,-0.10650511831045151,0.04865588620305061,-0.29777514934539795,0.24538597464561462,-0.2940271198749542,-0.39852455258369446,0.015318031422793865,-0.6957957744598389,-0.12612922489643097,-0.2311238795518875,-0.17746634781360626,0.29098057746887207,-0.30966511368751526,0.07632141560316086,-0.05479848384857178,-0.26254186034202576,0.04697705805301666,-0.6081944704055786,-0.2098088413476944,0.07588113844394684,-0.06971648335456848,-0.13223101198673248,-0.24580946564674377,-0.16441085934638977,0.12204896658658981,-0.503166675567627,0.05780589208006859,0.2652532756328583,0.19987323880195618,-0.020069057121872902,0.42703258991241455,0.12584753334522247,-0.06625215709209442,-0.11981242150068283,-0.37486156821250916,-0.7169597744941711,0.22475719451904297,0.05506639927625656,-0.4289587438106537,0.5990998148918152,0.05616040155291557,0.4279657006263733,-0.0009579771431162953,0.007142586633563042,0.13228729367256165,0.06883275508880615,0.21224959194660187,0.24863247573375702,-0.3699600398540497,0.03991071879863739,-0.1370399296283722
N,-0.16866381466388702,-0.25961169600486755,-0.1270156353712082,0.13554953038692474,0.5505671501159668,-0.10179603099822998,0.2867017686367035,-0.1563025414943695,0.21814236044883728,-0.030640525743365288,0.12232886999845505,0.352979838848114,-0.016158025711774826,-0.09927299618721008,0.04713229462504387,-0.22014322876930237,-0.08094996213912964,0.004787519108504057,-0.08324794471263885,0.03780658170580864,-0.7041849493980408,0.00990085769444704,-0.21185733377933502,-0.4554879069328308,0.22307439148426056,-0.2663997709751129,-0.006224975921213627,-0.36494478583335876,0.20369529724121094,-0.25146985054016113,-0.12528303265571594,0.018908850848674774,0.26086604595184326,-0.09137602150440216,-0.1756802350282669,-0.34426549077033997,-0.12753170728683472,0.33943498134613037,-0.6292425990104675,-0.2582290768623352,0.09304352849721909,-0.28357064723968506,0.08753244578838348,0.2752169668674469,-0.044586047530174255,-0.008178751915693283,0.1605188548564911,-0.3524375259876251,-0.09837379306554794,-0.2605213224887848,0.4809930920600891,-0.17915940284729004,0.17602379620075226,0.07020768523216248,0.019827602431178093,-0.18098211288452148,0.2571113705635071,0.06279712915420532,-0.010789889842271805,-0.19539105892181396,-0.180193230509758,0.4247441291809082,0.19372481107711792,0.05297167971730232
O,-0.10648566484451294,-0.41205650568008423,-0.03546920418739319,-0.025698812678456306,0.19152507185935974,0.6026024222373962,0.11910425871610641,0.0007188024464994669,0.0743049830198288,-0.19858886301517487,-0.2592851221561432,-0.035719968378543854,-0.03129730746150017,-0.3950336277484894,-0.36144179105758667,-0.30225107073783875,-0.1282433122396469,-0.2572406530380249,0.2273121029138565,-0.252196341753006,-0.09658829122781754,0.24659031629562378,-0.2968825697898865,-0.5634213089942932,0.09874138236045837,-0.38541504740715027,-0.12975026667118073,-0.27530911564826965,-0.0586140975356102,-0.27689099311828613,-0.18267709016799927,0.06027960032224655,0.09277632087469101,-0.07919340580701828,0.07592587918043137,-0.3048379719257355,0.02560620941221714,0.23443357646465302,-0.1253850907087326,-0.29482975602149963,-0.03717247024178505,-0.43599340319633484,0.27724504470825195,0.6634299755096436,0.08488823473453522,-0.19170863926410675,0.3256523013114929,-0.20641867816448212,-0.8409571051597595,0.09615090489387512,-0.06855989247560501,0.2189192771911621,0.3606005012989044,0.15915177762508392,0.36073628067970276,-0.4673214554786682,-0.07106257230043411,0.10346720367670059,-0.0871078297495842,-0.3702724575996399,0.15935823321342468,0.2897135019302368,-0.1876680850982666,0.21854446828365326
F,-0.021075300872325897,-0.5237804055213928,0.018836120143532753,-0.12408282607793808,0.5042462348937988,0.33650192618370056,0.2473386973142624,0.07615798711776733,0.18399392068386078,-0.036388494074344635,0.05367665737867355,0.11846292018890381,0.13611114025115967,-0.6434299349784851,-0.31635406613349915,-0.41515493392944336,-0.0996016263961792,0.22108982503414154,0.2172045111656189,0.01420886255800724,-0.027428103610873222,-0.11073573678731918,0.017906706780195236,-0.6730528473854065,0.2424180656671524,-0.3003692924976349,0.22660474479198456,-0.1228216215968132,-0.4306115508079529,-0.06462198495864868,-0.07682617753744125,0.004391265567392111,0.015541118569672108,-0.3002720773220062,-0.08564217388629913,-0.29864272475242615,0.11396881192922592,0.8545942902565002,0.22936773300170898,-0.06741615384817123,0.05882880464196205,-0.1716831624507904,0.1136547327041626,0.37747013568878174,-0.2591477632522583,-0.2678263187408447,0.25612473487854004,-0.1681448072195053,-0.2656404674053192,-0.09368538856506348,0.4755690097808838,0.09583564102649689,0.0763779878616333,-0.0025008786469697952,-0.21623994410037994,0.14124155044555664,0.3881286382675171,-0.04603133723139763,-0.36150628328323364,-0.2655845880508423,-0.09170514345169067,0.19519729912281036,0.035833992063999176,0.40624818205833435
Na,0.009991783648729324,0.1901962012052536,0.25332996249198914,0.18483150005340576,0.14022554457187653,-0.3258798122406006,0.1479414701461792,0.442961186170578,-0.2757910490036011,0.2321719229221344,-0.1952979415655136,-0.05566444247961044,0.2024421989917755,-0.11676790565252304,0.018108397722244263,-0.12471930682659149,-0.15107262134552002,0.30419960618019104,-0.29352426528930664,-0.15706780552864075,-0.5529011487960815,-0.27007436752319336,0.2970278561115265,0.2245558202266693,-0.08136027306318283,-0.2843281924724579,0.5486044883728027,-0.19002707302570343,-0.28224799036979675,-0.6290310621261597,-0.29232457280158997,0.4473828375339508,-0.21477298438549042,-0.2660011053085327,0.2695721387863159,-0.2027425467967987,0.1432967483997345,-0.32921919226646423,0.027972513809800148,0.09943905472755432,-0.14535261690616608,-0.31762588024139404,-0.07920509576797485,0.0380084328353405,-0.06374640762805939,-0.08919940888881683,0.14737804234027863,-0.015474380925297737,0.2961139678955078,-0.353222519159317,0.16895022988319397,-0.16908328235149384,-0.22543543577194214,-0.18892434239387512,-0.21588930487632751,0.04080196097493172,-0.007047898601740599,0.26557543873786926,-0.005811733193695545,-0.27301183342933655,-0.16211293637752533,-0.08036710321903229,0.4298432171344757,-0.1351650208234787
Mg,0.010627610608935356,-0.11968767642974854,-0.3273709714412689,-0.1735224723815918,-0.5630117654800415,-0.11315843462944031,-0.15452840924263,0.05743972212076187,0.15477104485034943,-0.15456366539001465,-0.3116283118724823,0.01748482882976532,-0.022145044058561325,-0.21350689232349396,-0.06653260439634323,-0.19939465820789337,-0.5119147896766663,0.05136581510305405,0.08680445700883865,0.08516760915517807,-0.6432234644889832,0.09405183047056198,-0.4217761754989624,-0.33479276299476624,0.20036278665065765,-0.04181322082877159,0.223352313041687,-0.07728724926710129,-0.013996768742799759,-0.6987607479095459,-0.20495957136154175,-0.12952584028244019,0.04542269930243492,-0.43016260862350464,-0.2901135981082916,-0.09674093872308731,0.233286052942276,0.0035779601894319057,-0.37627357244491577,-0.4913611114025116,-0.1590353548526764,-0.6107820272445679,-0.34240472316741943,-0.08837796002626419,0.08937431126832962,-0.018120665103197098,0.0872517004609108,-0.24146032333374023,-0.22979293763637543,-0.2844037115573883,-0.3481125235557556,0.07545548677444458,0.1633140742778778,-0.09236183017492294,0.23762276768684387,0.5391290187835693,0.2751738131046295,0.6468693017959595,0.3161826431751251,-0.17706313729286194,0.21789976954460144,-0.24549905955791473,-0.48242029547691345,-0.2615930140018463
