Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.007001148536801338,-0.09485326707363129,-0.3932245969772339,-0.23461978137493134,-0.3829752802848816,0.1164693683385849,-0.6520244479179382,0.22790268063545227
Li,0.0643840879201889,0.07570856064558029,-0.17662303149700165,-0.156192809343338,-0.10029690712690353,0.1495324969291687,-0.8088991641998291,0.03194574639201164
Be,0.04052935913205147,0.37226632237434387,-0.014299394562840462,-0.302031934261322,0.0999985784292221,0.11553467065095901,-0.16682927310466766,-0.27645307779312134
B,0.42264413833618164,0.11657247692346573,0.10081246495246887,-0.14307458698749542,-0.20937205851078033,0.26914048194885254,-0.10486535727977753,-0.07588063180446625
C,-0.04400814697146416,-0.06134827435016632,-0.012865390628576279,-0.3375341296195984,-0.1065264642238617,-0.06709158420562744,-0.47395798563957214,-0.22885285317897797
N,-0.345855712890625,-0.477957159280777,0.11932147294282913,-0.33369889855384827,-0.22051550447940826,-0.2961772084236145,-0.24263766407966614,0.00274985795840621
O,-0.4924899637699127,-0.34442436695098877,-0.31631729006767273,-0.6191309094429016,0.025474611669778824,-0.2803438901901245,-0.5693065524101257,-0.26866447925567627
F,-0.6254431009292603,-0.20677417516708374,0.09176601469516754,-0.5041141510009766,-0.14738167822360992,-0.2207171469926834,-0.5123500823974609,-0.42713645100593567
Na,0.23760706186294556,0.2520916759967804,0.01892423816025257,-0.06587351113557816,0.10845839232206345,-0.23256398737430573,-0.3277550935745239,0.10349763929843903
Mg,0.33855149149894714,-0.1178651750087738,0.2153751254081726,-0.20073585212230682,-0.24038834869861603,-0.0671994611620903,-0.010782800614833832,-0.1558685153722763
Al,0.18018169701099396,0.15834978222846985,-0.15059325098991394,0.23666325211524963,0.20408160984516144,0.29807910323143005,-0.2772887349128723,0.19760212302207947
Si,0.3464546501636505,-0.15097375214099884,-0.3430505394935608,-0.09809787571430206,-0.13124297559261322,0.4470980763435364,-0.13258343935012817,-0.2504769563674927
P,0.16230560839176178,0.030256196856498718,-0.14033247530460358,-0.27960044145584106,0.02733755111694336,-0.0044723632745444775,-0.19263297319412231,-0.1044752299785614
S,-0.25535690784454346,0.02706674486398697,-0.14433997869491577,-0.1301954686641693,0.35874080657958984,-0.27205511927604675,-0.6568744778633118,-0.2733241617679596
Cl,-0.5439075231552124,-0.06125132367014885,0.2655163109302521,-0.04214960336685181,0.10784624516963959,-0.3465471863746643,-0.13589255511760712,-0.2954595685005188
K,0.12649007141590118,0.0046593863517045975,0.36557865142822266,-0.35564371943473816,-0.016247067600488663,-0.5457920432090759,-0.2842268943786621,0.05494385212659836
Ca,0.5851477384567261,-0.038690101355314255,0.2409260869026184,-0.2280506044626236,0.06064407154917717,-0.0967513918876648,0.5603985786437988,-0.10555196553468704
Sc,0.5487780570983887,-0.3652177155017853,-0.1464851051568985,0.10743317008018494,-0.22935345768928528,-0.13936491310596466,0.8975198268890381,-0.02640966884791851
Ti,0.7529667615890503,-0.5187934041023254,-0.4348292350769043,0.0681389719247818,-0.06016711890697479,0.24897471070289612,0.5404139161109924,-0.19653794169425964
V,0.3878341615200043,-0.3113417327404022,-0.7138205766677856,0.04194122180342674,0.4822517931461334,0.22749528288841248,0.2988463044166565,-0.2323824018239975
Cr,0.40263831615448,-0.252214252948761,-0.7157602310180664,0.21870487928390503,0.5959065556526184,0.13007327914237976,-0.10212426632642746,-0.27022722363471985
Mn,0.3709096312522888,-0.27061110734939575,-0.7003814578056335,0.29036661982536316,0.4453977346420288,-0.059931546449661255,0.4106614291667938,-0.23798532783985138
Fe,0.6581059694290161,-0.477573424577713,-0.5789132714271545,0.18706470727920532,0.26188552379608154,0.2200947105884552,0.49825480580329895,-0.25000301003456116
Co,0.5500161051750183,0.19723068177700043,-0.6196033954620361,0.09446985274553299,0.6454656720161438,0.10722288489341736,0.12418442964553833,-0.2708088755607605
Ni,0.6472581028938293,-0.3227699398994446,-0.6735231876373291,-0.07018877565860748,0.1136060580611229,0.29476797580718994,0.34389153122901917,-0.39873236417770386
Cu,0.5236465334892273,-0.1131095364689827,-0.5597407817840576,-0.08052047342061996,0.3973986506462097,0.051039837300777435,0.1806975156068802,-0.37081509828567505
Zn,0.41355419158935547,-0.3892054557800293,-0.6279917359352112,0.037620071321725845,0.27257341146469116,0.24593420326709747,0.706455409526825,-0.12155712395906448
Ga,0.3795585632324219,0.18798327445983887,-0.22325477004051208,-0.0967741459608078,0.038542840629816055,0.3814709186553955,-0.022317714989185333,0.0796721950173378
Ge,0.5738306641578674,-0.3520511984825134,-0.48853597044944763,-0.3444145917892456,-0.17970624566078186,0.4826298654079437,0.13507232069969177,-0.2616092562675476
As,0.40403300523757935,-0.1220187172293663,-0.2234976887702942,-0.30353865027427673,-0.13491803407669067,0.3418663740158081,0.07788191735744476,-0.14782284200191498
Se,0.0015574151184409857,-0.2666116952896118,-0.3184618055820465,-0.27505022287368774,0.32791227102279663,-0.04945223405957222,-0.27420130372047424,-0.3600044250488281
Br,-0.27185723185539246,-0.06267796456813812,0.09992733597755432,-0.3365691304206848,0.25072890520095825,-0.42468610405921936,0.15064848959445953,-0.3420872688293457
Rb,-0.04760803282260895,0.09070207923650742,0.0650266483426094,0.003121372312307358,0.3072000741958618,-0.444574236869812,-0.6296769976615906,0.1242721676826477
Sr,0.494032084941864,-0.0523633137345314,0.24225907027721405,-0.042547501623630524,-0.08440764248371124,0.07768591493368149,0.2521760165691376,0.03818307816982269
Y,0.39396175742149353,-0.30719098448753357,-0.20669779181480408,0.2632170021533966,0.011950260028243065,-0.1650410294532776,0.5546274185180664,0.09149234741926193
Zr,0.4991810619831085,-0.3011212944984436,-0.5027083158493042,0.22956421971321106,0.10023967921733856,0.014367545023560524,0.2598896622657776,-0.06505825370550156
Nb,0.4409480690956116,-0.06816334277391434,-0.63321852684021,0.09549601376056671,0.1724855899810791,0.3200947940349579,0.07708632946014404,-0.20634524524211884
Mo,0.25850507616996765,-0.24159285426139832,-0.7656329274177551,0.32802528142929077,0.3769369423389435,0.2900516092777252,-0.24898134171962738,-0.06568406522274017
Tc,0.12894445657730103,-0.32338446378707886,-0.8842771649360657,0.5345555543899536,0.25323763489723206,0.2167457938194275,-0.18175475299358368,-0.11396487802267075
Ru,0.28152960538864136,-0.6351392269134521,-0.8335360288619995,0.1565229743719101,0.1053992211818695,0.5145958065986633,-0.08342082053422928,-0.07999686151742935
Rh,0.13183987140655518,-0.27171677350997925,-0.6358868479728699,0.05052727460861206,0.36821693181991577,0.28646114468574524,-0.3417400121688843,-0.07586067169904709
Pd,0.3839658796787262,-0.4198804497718811,-0.8494212031364441,0.34729525446891785,0.10234370082616806,0.5682511329650879,-0.03839248791337013,-0.1953875571489334
