Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.41196346282958984,1.1320462226867676,-1.6664389371871948,-1.1406528949737549,-1.2443304061889648,-0.8046683073043823,0.6318053007125854,-0.546855092048645,0.9380715489387512,-1.0481476783752441,1.105205774307251,-0.25124800205230713,-0.6163288950920105,0.8508667945861816,-1.5134040117263794,2.4273204803466797,-0.16464996337890625,0.8080967664718628,-0.2923675775527954,-1.9921694993972778,-0.05872112512588501,-0.796992838382721,-0.5804491639137268,-0.9431771039962769,2.058445453643799,-1.0618566274642944,-1.0618157386779785,-2.0115456581115723,-0.9049519300460815,-0.8058978915214539,-0.27823883295059204,0.5063992738723755
Li,-1.3722786903381348,-0.7527126669883728,0.0075330957770347595,1.0340430736541748,-1.3103442192077637,-1.4226813316345215,-0.742763102054596,-0.7920641899108887,0.7638677954673767,1.0421686172485352,0.8017094135284424,0.47018206119537354,-0.4913193881511688,-1.4840784072875977,-0.7908468246459961,-0.5719520449638367,-0.4476490914821625,0.6609233617782593,-0.4973873496055603,0.25727298855781555,-0.6670629978179932,0.47101926803588867,1.0638459920883179,-0.1651294231414795,-1.6655535697937012,0.7813464403152466,-0.7588286399841309,0.68984055519104,-0.4219481647014618,-0.11780649423599243,0.29055097699165344,0.40483275055885315
Be,0.3522064983844757,0.28941166400909424,-1.2800908088684082,0.32929176092147827,-0.9323745369911194,-1.0822538137435913,-0.21177136898040771,-0.9998174905776978,-1.148065209388733,0.44801065325737,0.7851629257202148,0.6026170253753662,-0.2996826171875,1.8218117952346802,-0.14376917481422424,-0.18907558917999268,1.0925499200820923,-0.014399607665836811,0.8552843928337097,0.46388930082321167,0.9630815386772156,2.005246162414551,0.8497319221496582,-0.49665582180023193,0.544628918170929,1.1389223337173462,0.3876264691352844,-0.7583315372467041,0.5792467594146729,0.3208696246147156,0.5882033109664917,1.207671046257019
B,-1.0780514478683472,-0.8956922292709351,0.2535362243652344,-0.6846321225166321,-0.28177469968795776,-0.8233236074447632,-0.3056771755218506,0.10612699389457703,0.42865800857543945,0.27551907300949097,0.3929639458656311,1.8513890504837036,1.4629453420639038,0.7456881403923035,-0.8348153829574585,-0.33166688680648804,-1.2118375301361084,0.17662742733955383,-0.24418425559997559,-0.4384768009185791,0.3662930727005005,1.458458662033081,0.7659406065940857,-1.3906426429748535,-0.16679638624191284,0.7027588486671448,0.6085595488548279,-0.3475121259689331,0.332375168800354,-0.3663513958454132,0.010682269930839539,0.3170146942138672
C,-0.4110119342803955,-0.6334472894668579,1.734652042388916,0.9035611152648926,1.3854267597198486,-0.05615818500518799,0.4633145332336426,1.0167498588562012,-0.7095080018043518,-1.7079601287841797,0.5858017206192017,-0.12884286046028137,1.2440733909606934,-1.6869170665740967,-0.7802260518074036,-1.9647867679595947,-0.7264200448989868,-0.9590568542480469,-0.498309850692749,0.6229442358016968,0.8842037916183472,-0.7500358819961548,1.1645989418029785,0.7041720151901245,0.5146010518074036,-0.9272029399871826,-0.6433694958686829,0.7223025560379028,0.3187827169895172,0.8346067070960999,-0.7924702763557434,0.20437908172607422
N,-0.07966979593038559,-0.011424869298934937,-0.3145124316215515,-0.43529069423675537,-0.13780687749385834,-0.2831563949584961,-0.2883101999759674,0.4166264533996582,0.5751577615737915,0.4046577215194702,-1.4978265762329102,-0.43959900736808777,0.28584662079811096,0.017241448163986206,0.8842591047286987,1.5072611570358276,-0.11367501318454742,0.22144082188606262,1.552347183227539,0.19092673063278198,0.15767082571983337,0.8382853269577026,1.1161036491394043,0.5616519451141357,-0.23325656354427338,-0.2015025019645691,0.8142974972724915,1.213801622390747,0.5293574333190918,0.5017279386520386,-0.2539014220237732,-0.7785056829452515
O,-0.5214171409606934,-0.5293357968330383,1.8356643915176392,1.1551079750061035,-0.5087867379188538,-1.0706150531768799,0.4421502947807312,1.2046016454696655,-1.3088223934173584,0.3171067237854004,-0.15193365514278412,-0.3885519206523895,-0.3777029812335968,0.2798854112625122,0.24197331070899963,0.4840829074382782,1.7353343963623047,-0.25262516736984253,-1.1077542304992676,-0.12041789293289185,-0.23312616348266602,0.6126868724822998,0.3053247332572937,-0.9854632616043091,0.5174463391304016,0.41093331575393677,1.0236867666244507,-2.023470878601074,-0.3043380379676819,1.5812273025512695,-0.960740327835083,0.2929208278656006
F,-0.027943581342697144,-0.7602197527885437,1.732319712638855,0.011093661189079285,0.2375638633966446,-0.9853777289390564,-2.129179000854492,-1.3932693004608154,0.8457542657852173,-1.514631986618042,-0.27920204401016235,0.6024264097213745,1.3340368270874023,-1.1078413724899292,0.5791124701499939,-0.5317641496658325,0.3064773678779602,1.7998915910720825,-0.3977505564689636,0.06840044260025024,-1.1025300025939941,1.361175775527954,0.8126355409622192,-0.9919157028198242,0.8422836065292358,-0.6948091983795166,0.36546945571899414,-1.485530138015747,1.7208412885665894,2.073559522628784,0.4350449740886688,-2.2884013652801514
Na,0.1227971613407135,-1.9215443134307861,-1.572413444519043,0.4659411907196045,-1.9213249683380127,-0.841591477394104,0.36462146043777466,-0.2974182963371277,-0.42913806438446045,-0.8050307631492615,-1.4700133800506592,-0.6403300762176514,-1.8453360795974731,1.2073231935501099,-0.6661998629570007,-1.5579078197479248,-0.36438339948654175,1.1720502376556396,2.1502208709716797,-1.3234477043151855,0.004999004304409027,1.0885865688323975,1.2695481777191162,-0.3877916634082794,-0.25720280408859253,-0.02207428216934204,0.9354434609413147,-1.5565464496612549,1.1887056827545166,-1.241887092590332,-0.37994128465652466,1.2049487829208374
Mg,0.8037274479866028,-0.5516518950462341,1.2712583541870117,-0.12536469101905823,-0.8608093857765198,1.1466137170791626,-2.0343570709228516,-0.049224406480789185,-0.28140729665756226,-0.33898234367370605,-1.848506212234497,0.020652741193771362,-1.1816755533218384,1.220730185508728,-0.9459079504013062,-0.4558676481246948,0.46700534224510193,-1.4913355112075806,0.5883920788764954,-1.2426419258117676,-0.5858395099639893,-0.11822754144668579,0.9499991536140442,-1.7701960802078247,-0.2145634889602661,1.4406129121780396,-0.1384964883327484,2.262782096862793,-1.1698658466339111,-0.5153788924217224,0.10527333617210388,0.8124908208847046
Al,-0.6997207403182983,-0.0013190805912017822,0.03334170579910278,-0.9097084999084473,-0.9933492541313171,1.0265564918518066,-1.6591074466705322,0.46940961480140686,-0.646675705909729,0.7495448589324951,-1.4660083055496216,-0.2628847360610962,-1.2395590543746948,1.6009485721588135,0.6467610597610474,-1.4667772054672241,0.538872241973877,0.2683389484882355,0.2069033533334732,0.1221596896648407,0.5539782643318176,0.5183147192001343,-2.281407356262207,-0.8963643312454224,-0.7587113976478577,0.6310341358184814,0.5900973081588745,0.4615764617919922,0.3993881642818451,2.1032283306121826,0.7455108165740967,-0.48326820135116577
