Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-1.8680306673049927,-0.3850749731063843,-4.303560256958008,3.3028275966644287,2.637108564376831,-1.165374755859375,0.310833603143692,2.1454522609710693,2.440422534942627,-0.5089326500892639,3.2576897144317627,1.418312907218933,1.223738431930542,-1.469547986984253,1.0104928016662598,-0.10862438380718231
Li,-0.4817349314689636,-0.17265012860298157,-1.224703311920166,-0.42491263151168823,1.083608627319336,-0.05618225783109665,0.9253652095794678,0.8570067286491394,1.210279941558838,-0.1452200561761856,0.859726071357727,0.8937820792198181,-0.19499725103378296,-1.1046711206436157,1.4385690689086914,-0.6483280658721924
Be,0.4029942452907562,0.15451061725616455,-0.09581905603408813,-0.46637848019599915,0.5376437902450562,-0.48455026745796204,0.21636372804641724,-0.41517728567123413,-0.17070797085762024,0.021546222269535065,-0.044231951236724854,0.4048353433609009,0.29967883229255676,-0.07194561511278152,0.8622885346412659,-0.0609607994556427
B,0.7101781368255615,0.15116354823112488,-0.03706154227256775,-0.614786684513092,0.4395478665828705,0.0012278002686798573,-0.06661875545978546,1.019275188446045,-0.6146543025970459,-0.15087096393108368,-0.3713345229625702,0.48606622219085693,1.2081959247589111,0.15832772850990295,-0.7115843296051025,-0.09660062193870544
C,1.1714726686477661,0.31800809502601624,-0.6113297939300537,-0.21376636624336243,0.5572690367698669,-0.8254249691963196,0.1760486513376236,0.7794932723045349,0.23107017576694489,-0.25210756063461304,0.7350618243217468,0.5874808430671692,-0.42718005180358887,0.004611271433532238,1.3066867589950562,0.2674880027770996
N,0.22636911273002625,-0.505005419254303,-0.1975988894701004,0.4084211587905884,1.5471808910369873,-0.3119126260280609,0.3159087002277374,0.38402676582336426,0.10616914182901382,0.08003050833940506,0.6162347197532654,1.453946828842163,0.1047648936510086,-0.6313475966453552,1.845699429512024,-0.7381182312965393
O,0.7499173879623413,0.33262234926223755,-0.8331431150436401,0.6536388993263245,1.814819097518921,-0.6637275815010071,1.5562829971313477,1.0124942064285278,1.1009143590927124,-0.007909953594207764,1.2105300426483154,1.2968406677246094,-0.35455256700515747,-0.41427287459373474,2.847477674484253,0.034452635794878006
F,0.9704914093017578,0.2523820698261261,-0.3862677812576294,0.5918284058570862,1.310303807258606,-0.38382577896118164,0.18634137511253357,0.8697673082351685,0.4062378406524658,0.11300764232873917,-0.2581665813922882,1.5895588397979736,-0.14809317886829376,-0.26252058148384094,2.22629976272583,-0.6240713596343994
Na,0.15559691190719604,0.5952324271202087,-2.083130121231079,0.5405129790306091,2.2538669109344482,-1.0538051128387451,1.2761727571487427,-0.0777515172958374,1.058197021484375,-0.58448326587677,0.4703550338745117,-0.1695227473974228,-0.6684812903404236,-0.5986795425415039,1.0330735445022583,-0.36107775568962097
Mg,0.8236966729164124,1.0552648305892944,-0.701036274433136,-0.3135380446910858,0.15648598968982697,-0.10615886002779007,0.6292514204978943,0.21998320519924164,0.389059454202652,-0.2730412781238556,-0.8569676876068115,0.42167070508003235,-1.0751608610153198,0.08698219805955887,0.9387484192848206,0.36909136176109314
Al,0.28131744265556335,0.6160976886749268,0.8803680539131165,-2.5237348079681396,-0.878980278968811,0.9142251014709473,0.8458317518234253,-0.9845021963119507,0.39886677265167236,1.2648707628250122,-0.7839311957359314,0.6943167448043823,-0.8143772482872009,1.0734727382659912,2.037186622619629,-0.3222786784172058
Si,0.5987333655357361,0.7072091102600098,-0.7185437679290771,-0.9851273894309998,-0.10722735524177551,0.012949722819030285,0.20851309597492218,0.2233145385980606,0.9652218818664551,0.6075396537780762,1.114775538444519,1.269081950187683,-1.2107820510864258,0.3061680495738983,2.0070552825927734,1.0314592123031616
P,-2.0640718936920166,-0.2977648973464966,1.8977049589157104,-1.016356348991394,-0.5516918301582336,2.495087146759033,0.012882877141237259,-1.218928337097168,0.5377209782600403,4.057918548583984,0.5352480411529541,3.4363856315612793,-0.35656407475471497,-1.114853024482727,1.2135883569717407,-1.8115856647491455
S,0.3228434920310974,0.39174407720565796,0.6055578589439392,-0.38075706362724304,-0.024235285818576813,0.20362262427806854,1.3186737298965454,0.7001831531524658,0.4922920763492584,1.2071056365966797,-0.5431779026985168,2.6587352752685547,-0.9392154216766357,0.7208712100982666,2.3571465015411377,-0.029166175052523613
Cl,0.5643324851989746,0.33538302779197693,-0.5727204084396362,0.9912346601486206,2.101754665374756,-0.9575165510177612,0.9381144642829895,0.02341492474079132,0.23739878833293915,-0.2358146756887436,-0.14318254590034485,0.5394963026046753,-0.46502232551574707,0.36045369505882263,1.9494297504425049,-0.5485178232192993
