Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.1546580046415329,-0.15236403048038483,0.032573215663433075,0.02816658467054367,-0.036947041749954224,0.32954177260398865,-0.15189020335674286,-0.11087599396705627,0.11025829613208771,0.4731844961643219,0.002856462961062789,-0.19692176580429077,-0.0931343138217926,-0.2833298146724701,0.05436984822154045,-0.04726163297891617,0.033184703439474106,0.008855311200022697,-0.11040613055229187,-0.2689865529537201,-0.4008881151676178,0.051354557275772095,0.1041189581155777,-0.26214951276779175,-0.3289726972579956,0.15240634977817535,-0.07227998226881027,0.14292407035827637,0.1919388324022293,0.06657025963068008,0.1797085851430893,-0.12297476083040237,-0.012620871886610985,-0.06279876083135605,-0.09612533450126648,-0.15049304068088531,0.04343406856060028,0.02714644931256771,-0.1042414978146553,0.25567734241485596,0.2856506407260895,0.06436362117528915,0.07158010452985764,-0.10488110780715942,0.09907721728086472,0.10025203227996826,-0.16701450943946838,0.02376401424407959,-0.003148647490888834,0.23599773645401,0.3130844533443451,-0.123927041888237,-0.035570282489061356,-0.04749765619635582,0.2894771099090576,-0.17061936855316162,-0.15346603095531464,-0.10299569368362427,-0.280880331993103,-0.21213561296463013,-0.10525446385145187,-0.27019116282463074,-0.3227788209915161,-0.012811129912734032
Li,-0.11784590780735016,0.0676538422703743,-0.10167772322893143,-0.31950992345809937,0.10537105798721313,0.27531543374061584,-0.10020073503255844,-0.006319880019873381,0.15643475949764252,0.3994114398956299,0.028556205332279205,0.053022872656583786,-0.01724248193204403,-0.07504754513502121,0.0027620859909802675,0.07056266814470291,0.37998804450035095,-0.04119803011417389,-0.15375307202339172,-0.3613259196281433,0.014336568303406239,0.11424223333597183,-0.13386890292167664,-0.28404924273490906,0.17691349983215332,0.1778152585029602,-0.22858448326587677,-0.060550373047590256,0.18339836597442627,-0.15195879340171814,-0.051565755158662796,-0.21915772557258606,-0.19025775790214539,0.1570352166891098,-0.2687786817550659,-0.14937707781791687,-0.0688692033290863,0.07985974848270416,0.1051354631781578,-0.11121411621570587,0.18239788711071014,0.10843970626592636,0.16199563443660736,-0.37013983726501465,0.06081312894821167,0.17701858282089233,0.1173708587884903,-0.12760698795318604,0.08680136501789093,0.26322782039642334,0.0715738832950592,0.07896289229393005,-0.049373071640729904,-0.15350425243377686,-0.1130790114402771,-0.2626110315322876,-0.34123361110687256,-0.12659792602062225,-0.1382509171962738,0.10172557830810547,-0.30019742250442505,0.13072064518928528,-0.26863983273506165,-0.0256896261125803
B,0.1694124937057495,0.14745399355888367,-0.1497727632522583,-0.044268812984228134,-0.08393627405166626,0.0020902385003864765,-0.12209662050008774,-0.005184841807931662,-0.1549091339111328,-0.014730595983564854,-0.050749681890010834,-0.1835601031780243,-0.19420108199119568,-0.06440777331590652,-0.01418982818722725,0.12540662288665771,-0.11366663128137589,0.06365768611431122,-0.16672176122665405,-0.16729700565338135,-0.2307606339454651,-0.1283712536096573,0.13765083253383636,-0.011962245218455791,0.022176478058099747,-0.12114238739013672,-0.12152785062789917,0.19349247217178345,0.38942474126815796,0.22171635925769806,0.07250325381755829,0.07491310685873032,-0.36204129457473755,0.18659013509750366,0.08827769011259079,0.16133518517017365,-0.2033567875623703,0.06592904031276703,0.140666201710701,0.13690750300884247,0.06778787076473236,0.01250600814819336,0.09696672111749649,-0.15710866451263428,-0.03141319379210472,-0.03480047360062599,0.09472020715475082,-0.42552700638771057,0.0027217708993703127,0.14823853969573975,0.5347102284431458,0.18426279723644257,-0.06995294988155365,0.08516325056552887,0.390751451253891,-0.05913394317030907,-0.1098196730017662,0.13333144783973694,0.2051941454410553,-0.03893965482711792,0.06769079715013504,0.004075119271874428,-0.21723704040050507,-0.2685423493385315
C,-0.006843493320047855,-0.10314022749662399,0.06329808384180069,0.06680403649806976,0.1145385131239891,0.23585812747478485,0.13867735862731934,0.09412482380867004,-0.059823159128427505,0.09139330685138702,0.15450792014598846,0.16458450257778168,0.2330237329006195,-0.26817622780799866,-0.08193245530128479,0.07345647364854813,-0.2712990641593933,-0.1074400544166565,0.057584695518016815,0.07740137726068497,0.07041589170694351,-0.031157229095697403,0.00204930710606277,-0.12608666718006134,-0.026339618489146233,0.07951393723487854,-0.24821268022060394,0.09413930773735046,0.17493097484111786,-0.15160202980041504,-0.05848215892910957,-0.04024648666381836,0.061298664659261703,0.04480196163058281,0.31962430477142334,0.36108919978141785,-0.34775641560554504,-0.15801508724689484,0.16099752485752106,0.04869134724140167,-0.2156396061182022,0.17826421558856964,0.03332263231277466,-0.014158261008560658,0.042559631168842316,0.09073267132043839,0.0954064354300499,-0.10377369076013565,0.0717063769698143,-0.10731817036867142,0.47900936007499695,-0.08116589486598969,0.126185342669487,-0.005838395096361637,0.09559309482574463,-0.2364235669374466,0.1382872760295868,0.23202568292617798,0.14313636720180511,-0.09783048927783966,0.048944465816020966,-0.08613082766532898,0.07508886605501175,-0.13069792091846466
N,0.012322409078478813,-0.0490739606320858,0.28962278366088867,0.09138159453868866,-0.15277136862277985,0.3326757252216339,-0.07374704629182816,-0.11757578700780869,-0.0711398646235466,0.19874823093414307,0.046876564621925354,-0.26002606749534607,-0.12545448541641235,-0.041158195585012436,0.406597763299942,-0.11304409801959991,-0.17220096290111542,-0.18734420835971832,0.05079923942685127,-0.05203407630324364,-0.05351890251040459,-0.1567988246679306,0.18587760627269745,0.08932432532310486,-0.04032468795776367,0.1834685206413269,-0.039123501628637314,-0.12228361517190933,0.24020491540431976,-0.34906983375549316,0.16494490206241608,-0.25333234667778015,-0.05321776494383812,-0.028735056519508362,0.3140374422073364,-0.07007049769163132,0.13708391785621643,-0.12055102735757828,-0.13384844362735748,0.011103368364274502,0.0020677256397902966,-0.07003521174192429,-0.03297295793890953,-0.313311904668808,0.05891873314976692,-0.0489223413169384,-0.1325288861989975,0.08152183890342712,-0.14580634236335754,-0.046109963208436966,0.15605765581130981,-0.03182098641991615,-0.18094031512737274,0.244975283741951,0.49845677614212036,-0.19107608497142792,0.21487118303775787,-0.0540974922478199,-0.027940960600972176,-0.024826180189847946,-0.19819551706314087,0.0836954340338707,0.03624387085437775,0.09071656316518784
O,0.23712612688541412,-0.18543580174446106,0.25701332092285156,-0.1499796062707901,-0.07101453840732574,0.24066200852394104,0.17822100222110748,-0.04659971967339516,-0.04517894610762596,0.12635602056980133,0.0483328253030777,-0.021020378917455673,-0.3207383453845978,0.0019398441072553396,0.29123955965042114,-0.08153780549764633,-0.0875893235206604,0.008084027096629143,0.14274488389492035,-0.31386798620224,-0.17015331983566284,-0.039951127022504807,-0.015758199617266655,0.09319262206554413,-0.3485638499259949,-0.23183868825435638,-0.12791337072849274,0.020335901528596878,0.2551838755607605,-0.2842269539833069,-0.07213357090950012,-0.09816166013479233,0.06783273071050644,-0.11187347769737244,0.06979843229055405,0.20653608441352844,0.000685668783262372,-0.07786037027835846,0.1544819176197052,0.22702553868293762,0.02640369161963463,-0.14225037395954132,-0.21767249703407288,0.09974066913127899,0.04963875934481621,0.3420625627040863,-0.009601486846804619,0.09373322129249573,-0.01854870654642582,-0.09653585404157639,0.2352818101644516,-0.2591874301433563,-0.22218739986419678,-0.18767492473125458,0.17918510735034943,-0.45722249150276184,-0.03720928728580475,-0.018704894930124283,0.03296063467860222,-0.1332145631313324,-0.22680965065956116,-0.33631443977355957,-0.05390739440917969,-0.11083317548036575
F,-0.2542848587036133,-0.011230746284127235,0.32174599170684814,-0.2036847174167633,0.16973702609539032,0.1555062085390091,0.1500207483768463,-0.4734633266925812,0.215209499001503,0.1896887868642807,-0.036171454936265945,-0.19932979345321655,-0.15211695432662964,0.08757556974887848,0.13659453392028809,-0.1309964805841446,-0.06490024924278259,0.040245071053504944,-0.1974053978919983,-0.24142520129680634,0.0689617246389389,-0.1590682864189148,-0.05594928190112114,0.12181757390499115,-0.22506219148635864,-0.012403539381921291,0.18015336990356445,-0.0544612742960453,-0.05114692449569702,-0.015621699392795563,0.12655223906040192,-0.289092481136322,-0.06556914746761322,-0.010793027468025684,0.26614469289779663,-0.1448131501674652,0.21061237156391144,-0.02138635888695717,-0.12569768726825714,0.09504814445972443,-0.10595916956663132,0.08152923732995987,-0.15967513620853424,0.027851853519678116,0.09473498165607452,0.38923755288124084,-0.24777714908123016,0.1251196563243866,0.08271832019090652,-0.06523901969194412,0.37218084931373596,-0.24666854739189148,-0.2519473135471344,0.17599374055862427,-0.02330719493329525,-0.2197020798921585,0.10578501224517822,0.21383653581142426,0.35841038823127747,-0.16645605862140656,-0.47229835391044617,0.11384545266628265,0.07359136641025543,-0.04228110983967781
Na,0.052525412291288376,0.08297106623649597,-0.04266918823122978,-0.12340828776359558,-0.1986517608165741,0.17046068608760834,-0.17850065231323242,-0.000768148573115468,0.07996878027915955,0.27163973450660706,-0.20184014737606049,0.02427653595805168,-0.1794830709695816,0.06647463887929916,-0.023868869990110397,0.020844092592597008,0.31664779782295227,0.03269849717617035,-0.12774892151355743,-0.271369993686676,-0.09632547944784164,0.0351654477417469,-0.07944144308567047,-0.12515388429164886,-0.039786405861377716,0.22636759281158447,-0.048573605716228485,-0.019454607740044594,-0.1727898269891739,-0.23285645246505737,0.06940579414367676,-0.02851046994328499,-0.3099386692047119,0.2481282651424408,0.06263944506645203,-0.19260071218013763,0.13655279576778412,-0.10045727342367172,0.07957470417022705,0.03168930113315582,0.17802777886390686,-0.05104375258088112,0.25123319029808044,-0.3893072009086609,-0.013063081540167332,0.04036025330424309,0.09806553274393082,-0.3833399713039398,0.39221590757369995,0.31974494457244873,-0.026958046481013298,-0.14090847969055176,-0.047113481909036636,-0.1569737195968628,-0.213469460606575,-0.29538023471832275,-0.07452027499675751,-0.07483353465795517,-0.0462455190718174,-0.03837908059358597,-0.12929530441761017,0.03655814379453659,-0.16399993002414703,-0.13736000657081604
Mg,0.03904175013303757,-0.19887998700141907,0.2587110698223114,-0.19449429214000702,-0.17774032056331635,0.07221847027540207,0.17954355478286743,0.08383256196975708,0.06642594188451767,-0.14968366920948029,0.10741046816110611,0.06790123134851456,0.04157103970646858,-0.008535219356417656,0.07828271389007568,0.1462453156709671,0.09686882793903351,0.09282704442739487,-0.004434092901647091,-0.015822147950530052,-0.2864510118961334,-0.2540593445301056,-0.24176211655139923,-0.21052248775959015,-0.5168401002883911,0.18486052751541138,0.18535174429416656,-0.20520703494548798,0.28640997409820557,-0.027977827936410904,-0.1256375014781952,0.08100118488073349,-0.32114753127098083,0.20621450245380402,0.2760413885116577,-0.3747662305831909,0.23265036940574646,-0.14998531341552734,-0.04875034838914871,0.12454000860452652,-0.19942860305309296,-0.2818273603916168,-0.20009677112102509,-0.03678273409605026,0.0380045510828495,0.10125719010829926,-0.30913740396499634,-0.17797359824180603,0.04385751113295555,0.12044353783130646,-0.3863475024700165,-0.1223989948630333,-0.4391464591026306,0.15416942536830902,0.034222982823848724,-0.13161218166351318,-0.09870211780071259,0.0944799929857254,-0.16200754046440125,-0.03589390963315964,0.11322493851184845,-0.023201992735266685,-0.14834877848625183,-0.06038782745599747
Al,-0.09913024306297302,-0.15020257234573364,0.24503715336322784,0.07876689732074738,-0.1811460554599762,0.38853970170021057,0.20644521713256836,0.2887934744358063,0.2363005131483078,-0.26087719202041626,-0.07900689542293549,-0.31852835416793823,-0.18062691390514374,-0.027951914817094803,0.28927651047706604,-0.3793729841709137,0.1878165751695633,0.2956077456474304,-0.07361752539873123,-0.14952613413333893,-0.10334561765193939,-0.0403471514582634,0.07857193052768707,0.45994192361831665,-0.12108072638511658,0.040705762803554535,-0.006383467465639114,0.10314837843179703,-0.005342839285731316,-0.04205051064491272,-0.15699033439159393,0.07236035168170929,-0.10859782248735428,0.30108094215393066,0.007177852559834719,-0.13110823929309845,0.1521558165550232,0.19936129450798035,0.015446384437382221,0.09606484323740005,0.19327287375926971,-0.11225655674934387,0.10084887593984604,-0.1865864098072052,-0.07201885432004929,-0.11820253729820251,0.4117840826511383,0.0784655436873436,0.1478775441646576,-0.17461970448493958,-0.07392071932554245,0.18965058028697968,-0.250912070274353,0.051282551139593124,0.09305000305175781,-0.2175343632698059,-0.20056112110614777,-0.009149451740086079,-0.10004084557294846,-0.2757890820503235,-0.4280456304550171,0.06117415428161621,-0.023844333365559578,-0.056820206344127655
