Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.2676866948604584,-0.14282241463661194,0.0029330714605748653,-0.13581128418445587,-0.17939242720603943,0.19520072638988495,-0.25959697365760803,0.09159895777702332,0.1521281749010086,0.1283663511276245,-0.3666141927242279,0.06948332488536835,-0.20185191929340363,-0.0070894560776650906,-0.16707032918930054,0.2965192198753357,-0.08788981288671494,0.0885339081287384,-0.0017449557781219482,0.007241952233016491,-0.010211512446403503,-0.29669567942619324,0.10833842307329178,-0.11365549266338348,0.429012656211853,0.20354557037353516,0.15313076972961426,0.16293945908546448,-0.1760905534029007,-0.03590647131204605,0.16059361398220062,0.16933320462703705
Li,-0.1347566843032837,-0.04091905429959297,-0.10368596017360687,-0.05197624862194061,-0.27117684483528137,0.14956603944301605,0.06284360587596893,-0.10889556258916855,0.17499426007270813,0.09258411079645157,-0.30346283316612244,0.12524846196174622,-0.06131725758314133,0.011450063437223434,-0.04567579925060272,-0.2182973325252533,0.09833601117134094,-0.18258142471313477,0.011113552376627922,-0.26171553134918213,-0.1554628610610962,-0.08544133603572845,0.11457663774490356,0.011534061282873154,-0.023493405431509018,0.3046276867389679,-0.07423669099807739,0.2438727468252182,-0.12728990614414215,0.02580941841006279,0.05432267114520073,-0.06732496619224548
B,-0.05451289936900139,0.20606549084186554,-0.3278051018714905,0.23708367347717285,-0.2516932785511017,-0.06536715477705002,0.0639815479516983,0.01955239474773407,-0.05360625684261322,-0.08123482018709183,-0.13363181054592133,0.3192078769207001,-0.03568899258971214,0.19443024694919586,-0.06284396350383759,-0.021934177726507187,-0.2181067168712616,-0.0274283979088068,-0.2047439068555832,-0.3379020094871521,0.1571720540523529,-0.2799859642982483,-0.014315089210867882,-0.4195563793182373,-0.06846967339515686,0.12794403731822968,0.08163164556026459,-0.2854463756084442,-0.001356363296508789,-0.06647367030382156,0.31636708974838257,-0.23387233912944794
C,-0.009673748165369034,0.019945500418543816,-0.29905828833580017,0.13872483372688293,-0.16549818217754364,0.17590342462062836,0.0751020610332489,-0.04685216397047043,-0.003496559103950858,-0.07629796862602234,0.027071470394730568,-0.038590192794799805,-0.06722739338874817,0.21382026374340057,-0.07794386893510818,-0.008723851293325424,0.06837517023086548,0.018749285489320755,0.05695299431681633,-0.27742505073547363,0.18678055703639984,0.11620933562517166,0.006788674741983414,-0.19059720635414124,-0.17201928794384003,0.3318859040737152,-0.15987861156463623,-0.3739383816719055,0.1942642778158188,0.061861395835876465,0.00877344235777855,-0.45621636509895325
N,0.16182969510555267,0.07363585382699966,-0.03540784493088722,-0.07013815641403198,-0.2090989649295807,0.12264185398817062,0.26637470722198486,0.10377184301614761,0.16199910640716553,-0.0735451728105545,0.06130025535821915,0.03199458122253418,0.04231872409582138,0.5491851568222046,0.12107500433921814,-0.08682861179113388,-0.2721764147281647,0.06983709335327148,0.003916979301720858,-0.209632009267807,0.2176264375448227,-0.046294916421175,0.021118365228176117,-0.22826239466667175,0.08422689139842987,-0.11929541081190109,-0.045220352709293365,0.04255551099777222,0.13842472434043884,0.015986312180757523,0.14998812973499298,0.03957526385784149
O,0.10105361044406891,-0.21714015305042267,0.0475689172744751,-0.021127751097083092,-0.001151515170931816,0.12531274557113647,-0.04222727566957474,-0.25850585103034973,0.005155822262167931,-0.01579749584197998,0.04908470809459686,0.11341461539268494,-0.025553131476044655,0.07283328473567963,-0.16180536150932312,0.28615128993988037,-0.39571571350097656,-0.07650409638881683,0.010226613841950893,-0.1854047179222107,0.5537736415863037,0.12308082729578018,-0.03220872953534126,-0.27156758308410645,-0.2022140771150589,0.04553404450416565,0.11383502185344696,-0.21573881804943085,0.1856972575187683,-0.042873624712228775,0.39222362637519836,-0.17223159968852997
F,0.14008814096450806,-0.1260029822587967,0.17177322506904602,-0.2428973913192749,0.09661852568387985,0.27927514910697937,0.15211690962314606,-0.26038089394569397,-0.07391029596328735,-0.10557455569505692,-0.014216920360922813,0.4943097233772278,0.15582282841205597,-0.1794995218515396,0.15527616441249847,0.15757258236408234,0.16520483791828156,0.33234769105911255,0.20467810332775116,-0.2532804012298584,0.16950863599777222,-0.032538291066884995,0.13271275162696838,-0.19825822114944458,-0.14867517352104187,-0.08180603384971619,0.13658775389194489,-0.19791048765182495,0.24378253519535065,0.09616374224424362,0.1866840124130249,-0.17173083126544952
Na,-0.21699832379817963,-0.004281090572476387,-0.07150661945343018,-0.15066130459308624,-0.47671619057655334,0.11935979127883911,-0.2698587477207184,-0.12585937976837158,-0.08403269946575165,-0.080311618745327,-0.19966158270835876,-0.142721489071846,0.14241716265678406,0.12395405024290085,-0.009534614160656929,0.005469038151204586,0.20607174932956696,-0.059098292142152786,0.11242126673460007,-0.4922448992729187,-0.10668503493070602,-0.02467580884695053,-0.04052436351776123,0.13640375435352325,0.04852468892931938,0.18447479605674744,-0.2080325484275818,0.23043042421340942,-0.013346601277589798,-0.15686485171318054,-0.05688697472214699,-0.1482727974653244
Mg,-0.3092343509197235,-0.015952978283166885,-0.1290518045425415,-0.2080952525138855,-0.23097094893455505,-0.2885321080684662,-0.19393418729305267,-0.19577473402023315,-0.13392966985702515,0.20596036314964294,-0.1692928671836853,-0.010622694157063961,-0.14877192676067352,0.45287448167800903,0.24862222373485565,0.017556525766849518,-0.1709289848804474,0.2997591495513916,0.09933695942163467,-0.20049574971199036,-0.1538875550031662,0.3613061010837555,0.03860842436552048,0.12759576737880707,0.03656461462378502,-0.15357927978038788,0.09281040728092194,0.25821664929389954,0.19330188632011414,0.21971161663532257,-0.17022308707237244,0.0681842789053917
Al,-0.010673943907022476,0.04153818637132645,-0.024620655924081802,-0.05991441756486893,-0.2605099380016327,-0.21527542173862457,0.11841002851724625,-0.3394116461277008,-0.5245555639266968,-0.012246191501617432,0.19360439479351044,0.27883315086364746,-0.13062430918216705,0.1128433346748352,-0.10474997013807297,-0.31297561526298523,0.009661217220127583,-0.1440066397190094,-0.18187928199768066,-0.44406402111053467,0.11113273352384567,0.05292560160160065,-0.09472673386335373,-0.03999912366271019,-0.13355286419391632,0.006580315995961428,0.11293220520019531,-0.23074732720851898,0.1706284135580063,0.08741144835948944,0.06423205137252808,-0.2394755482673645
Si,-0.12942969799041748,-0.15318937599658966,-0.04124819114804268,-0.0875706598162651,-0.232170969247818,-0.003529001958668232,0.03289813548326492,-0.32151398062705994,-0.27398788928985596,-0.08305298537015915,0.05352024734020233,0.06558431684970856,-0.30224084854125977,-0.06896346807479858,-0.07331833243370056,-0.21936295926570892,-0.09582255035638809,0.0758495032787323,-0.2619485557079315,-0.3486880660057068,0.19510312378406525,0.22489888966083527,-0.024578897282481194,-0.018115615472197533,-0.28192755579948425,0.19550052285194397,-0.0805472582578659,-0.22367964684963226,0.3231348991394043,-0.04902195930480957,-0.15250658988952637,0.07893209904432297
P,-0.09671176970005035,-0.18509069085121155,-0.20313739776611328,-0.20026808977127075,-0.16900447010993958,0.14357979595661163,-0.024251602590084076,-0.1180751621723175,0.06160496175289154,-0.09280359745025635,0.16695791482925415,0.23853571712970734,0.20610402524471283,0.1618233174085617,-0.08763564378023148,-0.010475611314177513,-0.06033903360366821,0.016179926693439484,-0.0374826081097126,0.034725066274404526,0.3324406147003174,-0.15862560272216797,-0.029856998473405838,-0.11494384706020355,0.28698235750198364,-0.1395275890827179,0.3148272931575775,-0.04835110157728195,0.26401233673095703,0.06834050267934799,0.10916174203157425,0.03599495440721512
S,0.179182767868042,-0.26267102360725403,-0.27174222469329834,-0.2897326648235321,0.03737224265933037,-0.1302761733531952,0.1334480494260788,-0.18279418349266052,0.07143314182758331,-0.1411193162202835,0.08334798365831375,-0.004084592219442129,0.14955101907253265,0.2733408808708191,-0.05735329911112785,0.08380628377199173,-0.08310566842556,0.05405949801206589,0.2168208360671997,-0.08902912586927414,0.389861136674881,0.27122634649276733,-0.06975272297859192,-0.1492164433002472,0.07033464312553406,0.212731271982193,-0.00317353755235672,-0.15863491594791412,0.24393245577812195,0.058912988752126694,0.23823347687721252,-0.12855088710784912
Cl,0.2000880092382431,-0.2403537631034851,0.08530212193727493,-0.23006458580493927,0.07018546015024185,0.050665322691202164,-0.06700994074344635,-0.0856117531657219,-0.042430996894836426,-0.3613489270210266,0.0614914707839489,0.3178246021270752,0.04139034450054169,0.06891432404518127,0.3194888234138489,-0.11795439571142197,0.2213926762342453,0.37602341175079346,0.01863694004714489,-0.24382786452770233,0.37894386053085327,0.2296927273273468,-0.05477621406316757,-0.15353070199489594,0.35707569122314453,-0.19019830226898193,-0.12398532778024673,-0.17789113521575928,0.331393837928772,-0.3779871463775635,-0.17329268157482147,0.07883414626121521
K,-0.027314232662320137,0.06041119247674942,-0.09324062615633011,0.01215834729373455,-0.302503377199173,0.3860255479812622,-0.1732538640499115,0.014171081595122814,-0.077199786901474,-0.10785629600286484,-0.23122042417526245,-0.038350168615579605,0.14191551506519318,-0.20702582597732544,-0.03695329651236534,-0.05493087321519852,-0.012192266061902046,0.07578837871551514,0.15517893433570862,-0.05843967944383621,-0.17621107399463654,-0.06063775718212128,0.30381807684898376,0.1950162947177887,0.10716822743415833,0.3873003423213959,0.10336024314165115,0.12896057963371277,-0.04782085865736008,-0.043772466480731964,-0.11688641458749771,-0.01839815452694893
Ca,0.06489801406860352,0.23118525743484497,-0.2954811155796051,0.04747822508215904,0.04210751876235008,-0.1926547884941101,-0.10757534950971603,0.20508547127246857,0.005928780883550644,0.30842363834381104,-0.24811245501041412,0.08556973934173584,0.08633487671613693,0.4418618679046631,0.25106513500213623,-0.21549539268016815,0.192537322640419,0.2626233994960785,0.31003338098526,-0.14875364303588867,-0.06882106512784958,0.32591745257377625,0.4019538164138794,-0.12001660466194153,0.23570625483989716,0.18924124538898468,0.2625281810760498,0.3416394591331482,-0.11433819681406021,0.26683229207992554,-0.1918119490146637,-0.09025777131319046
Sc,-0.021793458610773087,0.1440611332654953,-0.09399532526731491,0.22110188007354736,0.1105102077126503,-0.1933138221502304,-0.2630685567855835,-0.2290438562631607,-0.1829373836517334,0.2776709496974945,0.22221608459949493,0.10375304520130157,-0.025073323398828506,0.2885994613170624,0.26723960041999817,0.029908496886491776,-0.06863387674093246,0.1535554677248001,0.16508881747722626,0.17325472831726074,-0.04925926774740219,0.2241843342781067,0.3276226222515106,-0.15883103013038635,-0.019038695842027664,-0.11191654950380325,0.19103053212165833,0.35166066884994507,-0.01637759804725647,0.10170424729585648,-0.17717128992080688,-0.042057447135448456
Ti,-0.12765640020370483,0.14531667530536652,-0.1317996382713318,0.21029385924339294,0.028237415477633476,-0.2185308188199997,-0.21251629292964935,-0.2777642607688904,0.015844855457544327,0.2457318753004074,-0.1206614151597023,0.17070546746253967,-0.4279468059539795,0.053965140134096146,0.10093776881694794,-0.06089185178279877,-0.14517761766910553,0.12027017027139664,-0.1496080756187439,0.1758556216955185,-0.3136478364467621,0.2184561938047409,0.4181407392024994,-0.09653209894895554,0.13085819780826569,0.06377734988927841,0.48724234104156494,0.21596603095531464,0.050117116421461105,0.016136787831783295,-0.3067851662635803,0.1790531575679779
V,0.021956969052553177,-0.06496036797761917,0.15795624256134033,-0.0643123909831047,-0.10137476772069931,-0.08551479876041412,-0.05942094698548317,-0.22161045670509338,-0.19719666242599487,0.03751971572637558,0.04816964641213417,0.2504417300224304,-0.08378194272518158,-0.03956243395805359,0.061099857091903687,-0.12892261147499084,-0.0033550411462783813,-0.022103752940893173,-0.06222013756632805,-0.034435100853443146,-0.19878146052360535,0.133422389626503,-0.058888960629701614,-0.1999274045228958,0.014899296686053276,-0.1240430623292923,0.5571864247322083,-0.06028878688812256,0.030739299952983856,-0.07372508943080902,-0.13657405972480774,-0.028922155499458313
