Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,1.9255733489990234,0.8390557169914246,1.4224222898483276,0.3605804741382599,-1.3918709754943848,-0.7086232304573059,-1.0085357427597046,-0.03409292548894882,0.25009992718696594,2.3742716312408447,-0.45858174562454224,-0.3398244380950928,0.17584584653377533,2.9827828407287598,0.6253336668014526,-0.286429762840271
Li,-0.41259878873825073,1.3842811584472656,0.07038076967000961,1.1275442838668823,2.3668439388275146,-0.15653155744075775,1.1076464653015137,-0.9887313842773438,-0.5086540579795837,0.8889992237091064,0.8660739660263062,0.3319481909275055,-2.1667087078094482,0.9041711688041687,-0.47949108481407166,0.739261269569397
B,-1.5151000022888184,-0.406838595867157,1.3713034391403198,-0.229782372713089,1.3962010145187378,-0.4230378270149231,0.2923436462879181,0.25085264444351196,-0.15506599843502045,1.2601290941238403,-0.542998194694519,0.6648417115211487,-0.614078164100647,1.18948495388031,0.18373331427574158,-0.5389814376831055
C,0.8537830710411072,0.4108300805091858,0.502656877040863,-0.26639726758003235,-0.08316900581121445,0.6811617016792297,1.3540687561035156,2.1566483974456787,-1.9526187181472778,-0.7961723208427429,0.5226549506187439,0.7073201537132263,0.30446282029151917,-0.2387540638446808,-0.455120325088501,-1.0456699132919312
N,0.19185294210910797,1.3260663747787476,-0.487345427274704,-0.8698932528495789,-0.9433026313781738,0.675136148929596,0.5517029762268066,-1.3979811668395996,1.2542908191680908,1.1128990650177002,-0.6179401278495789,-1.2298396825790405,0.7083790898323059,-2.2479074001312256,1.183784008026123,-0.21320495009422302
O,0.1383163332939148,-0.27139419317245483,1.8733289241790771,1.7244797945022583,0.975132405757904,-0.9551573991775513,0.31781205534935,-0.3873009979724884,0.49417728185653687,-0.31520363688468933,-0.09705699235200882,-1.1956329345703125,-0.1997198760509491,-0.04992709681391716,1.0208909511566162,0.4600103497505188
F,0.3983038365840912,0.0537453331053257,-0.37713566422462463,-0.7633227109909058,0.418152779340744,-1.1905299425125122,0.06983879953622818,1.592056393623352,-1.2015682458877563,0.14269724488258362,0.22158785164356232,-1.4487332105636597,0.6780290603637695,-0.4340963065624237,0.714425802230835,0.17913083732128143
Na,0.13863512873649597,0.7247135639190674,0.19926467537879944,-1.5776609182357788,0.5603354573249817,1.7945963144302368,0.3220301568508148,1.9327630996704102,-1.4843212366104126,-0.22638441622257233,0.5558154582977295,-0.8533776998519897,0.937267005443573,0.8838809728622437,0.6613109111785889,-0.25073692202568054
Mg,-0.2267901599407196,-0.6182465553283691,0.28920814394950867,0.47125178575515747,2.0384392738342285,0.6442371010780334,-0.5509757995605469,-0.09592374414205551,-0.041087906807661057,-0.4189944267272949,-1.4514576196670532,0.20530952513217926,0.9942119121551514,-1.6188552379608154,1.7771532535552979,0.09735842794179916
Al,-0.20709939301013947,-0.6095603108406067,1.1637613773345947,-0.6369419097900391,1.4720405340194702,-0.04165374115109444,1.9068628549575806,-1.8265483379364014,0.7975788712501526,1.0956379175186157,0.9191421270370483,0.6861422061920166,-1.3436133861541748,-1.4492957592010498,-0.4458655118942261,0.9511809349060059
Si,-1.337815284729004,-1.0542998313903809,-1.0020865201950073,-1.2213592529296875,-0.472893089056015,-1.2672616243362427,-0.3755263388156891,-0.14610004425048828,-0.39338988065719604,0.6692485809326172,0.10796433687210083,1.4792536497116089,-0.9362150430679321,0.42611056566238403,-0.12796254456043243,-1.6025148630142212
P,0.5961499810218811,-0.10047059506177902,0.46528002619743347,0.37788721919059753,0.4608929753303528,-0.7869997620582581,-1.3690747022628784,0.23607222735881805,-1.4165120124816895,-1.5228022336959839,-0.6209290623664856,1.587893009185791,-0.8677526712417603,0.09308980405330658,0.3340397775173187,-0.5230143070220947
S,-0.4217185974121094,-0.8896580338478088,0.606374979019165,-2.2714061737060547,0.11335760354995728,-0.349224328994751,0.043640702962875366,0.11421015113592148,-2.223860025405884,0.2590721547603607,-0.8352543115615845,0.8020228147506714,-2.199547052383423,-0.6905788779258728,-0.49906593561172485,-0.2519718110561371
Cl,0.44533053040504456,0.7449851632118225,-0.19349655508995056,0.576683759689331,-0.5431739091873169,-0.025708606466650963,-0.27768900990486145,1.8105735778808594,-2.017515182495117,-0.6636252999305725,0.9204168319702148,1.0863837003707886,-0.32069990038871765,0.9219278693199158,-2.312760829925537,1.7782341241836548
K,0.6050627827644348,-0.09959404915571213,-1.294739007949829,0.41288191080093384,0.3931505084037781,0.5562556385993958,0.6579192280769348,0.8431909680366516,-0.001966052921488881,0.3456652760505676,-0.08760586380958557,-2.0337719917297363,-0.25544559955596924,0.12817849218845367,1.849664330482483,-0.0016608495498076081
Ca,-1.580255389213562,-0.4121522605419159,-0.36668330430984497,0.2006755918264389,-0.8666995167732239,0.6206035614013672,0.554348349571228,-0.15049709379673004,0.6736502051353455,-0.5246886014938354,-0.9640369415283203,0.6549546122550964,1.0493749380111694,-1.6937953233718872,-0.4818004369735718,1.2167788743972778
Sc,0.41183698177337646,1.1250646114349365,-1.142318844795227,0.3739103674888611,0.5060112476348877,-1.2372645139694214,-1.8463062047958374,-1.2700674533843994,3.233743906021118,2.1634740829467773,1.129445195198059,-2.4169914722442627,-1.1779968738555908,-0.6375011205673218,-0.12375232577323914,-0.6403676867485046
Ti,1.2568199634552002,-1.3534773588180542,-0.2168186902999878,-0.713525652885437,-1.6041802167892456,0.2837752401828766,0.5718809962272644,0.6633304357528687,-1.5175952911376953,-0.5539835691452026,-0.9052764177322388,-1.6031100749969482,0.39015769958496094,-0.21109962463378906,1.2310307025909424,0.1290925294160843
V,0.16151133179664612,-0.3638765513896942,-0.6761521697044373,0.13492706418037415,1.5293902158737183,-0.22916150093078613,0.19254986941814423,1.0831990242004395,0.8011993765830994,-0.4901480972766876,-0.7642195224761963,-0.709641695022583,-0.36166831851005554,-1.2042548656463623,2.067192554473877,0.6200411915779114
Cr,0.2113916426897049,-0.8657288551330566,-0.31578123569488525,-0.36104223132133484,-0.6666972637176514,-0.4181971549987793,-0.7561632394790649,0.7394878268241882,0.2738482654094696,-0.42547905445098877,1.162092924118042,1.2617430686950684,-1.0224111080169678,-0.08181818574666977,1.256966471672058,1.399383544921875
