Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-1.677436351776123,-0.41324079036712646,0.20150956511497498,0.1535809189081192,0.52386873960495,-2.0687506198883057,-1.2302846908569336,-0.8963425159454346
Li,0.810490071773529,1.1527515649795532,0.09442532062530518,0.27270230650901794,1.7143011093139648,-0.7814069986343384,0.7176281213760376,-0.9848272204399109
B,-1.5580942630767822,-0.09617523849010468,0.5134697556495667,0.04978078976273537,-0.29356396198272705,-1.6544568538665771,-0.8270632028579712,0.9454002380371094
C,1.042063593864441,-0.9129510521888733,0.9916434288024902,0.21316257119178772,1.1459304094314575,-1.514560341835022,1.1629058122634888,1.0966579914093018
N,-0.49929729104042053,-0.2071487158536911,0.24667522311210632,1.7100428342819214,1.219708800315857,-1.5252783298492432,-2.3081870079040527,0.29280373454093933
O,0.9320785403251648,2.2033298015594482,0.07407505065202713,0.6254398822784424,-0.5506330728530884,-0.7361572980880737,-1.031107783317566,-0.3516264855861664
F,0.7622029185295105,-1.689442753791809,-0.8759720921516418,1.2763155698776245,0.052648868411779404,1.297763705253601,0.6563096642494202,-1.4130010604858398
Na,1.266161322593689,0.7594534158706665,1.502731442451477,-1.5627801418304443,-1.3367326259613037,-0.3326539993286133,1.8417333364486694,0.20918092131614685
Mg,-2.523817300796509,0.17552347481250763,-0.536966860294342,-0.34868261218070984,-0.6103540062904358,0.016201399266719818,0.011618713848292828,1.4366534948349
Al,-1.308893084526062,-0.23009125888347626,-1.012751817703247,-2.19866681098938,-0.9488353729248047,1.125921607017517,-0.43432947993278503,-0.0021849535405635834
Si,-1.8595629930496216,0.037209402769804,0.044754449278116226,0.2108456790447235,-0.6328588128089905,-0.7482954859733582,-0.8680172562599182,-0.6887524127960205
P,0.7593746185302734,1.1631301641464233,-0.6922601461410522,-0.5169299840927124,1.052979826927185,-1.0828042030334473,-1.8468958139419556,-0.36109474301338196
S,-0.24111025035381317,-1.5974875688552856,-0.801343560218811,0.10885495692491531,-1.4917373657226562,-0.7730041742324829,0.8063881993293762,1.0793918371200562
Cl,0.08168593794107437,-0.21893079578876495,-2.3317365646362305,-1.3286144733428955,-1.1152286529541016,-0.679942786693573,-0.5038180351257324,-1.1539965867996216
K,-1.5000791549682617,0.9941914081573486,-0.4297254979610443,0.24919922649860382,2.110466718673706,0.3947007358074188,0.5798889398574829,0.03215942904353142
Ca,-2.0542171001434326,0.5716711282730103,1.1082608699798584,-1.388550877571106,0.23108834028244019,-0.2270522564649582,-0.2046562135219574,-0.17781014740467072
Sc,-1.7775474786758423,-1.6309024095535278,-0.19793207943439484,-0.1454157531261444,-1.5175631046295166,-0.5074465274810791,1.8769069910049438,0.463873028755188
Ti,-1.0547789335250854,-1.477178931236267,0.8551971316337585,0.1132650151848793,-1.001504898071289,0.4408875107765198,1.2509409189224243,-0.2971495985984802
V,0.6159041523933411,-0.03925427049398422,-0.8182072639465332,-0.8596149682998657,0.9549436569213867,1.0872974395751953,-0.12795446813106537,2.123934030532837
