Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.05550311505794525,0.008329438976943493,0.24084267020225525,-0.2540692389011383,-0.04439578577876091,-0.33134254813194275,-0.2737484276294708,-0.2636010944843292,-0.10379209369421005,0.10611109435558319,0.022657524794340134,0.07196986675262451,0.08921414613723755,0.13095355033874512,-0.22926843166351318,0.049909479916095734,-0.13641415536403656,0.08295316249132156,-0.031743720173835754,0.16070020198822021,0.17702582478523254,-0.10150568187236786,0.2750105559825897,-0.4155293107032776,0.1809936761856079,-0.08448328077793121,-0.22616469860076904,-0.1837950497865677,0.11753831058740616,-0.18057379126548767,-0.09262500703334808,0.21279661357402802,-0.05160459131002426,0.2043771594762802,-0.21613308787345886,-0.005730073433369398,-0.1283871978521347,-0.009165218099951744,-0.1781865805387497,0.05567622929811478,0.09674982726573944,-0.41507044434547424,-0.3632301092147827,0.2590184211730957,0.16791246831417084,-0.2525749206542969,-0.03187989443540573,0.17905591428279877,-0.14821845293045044,0.04586482793092728,0.12412633746862411,0.07652810961008072,-0.1584872007369995,-0.17052453756332397,-0.16104167699813843,0.44891101121902466,0.10024973005056381,0.025944657623767853,-0.07692242413759232,-0.09876931458711624,-0.1215689480304718,-0.11198817193508148,0.5625779032707214,-0.4016590416431427
Li,-0.05673754960298538,-0.02525399997830391,0.31351590156555176,-0.13539306819438934,0.13195644319057465,0.07347594201564789,-0.2641914188861847,-0.0879831314086914,-0.24080559611320496,0.256604939699173,0.15604981780052185,-0.2821967601776123,-0.13621702790260315,0.13605476915836334,-0.2712252736091614,0.022151317447423935,0.21058987081050873,0.09591474384069443,-0.3146950900554657,0.3611774444580078,0.08251672983169556,-0.2851785719394684,0.0440167561173439,-0.1935017853975296,0.17561562359333038,-0.1772904098033905,0.0027722232043743134,-0.12855106592178345,-0.005148943047970533,-0.28814497590065,0.09333276003599167,0.3076302111148834,-0.2585974931716919,0.08042283356189728,0.04623962938785553,-0.21859508752822876,0.1836288422346115,-0.044330351054668427,0.02494277060031891,-0.17895463109016418,-0.16329731047153473,0.11809073388576508,-0.22197644412517548,-0.02129387855529785,-0.1825275868177414,-0.10449984669685364,-0.08091054856777191,-0.04711299017071724,0.0546516478061676,0.1909119337797165,0.06975530087947845,-0.2552529573440552,-0.22890062630176544,-0.01576181873679161,-0.11542690545320511,0.36079171299934387,0.12415764480829239,0.06280513107776642,-0.17903509736061096,-0.09674780070781708,-0.04807574301958084,0.1269339919090271,0.12903402745723724,-0.38828349113464355
Be,0.21133266389369965,0.05179339647293091,0.39872199296951294,-0.14662879705429077,-0.02944204956293106,-0.22809483110904694,-0.23523041605949402,-0.3221302628517151,-0.11124777793884277,-0.3990064859390259,-0.06654109060764313,-0.24064277112483978,-0.19938772916793823,-0.15380999445915222,-0.05169566720724106,-0.03630512207746506,0.3940058946609497,-0.061724819242954254,0.08816812932491302,0.33247867226600647,-0.04111872613430023,0.029566437005996704,0.18661487102508545,0.056844450533390045,-0.15649943053722382,0.027851423248648643,-0.21964523196220398,-0.29769444465637207,-0.2961074411869049,-0.049465641379356384,0.12208244204521179,0.15234996378421783,-0.062456164509058,0.3148477375507355,0.3043939769268036,-0.15030372142791748,0.40112724900245667,-0.32732391357421875,0.09896641969680786,0.044089242815971375,0.24161483347415924,0.2910858392715454,-0.27023181319236755,0.04550422355532646,0.03410070762038231,0.27021998167037964,-0.3601078987121582,-0.3649025559425354,-0.1159568578004837,0.38259652256965637,-0.012986239045858383,-0.04539981484413147,-0.1377868503332138,0.18003854155540466,-0.3688357174396515,0.06717991083860397,0.03599485382437706,-0.24400469660758972,0.04076461121439934,-0.2634454071521759,0.14776639640331268,-0.29710185527801514,0.12746743857860565,-0.2528872489929199
B,0.08464460074901581,0.18383340537548065,0.10298454016447067,-0.058960605412721634,0.0040457844734191895,-0.1818934828042984,-0.38772842288017273,-0.3025745153427124,0.21595968306064606,-0.11320090293884277,-0.1968083679676056,0.10110117495059967,0.35186368227005005,-0.13863126933574677,-0.13574887812137604,0.04435228556394577,0.006625390611588955,-0.15770463645458221,0.04113307222723961,0.27145013213157654,0.09446607530117035,0.006931000389158726,-0.006411069072782993,0.1642780750989914,-0.10248059034347534,-0.05905795097351074,-0.0287502221763134,0.2663266360759735,0.09722305089235306,-0.1606079787015915,-0.23487448692321777,0.041680991649627686,-0.06512922793626785,-0.07346577942371368,0.2680636942386627,0.20073433220386505,0.20255309343338013,-0.14343781769275665,0.23827745020389557,0.11454799771308899,-0.009984038770198822,0.041016872972249985,-0.11415421217679977,-0.15137290954589844,-0.1343185305595398,-0.12358184903860092,0.167306050658226,0.039653994143009186,-0.3507882356643677,0.06082354858517647,0.0007969774305820465,-0.01686103269457817,-0.1657586544752121,0.03638346865773201,-0.12889108061790466,0.05496106296777725,0.004019020590931177,0.2905164361000061,0.18131422996520996,0.13341429829597473,0.03793109208345413,0.05757152661681175,-0.028726091608405113,-0.3451247811317444
C,-0.05203043669462204,0.43796807527542114,0.015072448179125786,-0.15951122343540192,0.20289696753025055,-0.06432235240936279,-0.3277289867401123,-0.18054017424583435,0.17047297954559326,-0.17879492044448853,0.02783079817891121,0.13613899052143097,-0.09562405943870544,-0.47999101877212524,-0.04635220766067505,0.07762927561998367,0.02444360964000225,0.0187237448990345,0.064625084400177,0.04305991530418396,0.24839533865451813,-0.13474774360656738,-0.06684089452028275,0.002869254909455776,0.0315806120634079,-0.03369104489684105,0.006944828666746616,0.19490566849708557,0.17247356474399567,0.1352987140417099,0.009556547738611698,-0.16118259727954865,-0.024138513952493668,-0.23867517709732056,0.3378036320209503,0.31588712334632874,0.30010977387428284,-0.1318400651216507,0.2803283631801605,-0.28729453682899475,-0.052524108439683914,-0.1589280664920807,0.08238311111927032,-0.2194289267063141,0.047993917018175125,-0.08805190771818161,0.13737373054027557,-0.25233396887779236,-0.2849927842617035,0.08006823062896729,0.005523127503693104,0.09192425012588501,-0.18297366797924042,0.04993371292948723,0.04667137563228607,0.15604639053344727,0.00783615279942751,0.12378064543008804,-0.2720457911491394,0.1942274570465088,0.015568402595818043,-0.10781387984752655,0.17592410743236542,-0.23696812987327576
N,-0.15122577548027039,-0.09340647608041763,0.2922474145889282,-0.1405004858970642,-0.014430774375796318,-0.24686597287654877,-0.18026380240917206,-0.36008337140083313,0.03602235019207001,-0.07522532343864441,0.06855171173810959,0.03808358311653137,0.05425502732396126,0.02518351748585701,-0.004953969269990921,-0.02971484512090683,-0.21870939433574677,-0.0791705921292305,0.03558570146560669,0.26824796199798584,-0.08960685133934021,-0.3016112148761749,-0.069304920732975,0.0423295795917511,-0.022933412343263626,-0.060979098081588745,0.06012923642992973,0.14048494398593903,0.11689692735671997,0.1832212209701538,-0.11169818043708801,-0.1952345371246338,0.04321136325597763,0.162388876080513,0.10541980713605881,0.10144536942243576,0.005570554174482822,0.12904110550880432,-0.051108844578266144,-0.2756882309913635,0.049976855516433716,-0.2118261605501175,-0.22332970798015594,-0.03746461495757103,-0.00376198161393404,-0.1381985992193222,0.0067124683409929276,-0.42007699608802795,-0.17489096522331238,-0.07914265990257263,0.08422840386629105,0.08019515872001648,0.017197510227560997,-0.11038802564144135,0.14786747097969055,0.30027535557746887,0.05678979307413101,0.07668628543615341,-0.013389449566602707,-0.2328391671180725,-0.30855897068977356,0.005709925200790167,-0.02129616215825081,-0.2428252100944519
O,-0.10796573758125305,-0.13476423919200897,0.06048037111759186,0.13079336285591125,-0.0626886785030365,-0.06443315744400024,-0.23104530572891235,-0.09840022027492523,-0.14109528064727783,0.027889814227819443,0.07098936289548874,0.1612488031387329,-0.01467117853462696,-0.00753409881144762,0.023433906957507133,-0.24403201043605804,0.05584174394607544,-0.011976337060332298,0.06216801702976227,0.1891617774963379,0.12968569993972778,-0.03211655467748642,-0.10005652904510498,-0.014271815307438374,0.04333697259426117,-0.022041860967874527,-0.1250341683626175,0.14943456649780273,0.07993187010288239,0.13796308636665344,-0.1251010000705719,0.12585856020450592,-0.0414930135011673,0.1345374584197998,-0.10396639257669449,0.02872641757130623,0.1715123951435089,-0.1222112625837326,-0.11084609478712082,0.10829081386327744,0.15206731855869293,-0.12143729627132416,-0.11851771920919418,-0.10476917028427124,0.12696076929569244,0.04470793157815933,-0.13801246881484985,-0.18835696578025818,-0.17129138112068176,0.0645056888461113,-0.00983348861336708,-0.1493532508611679,-0.026472043246030807,-0.19788755476474762,0.05090182647109032,0.24549290537834167,0.08113224059343338,0.15932627022266388,-0.15315358340740204,-0.05825071036815643,-0.003586211707442999,-0.24997127056121826,-0.06960516422986984,-0.14429934322834015
F,-0.07435174286365509,-0.09566080570220947,-0.007415114901959896,-0.2968840003013611,-0.08611300587654114,-0.1553076058626175,-0.3624141812324524,-0.17697955667972565,-0.09673353284597397,-0.18206503987312317,0.1425347626209259,0.11435844749212265,-0.03462868556380272,0.028699470683932304,-0.0250559039413929,-0.14047057926654816,-0.2472413182258606,0.020096026360988617,-0.06512037664651871,0.1252128779888153,0.03782518953084946,-0.2452518194913864,-0.2031690776348114,-0.10037781298160553,0.1323723942041397,0.10414182394742966,-0.08866680413484573,0.21210750937461853,0.10580866038799286,0.10485602170228958,-0.196542888879776,0.07096900045871735,0.11964166909456253,0.19972364604473114,-0.149594247341156,-0.08443720638751984,-0.09125059843063354,-0.3114188611507416,-0.08139965683221817,-0.1620865762233734,0.28045132756233215,-0.09375348687171936,-0.2752831280231476,0.025150293484330177,0.26349225640296936,-0.12091265618801117,-0.13893532752990723,0.24547474086284637,-0.11785630136728287,0.18906976282596588,0.002351723611354828,-0.3106018304824829,-0.02532733604311943,-0.08472634106874466,0.025162043049931526,0.24996979534626007,0.18726147711277008,0.024844706058502197,-0.16907306015491486,-0.04258467257022858,-0.02745087817311287,-0.16163863241672516,-0.07987625896930695,-0.14197057485580444
Na,0.21700702607631683,0.04656972736120224,0.09164632856845856,-0.019071213901042938,0.2410091608762741,-0.06941114366054535,-0.16060690581798553,0.020806537941098213,-0.07669258862733841,0.32378125190734863,0.21553738415241241,-0.09932010620832443,0.062390606850385666,0.003670663107186556,-0.06367971003055573,0.1316615343093872,0.0065862080082297325,-0.09678119421005249,-0.22921787202358246,0.250244677066803,-0.01615072786808014,-0.2969748079776764,0.14146508276462555,-0.219017893075943,0.23437266051769257,-0.18413510918617249,0.24016322195529938,-0.3086467981338501,0.12111363559961319,-0.08414128422737122,-0.14139461517333984,0.34682732820510864,-0.09309322386980057,-0.0928681418299675,-0.21147559583187103,-0.39800599217414856,0.18419916927814484,-0.011256043799221516,-0.23989373445510864,0.05460271239280701,-0.27428966760635376,-0.032891299575567245,0.07206986844539642,-0.2557778060436249,-0.2302258461713791,0.009904752485454082,-0.16927409172058105,0.2164975255727768,0.08555638790130615,0.17365460097789764,-0.12966321408748627,-0.3584471046924591,-0.06909402459859848,0.026321109384298325,-0.06853532791137695,0.3770880401134491,-0.20577573776245117,-0.0908627137541771,-0.20868977904319763,-0.108191579580307,0.12266258895397186,-0.23402324318885803,0.27945852279663086,-0.2117493599653244
Mg,0.18429873883724213,0.036151401698589325,0.20172171294689178,-0.010957606136798859,-0.046139705926179886,-0.10920194536447525,-0.07496073842048645,0.04102938622236252,-0.22918766736984253,-0.10337015986442566,-0.216633141040802,-0.15335799753665924,-0.10017610341310501,-0.03412570059299469,-0.17437958717346191,0.13422086834907532,0.09997526556253433,-0.19615358114242554,0.2797306180000305,0.10219033807516098,-0.19067873060703278,-0.1597110629081726,0.23362106084823608,-0.010805644094944,-0.14305800199508667,0.3452191650867462,-0.050787728279829025,-0.0035059431102126837,-0.046927064657211304,0.007044137455523014,0.15472276508808136,0.4052841365337372,-0.12151790410280228,-0.14329567551612854,-0.3945234715938568,-0.3623413145542145,0.04448222741484642,-0.2810325622558594,-0.014592674560844898,0.02395172417163849,0.039608389139175415,-0.21479405462741852,0.113003209233284,-0.23178909718990326,0.14367884397506714,0.08063249289989471,-0.0396542064845562,-0.06719759106636047,0.1299905627965927,0.11206477880477905,-0.01086051668971777,-0.10572817176580429,0.1114254891872406,-0.2267574965953827,-0.31239452958106995,0.1189415454864502,-0.10786645114421844,-0.1426064670085907,-0.21656771004199982,-0.09770128130912781,0.059732258319854736,-0.42939746379852295,0.050751276314258575,-0.16291053593158722
