Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.03563697636127472,0.5152943134307861,0.6175712943077087,0.45861244201660156,0.6197471022605896,-0.007052585482597351,0.8278277516365051,0.8075903058052063
Li,0.29892680048942566,-0.3967701196670532,0.8709248304367065,0.2857528626918793,0.6416588425636292,-0.2524610161781311,0.4806731641292572,0.28876879811286926
Be,0.6796766519546509,-0.4184742271900177,0.0862107053399086,0.2076115906238556,0.11323874443769455,0.16494843363761902,-0.06422525644302368,0.30507782101631165
B,0.9731398224830627,-0.7234596610069275,-0.2358759492635727,0.21131138503551483,0.5321875810623169,0.6236212849617004,-0.09634070843458176,0.082582026720047
C,0.9740493297576904,-0.8502408266067505,-0.450661838054657,-0.032556287944316864,0.69083571434021,0.5259529948234558,-0.4498320519924164,0.21927408874034882
N,0.3567451536655426,-0.6257870197296143,-0.2532912790775299,-0.02910427376627922,0.766514778137207,0.0033511314541101456,-0.028206296265125275,0.2666291296482086
O,0.12078985571861267,0.017376724630594254,-0.05931815505027771,0.10789929330348969,0.836774468421936,-0.18513938784599304,0.1358656883239746,0.09545042365789413
F,0.09193388372659683,0.4265253245830536,0.3876939117908478,0.45099106431007385,0.8789142966270447,0.16273072361946106,0.43450939655303955,-0.011488247662782669
Na,-0.22479285299777985,-0.3827706575393677,1.1521027088165283,-0.16876716911792755,0.26967257261276245,-0.300390362739563,0.9054721593856812,0.23930305242538452
Mg,0.21887516975402832,-0.21463093161582947,-0.08449067175388336,-0.3326605260372162,0.024907812476158142,-0.18337178230285645,-0.06671012192964554,0.26216939091682434
Al,0.6570985317230225,-0.40492522716522217,-0.5010173916816711,-0.10191695392131805,0.024252207949757576,0.6091693043708801,-0.2455482929944992,-0.1908012479543686
Si,0.45940884947776794,-0.7262778282165527,-0.687397301197052,-0.5688324570655823,0.39592626690864563,0.6028378009796143,-0.5975111126899719,-0.003710716962814331
P,-0.009082450531423092,-0.1607498824596405,-0.441428005695343,-0.5412173271179199,0.4266436696052551,0.3673122525215149,-0.18253184854984283,0.027180388569831848
S,-0.08432354778051376,-0.06796068698167801,0.358599990606308,-0.2163802534341812,0.5854607820510864,0.4047548174858093,0.0894617959856987,0.02409273572266102
Cl,-0.34779834747314453,0.36873167753219604,0.8097014427185059,0.10167425125837326,0.41515734791755676,0.28945064544677734,0.5262895822525024,-0.000895185861736536
K,0.2574213147163391,-0.5326493382453918,0.8856539130210876,-0.32857540249824524,0.1116735190153122,0.15820419788360596,0.4249922037124634,0.1246204674243927
Ca,0.5097560882568359,-0.441173791885376,0.6925072073936462,-0.38659143447875977,0.16897162795066833,-0.48457202315330505,-0.13609354197978973,0.13986536860466003
Sc,-0.1976570338010788,-0.5548075437545776,-0.17228072881698608,-0.15261875092983246,-0.06411337107419968,0.02886933647096157,-0.6611772179603577,0.13694745302200317
Ti,0.062180712819099426,-0.4133974313735962,-0.26372191309928894,-0.16420553624629974,0.15660549700260162,0.28791651129722595,-0.8332098126411438,0.13274914026260376
V,-0.06019601225852966,0.07741592079401016,-0.10786759853363037,0.15677009522914886,-0.16302378475666046,0.2801375389099121,-0.45250093936920166,0.060453590005636215
Cr,-0.0922609269618988,-0.02277504652738571,0.042745888233184814,0.08122171461582184,-0.0604805052280426,-0.26195457577705383,-0.43476638197898865,0.034565456211566925
Mn,-0.037165287882089615,0.0486132875084877,0.115876704454422,0.13064344227313995,-0.108183853328228,-0.08944433927536011,-0.18328885734081268,0.16184428334236145
Fe,-0.02491666190326214,-0.09510026127099991,0.13455797731876373,0.2238459587097168,-0.11851520836353302,-0.32707691192626953,-0.20503073930740356,0.34542837738990784
Co,0.04851320758461952,-0.08841060101985931,0.09347446262836456,0.20493340492248535,0.07895040512084961,-0.203049436211586,-0.24338090419769287,0.31470051407814026
Ni,0.4054584801197052,0.10736589878797531,-0.1364813894033432,0.5905151963233948,0.13286633789539337,0.004320926498621702,-0.22859396040439606,0.08499422669410706
Cu,0.1088290885090828,0.019429251551628113,0.2880760729312897,0.6407270431518555,-0.0899793729186058,-0.08116307109594345,0.3688275218009949,0.2886790335178375
Zn,0.1895320564508438,0.12094080448150635,0.24433420598506927,0.3832895755767822,-0.2754448652267456,0.10156937688589096,0.2552800178527832,-0.08250191807746887
Ga,0.5606837868690491,-0.8129934072494507,-0.3353639841079712,-0.3299717307090759,0.09502027183771133,0.5709193348884583,-0.26135945320129395,-0.056064680218696594
Ge,0.293073832988739,-0.8598068356513977,-0.5368519425392151,-0.6440706253051758,0.35548973083496094,0.471569687128067,-0.40646830201148987,-0.041927270591259
As,0.15893462300300598,-0.5817042589187622,-0.26907333731651306,-0.7292529940605164,0.44637781381607056,0.5256537795066833,-0.3578755259513855,-0.2764730453491211
Se,-0.2171766757965088,-0.3902226388454437,0.5981495380401611,-0.36997511982917786,0.46984532475471497,0.4630099833011627,0.08983159810304642,-0.2135021686553955
Br,-0.4668499529361725,0.036101795732975006,0.8316421508789062,-0.034009434282779694,0.18416407704353333,0.5906669497489929,0.6034000515937805,0.072910375893116
Rb,0.192470520734787,-0.5034984946250916,0.9939505457878113,-0.40909528732299805,-0.10656581819057465,-0.18533195555210114,0.71341472864151,0.26779624819755554
Sr,0.39828208088874817,-0.21021398901939392,0.4477672278881073,-0.5521586537361145,-0.20804527401924133,-0.5560431480407715,-0.15815342962741852,0.22948972880840302
Y,-0.3932588994503021,-0.48705974221229553,-0.1032082810997963,-0.18484234809875488,-0.18311089277267456,-0.2225237786769867,-0.7234774827957153,-0.2926243543624878
Zr,-0.20294775068759918,-0.42679885029792786,-0.2607749104499817,-0.5592236518859863,-0.18324021995067596,0.03767300397157669,-0.42561373114585876,0.11827334761619568
Nb,-0.16173239052295685,-0.13103684782981873,-0.2976475954055786,-0.2713260352611542,-0.16025200486183167,0.03142096847295761,-0.3151090741157532,0.0738370344042778
Mo,-0.3518594801425934,0.0007038062904030085,-0.329906702041626,0.06198868900537491,-0.05580879747867584,-0.39171433448791504,-0.11369212716817856,-0.2448996901512146
Tc,-0.27844831347465515,0.1875186711549759,-0.2074870616197586,0.11663752049207687,-0.15307462215423584,-0.24997815489768982,-0.021536093205213547,-0.1692180335521698
Ru,-0.14276961982250214,-0.12105543911457062,-0.22603653371334076,0.35971757769584656,-0.13374978303909302,-0.009241987951099873,-0.10169345140457153,-0.05871472507715225
Rh,0.07394204288721085,-0.1230405643582344,-0.35130685567855835,0.3333567678928375,0.1626441478729248,0.11823680996894836,-0.5185303092002869,-0.26205408573150635
Pd,0.10787012428045273,0.4216746687889099,-0.19193695485591888,0.5833303332328796,-0.1873161643743515,-0.07616883516311646,0.4499795734882355,-0.4214703440666199
Ag,-0.050427988171577454,0.25945499539375305,-0.100124791264534,0.44521474838256836,-0.11089489609003067,-0.01928681880235672,0.3795531988143921,-0.25943294167518616
Cd,0.14596977829933167,0.03821144253015518,0.06317391991615295,0.038326289504766464,-0.2225705087184906,-0.05356098711490631,0.21714851260185242,-0.17294882237911224
In,0.12793800234794617,-0.8482186794281006,-0.5143632292747498,-0.4962027072906494,-0.08519218116998672,0.20313096046447754,0.01176038384437561,-0.026857890188694
Sn,-0.12905026972293854,-0.8743662238121033,-0.6426913738250732,-0.7880546450614929,0.08265566825866699,0.10050857812166214,0.014871971681714058,-0.07599915564060211
Sb,-0.21342304348945618,-0.8500033020973206,-0.2418639361858368,-0.9147723317146301,0.11475782841444016,0.46456098556518555,0.1583183854818344,-0.40181782841682434
Te,-0.4209781289100647,-0.32784193754196167,0.6330976486206055,-0.8562005758285522,0.18369916081428528,0.32748568058013916,0.5246676802635193,-0.4872325658798218
I,0.07515022903680801,-0.24603497982025146,0.4258868992328644,-0.18537971377372742,0.26944854855537415,0.5793835520744324,0.2244599163532257,-0.5122755765914917
Cs,-0.16136400401592255,-0.6436434388160706,0.7975574135780334,-0.08517550677061081,-0.3041987717151642,0.08859463781118393,0.4380326569080353,0.12749361991882324
Ba,0.15780192613601685,-0.4225626587867737,0.36336851119995117,-0.2741631865501404,-0.26502737402915955,-0.4178975224494934,-0.16609084606170654,0.12429028004407883
La,-0.7342203855514526,-0.31266874074935913,0.3825001120567322,-0.42705512046813965,-0.4553610682487488,-0.6270788908004761,0.02791828289628029,-0.24254021048545837
Ce,-0.7392156720161438,-0.3182891607284546,0.3880784213542938,-0.4281703531742096,-0.45453354716300964,-0.6058582067489624,0.02743673324584961,-0.26746705174446106
Pr,-0.9190664887428284,-0.3823704123497009,0.4609943926334381,-0.35640206933021545,-0.47943422198295593,-0.623867928981781,0.11920591443777084,-0.3683730661869049
Nd,-0.6994757056236267,-0.27735185623168945,0.39637869596481323,-0.3486984372138977,-0.531043291091919,-0.43298399448394775,0.10250218957662582,-0.2920948565006256
Pm,-0.386176198720932,-0.17015805840492249,0.11600373685359955,-0.3134225904941559,-0.2503313720226288,-0.2577611804008484,-0.3554128408432007,-0.23490463197231293
Sm,-0.6962172985076904,-0.29490503668785095,0.35762909054756165,-0.33862778544425964,-0.4034322500228882,-0.4892796576023102,-0.00820069294422865,-0.2716885209083557
Eu,-0.22082866728305817,-0.292330801486969,0.33182722330093384,-0.3361104726791382,-0.12306980043649673,-0.3135829269886017,-0.1308278888463974,-0.18139450252056122
Gd,-0.7216354608535767,-0.28972145915031433,0.3450887203216553,-0.33800843358039856,-0.3808363974094391,-0.4807268977165222,-0.0026782676577568054,-0.3009180426597595
Tb,-0.5931472778320312,-0.42647990584373474,0.21326719224452972,-0.4784083068370819,-0.2989943027496338,-0.08004961907863617,-0.2584162652492523,-0.20341220498085022
Dy,-0.6420089602470398,-0.4437089264392853,0.12234441190958023,-0.41857123374938965,-0.33302223682403564,-0.4026082158088684,-0.27338048815727234,-0.22715218365192413
Ho,-0.6106870174407959,-0.41287630796432495,0.09055663645267487,-0.3408956825733185,-0.2662798762321472,-0.23512648046016693,-0.28259629011154175,-0.2615545690059662
Er,-0.6306213736534119,-0.412312775850296,0.06487984955310822,-0.32547393441200256,-0.2825883626937866,-0.24912765622138977,-0.2964825928211212,-0.23902647197246552
Tm,-0.4647795557975769,-0.6331190466880798,-0.12449786812067032,-0.2171262800693512,-0.14816060662269592,0.0009869453497231007,-0.6871564388275146,-0.18446746468544006
Yb,-0.17346426844596863,-0.2594470977783203,0.27481165528297424,-0.35372430086135864,-0.014384618028998375,-0.3136264383792877,-0.25654616951942444,-0.14185543358325958
Lu,-0.6380266547203064,-0.5314924120903015,-0.07769893854856491,0.20612753927707672,-0.22331131994724274,-0.27327218651771545,-0.7116496562957764,-0.3687979280948639
Hf,-0.15632426738739014,-0.6736287474632263,-0.5869745016098022,-0.1532149463891983,-0.012490449473261833,0.1993311196565628,-0.6288326382637024,0.044270262122154236
Ta,-0.20940501987934113,-0.49082913994789124,-0.5128659009933472,0.0289178304374218,0.05230725184082985,0.14443476498126984,-0.6733552813529968,-0.015106947161257267
W,-0.3459014594554901,-0.11974292248487473,-0.46371185779571533,0.39531365036964417,-0.13313663005828857,-0.012055589817464352,-0.44917142391204834,-0.3164220452308655
