Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.5896367430686951,0.41749486327171326,-0.29051727056503296,-0.15610642731189728,0.07298194617033005,-0.3785543441772461,0.1049787849187851,-0.012036437168717384,-0.6444569230079651,-0.26606157422065735,-0.2863695025444031,0.1916552186012268,-0.2930091917514801,0.1630139946937561,-0.14826376736164093,-0.20145462453365326,0.06466672569513321,-0.5686159729957581,0.1375572234392166,0.18559607863426208,-0.17523698508739471,0.5976142883300781,-0.1437532901763916,0.1370970904827118,-0.11431385576725006,-0.08808639645576477,-0.042453281581401825,0.03525979816913605,-0.17536868155002594,-0.23288629949092865,-0.20336824655532837,-0.16024279594421387
Li,0.2651907801628113,0.22646547853946686,-0.3351323902606964,0.01761225424706936,-0.19510576128959656,0.029650812968611717,-0.2533506155014038,-0.06833324581384659,-0.4361023008823395,-0.11844266206026077,0.1469917595386505,-0.023404132574796677,0.03802185505628586,0.01624935120344162,-0.17507019639015198,-0.22355656325817108,0.12612910568714142,-0.4507737159729004,-0.04554826021194458,-0.044560424983501434,-0.303657203912735,0.39728978276252747,-0.3368150591850281,-0.15077319741249084,0.0006466889753937721,-0.035705264657735825,0.13081753253936768,0.017453599721193314,0.12989230453968048,0.0864325612783432,-0.3901786208152771,-0.26283541321754456
Be,0.10977636277675629,-0.007320201024413109,-0.1834757775068283,0.009777845814824104,-0.5278592109680176,0.08615341037511826,-0.11664904654026031,0.2314240038394928,-0.22383427619934082,0.19653165340423584,0.23114648461341858,0.15526531636714935,-0.12696853280067444,0.149411141872406,-0.049026235938072205,0.13227048516273499,-0.3612538278102875,-0.5187578201293945,-0.016251565888524055,-0.16135531663894653,-0.054289523512125015,-0.2456129640340805,-0.40751349925994873,0.022639581933617592,-0.08774168789386749,-0.14342381060123444,0.04255344346165657,-0.4258940815925598,0.0029930095188319683,-0.4026431441307068,-0.4055274724960327,-0.3928085267543793
B,-0.15983326733112335,0.07426218688488007,0.3390622138977051,0.01138092577457428,-0.3809455633163452,-0.47400835156440735,-0.1281343251466751,0.022556880488991737,-0.14878825843334198,0.003695167601108551,0.027136055752635002,0.06585599482059479,-0.38979628682136536,-0.2570666968822479,-0.2640371024608612,0.07208557426929474,-0.05378185212612152,-0.3602214753627777,-0.01946127787232399,-0.13611187040805817,-0.11672816425561905,-0.07452688366174698,-0.1513952910900116,0.0505412295460701,0.06868995726108551,0.1477157175540924,-0.09024587273597717,0.3023160696029663,0.2530323565006256,-0.5522782206535339,-0.23020830750465393,-0.38148632645606995
C,-0.2678739130496979,-0.13477899134159088,0.22436697781085968,-0.002512954641133547,-0.37758633494377136,-0.24820482730865479,-0.12319101393222809,-0.17535115778446198,-0.2752046585083008,0.06824939697980881,-0.1149134635925293,0.37539392709732056,-0.06863103806972504,-0.23582296073436737,-0.025262702256441116,-0.1415933519601822,-0.5744370818138123,-0.45688146352767944,0.2388114482164383,0.025041155517101288,0.09786374121904373,0.0805804505944252,-0.014935538172721863,-0.05811004340648651,0.19493170082569122,-0.08913136273622513,0.08059647679328918,0.06533337384462357,0.22472400963306427,-0.15809088945388794,0.0925363078713417,-0.03742761164903641
N,0.1571086049079895,0.097846120595932,0.18453620374202728,-0.4447179436683655,-0.2746107280254364,-0.11914079636335373,0.1150585189461708,0.050747282803058624,-0.34571799635887146,-0.011033505201339722,0.24048805236816406,0.07353188097476959,-0.15254198014736176,0.24439646303653717,-0.28602567315101624,-0.014361163601279259,-0.14690153300762177,-0.14636443555355072,0.1126517578959465,-0.03977276012301445,0.21750187873840332,-0.052778203040361404,-0.3682422935962677,0.13875791430473328,-0.12903374433517456,-0.26422619819641113,-0.03994772583246231,-0.011162761598825455,0.16249631345272064,-0.286016583442688,-0.12620119750499725,-0.4331519901752472
O,0.05914812535047531,0.2052924931049347,-0.1522773802280426,-0.25751692056655884,-0.48818156123161316,-0.03972792625427246,0.1270851194858551,-0.04184257984161377,-0.21629729866981506,-0.023895680904388428,0.06118249148130417,0.11518920212984085,-0.34393811225891113,-0.13043753802776337,-0.29664796590805054,-0.16666044294834137,-0.14752912521362305,-0.12333419173955917,0.24905064702033997,0.16272105276584625,0.012145396322011948,0.053687140345573425,-0.5630793571472168,0.02239936590194702,-0.19924180209636688,-0.03379658982157707,0.030620316043496132,0.07069113105535507,0.012670652009546757,0.000206830445677042,-0.21212296187877655,-0.15209318697452545
F,-0.23923996090888977,0.07346214354038239,-0.18983204662799835,-0.23246929049491882,-0.40743377804756165,-0.2505050003528595,0.33910873532295227,-0.16816748678684235,-0.0778881162405014,0.055457789450883865,-0.11225906014442444,0.02369341254234314,-0.3050018846988678,0.3346160650253296,-0.2361856997013092,-0.036079660058021545,0.13711364567279816,-0.22306664288043976,0.18056151270866394,0.016849428415298462,0.15284647047519684,0.26883938908576965,-0.46602335572242737,0.4422011077404022,-0.0685412734746933,-0.08924181759357452,-0.15458659827709198,-0.08415129035711288,-0.07300560921430588,0.008475254289805889,-0.1956726312637329,-0.30129778385162354
Na,0.22778238356113434,0.3411725163459778,0.02382030338048935,0.028148228302598,-0.06694146990776062,-0.08507421612739563,-0.4339371621608734,-0.17764967679977417,-0.2136220782995224,0.03681860491633415,0.04980689287185669,-0.1887008100748062,0.2764965891838074,0.05306246876716614,0.27101749181747437,0.05830611661076546,0.3875584304332733,-0.30078020691871643,-0.0809071809053421,0.1332070231437683,-0.4721549153327942,0.24913457036018372,-0.08060217648744583,-0.4655807912349701,0.09461216628551483,-0.31266292929649353,0.06705915182828903,0.09372206032276154,-0.1235232725739479,0.18144463002681732,-0.29371967911720276,-0.1078929528594017
Mg,-0.21977442502975464,0.3029615879058838,-0.06736427545547485,-0.46238288283348083,-0.06253059953451157,0.04161299765110016,-0.4023178815841675,0.04856572300195694,0.05255671218037605,0.027307281270623207,0.13190317153930664,-0.024875298142433167,0.2585403621196747,0.17436398565769196,-0.06465170532464981,0.2841216027736664,0.20473532378673553,-0.20024678111076355,0.12305086851119995,-0.14154163002967834,0.04150000959634781,0.12018951773643494,-0.3446468710899353,0.12909670174121857,-0.34713470935821533,-0.28978240489959717,0.40828171372413635,-0.23897238075733185,-0.4584742486476898,-0.13736343383789062,-0.11660605669021606,-0.4152925908565521
