Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.20039047300815582,0.35159948468208313,0.42674916982650757,-0.8025696873664856,-0.10075532644987106,-0.5072978138923645,0.3725232183933258,0.2738184630870819,-0.3318106234073639,0.31650206446647644,-0.19565993547439575,-0.5428234934806824,0.16275443136692047,-0.09831900149583817,-0.08321324735879898,0.2561067044734955
Li,0.10548245906829834,0.24151575565338135,0.06073670834302902,-0.3961007297039032,-0.33090740442276,0.07759878039360046,-0.2543848752975464,0.10534369945526123,0.17407578229904175,0.19193245470523834,0.10756509006023407,-0.795549750328064,-0.2873266339302063,0.06668969988822937,-0.11726083606481552,0.5767160058021545
Be,-0.02431579679250717,0.3835342228412628,-0.35479259490966797,0.01968831941485405,-0.23033176362514496,0.17576773464679718,-0.23412463068962097,-0.024982865899801254,-0.017619458958506584,-0.052925195544958115,0.3950459659099579,-0.1836056113243103,-0.1304519772529602,0.09561289846897125,-0.03607393801212311,0.10783044993877411
B,-0.10165184736251831,0.19087345898151398,0.011667493730783463,-0.30518049001693726,0.09395477920770645,-0.1382494419813156,-0.23902548849582672,-0.1557432860136032,-0.03021319955587387,0.5464550852775574,0.451738178730011,-0.24001112580299377,-0.4296770393848419,0.4993928372859955,-0.48950380086898804,-0.5564749836921692
C,-0.02904525399208069,0.08201754838228226,0.11503012478351593,-0.22568385303020477,0.07879005372524261,-0.441287100315094,-0.28745153546333313,-0.2870901823043823,0.08250249177217484,0.06630107760429382,0.19124320149421692,0.09687472134828568,-0.43152478337287903,0.48890385031700134,-0.2521209418773651,-0.08601425588130951
N,-0.1978248655796051,-0.12025043368339539,0.41464972496032715,0.002101674908772111,0.09820102900266647,-0.36682429909706116,-0.049398936331272125,-0.000992895569652319,0.0077710263431072235,0.18795877695083618,-0.10136047750711441,-0.42906200885772705,-0.3468102514743805,0.46197709441185,0.23855112493038177,0.009808357805013657
O,-0.30524471402168274,-0.27037742733955383,0.10134058445692062,-0.3943096697330475,0.08049973100423813,-0.31122419238090515,-0.23528192937374115,0.5386925935745239,-0.16310077905654907,0.0533655509352684,-0.17434224486351013,0.031782060861587524,-0.1533970683813095,0.27845343947410583,0.03321637958288193,0.2918371260166168
F,-0.27803218364715576,0.05341010168194771,-0.1709926575422287,-0.4177246391773224,0.43142667412757874,-0.18749047815799713,-0.17094683647155762,0.9386509656906128,-0.06095336377620697,0.3411809504032135,0.286424458026886,0.025623420253396034,0.3921104371547699,0.26666685938835144,0.23771345615386963,0.13644391298294067
Na,0.013071023859083652,-0.2986862063407898,0.004720460157841444,-0.24168308079242706,-0.3946716785430908,-0.022184954956173897,0.23850664496421814,0.34140363335609436,-0.05473850667476654,0.15620525181293488,-0.0028256657533347607,-0.5653353333473206,-0.533444881439209,-0.16919495165348053,-0.2557513117790222,0.4632994532585144
Mg,-0.13449744880199432,-0.08739574998617172,-0.2249058037996292,0.16186687350273132,0.10492167621850967,0.26886317133903503,-0.03533157706260681,0.16861149668693542,-0.4558435082435608,-0.21516840159893036,0.18511418998241425,-0.30732327699661255,-0.313477486371994,0.025689177215099335,-0.10964017361402512,0.20012488961219788
Al,-0.291215717792511,-0.26379406452178955,-0.271604061126709,0.03133293241262436,-0.05159248784184456,-0.025212623178958893,-0.10207707434892654,-0.02550702728331089,0.09039648622274399,0.06781012564897537,-0.02452007494866848,-0.27626198530197144,-0.28211677074432373,0.6902418732643127,-0.3617075979709625,-0.050675131380558014
Si,-0.05545505881309509,-0.11900820583105087,-0.21645893156528473,-0.07969768345355988,-0.12169507145881653,-0.07393171638250351,-0.3632968068122864,-0.12258278578519821,-0.1492830514907837,-0.00341973127797246,-0.0012851366773247719,0.28155282139778137,-0.841852605342865,0.8552753925323486,-0.23491594195365906,0.37435290217399597
P,-0.11184139549732208,-0.22369050979614258,0.05262730270624161,0.20943865180015564,-0.138274148106575,-0.3192638158798218,0.002709626220166683,-0.03828837722539902,-0.4414339065551758,0.3516913056373596,-0.29943859577178955,0.18279573321342468,-0.6628208160400391,0.6783649921417236,0.29241523146629333,0.04940816015005112
S,0.29831966757774353,-0.17210762202739716,0.179184228181839,0.22776035964488983,0.043806347995996475,-0.5263476371765137,-0.07206471264362335,0.09931690990924835,-0.2582191526889801,0.34786921739578247,0.01635460928082466,0.238916277885437,-0.20750387012958527,0.34272366762161255,0.004364960826933384,0.37644094228744507
