Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.9542814493179321,-0.4986521899700165,0.4539521038532257,-0.12613342702388763,-0.022349432110786438,-0.2299983948469162,-0.17271845042705536,0.0016590096056461334,-0.6756072640419006,-0.13496190309524536,0.4078387916088104,0.16126088798046112,-0.1035120040178299,-0.7070558071136475,-0.13855834305286407,0.2562601566314697
Li,-0.31824859976768494,-0.270285427570343,0.31588706374168396,-0.4330325424671173,0.007282019592821598,0.15139006078243256,-0.4352430999279022,-0.18068386614322662,-0.3851872980594635,0.1352015882730484,0.27460184693336487,0.03192716836929321,0.010339289903640747,-0.4519609212875366,0.7700865864753723,0.2745108902454376
Be,-0.23747219145298004,-0.1876348853111267,-0.0036557535640895367,-0.3370039761066437,-0.21664881706237793,-0.26651427149772644,-0.05308828502893448,-0.19944795966148376,-0.3227449655532837,-0.09713215380907059,-0.005173223093152046,0.30541592836380005,-0.4362141489982605,0.2341814488172531,0.3849819600582123,0.0055979094468057156
B,-0.37215864658355713,-0.31924107670783997,-0.22009135782718658,0.008143473416566849,-0.15995293855667114,-0.6282545924186707,0.05117274820804596,0.03941115364432335,-0.11930596828460693,-0.16913165152072906,0.2284480780363083,0.000574250821955502,-0.13597065210342407,0.0389305055141449,0.34405797719955444,-0.27443063259124756
C,-0.4851711094379425,-0.20566213130950928,-0.4887312054634094,-0.25628289580345154,0.11893671005964279,-0.5777434706687927,0.28485214710235596,0.13307243585586548,-0.11378058791160583,0.07616757601499557,0.10745495557785034,0.11812666058540344,0.12882910668849945,-0.30141448974609375,-0.013574093580245972,-0.4166836440563202
N,-0.31053608655929565,-0.09268999844789505,-0.4461075961589813,-0.13393141329288483,0.29756689071655273,-0.3635290861129761,0.2515898644924164,0.28745999932289124,-0.12700946629047394,-0.08798658847808838,-0.08025895059108734,0.32120078802108765,-0.14439067244529724,-0.40801671147346497,-0.15715432167053223,-0.24487191438674927
O,-0.5898998975753784,-0.40662285685539246,-0.11946547031402588,-0.05088845267891884,-0.11040195822715759,0.14355561137199402,0.03706025704741478,0.3728378713130951,0.2612648010253906,-0.23869113624095917,-0.11564367264509201,0.23566295206546783,-0.3025689125061035,-0.29643121361732483,-0.18951484560966492,0.047378234565258026
F,-0.6647883653640747,-0.40031588077545166,-0.40227293968200684,0.3087153434753418,-0.42029818892478943,0.08176644891500473,-0.1845165342092514,0.23596890270709991,0.22077247500419617,-0.2257107049226761,0.20381176471710205,0.5774200558662415,-0.24161146581172943,-0.6507110595703125,0.37596872448921204,-0.1527550220489502
Na,0.02430635131895542,-0.29489967226982117,0.4833780825138092,-0.17718467116355896,0.014390092343091965,0.2820141315460205,-0.6423757672309875,-0.4725951552391052,-0.20631735026836395,0.27109581232070923,0.17924469709396362,0.24584665894508362,0.45450979471206665,-0.42061468958854675,0.35643208026885986,-0.12519600987434387
Mg,0.1568850725889206,-0.15740051865577698,0.08252792060375214,-0.032205864787101746,-0.5343247056007385,0.00731201097369194,-0.6835318207740784,0.0034967598039656878,-0.1963893473148346,-0.05097857490181923,-0.24530287086963654,-0.08617211878299713,0.01287929154932499,0.0178533922880888,-0.042965713888406754,-0.02653508633375168
Al,-0.2782495319843292,0.03943398594856262,-0.2984524965286255,-0.19504399597644806,-0.20542654395103455,0.048023730516433716,0.30678677558898926,-0.12386222183704376,-0.20033133029937744,-0.21934062242507935,-0.08998987823724747,-0.40391379594802856,-0.2529066205024719,-0.05843384563922882,0.1557791531085968,-0.44089847803115845
Si,-0.2909359931945801,0.034926190972328186,-0.4623578190803528,-0.1949482262134552,-0.09766462445259094,0.11994223296642303,0.10791925340890884,0.07404789328575134,-0.19548475742340088,-0.3623284697532654,-0.13218431174755096,-0.5064584016799927,-0.08758709579706192,-0.22287070751190186,-0.04219108447432518,-0.3886735141277313
P,-0.6003090143203735,-0.1645844280719757,-0.4890669286251068,0.1681108921766281,0.38728511333465576,-0.43856918811798096,-0.03604229912161827,0.17073462903499603,-0.34175926446914673,-0.024918824434280396,-0.3046116530895233,-0.01928291656076908,0.19640801846981049,-0.4302765727043152,-0.36032289266586304,-0.4452798664569855
S,-0.6888899207115173,-0.35575899481773376,-0.599702775478363,0.3366383910179138,0.4335785210132599,-0.002512857783585787,-0.24240753054618835,0.054757311940193176,0.047266457229852676,0.09811873733997345,-0.051624126732349396,0.17684929072856903,0.10894177854061127,-0.6778396964073181,-0.3783925771713257,-0.1306532770395279
Cl,-0.569494903087616,-0.03403230383992195,-0.3240331709384918,0.23443609476089478,0.32095009088516235,0.41923949122428894,-0.17872270941734314,-0.31011664867401123,-0.13097922503948212,-0.19313162565231323,0.14824987947940826,0.700809895992279,-0.3781890869140625,-0.5805266499519348,-0.2751036286354065,-0.5358630418777466
K,-0.05534718930721283,-0.45234689116477966,0.4159697890281677,-0.12918536365032196,0.4697696566581726,0.07070857286453247,-0.21736231446266174,-0.33310380578041077,-0.22468802332878113,-0.25585973262786865,-0.05367390811443329,-0.3513706922531128,0.26299235224723816,-0.4490784704685211,0.22575236856937408,0.05637150630354881
Ca,-0.32355400919914246,0.3231430649757385,0.401256799697876,0.14184845983982086,-0.4023122489452362,0.24170833826065063,-0.6113547682762146,-0.3293640613555908,-0.06907450407743454,-0.02219477668404579,-0.38716351985931396,-0.055195651948451996,-0.3366801142692566,0.0436539426445961,0.14304018020629883,0.0076069217175245285
Sc,0.040633317083120346,0.25105059146881104,-0.1437457799911499,-0.29559507966041565,-0.3141932487487793,0.07254493236541748,-0.016969960182905197,0.29543086886405945,0.15733222663402557,0.08327421545982361,-0.11715443432331085,-0.4731241464614868,-0.006974011659622192,-0.011044825427234173,-0.16302549839019775,-0.313926637172699
Ti,-0.11969617009162903,0.4710226058959961,-0.4899645149707794,-0.40609174966812134,-0.24573974311351776,0.12015251815319061,-0.23730243742465973,0.36657270789146423,0.045034654438495636,-0.190525084733963,0.037997275590896606,-0.37845197319984436,0.03274792432785034,-0.005548607558012009,-0.09781070798635483,-0.15460661053657532
V,0.002781108021736145,0.0901477038860321,-0.3620459735393524,-0.4890493154525757,-0.05693592131137848,-0.09410438686609268,-0.14488379657268524,0.5034171342849731,-0.017337007448077202,-0.31437602639198303,-0.08305811136960983,-0.6521760821342468,-0.05470825359225273,-0.1964062750339508,0.06531713902950287,0.15758249163627625
Cr,0.05684028938412666,-0.07909508794546127,-0.15885983407497406,-0.3228048086166382,0.015631824731826782,0.2805044651031494,-0.13635827600955963,0.375300794839859,0.058565691113471985,-0.236051544547081,-0.02630140818655491,-0.6816056966781616,-0.13313856720924377,-0.41256922483444214,-0.18799979984760284,0.06539159268140793
Mn,0.08833912760019302,0.016989219933748245,-0.2152552306652069,-0.2552388310432434,-0.2787420451641083,-0.10620664805173874,-0.11544660478830338,0.40815970301628113,0.15546107292175293,-0.2772260904312134,-0.017401305958628654,-0.3954773545265198,-0.3858741521835327,-0.3333701193332672,0.0208603385835886,0.17577102780342102
Fe,0.12827181816101074,0.1981586217880249,-0.35190683603286743,-0.10014388710260391,-0.1874348521232605,0.03140674903988838,-0.4945032000541687,0.013606240972876549,-0.1702740341424942,-0.547205924987793,0.17606431245803833,-0.5308882594108582,-0.42315730452537537,-0.44502389430999756,-0.002419776748865843,-0.1274564564228058
Co,0.23591125011444092,-0.13566824793815613,-0.31978344917297363,-0.23885513842105865,-0.20001085102558136,0.13554635643959045,0.0349736288189888,0.27227088809013367,-0.148834690451622,-0.025779807940125465,0.019400008022785187,-0.4757723808288574,-0.3214097023010254,-0.5782045125961304,0.0253779124468565,-0.09661965817213058
Ni,0.21340684592723846,0.06078990921378136,-0.11877868324518204,-0.5251302123069763,-0.3381909728050232,-0.32746949791908264,0.006882634945213795,0.2457139492034912,-0.11379632353782654,-0.00893603265285492,-0.42094796895980835,-0.28727859258651733,-0.21214742958545685,-0.5971202254295349,-0.0841529592871666,0.08490076661109924
Cu,0.11271238327026367,-0.16041311621665955,0.09328220784664154,-0.39702308177948,-0.6116970777511597,-0.09688456356525421,-0.03638133779168129,0.0829964280128479,-0.06930072605609894,0.06857883185148239,-0.23451194167137146,-0.3248743712902069,-0.15577898919582367,-0.3506424129009247,-0.13662008941173553,-0.0460035502910614
Zn,-0.07640200108289719,0.03922896832227707,-0.1765395551919937,-0.32243645191192627,-0.09324724227190018,0.24812977015972137,-0.25299587845802307,0.1507721245288849,-0.40457484126091003,0.002528748707845807,-0.16606193780899048,-0.3224746584892273,-0.19965988397598267,-0.11054373532533646,0.27878537774086,-0.015682989731431007
Ga,-0.5434679985046387,0.11541792750358582,-0.16508054733276367,-0.19910840690135956,-0.1721443384885788,0.2232823669910431,0.3097042441368103,0.1492752730846405,-0.43239524960517883,-0.10384418070316315,-0.07399412989616394,-0.49848371744155884,-0.23525962233543396,0.07590663433074951,0.2846411466598511,-0.43014711141586304
Ge,-0.5641677975654602,0.14536052942276,-0.03430982306599617,-0.22917909920215607,-0.03913553059101105,-0.02840110845863819,-0.0033093560487031937,0.39046111702919006,-0.3130389451980591,-0.3125593662261963,-0.19188611209392548,-0.5184791088104248,-0.004398217424750328,-0.1869153529405594,-0.128412127494812,-0.3907550573348999
As,-0.6266908049583435,0.12251956760883331,-0.23983298242092133,0.13031816482543945,0.4944532513618469,-0.21665549278259277,-0.1755710393190384,0.3516213297843933,-0.33942145109176636,-0.31821390986442566,-0.13475385308265686,-0.15814916789531708,0.16772621870040894,-0.1376415193080902,0.1691015362739563,-0.34811609983444214
Se,-0.75590980052948,-0.008880526758730412,-0.2944329082965851,0.36248579621315,0.571622908115387,0.16844779253005981,-0.3607189953327179,0.34711286425590515,0.04780982434749603,-0.1783059984445572,0.019732778891921043,0.16132505238056183,0.12462696433067322,-0.4442119002342224,-0.05734642595052719,-0.11257481575012207
Br,-0.6831114888191223,-0.09395576268434525,-0.18199436366558075,0.21476197242736816,0.24816107749938965,0.40576714277267456,-0.11479502171278,-0.13323649764060974,-0.1934126764535904,-0.015613993629813194,0.04732944816350937,0.6074174046516418,-0.2858879566192627,-0.41060444712638855,-0.007888411171734333,-0.658580482006073
Rb,0.09284134209156036,-0.6726035475730896,0.36820316314697266,0.19346261024475098,0.5131839513778687,-0.23320983350276947,-0.049582306295633316,0.060724370181560516,-0.12756051123142242,-0.08057783544063568,0.001837451010942459,-0.5406177639961243,-0.14019694924354553,-0.3223362863063812,0.3040875792503357,0.11628726124763489
Sr,-0.02763737365603447,0.4329982101917267,0.4066440165042877,0.5992510914802551,-0.2726131081581116,-0.176733136177063,-0.39405557513237,-0.25906118750572205,-0.09240523725748062,0.06361252069473267,-0.16359247267246246,-0.40828120708465576,-0.1788661926984787,0.3768097162246704,0.23916372656822205,-0.03311441093683243
Y,0.2940230369567871,0.5147169232368469,-0.2759207487106323,-0.13668225705623627,0.1468723714351654,0.14513421058654785,0.08434043079614639,0.299761027097702,0.40940600633621216,0.021419046446681023,-0.2285670042037964,-0.1919710785150528,0.14060819149017334,0.16133494675159454,-0.016417689621448517,-0.33691951632499695
Zr,0.15847110748291016,0.3341248035430908,-0.3619917929172516,-0.3508428633213043,-0.20339155197143555,-0.22683848440647125,0.10797624289989471,0.8196538090705872,0.30352580547332764,0.3927209973335266,-0.24195018410682678,-0.29919925332069397,0.20493121445178986,0.0902547538280487,-0.46128788590431213,-0.4512648582458496
Nb,0.36145612597465515,-0.18092142045497894,-0.35933932662010193,-0.21964441239833832,-0.09092886000871658,-0.25686341524124146,-0.1450071632862091,0.8121815323829651,0.19939419627189636,0.010612583719193935,-0.04630317911505699,-0.8642610311508179,0.04573652520775795,-0.04211495816707611,0.07248836755752563,0.07960887998342514
Mo,0.3025892376899719,-0.2914001941680908,0.05532895028591156,-0.27918481826782227,0.041460756212472916,-0.3680972158908844,-0.25258928537368774,0.7987299561500549,0.3348667323589325,-0.011113080196082592,-0.07210886478424072,-0.8316822648048401,-0.0700470358133316,-0.1601763367652893,-0.46714332699775696,0.07409808039665222
Tc,-0.020063506439328194,0.018250424414873123,-0.1452624350786209,-0.19902443885803223,0.1397174894809723,-0.5598140358924866,-0.16549120843410492,0.882764458656311,0.24332082271575928,-0.1955149620771408,-0.054953306913375854,-0.5490624308586121,-0.29944512248039246,-0.1786821484565735,-0.14659146964550018,0.36814606189727783
Ru,0.13852418959140778,0.22072480618953705,-0.20029675960540771,-0.22940213978290558,0.07894394546747208,-0.615911066532135,-0.4848097562789917,0.5996279716491699,-0.12599244713783264,-0.38399019837379456,-0.06587042659521103,-0.521445631980896,-0.4290871024131775,-0.23041124641895294,-0.24346023797988892,0.0392746739089489
Rh,0.18075087666511536,0.3024996221065521,-0.45073962211608887,-0.12282241880893707,0.19000543653964996,-0.31646913290023804,-0.12551289796829224,0.6748519539833069,-0.07123652845621109,-0.11165320873260498,0.05283123999834061,-0.3076925277709961,-0.43736299872398376,-0.4122784435749054,0.03905230760574341,0.05200440436601639
Pd,-0.18497154116630554,0.1376314014196396,-0.21675723791122437,-0.19304080307483673,0.32313594222068787,-0.3474705219268799,-0.05406036972999573,0.4042068421840668,0.0005254289135336876,-0.08576458692550659,-0.20644885301589966,-0.4443477988243103,-0.09173037111759186,-0.2871958315372467,0.19924885034561157,0.15053227543830872
Ag,-0.05774945020675659,0.11215033382177353,0.1931115984916687,-0.24725505709648132,-0.15379586815834045,-0.47139495611190796,-0.19764535129070282,0.5092584490776062,-0.025972673669457436,-0.17343756556510925,-0.2139737904071808,-0.4463904798030853,-0.1311967372894287,-0.11687181890010834,-0.149616539478302,0.23098695278167725
Cd,-0.016647029668092728,0.03660276532173157,-0.34066513180732727,-0.04262084141373634,0.12694275379180908,0.20368173718452454,-0.2472299337387085,0.4195585250854492,-0.3802282214164734,0.1185397133231163,-0.09854379296302795,-0.4855363667011261,-0.20128275454044342,-1.9401777535676956e-05,0.37743645906448364,0.01724897138774395
In,-0.09770853817462921,0.016495807096362114,-0.09733138978481293,0.2588672935962677,-0.4318188428878784,-0.1695041060447693,0.252849817276001,0.3062010407447815,-0.03862232342362404,0.04526153951883316,-0.1456676870584488,-0.46279391646385193,-0.35402315855026245,0.2387462854385376,0.016922302544116974,-0.7604213356971741
Sn,-0.15298348665237427,-0.031369589269161224,0.08742998540401459,0.026194199919700623,-0.1690879613161087,-0.3616669178009033,0.02779301442205906,0.7356359362602234,-0.017243752256035805,-0.027679231017827988,-0.34012892842292786,-0.5083521008491516,0.07912178337574005,-0.07854673266410828,-0.3769255578517914,-0.6465621590614319
