Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.008932269178330898,-0.0006276051863096654,-0.189122274518013,0.23535825312137604,-0.5896525382995605,-0.2382204234600067,-0.24278771877288818,0.070575051009655,-0.3172234892845154,-0.11055103689432144,0.3409141004085541,0.00017257714353036135,0.04735315963625908,0.40895357728004456,-0.49433356523513794,0.19282856583595276,0.6095505952835083,0.05427800491452217,-0.05798669159412384,-0.35494232177734375,0.40076783299446106,-0.4391152560710907,0.2905152440071106,-0.5326768159866333,0.1508055329322815,-0.5070394277572632,-0.3511054515838623,0.12219450622797012,0.09525313973426819,0.011183605529367924,0.31279703974723816,0.16087031364440918
Li,-0.07414942979812622,-0.4441439211368561,-0.49933597445487976,0.13173359632492065,-0.1997596174478531,-0.22216109931468964,-0.11577586084604263,-0.008114847354590893,0.001146048423834145,-0.4861392080783844,0.2003472000360489,0.11127950996160507,-0.06950204819440842,0.12908558547496796,-0.1181996539235115,0.007456530351191759,0.4842568635940552,0.16259132325649261,-0.10053291916847229,-0.11428850889205933,0.088994100689888,-0.21475261449813843,0.09648964554071426,0.08526284247636795,0.2605467438697815,-0.10645483434200287,-0.08840698003768921,-0.08654532581567764,-0.12026537209749222,-0.26486146450042725,-0.18258266150951385,0.08504325151443481
Be,0.49430450797080994,-0.603722095489502,0.010634053498506546,0.07400264590978622,-0.4167602062225342,0.10089320689439774,-0.07584449648857117,-0.11505182832479477,0.19520094990730286,-0.07144343852996826,0.06344515085220337,-0.22816352546215057,-0.09986557066440582,0.036926910281181335,-0.18021000921726227,0.10281788557767868,0.18394966423511505,-0.1530265361070633,-0.06680713593959808,0.286239355802536,-0.15488336980342865,0.13583390414714813,0.24368998408317566,0.191379576921463,0.25415337085723877,0.07625892013311386,0.05589227005839348,0.2681618332862854,0.1331542432308197,-0.04211077839136124,-0.09895386546850204,-0.025103572756052017
B,0.27588000893592834,-0.29816460609436035,0.028165487572550774,-0.08019541203975677,-0.42164912819862366,-0.08626226335763931,-0.3797725737094879,-0.15992371737957,-0.10254237055778503,0.14643585681915283,-0.06400919705629349,-0.2592484652996063,-0.3225206732749939,0.023806994780898094,0.17124970257282257,-0.0806240439414978,0.14834663271903992,-0.021218540146946907,0.15885038673877716,0.07919975370168686,0.2104523926973343,-0.015418664552271366,-0.32070350646972656,0.20744790136814117,0.14562039077281952,-0.278253436088562,0.0759304016828537,0.5612346529960632,0.32504501938819885,0.2143552005290985,0.2778874933719635,0.07671507447957993
C,0.25686216354370117,-0.08657537400722504,-0.17310845851898193,-0.28417742252349854,-0.34237971901893616,0.03433949500322342,-0.41189292073249817,-0.14702469110488892,0.16134388744831085,0.0048083956353366375,-0.10295060276985168,-0.07419443875551224,0.014133764430880547,0.1714918464422226,0.3601924180984497,0.5131137371063232,0.29963284730911255,0.07348578423261642,-0.12280204147100449,-0.04762393608689308,0.23408959805965424,0.05123066157102585,-0.09092527627944946,0.25049707293510437,-0.08774246275424957,-0.12084271013736725,-0.1293504387140274,0.11987020820379257,-0.005885866470634937,0.35978832840919495,-0.1203535869717598,-0.12860727310180664
N,0.3075900971889496,-0.19127602875232697,0.2231496423482895,0.04179457947611809,-0.2878659665584564,0.09251310676336288,0.019399406388401985,-0.06368057429790497,-0.4111288785934448,0.06093169376254082,0.1911442130804062,-0.008213694207370281,0.035310447216033936,0.13077346980571747,-0.14503739774227142,0.20398133993148804,0.307302862405777,0.17760485410690308,0.05233563110232353,-0.20178216695785522,-0.13906194269657135,0.0034655544441193342,0.01517580822110176,0.06693503260612488,-0.03056977689266205,-0.3221454620361328,-0.1461603194475174,0.14618606865406036,0.21861295402050018,0.6511920690536499,0.23601023852825165,-0.13774943351745605
O,0.26274967193603516,-0.12164857238531113,0.17031212151050568,0.2645365297794342,-0.11239880323410034,-0.02402462065219879,-0.024997558444738388,0.18291407823562622,-0.12548696994781494,0.01654636114835739,0.0504286028444767,-0.012106860987842083,0.05795570835471153,0.39881473779678345,-0.060582224279642105,0.23702578246593475,0.18551310896873474,0.17952661216259003,-0.0024940776638686657,0.018098853528499603,0.3134111762046814,0.28705689311027527,0.04207703098654747,-0.09763351082801819,0.21427704393863678,-0.32047683000564575,-0.01875740848481655,0.14831532537937164,0.052949272096157074,0.25163576006889343,-0.09768722951412201,-0.10795541107654572
F,0.4786624014377594,-0.18381786346435547,0.2223827987909317,0.27945807576179504,-0.17180725932121277,-0.02756936103105545,-0.29748353362083435,0.417764276266098,-0.40995490550994873,0.19922421872615814,0.19564543664455414,0.043299026787281036,-0.07323843985795975,-0.028866730630397797,0.00576099893078208,-0.04953203722834587,0.31311821937561035,0.005080045200884342,-0.25458019971847534,-0.08149489760398865,0.4349426329135895,-0.0677499771118164,0.3247929811477661,0.13820461928844452,-0.09389279782772064,-0.2209608554840088,-0.12159612774848938,0.26565656065940857,0.07083441317081451,-0.10026589035987854,-0.18481184542179108,0.06429005414247513
Na,0.026106107980012894,-0.47274526953697205,-0.28629082441329956,0.2066735327243805,-0.19771626591682434,-0.281835675239563,0.08132173120975494,0.0013716513058170676,-0.3077349364757538,-0.38959801197052,0.12772557139396667,-0.11454977095127106,-0.08178911358118057,-0.13705523312091827,-0.10176751017570496,-0.20644652843475342,0.26153042912483215,-0.13976731896400452,-0.11249963194131851,0.017163965851068497,-0.09811760485172272,-0.6265580654144287,-0.11860021948814392,0.18697591125965118,0.18665049970149994,-0.17526951432228088,0.21813726425170898,-0.15432056784629822,-0.23991434276103973,-0.4604114592075348,0.0560346320271492,0.07032406330108643
Mg,0.3866932690143585,-0.23425139486789703,0.15213166177272797,0.14431874454021454,-0.07851172238588333,-0.15136678516864777,0.1176673173904419,-0.19133903086185455,0.13023321330547333,0.010157708078622818,0.26981791853904724,-0.2675495445728302,0.03269282355904579,-0.07801318168640137,-0.4599761962890625,-0.18042518198490143,0.23626236617565155,0.021273799240589142,-0.02677491307258606,0.16059361398220062,-0.4281502962112427,-0.1754678636789322,-0.09637773036956787,0.012485243380069733,0.039246343076229095,-0.19810810685157776,0.20626632869243622,-0.11788315325975418,0.09910889714956284,-0.06988432258367538,-0.1271795779466629,-0.22340205311775208
