Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.032381441444158554,0.023078398779034615,-0.05418287217617035,0.08825094252824783,0.14281383156776428,0.023183979094028473,-0.5042802691459656,-0.11879952251911163,-0.46960583329200745,0.08122459799051285,-0.13712112605571747,-0.19817881286144257,-0.21840162575244904,0.007025551050901413,0.11389737576246262,0.027161898091435432,0.024710681289434433,0.2403162717819214,-0.007556519936770201,-0.11070506274700165,-0.4377883970737457,0.37202325463294983,-0.20440931618213654,-0.10520339012145996,-0.21213532984256744,-0.0735321193933487,-0.4949159026145935,0.03231272101402283,-0.0909537822008133,0.3668886423110962,0.08496467024087906,0.18396079540252686,0.45990732312202454,-0.12243662029504776,-0.16662240028381348,0.10278505831956863,-0.06329422444105148,0.020913343876600266,0.3110809922218323,0.2623281180858612,-0.27433767914772034,0.3746401369571686,0.10110063850879669,0.02194073796272278,0.03961741179227829,-0.0001486828550696373,0.20880268514156342,-0.10966306924819946,-0.522652268409729,0.2213124781847,0.18265467882156372,0.01998141035437584,-0.08537138998508453,-0.12945038080215454,0.12804260849952698,-0.03698950260877609,0.10157293826341629,-0.17061102390289307,0.007062890566885471,0.30395475029945374,0.021917112171649933,0.026517154648900032,0.09974832087755203,-0.15196959674358368
Li,0.1827453076839447,0.2256806492805481,-0.17266163229942322,0.18199601769447327,0.14810091257095337,-0.06301383674144745,-0.11679097265005112,-0.42576828598976135,-0.3546674847602844,0.043166376650333405,0.021521590650081635,0.24833978712558746,-0.16532211005687714,-0.12375509738922119,0.16142940521240234,-0.18807433545589447,-0.14506514370441437,0.2626487910747528,0.19655124843120575,0.05765833705663681,0.004826500080525875,-0.029260758310556412,-0.13046357035636902,0.0657939687371254,-0.07152418792247772,0.06655719131231308,-0.3711828887462616,-0.10964304208755493,0.22440694272518158,0.05197083204984665,-0.191432923078537,0.010573772713541985,0.22752080857753754,-0.14798137545585632,-0.024770166724920273,-0.06585782021284103,-0.13478001952171326,-0.1494462788105011,0.1792416274547577,0.22771142423152924,-0.20280775427818298,0.030670400708913803,-0.2669980525970459,0.051199957728385925,0.1360214203596115,-0.2037675678730011,0.29618310928344727,-0.19507749378681183,-0.3739326298236847,0.08073529601097107,0.33882978558540344,0.03186779469251633,-0.2740114629268646,0.10004645586013794,0.006290616933256388,0.2500304877758026,-0.09763580560684204,-0.0913522019982338,-0.10282883793115616,-0.18328838050365448,-0.09135139733552933,0.1674882173538208,0.1424960345029831,-0.1413242369890213
Be,-0.1112610474228859,0.30909183621406555,-0.613629162311554,0.20208150148391724,0.07824442535638809,-0.08298008888959885,-0.23276253044605255,-0.20453299582004547,-0.3036995530128479,-0.009664740413427353,0.14960362017154694,0.17719469964504242,0.24688325822353363,-0.09365145862102509,-0.07734666764736176,0.0404679998755455,-0.06610072404146194,0.18432338535785675,-0.285942941904068,0.18588614463806152,0.0650748610496521,-0.0032569323666393757,-0.13014836609363556,-0.4178672730922699,-0.08772256970405579,0.043014295399188995,0.08431736379861832,-0.1720457822084427,-0.04154842719435692,0.20284797251224518,0.00200076587498188,-0.04567716643214226,-0.14734794199466705,0.22988289594650269,-0.3066520094871521,-0.2195117324590683,-0.02413233555853367,-0.05363394320011139,-0.08354943990707397,-0.1421419233083725,-0.04948778450489044,0.3292197585105896,0.08060626685619354,0.35885894298553467,-0.01282117422670126,0.12511597573757172,-0.13329291343688965,0.002479046583175659,0.2741483449935913,-0.09181683510541916,-0.13980118930339813,-0.22685877978801727,0.06609413027763367,0.1923227310180664,0.18889372050762177,-0.06358151882886887,-0.14424976706504822,-0.23469199240207672,-0.11563502252101898,0.018753517419099808,0.15084208548069,0.1723061054944992,-0.1441950500011444,-0.019510237500071526
B,-0.2972535192966461,0.2349170446395874,-0.23139484226703644,-0.07626872509717941,-0.12096358835697174,0.2054000198841095,-0.27037468552589417,-0.24431036412715912,-0.1579049527645111,0.1342552751302719,0.005334803834557533,0.05316971242427826,0.1106632798910141,-0.39882132411003113,-0.23694203794002533,-0.01497984491288662,-0.1213734969496727,-0.05892268568277359,-0.22964052855968475,0.12810619175434113,-0.18143925070762634,0.04509889334440231,-0.012054381892085075,-0.24900132417678833,-0.22647765278816223,0.0516192764043808,0.06955581903457642,0.22445078194141388,0.006517793983221054,-0.1158197820186615,-0.2248174548149109,-0.01112944632768631,-0.06825267523527145,-0.0955553874373436,-0.16003239154815674,-0.054172735661268234,0.006447864230722189,-0.02095957286655903,0.013569727540016174,0.0419030599296093,0.14043709635734558,0.0879741832613945,0.26696375012397766,0.1067657619714737,0.19864027202129364,-0.23110567033290863,0.1211598739027977,0.00046996399760246277,-0.10372006148099899,-0.13201484084129333,0.0054155513644218445,0.1453939825296402,0.37658077478408813,0.13207897543907166,0.4865361154079437,0.14572212100028992,-0.11243829131126404,-0.11824281513690948,-0.08659399300813675,0.019057637080550194,-0.121304951608181,0.1189391016960144,0.2143818587064743,0.23892024159431458
C,0.03444305807352066,0.13010621070861816,-0.006499685347080231,0.1460723727941513,-0.2935333847999573,0.02567979320883751,0.07648678869009018,-0.01872904971241951,-0.006626029498875141,0.037031084299087524,0.050404880195856094,-0.09994697570800781,0.15510298311710358,-0.19017192721366882,-0.036029163748025894,-0.15092752873897552,-0.014056682586669922,-0.221292182803154,-0.26215338706970215,-0.05520714819431305,-0.05628079175949097,-0.13348233699798584,-0.22399300336837769,-0.07876024395227432,0.04804275929927826,0.1230730265378952,0.2461542934179306,0.17412951588630676,-0.03168657049536705,-0.023155514150857925,-0.2746688425540924,0.17077435553073883,0.18844570219516754,0.1959541290998459,-0.03338942304253578,-0.12036453187465668,-0.3116655647754669,-0.02381259761750698,-0.007641356438398361,0.14877261221408844,-0.004233897663652897,-0.13655126094818115,0.404137521982193,0.035388920456171036,-0.07458005845546722,-0.34123358130455017,0.21731017529964447,0.10470575094223022,0.27939921617507935,-0.2296651005744934,-0.23450148105621338,0.08444856107234955,0.400554895401001,-0.1923740953207016,0.4004979431629181,0.3906560242176056,-0.039725326001644135,0.1900804191827774,0.27002212405204773,-0.07308918237686157,-0.023286746814846992,0.19836154580116272,0.37913835048675537,0.12649589776992798
N,-0.13070641458034515,0.06844072043895721,-0.025105856359004974,-0.04678104817867279,0.009358905255794525,0.1539023518562317,0.01398835051804781,0.18750867247581482,0.012625995092093945,0.034481555223464966,-0.28648555278778076,-0.13869570195674896,-0.17045627534389496,-0.21083779633045197,0.3191220760345459,-0.09365202486515045,0.06459255516529083,-0.31197473406791687,-0.3376411497592926,-0.0774746984243393,-0.4726417660713196,0.18301497399806976,-0.03435036167502403,-0.39717793464660645,-0.19070160388946533,-0.10783741623163223,0.12646593153476715,-0.04698410630226135,0.23178313672542572,-0.01603488251566887,0.002995157614350319,0.010682880878448486,0.0744285136461258,-0.06679288297891617,0.0047636087983846664,-0.2176058441400528,-0.025022896006703377,0.36752238869667053,0.14036914706230164,0.16845527291297913,0.08550390601158142,0.2813021242618561,0.23086561262607574,0.1310286819934845,0.23143619298934937,-0.19724227488040924,0.04596602916717529,-0.08454533666372299,-0.060565803200006485,0.1626507192850113,0.025724492967128754,-0.03151961788535118,0.09052721410989761,-0.31150558590888977,0.15072780847549438,0.062364041805267334,0.04602601006627083,0.2298407405614853,0.10004711896181107,-0.04416494816541672,-0.18811647593975067,0.1181219145655632,0.23183323442935944,0.14880043268203735
O,-0.1613783836364746,-0.2542089521884918,0.02998141385614872,-0.028250765055418015,0.03515872359275818,-0.12414684891700745,0.07027526944875717,-0.20874789357185364,-0.19746096432209015,0.09180805832147598,-0.12013128399848938,-0.01653546467423439,-0.07664627581834793,-0.02237507328391075,0.22826431691646576,-0.04077661782503128,0.19415874779224396,-0.18972381949424744,-0.15643762052059174,-0.1415427029132843,-0.23061394691467285,0.008900756016373634,-0.013143309392035007,-0.019411558285355568,-0.20806430280208588,-0.026063814759254456,-0.06066013500094414,-0.1583249270915985,0.2216019481420517,0.02627798169851303,0.148511603474617,0.029094306752085686,0.1470106691122055,0.07488273829221725,-0.1188301295042038,-0.10198657214641571,-0.04190719500184059,0.0321652926504612,-0.008039110340178013,0.11078229546546936,-0.280213862657547,0.036043647676706314,0.18014641106128693,-0.0857914537191391,0.11305932700634003,-0.07814471423625946,0.20714837312698364,0.006148796994239092,0.007243581581860781,0.1366293877363205,-0.07865896075963974,-0.006977471522986889,-0.02799104154109955,-0.08902741223573685,0.016498832032084465,-0.033965349197387695,-0.3033634126186371,0.015772968530654907,-0.21706882119178772,-0.048372719436883926,-0.04682954400777817,0.15340948104858398,0.17515996098518372,0.04055583104491234
F,0.16710834205150604,-0.344209223985672,0.1452604979276657,0.12599274516105652,-0.029504762962460518,0.034101590514183044,-0.11907804012298584,0.007517019286751747,-0.16549381613731384,-0.10543783754110336,0.04883347824215889,-0.1413358747959137,0.07555067539215088,-0.2584548890590668,0.1627943515777588,-0.16251249611377716,0.22267568111419678,0.17518727481365204,-0.19620639085769653,-0.12351080030202866,-0.3866024315357208,0.05692357197403908,0.10526459664106369,-0.11064103245735168,0.10826857388019562,0.3208578824996948,-0.01534325908869505,-0.06621165573596954,0.19176486134529114,0.17623956501483917,0.07435092329978943,-0.05050979554653168,0.30867424607276917,0.1323946714401245,0.034329988062381744,0.0480530709028244,0.05584209784865379,0.05905122309923172,-0.02165444940328598,0.41272473335266113,-0.42830535769462585,0.10007648169994354,0.005856702104210854,0.011290183290839195,0.19625744223594666,0.055525049567222595,0.06002618744969368,-0.05837029591202736,-0.19176678359508514,0.16611546277999878,-0.07840186357498169,0.04396415874361992,0.06365390121936798,-0.31404998898506165,0.23596817255020142,-0.11112228780984879,0.1105404794216156,-0.06699133664369583,-0.07071932405233383,-0.2671236991882324,-0.10800454020500183,0.1652020364999771,0.4022800922393799,-0.20072078704833984
Na,0.15902787446975708,0.3288796544075012,-0.08202245831489563,0.1542988121509552,0.28649213910102844,0.10666273534297943,-0.1379455327987671,-0.22417767345905304,-0.35090792179107666,-0.3205343186855316,-0.03267785906791687,0.23146626353263855,-0.29773619771003723,-0.3145224153995514,-0.11380556970834732,-0.11435855180025101,-0.17256857454776764,0.3709806501865387,0.25996914505958557,-0.14833982288837433,0.012500660493969917,-0.031335435807704926,-0.016750864684581757,0.15717005729675293,-0.2876719534397125,0.22641046345233917,-0.18064215779304504,-0.0826655700802803,0.06033838540315628,0.03567013889551163,-0.09474796801805496,0.2273431271314621,0.2946554124355316,-0.33165350556373596,-0.17240311205387115,0.19354994595050812,-0.06410323083400726,-0.3617491126060486,-0.044938597828149796,0.1551630049943924,-0.4077683687210083,0.15479406714439392,-0.28460633754730225,0.1386842131614685,-0.016726545989513397,0.1158151924610138,-0.0035373512655496597,-0.06071551889181137,-0.3064624071121216,0.018104437738656998,-0.09841509163379669,-0.10334939509630203,-0.3795301020145416,0.05884384736418724,-0.08382595330476761,0.0367891788482666,-0.19976747035980225,-0.07857107371091843,0.10473231971263885,-0.07519639283418655,-0.15599389374256134,-0.05992510914802551,-0.02883632481098175,-0.009630187414586544
Mg,0.13717219233512878,0.3528779149055481,-0.15740515291690826,0.18548448383808136,0.3222793936729431,-0.26697495579719543,-0.2570640742778778,0.2456531524658203,-0.09069103747606277,-0.10655379295349121,0.22465598583221436,0.04253764823079109,-0.13223782181739807,-0.14453420042991638,0.09760834276676178,-0.06644121557474136,-0.004552849102765322,0.27952060103416443,0.06340766698122025,-0.22459183633327484,-0.020398031920194626,-0.12570470571517944,0.17611956596374512,-0.2229214757680893,-0.10027460008859634,0.10963385552167892,-0.020670238882303238,-0.03507678210735321,-0.07758314162492752,0.26075828075408936,-0.06363771855831146,0.05983813852071762,0.02913275547325611,0.13919730484485626,-0.14408768713474274,0.12913386523723602,0.07954643666744232,-0.237385094165802,-0.2860744297504425,-0.1956249624490738,-0.2501448094844818,0.4674939215183258,-0.09751679748296738,0.13575078547000885,0.160625621676445,0.11817093193531036,0.0349305123090744,-0.18164518475532532,0.04181792214512825,0.013933089561760426,-0.318858802318573,-0.37183958292007446,-0.2520604729652405,-0.1372717320919037,0.01743932068347931,-0.2603569030761719,-0.24919185042381287,-0.18231531977653503,0.1535862684249878,0.016687268391251564,0.1225784420967102,-0.23593521118164062,-0.10923050343990326,0.11128626018762589
