Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.27882128953933716,0.2852482199668884,1.0582275390625,-0.21594741940498352,0.24289554357528687,-0.5413612127304077,0.05918514356017113,1.47870671749115
Li,0.37951889634132385,0.07987283915281296,1.0108343362808228,0.3480486273765564,0.48345091938972473,-0.22605569660663605,0.14580531418323517,0.691562294960022
Be,0.5036044120788574,-0.0024907218758016825,0.3891318142414093,0.23043833673000336,0.6155616044998169,-0.20818741619586945,0.10498008131980896,-0.10399745404720306
B,0.26499173045158386,0.031134864315390587,0.31594938039779663,-0.037075161933898926,0.9449686408042908,-0.17089404165744781,-0.2791549265384674,0.0383278913795948
C,0.1593673676252365,-0.10888577252626419,0.2853829264640808,-0.38681989908218384,1.3146129846572876,-0.343377947807312,0.0069870962761342525,0.011379131115972996
N,0.1566769778728485,-0.28131532669067383,0.2342953383922577,-0.6846049427986145,0.9251505732536316,-0.8174889087677002,-0.0626920759677887,-0.22632484138011932
O,-0.04581211879849434,-0.33984097838401794,0.6692520380020142,-0.7906235456466675,0.7750337719917297,-0.6526037454605103,-0.5999541878700256,0.14454613626003265
F,0.14808404445648193,-0.2824220657348633,0.8245875835418701,-0.6754760146141052,0.2506559193134308,-1.347946286201477,-0.7775089144706726,0.42466023564338684
Na,0.4631121754646301,0.1503308266401291,1.1115378141403198,-0.07695705443620682,0.1374788135290146,0.12529152631759644,0.22414369881153107,0.54347825050354
Mg,0.020623430609703064,-0.13162599503993988,0.5418481230735779,-0.01998535357415676,0.7524065375328064,-0.002182821976020932,0.2610611617565155,-0.08345890045166016
Al,0.6274254322052002,-0.37341663241386414,-0.054649610072374344,0.08396941423416138,1.1242403984069824,-0.28621312975883484,0.14032191038131714,-0.4484807252883911
Si,0.5281056761741638,-0.4652807414531708,-0.22012652456760406,-0.10707508027553558,1.0986167192459106,-0.4265550673007965,0.24830053746700287,-0.2961643934249878
P,0.10999973863363266,-0.7430438995361328,0.01947670802474022,-0.5667675137519836,0.5323414206504822,-1.0363794565200806,0.4289032220840454,-0.2302771657705307
S,-0.06102277711033821,-0.48919305205345154,0.07708607614040375,-0.814934253692627,0.20603421330451965,-0.7770588397979736,-0.32607632875442505,0.4402756690979004
Cl,0.10596708953380585,-0.1785312294960022,0.8839547634124756,-0.6551061868667603,-0.038594529032707214,-0.8365732431411743,-0.49423694610595703,0.08097929507493973
K,0.2913985252380371,0.02044002152979374,0.6865187883377075,-0.09580964595079422,0.33146822452545166,0.18622294068336487,-0.018167460337281227,0.59812992811203
Ca,0.4368739426136017,-0.2975118160247803,0.5937774181365967,0.13834524154663086,0.2164151668548584,0.09943081438541412,0.3365779221057892,-0.002666042884811759
