Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,0.4451380968093872,-0.3583279550075531,0.046801090240478516,0.40941470861434937,-0.1544812172651291,-0.10831470042467117,0.16353489458560944,0.2921511232852936,-0.20048768818378448,0.27626627683639526,0.09467839449644089,0.18655620515346527,0.42004886269569397,-0.02254372090101242,-0.9102330207824707,-0.577042281627655
Li,0.3310968577861786,0.02173631452023983,-0.09189016371965408,0.3254767060279846,0.4727999269962311,0.4742923378944397,0.19195882976055145,-0.16580457985401154,-0.33799228072166443,0.20679871737957,-0.02758227102458477,0.04723088815808296,0.4394696056842804,0.09037894010543823,-0.12341044098138809,-0.049263957887887955
Be,0.16134200990200043,-0.11291933804750443,0.2808172404766083,0.08910287916660309,0.6052365899085999,0.22906462848186493,-0.01069975458085537,0.05664879083633423,-0.3695183992385864,0.5548951029777527,-0.4632644057273865,0.5049735903739929,0.07549338787794113,0.23770752549171448,-0.29321104288101196,-0.06898175925016403
B,-0.13031819462776184,-0.24453115463256836,0.4882880747318268,0.02398218773305416,0.4265022873878479,-0.16009865701198578,-0.2615061402320862,-0.00480233458802104,-0.38665488362312317,0.49696245789527893,0.11379227042198181,0.7106762528419495,-0.17849044501781464,-0.058538537472486496,-0.3188233971595764,-0.20913277566432953
C,-0.24580000340938568,-0.2465803623199463,0.2684900164604187,-0.5062615275382996,0.3898916244506836,-0.10002417117357254,-0.1672453135251999,0.14084665477275848,-0.29990845918655396,0.6554834842681885,0.3243270218372345,0.44099023938179016,0.13621100783348083,-0.25451964139938354,-0.5799124836921692,-0.14211846888065338
N,-0.4852394461631775,-0.44127917289733887,-0.053180526942014694,-0.4406692087650299,-0.34150224924087524,-0.07523876428604126,-0.19737374782562256,0.15854252874851227,0.03812427073717117,0.6550212502479553,0.11707466095685959,-0.04426087439060211,0.21084332466125488,-0.2998097836971283,-0.20135769248008728,-0.01919945515692234
O,-0.347265362739563,-0.4378691017627716,-0.17153216898441315,-0.4326029121875763,-0.5956523418426514,0.2204805463552475,0.39537546038627625,-0.09367357939481735,-0.1769925206899643,0.28918156027793884,0.24648575484752655,0.30391332507133484,0.811183512210846,0.20077458024024963,0.04924328625202179,-0.35796546936035156
F,-0.22482772171497345,-0.3776797950267792,-0.4220940172672272,-0.1419418752193451,-0.7027968764305115,0.29859423637390137,0.8086133599281311,-0.17043721675872803,-0.42646604776382446,0.679583728313446,0.5246420502662659,0.4702954888343811,0.6886593103408813,0.3596782088279724,0.13788098096847534,0.12954717874526978
Na,0.39271280169487,0.26915574073791504,0.02212320640683174,0.34682849049568176,0.2396695911884308,0.5921062231063843,0.05610175058245659,0.0644795373082161,-0.1091340035200119,0.08174705505371094,0.21170490980148315,-0.18430569767951965,0.47290611267089844,0.10013586282730103,-0.1691780686378479,0.04289523884654045
Mg,0.3624610900878906,0.19883868098258972,-0.04923971742391586,0.18790702521800995,0.0640207976102829,0.4557665288448334,-0.23976601660251617,-0.012411189265549183,0.040089599788188934,0.14370937645435333,-0.4081205725669861,-0.11091217398643494,0.3058878183364868,0.38760849833488464,-0.060864031314849854,0.34707769751548767
Al,0.22426190972328186,-0.2724544107913971,0.31159812211990356,0.23335126042366028,0.18774297833442688,0.12044115364551544,-0.11846815049648285,-0.3097340762615204,-0.16383247077465057,0.333260178565979,-0.3141576945781708,0.10526745766401291,-0.11965229362249374,0.46086081862449646,0.3825206160545349,0.24439051747322083
Si,0.3073428273200989,-0.21240441501140594,0.43933770060539246,-0.14554688334465027,0.13765904307365417,-0.13812674582004547,-0.2893349826335907,-0.2550099492073059,-0.16263669729232788,0.2696894109249115,-0.17159909009933472,0.04043825715780258,-0.050621483474969864,0.3979814052581787,0.20038306713104248,0.23737965524196625
P,0.07468318194150925,-0.5002933740615845,0.6812508702278137,-0.2662321925163269,-0.04188412427902222,-0.02684883587062359,-0.23047715425491333,-0.10446728765964508,0.08395152539014816,-0.0346122607588768,0.15482166409492493,0.3500170409679413,0.10340484976768494,0.36133474111557007,-0.0018983157351613045,0.4183320105075836
S,0.015948349609971046,-0.38372835516929626,0.7091028690338135,-0.5176724791526794,-0.2781747877597809,0.050412341952323914,0.2412780076265335,0.07177610695362091,0.013529403135180473,0.30269649624824524,0.3709661066532135,0.21400095522403717,0.5154271721839905,0.29197895526885986,0.10739435255527496,0.5515079498291016
Cl,-0.035311296582221985,-0.29927805066108704,0.2611263394355774,-0.306988924741745,-0.6346213221549988,0.2426082193851471,0.518069326877594,0.3277891278266907,-0.35729512572288513,0.5372655391693115,0.5384764671325684,0.17479853332042694,0.59339439868927,0.36097654700279236,0.3285600244998932,0.6147114038467407
K,0.31423816084861755,0.37396439909935,-0.09730452299118042,0.4385950565338135,0.12194649875164032,0.5036407709121704,0.004714634269475937,0.19777879118919373,0.18332326412200928,-0.0795750841498375,0.4743267595767975,-0.1329699158668518,0.40992414951324463,-0.017643747851252556,0.17945416271686554,0.09246984124183655
Ca,0.3335458040237427,0.4961266815662384,0.08767049014568329,-0.02896134927868843,0.15034504234790802,0.7231761813163757,0.17017866671085358,-0.17406487464904785,0.1736404299736023,0.08337777107954025,-0.07470667362213135,0.030679576098918915,0.12937720119953156,0.18824662268161774,0.2863908112049103,0.18200360238552094
Sc,-0.06411727517843246,0.3420983552932739,-0.01815558597445488,-0.0534655898809433,0.16051490604877472,0.5606369972229004,-0.11137841641902924,-0.05677308887243271,-0.015161704272031784,0.21188218891620636,-0.3659534156322479,-0.11447978764772415,-0.05799204111099243,0.3647948205471039,0.40668871998786926,0.45068782567977905
Ti,-0.19809508323669434,0.23511594533920288,-0.1742289662361145,-0.06843728572130203,0.3376680314540863,0.04309999197721481,-0.21876956522464752,-0.22827543318271637,-0.14619578421115875,0.16454532742500305,-0.23250561952590942,-0.03160446882247925,-0.2198871374130249,0.30612462759017944,0.25750863552093506,0.6071911454200745
V,-0.0698792114853859,0.0978538990020752,-0.13342508673667908,-0.0939546674489975,0.6291022300720215,-0.13170889019966125,-0.08649057149887085,0.09265761077404022,-0.14806506037712097,0.19442972540855408,-0.29155105352401733,0.0687023401260376,-0.007289967034012079,0.28410351276397705,-0.06054512411355972,0.4765893518924713
Cr,-0.13851720094680786,0.11279631406068802,0.23720115423202515,0.09587224572896957,0.5654837489128113,-0.22652918100357056,0.012957097962498665,0.09054740518331528,-0.21193750202655792,0.3220546543598175,-0.42586642503738403,-0.38417744636535645,-0.0534789115190506,0.013544614426791668,-0.1664789915084839,0.058586567640304565
Mn,-0.030506309121847153,0.047563254833221436,0.3382326066493988,0.022632382810115814,0.46046680212020874,0.03450333699584007,0.20769314467906952,-0.014674431644380093,-0.24863240122795105,0.23939892649650574,-0.4284486174583435,-0.3977731764316559,0.058802105486392975,0.07614735513925552,-0.13260039687156677,-0.015204071067273617
Fe,-0.12151072174310684,-0.1581462025642395,0.3885825276374817,-0.1010802760720253,0.3600545823574066,-0.001977225299924612,0.2731870114803314,0.1168319582939148,-0.26561668515205383,0.1512031853199005,-0.3369735777378082,-0.3500842750072479,-0.1429615616798401,0.010051863268017769,-0.0893334224820137,0.028564315289258957
Co,-0.14845922589302063,-0.22238805890083313,0.45900848507881165,-0.1575073003768921,0.3308018445968628,0.10176602005958557,0.4428767263889313,0.4370264708995819,-0.26445940136909485,0.10031276941299438,-0.2452947199344635,-0.26626017689704895,-0.1580066829919815,0.18054112792015076,-0.18233971297740936,-0.042994581162929535
Ni,-0.3158525824546814,-0.2684493362903595,0.3441339433193207,-0.08754632622003555,0.15967297554016113,0.02968953736126423,0.4230934977531433,0.41374340653419495,-0.39490315318107605,-0.16873472929000854,-0.05813293531537056,-0.31172940135002136,-0.08611177653074265,0.41929641366004944,-0.4574168920516968,0.052117057144641876
Cu,-0.08916040509939194,-0.2876422703266144,0.39021679759025574,0.3541337847709656,0.08596617728471756,-0.26738303899765015,0.4201014041900635,0.22902911901474,-0.28820478916168213,0.2855948209762573,-0.18211974203586578,-0.6139895915985107,0.006403107196092606,0.1711789071559906,-0.29236119985580444,0.02238929271697998
Zn,0.23399552702903748,-0.26077908277511597,0.01472610142081976,0.24402594566345215,0.2721404731273651,0.2157813459634781,-0.1485113501548767,0.2316499948501587,-0.0721784457564354,0.2945833206176758,-0.2844940423965454,-0.10133016854524612,0.28875732421875,0.02247110940515995,0.00950249470770359,0.23990914225578308
Ga,0.2609492242336273,-0.3053846061229706,0.28387251496315,0.2784152626991272,0.12786957621574402,0.15320351719856262,-0.07945697754621506,-0.025978941470384598,-0.15706777572631836,0.39111804962158203,-0.33208608627319336,0.08013249933719635,0.06720282137393951,0.26261311769485474,0.4708988666534424,0.1297752857208252
Ge,0.2140912115573883,-0.2785836160182953,0.3435364365577698,0.008040227927267551,0.11936469376087189,-0.22839751839637756,-0.32704490423202515,-0.03482050448656082,-0.1450253129005432,0.03560889512300491,-0.10218266397714615,0.05296090990304947,0.12624700367450714,0.36886584758758545,0.16244037449359894,0.12008579075336456
As,0.2641890048980713,-0.46279293298721313,0.41569021344184875,-0.26188236474990845,0.14265677332878113,-0.18086999654769897,-0.41737279295921326,0.04739907756447792,-0.14449718594551086,-0.04338579624891281,-0.008349190466105938,0.10180666297674179,0.3386869430541992,0.2628888785839081,0.2553519904613495,0.24346520006656647
Se,0.2416175901889801,-0.2613483667373657,0.5212010145187378,-0.3501409590244293,-0.3130911588668823,-0.18915660679340363,0.10994978249073029,0.2955395579338074,-0.0718814879655838,0.2240401804447174,0.16986002027988434,0.09574711322784424,0.6979228854179382,0.1365247666835785,0.3421211838722229,0.29459741711616516
Br,-0.15711887180805206,-0.1962476670742035,0.38795971870422363,-0.060227829962968826,-0.4750925302505493,0.21476708352565765,0.37752050161361694,0.48109713196754456,-0.20314855873584747,0.5465059280395508,0.4599067270755768,0.2888994812965393,0.8262097239494324,0.12181378155946732,0.3698887825012207,0.7557011842727661
Rb,0.33637377619743347,0.363319456577301,-0.061851873993873596,0.5296239256858826,0.08614972233772278,0.5291694402694702,0.05072754994034767,0.0952223464846611,0.22826676070690155,-0.06648913770914078,0.5939639210700989,-0.1047559380531311,0.4186723530292511,-0.06937497109174728,0.2989930510520935,0.16516952216625214
Sr,0.27775323390960693,0.4810028672218323,-0.2018277645111084,0.15811221301555634,0.22695522010326385,0.6045653223991394,0.08790840953588486,-0.3379025161266327,0.4905592203140259,-0.21383816003799438,0.19043567776679993,0.09237787127494812,0.301954448223114,0.28428810834884644,0.46844878792762756,0.1513139009475708
Y,-0.22265461087226868,0.7750552892684937,0.03577378764748573,-0.11211621016263962,0.08328960835933685,0.4708905518054962,0.007740121800452471,-0.18593527376651764,0.06913944333791733,0.016560250893235207,-0.24189607799053192,0.020905878394842148,-0.17018292844295502,0.5489060878753662,0.5973864793777466,0.2851354777812958
Zr,-0.31864210963249207,0.48760923743247986,-0.18857024610042572,-0.010873502120375633,0.29462409019470215,0.19778834283351898,-0.050024036318063736,-0.11348581314086914,0.08607058972120285,0.11093838512897491,-0.26763737201690674,-0.30852898955345154,-0.1083548292517662,0.3083246946334839,0.5393376350402832,0.4905288517475128
Nb,-0.28461259603500366,0.29126784205436707,-0.04112071916460991,-0.1568804681301117,0.6688519716262817,0.02198624610900879,-0.024657364934682846,0.11617304384708405,-0.03950001299381256,0.1739385575056076,-0.24216467142105103,-0.11995083093643188,0.11836166679859161,0.19678780436515808,0.14586320519447327,0.4954526126384735
Mo,-0.43978774547576904,0.03904280066490173,0.16800516843795776,0.002233247272670269,0.8429417014122009,-0.295722633600235,0.009733795188367367,0.16347697377204895,-0.05854499340057373,0.16417747735977173,-0.12070947885513306,-0.27321958541870117,0.22773778438568115,0.432454913854599,0.015493001788854599,0.370680570602417
Tc,-0.12853841483592987,-0.11067982017993927,0.37380191683769226,-0.04084860533475876,0.7601824402809143,-0.17888180911540985,0.31426793336868286,-0.029360884800553322,-0.08198433369398117,0.07053091377019882,-0.08620407432317734,-0.07542729377746582,0.24427583813667297,0.5398356914520264,0.14515985548496246,0.1953011155128479
Ru,-0.19229546189308167,-0.3342967629432678,0.29899150133132935,-0.1458444446325302,0.624396800994873,-0.18659061193466187,0.25540071725845337,0.16911396384239197,-0.20261958241462708,0.01004724483937025,-0.02371016889810562,-0.232202410697937,0.15143904089927673,0.5946984887123108,0.0612248033285141,0.20261774957180023
Rh,-0.15899306535720825,-0.2882663309574127,0.2798517346382141,-0.23489269614219666,0.41807106137275696,-0.05056653544306755,0.49912896752357483,0.3677823841571808,-0.2450701892375946,0.013186320662498474,-0.006602308712899685,-0.1982894092798233,0.30758991837501526,0.37699466943740845,-0.09675827622413635,0.2748585343360901
Pd,-0.08731493353843689,-0.39942362904548645,0.113216333091259,-0.016818847507238388,0.3142263889312744,-0.16145837306976318,0.46194133162498474,0.30278638005256653,-0.20731602609157562,-0.12050985544919968,0.03210665285587311,0.02938741259276867,0.33000078797340393,0.28355538845062256,0.004895975813269615,0.27014634013175964
Ag,-0.0784592479467392,-0.3957694172859192,0.14818136394023895,0.4704982042312622,0.21922633051872253,-0.5417354106903076,0.3392028510570526,0.048419296741485596,-0.21259409189224243,-0.03483392298221588,0.006572142243385315,-0.423484206199646,0.372464656829834,0.30370575189590454,-0.14106638729572296,0.29412782192230225
Cd,0.20601268112659454,-0.19805441796779633,0.18743595480918884,0.2589356005191803,0.2462969571352005,0.23281599581241608,-0.029314355924725533,0.10634046047925949,0.012101183645427227,0.21779996156692505,-0.24754789471626282,-0.13403913378715515,0.34147909283638,-0.05637703463435173,0.20865675806999207,0.23461969196796417
In,-0.10801423341035843,0.03232182562351227,0.5632191896438599,0.4199426472187042,-0.038112495094537735,0.053442396223545074,0.014937138184905052,-0.1222558319568634,0.09519998729228973,0.2588697075843811,-0.40480202436447144,0.09135355055332184,0.08063486963510513,0.20979857444763184,0.6175188422203064,0.2874583601951599
Sn,-0.021266276016831398,0.03449014201760292,0.49504050612449646,0.13515159487724304,-0.0467434786260128,-0.30295446515083313,-0.25293678045272827,0.03388098627328873,0.06606363505125046,-0.09040449559688568,-0.12801077961921692,-0.012585003860294819,0.2583376467227936,0.3272234797477722,0.30694207549095154,0.09252950549125671
Sb,-0.21962440013885498,-0.033353883773088455,0.46541377902030945,-0.1025000736117363,0.03158136084675789,-0.17712680995464325,-0.43188294768333435,0.19462233781814575,0.055535539984703064,-0.16418562829494476,-0.007468016818165779,0.015381509438157082,0.48341822624206543,0.36267855763435364,0.2838021218776703,0.22788003087043762
Te,-0.028132187202572823,-0.04290888085961342,0.5381377339363098,-0.07735562324523926,-0.2334606796503067,-0.34485092759132385,-0.07914247363805771,0.05321134254336357,-0.013395324349403381,-0.07491672784090042,0.1347198486328125,0.12872791290283203,0.7675262093544006,0.23087815940380096,0.49666061997413635,0.2805875539779663
I,-0.07013122737407684,0.05152802914381027,0.5217955708503723,0.05877707153558731,-0.36304959654808044,0.1302075982093811,0.27948319911956787,-0.0472077876329422,-0.30552083253860474,0.09051495790481567,0.32868558168411255,0.1859600692987442,1.0762993097305298,-0.07628241926431656,0.5427383184432983,0.7219659686088562
Cs,0.3412875235080719,0.3903433680534363,-0.08290863037109375,0.463711142539978,0.08811688423156738,0.5600810050964355,0.08529414981603622,0.12428698688745499,0.2718352675437927,-0.08903710544109344,0.5912188291549683,0.031314995139837265,0.33454596996307373,-0.17984852194786072,0.38419678807258606,0.07088400423526764
Ba,0.2829653322696686,0.4650011956691742,-0.2036309391260147,0.15765121579170227,0.1531303972005844,0.6399080157279968,0.03434416651725769,-0.19342659413814545,0.5888027548789978,-0.1697973906993866,0.1881604939699173,0.15386387705802917,0.299131840467453,0.2958359122276306,0.5336510539054871,0.16729503870010376
