Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.08647622913122177,0.24378468096256256,-0.376781165599823,-0.11432226002216339,-0.12710094451904297,0.20154380798339844,-0.6623715758323669,0.25702348351478577,0.2127760648727417,0.07421186566352844,0.41455185413360596,0.3568299412727356,-0.5433363914489746,-0.06314857304096222,0.4731593430042267,0.24573341012001038,0.05938201770186424,0.11449875682592392,-0.4163411259651184,0.21832366287708282,-0.10128170251846313,-0.0684262067079544,0.2764049768447876,-0.16721348464488983,0.060415104031562805,0.07439785450696945,-0.23133747279644012,0.28592878580093384,0.22619310021400452,0.1030137836933136,-0.28919264674186707,-0.3627718687057495
Li,-0.09568668156862259,0.04042036831378937,0.20418739318847656,-0.032352399080991745,-0.08809147775173187,-0.12559033930301666,-0.32856836915016174,0.02149852365255356,0.17497558891773224,0.10302519798278809,0.3433608412742615,0.09368903934955597,-0.17459452152252197,-0.4099181294441223,-0.019277777522802353,-0.126258984208107,-0.1819450855255127,0.3087228238582611,-0.19654937088489532,0.31444138288497925,0.03152482211589813,-0.11492881923913956,0.2177952378988266,-0.023578960448503494,0.14601008594036102,-0.28826677799224854,0.08887181431055069,0.358591765165329,0.3165038228034973,0.29057031869888306,-0.08810331672430038,0.30378133058547974
Be,-0.34015339612960815,-0.08273330330848694,0.15812136232852936,-0.3714405596256256,0.4274255335330963,-0.46381261944770813,-0.1021031066775322,0.052057161927223206,-0.2010636329650879,0.15910078585147858,0.7003161907196045,-0.18803565204143524,-0.11270041763782501,-0.16196127235889435,0.24623078107833862,-0.03434743732213974,-0.13514763116836548,-0.031284820288419724,0.0331985242664814,0.02886195294559002,-0.17401716113090515,-0.0351228229701519,0.07924264669418335,0.002445003716275096,0.06760234385728836,0.13794584572315216,-0.0028286604210734367,0.48221516609191895,-0.1357927918434143,0.4447678327560425,0.10203338414430618,-0.24924281239509583
B,-0.2013956755399704,-0.2505008280277252,-0.20777364075183868,-0.4678671061992645,0.40640485286712646,0.010032769292593002,-0.04981367662549019,0.2422478348016739,0.22236067056655884,-0.07884112000465393,0.690220832824707,0.24015867710113525,0.28285932540893555,-0.09715060889720917,0.3906823396682739,0.1007852628827095,-0.21070635318756104,0.04387819394469261,0.08641692250967026,0.13245931267738342,-0.3053528964519501,-0.0813976377248764,-0.09782048314809799,0.001291698426939547,-0.2361137866973877,0.15994985401630402,-0.3023105561733246,0.20359934866428375,-0.00679045682772994,0.27215468883514404,-0.04480461776256561,0.013921806588768959
C,-0.5844114422798157,-0.18525291979312897,-0.15040071308612823,-0.48371532559394836,0.27738767862319946,0.16033346951007843,0.2796734571456909,0.24847622215747833,0.3428150713443756,0.33514660596847534,0.5488551259040833,0.18786393105983734,0.023211337625980377,0.095370352268219,0.2815544903278351,-0.07834067195653915,-0.19133396446704865,0.03392275795340538,-0.20638339221477509,-0.10190781950950623,-0.0986328274011612,-0.11515619605779648,-0.19545878469944,0.14803408086299896,0.008635027334094048,0.05194017291069031,-0.21472106873989105,-0.0032814322039484978,0.04676617309451103,-0.00683167576789856,0.24226464331150055,-0.19890378415584564
N,-0.16964688897132874,-0.2565940022468567,-0.009021133184432983,-0.20144258439540863,0.32854166626930237,0.2661198675632477,0.24457702040672302,0.32395872473716736,0.5124554634094238,0.03392869606614113,0.5052778720855713,0.04765836521983147,0.036211494356393814,0.06644368916749954,0.4036896228790283,0.012037650682032108,0.2563929557800293,0.38710546493530273,-0.1655421108007431,-0.038049403578042984,0.10895095765590668,0.2786945104598999,-0.008754328824579716,-0.27978089451789856,0.10923933237791061,0.2616129517555237,-0.3240838944911957,0.0677609071135521,0.08930377662181854,0.06668046861886978,0.07278656214475632,-0.23265224695205688
O,0.26054802536964417,-0.18250103294849396,0.27779915928840637,-0.33924880623817444,0.12308039516210556,0.4690459668636322,-0.14448173344135284,0.32132911682128906,0.05344485118985176,0.09151332825422287,0.6982873678207397,-0.09343505650758743,-0.29722726345062256,-0.11437100917100906,0.17137418687343597,-0.17236122488975525,0.15068624913692474,0.2718619108200073,-0.1732914000749588,0.04210187494754791,0.28265249729156494,-0.05386871099472046,-0.22622652351856232,-0.23857368528842926,0.050768617540597916,0.2805759310722351,-0.3125677704811096,-0.08336151391267776,0.41552576422691345,0.06638949364423752,-0.15837131440639496,-0.1689836084842682
F,0.8255922198295593,-0.4351837933063507,0.13132743537425995,-0.3370753228664398,-0.0409264974296093,0.5171101689338684,-0.10231569409370422,0.49115264415740967,-0.016801223158836365,-0.0565498024225235,0.5553479790687561,-0.45668715238571167,-0.03503500297665596,-0.21139724552631378,0.14708374440670013,0.15336965024471283,0.06252457946538925,0.6502394676208496,-0.09696339815855026,0.1659180074930191,0.03169088065624237,-0.15358233451843262,-0.277006596326828,-0.36711812019348145,-0.18094485998153687,0.028802163898944855,-0.04062483832240105,-0.027384139597415924,0.4118766784667969,0.39680591225624084,0.06975598633289337,-0.04887085780501366
Na,0.0013579567894339561,0.15190435945987701,-0.0743185356259346,-0.011080197058618069,0.04884592816233635,0.0023155580274760723,-0.36587026715278625,-0.013945494778454304,0.03568938747048378,0.11149575561285019,0.16443969309329987,-0.005224382970482111,-0.4019867479801178,-0.49133116006851196,-0.15737426280975342,-0.1754727065563202,-0.1915268898010254,0.23081852495670319,-0.29927876591682434,0.1352694183588028,0.053836941719055176,0.0013655212242156267,0.32823270559310913,0.13071309030056,0.21726690232753754,-0.1934541016817093,0.31585580110549927,0.23274455964565277,0.33472636342048645,0.04790802299976349,-0.11184606701135635,0.29503101110458374
Mg,0.1326928436756134,-0.27409037947654724,-0.04989427328109741,-0.222366601228714,0.2825833261013031,0.016667943447828293,-0.17836834490299225,-0.2937677204608917,-0.09538259357213974,0.08527596294879913,0.30719685554504395,0.021272694692015648,-0.2874000668525696,-0.4140450060367584,-0.13566458225250244,-0.06359758228063583,-0.0437193401157856,0.08409581333398819,-0.05807649716734886,0.03852223977446556,0.05135978013277054,0.12956097722053528,0.026303110644221306,-0.09467478096485138,0.30012136697769165,0.11791441589593887,0.3248711824417114,0.38945919275283813,0.0066180722787976265,0.10187780112028122,-0.04935406893491745,-0.01394982822239399
