Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-2.559589385986328,1.7141984701156616,-1.630667805671692,0.06917345523834229,-2.642429828643799,2.3672125339508057,-3.1233370304107666,2.0587446689605713
Li,0.10990667343139648,2.271085262298584,-0.9782451391220093,0.6971017718315125,-2.3529305458068848,1.414148211479187,-0.4951888918876648,1.2846200466156006
Be,-1.5475623607635498,-0.8027896285057068,-2.153846502304077,1.197608232498169,0.18709781765937805,1.712353229522705,1.9746334552764893,0.07034212350845337
B,-1.2465673685073853,1.1806776523590088,0.12192857265472412,-0.8903629779815674,0.5309655666351318,3.067662239074707,1.8687536716461182,1.8190016746520996
C,-1.3717849254608154,-3.8964123725891113,1.580931305885315,-1.13284170627594,1.4696226119995117,3.840207099914551,0.7422292828559875,1.4838919639587402
N,-1.9022035598754883,-1.6593413352966309,1.9493927955627441,-0.18070083856582642,1.830035924911499,3.8165106773376465,-0.03382539749145508,2.4856462478637695
O,1.2158055305480957,-0.04897803068161011,2.3669991493225098,0.053072839975357056,1.8009270429611206,1.8269575834274292,-1.6336798667907715,3.3896284103393555
F,1.1820626258850098,-1.2697131633758545,2.5954155921936035,1.0874755382537842,2.6362271308898926,0.42625898122787476,-2.453606605529785,3.599393606185913
Na,0.35332170128822327,1.189565896987915,-2.548269510269165,0.5290746688842773,-3.3561315536499023,0.5961648225784302,-2.2304787635803223,0.5553350448608398
Mg,-2.254729986190796,2.572761297225952,-0.7956035733222961,0.17684584856033325,0.5419415235519409,0.3346793055534363,-0.33675283193588257,-0.5985345244407654
Al,-0.26016679406166077,1.5893776416778564,-1.5436382293701172,-0.9914696216583252,0.8150060176849365,0.6195849180221558,1.1393147706985474,0.41339486837387085
Si,-1.7889865636825562,0.43563467264175415,-2.1339545249938965,-1.015546202659607,1.5495613813400269,1.026832103729248,1.4787546396255493,0.9106494188308716
P,-0.718444287776947,-0.1072130799293518,-2.254821300506592,-1.5076665878295898,1.6746668815612793,1.17000412940979,1.4712296724319458,2.1145501136779785
S,1.1993844509124756,-0.5748715400695801,-2.2059407234191895,-1.973217248916626,1.3034886121749878,1.56681489944458,1.0526854991912842,3.1359434127807617
Cl,1.704770565032959,-0.9130471348762512,-0.37268638610839844,0.4845302104949951,1.4664870500564575,1.5701311826705933,-0.39000067114830017,3.3946340084075928
K,1.4450674057006836,1.9868977069854736,-1.9799165725708008,0.14170873165130615,-4.829824447631836,1.1902737617492676,-3.1269211769104004,-0.07379621267318726
Ca,-2.9270520210266113,2.7824323177337646,-2.009714365005493,-0.65215003490448,-1.639987826347351,-0.7486964464187622,-1.2424497604370117,-3.1447863578796387
Sc,-1.2697018384933472,2.5550284385681152,0.2980908155441284,0.06313055008649826,-2.2405362129211426,-1.518060564994812,-0.052058517932891846,0.5915759801864624
Ti,-0.18540547788143158,1.8963780403137207,-1.4468846321105957,0.14822295308113098,-0.9213408827781677,-2.5465126037597656,1.5504088401794434,-0.9897750616073608
V,-1.6313245296478271,-1.6435893774032593,-3.3947665691375732,0.70253586769104,-0.5280287265777588,-0.9363014698028564,2.1454083919525146,0.8469728231430054
Cr,0.08314371109008789,-2.1157467365264893,-0.6264967918395996,1.638907790184021,-1.385133147239685,0.9866793155670166,1.9545254707336426,1.2558484077453613
Mn,-1.5570101737976074,0.20669829845428467,-1.2577340602874756,2.099562644958496,-0.6412432193756104,0.3904758393764496,1.6134915351867676,0.7465112209320068
Fe,-2.3714001178741455,-0.9753574728965759,-2.822695732116699,2.1071414947509766,0.39047443866729736,0.5627263784408569,2.323594093322754,0.18812179565429688
Co,-2.0532214641571045,-0.5713909864425659,-2.778003692626953,1.9799349308013916,-0.3249456584453583,0.7989826798439026,2.5256459712982178,2.0370495319366455
Ni,-1.3539385795593262,0.05940258502960205,-1.2709743976593018,1.6238785982131958,-0.6393932700157166,1.5152827501296997,2.0501620769500732,2.8916637897491455
Cu,-2.7285640239715576,-2.0780391693115234,-3.5267601013183594,1.4057068824768066,-0.4313362240791321,1.1800442934036255,1.5552483797073364,2.1688592433929443
