Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,0.030399609357118607,-0.003560665063560009,0.17322556674480438,0.02467973902821541,0.21040357649326324,-0.10906915366649628,-0.4343627095222473,-0.23741766810417175,-0.011766656301915646,-0.04454614222049713,0.02061309665441513,0.29973307251930237,0.15649937093257904,-0.08047603070735931,-0.22889500856399536,-0.03409496322274208,-0.06143150478601456,0.10826972126960754,0.16142646968364716,0.0562790110707283,0.10478588938713074,-0.20570936799049377,0.14564916491508484,-0.0016991461161524057,0.014664492569863796,0.013528777286410332,-0.1919800043106079,-0.48157864809036255,0.0746011883020401,-0.08796588331460953,0.09124673902988434,0.014530917629599571,-0.2577221095561981,0.19728219509124756,0.03068099170923233,0.13835860788822174,0.0025689550675451756,-0.1555204540491104,0.027564339339733124,0.17544962465763092,0.1727515608072281,-0.21534109115600586,-0.3348552882671356,0.22857533395290375,0.1099407821893692,-0.13703186810016632,-0.01152822282165289,0.403028666973114,0.0104220537468791,0.08478780090808868,0.024557290598750114,0.2476811558008194,-0.11517924815416336,0.14172635972499847,0.1920197755098343,0.01831739954650402,-0.2714739143848419,-0.10353153944015503,-0.20966210961341858,0.03370698168873787,0.1566592901945114,-0.054909467697143555,0.04530015587806702,-0.32503780722618103
Li,-0.01665700040757656,0.015107627958059311,0.2580440938472748,-0.018402080982923508,0.004357079043984413,0.008780982345342636,-0.08907932043075562,0.21892356872558594,-0.10196512937545776,0.05905802547931671,0.19572409987449646,-0.19568026065826416,0.11715800315141678,-0.03661704063415527,-0.24927465617656708,-0.12684819102287292,-0.028248971328139305,0.00012211594730615616,-0.2605009377002716,0.048343509435653687,0.12539957463741302,-0.0583658330142498,0.0055155400186777115,-0.07462390512228012,0.013496158644557,0.13347665965557098,-0.02075565606355667,-0.05874229595065117,0.08866153657436371,0.048675455152988434,-0.04289507865905762,0.18695516884326935,-0.19656580686569214,0.12426044046878815,0.04975682869553566,-0.11059879511594772,0.07406514137983322,-0.13908545672893524,-0.06268401443958282,-0.1255900263786316,-0.05057276040315628,0.15497900545597076,-0.21570931375026703,-0.016515083611011505,-0.06247202679514885,-0.18629635870456696,0.01543538086116314,0.1378265768289566,0.07644926011562347,0.1445838212966919,0.18291369080543518,-0.11857032030820847,-0.09896723926067352,-0.10079394280910492,0.031029673293232918,0.34604495763778687,-0.001903708092868328,-0.07228028774261475,-0.1663852483034134,-0.022586112841963768,0.22624242305755615,0.13001132011413574,-0.06051957979798317,-0.13418184220790863
Be,0.1375986635684967,0.18958133459091187,0.3254002332687378,-0.06714992970228195,-0.21281291544437408,-0.17385044693946838,-0.25159257650375366,-0.18946364521980286,-0.1433217078447342,-0.30034899711608887,-0.14176149666309357,-0.11958293616771698,-0.036851897835731506,-0.24015699326992035,-0.12243656069040298,-0.04687841236591339,0.08359885960817337,-0.03109976090490818,-0.08903203904628754,0.2519676387310028,0.13656722009181976,-0.03392784297466278,0.10980778187513351,-0.08110952377319336,-0.22871780395507812,-0.007029464468359947,-0.1500040739774704,-0.34788867831230164,-0.30147746205329895,0.12156948447227478,0.02757798321545124,0.08932904899120331,0.03091597557067871,0.24566717445850372,0.4874489903450012,-0.3358587920665741,0.2284894734621048,-0.25611376762390137,0.013189621269702911,-0.07411199063062668,0.07793028652667999,0.13761994242668152,-0.3487643003463745,0.23743252456188202,0.25427889823913574,0.19612394273281097,-0.10852091759443283,-0.2400958091020584,0.0071794516406953335,0.3067408502101898,0.0670020580291748,-0.03418029472231865,-0.037713080644607544,0.04928961396217346,-0.3161121904850006,0.25211596488952637,0.24673610925674438,-0.25495243072509766,-0.026825258508324623,-0.5152764320373535,0.23267407715320587,-0.1763882040977478,0.1848767101764679,-0.13817289471626282
B,0.054246965795755386,0.2570023238658905,0.3182874917984009,-0.09021157026290894,-0.09450526535511017,-0.15165673196315765,-0.3508482575416565,-0.0869559720158577,0.12681844830513,-0.07141460478305817,-0.2786271274089813,0.10380913317203522,0.34191155433654785,-0.29113367199897766,-0.07101982086896896,-0.049447666853666306,-0.003775539807975292,0.012254966422915459,0.013451620936393738,0.21494963765144348,0.04203552007675171,-0.11359836906194687,-0.02968733198940754,0.1468031257390976,-0.3046129047870636,0.04098598659038544,0.2456156462430954,-0.13402335345745087,-0.11880454421043396,-0.06268766522407532,-0.04183248430490494,0.09413353353738785,-0.1336214244365692,-0.02430914342403412,0.2753177881240845,-0.05515587329864502,0.20736704766750336,-0.19513697922229767,0.3136722445487976,0.09755751490592957,-0.16341084241867065,-0.03681597486138344,-0.029100336134433746,0.20045091211795807,0.037008173763751984,-0.1322430968284607,0.3196330666542053,-0.10861381143331528,-0.1448504626750946,0.12172074615955353,-0.057532139122486115,0.22748078405857086,-0.05417736619710922,-0.0016932561993598938,-0.08404263108968735,0.07098647952079773,-0.0599161721765995,0.2266727089881897,0.17150194942951202,-0.04783264920115471,0.11584577709436417,-0.16930659115314484,0.008342640474438667,-0.35724982619285583
C,-0.06359140574932098,0.21754659712314606,0.12180162221193314,-0.04665425047278404,0.1756817251443863,-0.14847032725811005,-0.27767473459243774,-0.12286536395549774,0.09110600501298904,-0.24750682711601257,-0.05418604612350464,0.1753595471382141,0.15071940422058105,-0.32814112305641174,0.10248664021492004,0.1478634476661682,0.07121281325817108,-0.013367004692554474,0.24101495742797852,0.04824649542570114,0.2480338215827942,0.012020331807434559,-0.12712061405181885,0.08406481891870499,-0.016624795272946358,-0.020652394741773605,0.03596213459968567,-0.3315344452857971,0.02996867336332798,0.14318330585956573,0.08193725347518921,-0.12887689471244812,-0.186420276761055,-0.09167084097862244,0.3521531820297241,0.16182996332645416,0.24534374475479126,-0.24891892075538635,0.27866336703300476,-0.3010353147983551,-0.05391578748822212,0.01700114645063877,0.024189377203583717,0.28965529799461365,-0.12984813749790192,0.005542556289583445,0.18694911897182465,-0.243989497423172,-0.09995433688163757,0.2873578667640686,-0.17341579496860504,0.29658955335617065,-0.1693296879529953,-0.07957929372787476,0.08226747065782547,0.14447927474975586,-0.09754707664251328,0.16025510430335999,-0.0706254169344902,0.10804566740989685,0.1173384040594101,-0.06041673570871353,0.06516531109809875,-0.2262066751718521
N,-0.16176919639110565,-0.11125685274600983,0.15097570419311523,-0.13011164963245392,0.05165942385792732,-0.0923091396689415,0.009874709881842136,-0.1901356726884842,0.18777446448802948,-0.19449712336063385,0.09870604425668716,0.14064550399780273,0.2262866348028183,0.010934790596365929,0.1522282361984253,0.13190768659114838,-0.083006851375103,-0.15668371319770813,0.1882130205631256,0.23242808878421783,0.0042436616495251656,-0.029400989413261414,-0.09865481406450272,0.1851481795310974,0.07967087626457214,-0.08667197078466415,0.024475742131471634,-0.11299772560596466,0.17423848807811737,0.1198936477303505,0.08272384107112885,-0.1596345752477646,-0.15910615026950836,0.1658129096031189,-0.004171319305896759,0.07115920633077621,0.14098812639713287,-0.10485071688890457,0.19766975939273834,-0.22308872640132904,-0.11502435803413391,-0.12513373792171478,-0.3193986117839813,0.3463051915168762,-0.406796932220459,0.013949060812592506,0.02179809845983982,-0.22356826066970825,-0.0862714871764183,0.09854282438755035,-0.28212645649909973,0.3462221324443817,0.010174663737416267,-0.1921181082725525,0.33319562673568726,-0.011888565495610237,-0.2340695708990097,0.20255856215953827,-0.005364628043025732,-0.10078174620866776,0.2410147339105606,0.02415422350168228,-0.004779358394443989,-0.3546289801597595
O,-0.09710598737001419,-0.25451624393463135,0.021439366042613983,-0.046664223074913025,-0.11507440358400345,0.04209640622138977,-0.18649525940418243,-0.22943441569805145,-0.014799484051764011,0.0020674923434853554,-0.023365642875432968,0.22185483574867249,0.18243816494941711,-0.09770911931991577,0.14358334243297577,-0.04714534431695938,0.0027504991739988327,-0.1872197389602661,0.13446319103240967,0.17738284170627594,0.02775629609823227,0.02606728859245777,-0.17809556424617767,0.04106387123465538,0.021660417318344116,-0.14268061518669128,-0.04675956815481186,0.13047081232070923,0.12082545459270477,0.06898165494203568,-0.1126885861158371,0.16567933559417725,-0.13140949606895447,0.22727198898792267,-0.11555053293704987,0.012527592480182648,0.16393251717090607,-0.15739554166793823,0.07540430128574371,0.05505257472395897,0.13159707188606262,-0.024190623313188553,-0.22469940781593323,0.006957950070500374,-0.21962688863277435,0.29281774163246155,-0.20315727591514587,-0.041066724807024,-0.19180408120155334,0.14977897703647614,-0.2008252590894699,-0.017261041328310966,-0.10330779105424881,-0.025033939629793167,0.25511056184768677,0.0464547835290432,-0.1557062715291977,0.1876440942287445,-0.009444682858884335,0.09857913851737976,0.3240818381309509,-0.2316020280122757,-0.07565055787563324,-0.1144067570567131
F,0.00586891733109951,-0.09728743880987167,-0.02469634637236595,-0.4492507576942444,-0.23293904960155487,-0.030457276850938797,-0.3057175576686859,-0.22773577272891998,-0.07244705408811569,-0.05642995610833168,0.10243766754865646,0.1462944746017456,-0.01896038092672825,-0.0016208442393690348,-0.007576652802526951,-0.1553594022989273,-0.20705099403858185,-0.27460968494415283,0.11908293515443802,0.07856135070323944,0.01895030587911606,0.04640781879425049,-0.31808921694755554,-0.19406206905841827,0.14769652485847473,-0.23183487355709076,0.026296302676200867,0.2217419147491455,0.2830825448036194,0.0596633106470108,-0.18453603982925415,0.0830506682395935,-0.04053099453449249,0.14128324389457703,-0.26398909091949463,0.08855842053890228,0.05285339057445526,-0.5015597343444824,0.22558489441871643,0.03577156364917755,0.046563539654016495,-0.06870397925376892,-0.36828768253326416,-0.07333804666996002,-0.09803342074155807,0.23845230042934418,-0.35362476110458374,0.11970231682062149,-0.2496725171804428,0.027751989662647247,-0.18042492866516113,-0.3072783648967743,-0.03553081303834915,-0.009726185351610184,0.2801440358161926,0.06911028921604156,-0.06120053678750992,0.15786243975162506,-0.029426030814647675,-0.0017953915521502495,0.3887733817100525,-0.20871679484844208,-0.2029370367527008,-0.07925563305616379
Na,0.27222323417663574,0.043540846556425095,0.04074729233980179,0.07518947869539261,0.05248723179101944,0.10068883746862411,-0.1380416601896286,0.27189767360687256,-0.022165346890687943,-0.02922118455171585,0.1063176840543747,-0.021467451006174088,0.19020944833755493,-0.056980814784765244,-0.2702997326850891,0.01966952160000801,-0.06015607714653015,-0.18498322367668152,-0.2619188129901886,-0.047209057956933975,0.07747819274663925,-0.061020318418741226,0.07514636963605881,-0.18058592081069946,0.08917998522520065,0.10257615894079208,0.04738159105181694,-0.16803209483623505,0.13282246887683868,0.14133313298225403,-0.0468234084546566,0.2520909607410431,-0.11721745878458023,0.02838413417339325,-0.11929861456155777,-0.12551695108413696,-0.0931938886642456,-0.010065055452287197,-0.36366507411003113,-0.137346088886261,-0.11076775193214417,0.15482039749622345,-0.10002178698778152,-0.2084236741065979,-0.1359511762857437,-0.1122002825140953,-0.03169672191143036,0.32341283559799194,0.09993238747119904,0.2340516299009323,-0.023256519809365273,-0.2499910444021225,0.018910864368081093,-0.05791965872049332,0.06127969175577164,0.3269701898097992,-0.23453927040100098,-0.05642334371805191,-0.14893552660942078,0.053962383419275284,0.23510541021823883,-0.13832798600196838,-0.0034323162399232388,-0.0453585647046566
Mg,0.25323984026908875,-0.08870986849069595,0.044091980904340744,0.035642195492982864,-0.18198825418949127,-0.010406043380498886,-0.06079598516225815,0.12198887020349503,-0.08956547826528549,-0.17465922236442566,-0.14081227779388428,-0.15887363255023956,-0.036265742033720016,-0.007707302458584309,-0.27733296155929565,0.018736140802502632,0.08890020847320557,-0.2156675010919571,0.03083447925746441,0.09574475139379501,-0.1327318251132965,-0.19823920726776123,0.23190362751483917,0.0072888899594545364,-0.06537662446498871,0.20929689705371857,0.03483755141496658,-0.12308136373758316,-0.0037417635321617126,0.14319473505020142,0.028923731297254562,0.19641010463237762,-0.11305762082338333,0.08913230895996094,-0.1279347538948059,-0.34313637018203735,-0.07186949253082275,-0.0351317897439003,0.02862676978111267,-0.144967719912529,-0.10180376470088959,0.02906731888651848,-0.22143115103244781,-0.10489717870950699,0.14847013354301453,0.07683835923671722,-0.07870341837406158,0.035798098891973495,0.0910647064447403,0.11193206906318665,-0.12275470048189163,-0.22567729651927948,0.09733080863952637,-0.24619872868061066,-0.11090726405382156,0.22558172047138214,-0.16359050571918488,-0.09189211577177048,-0.2040044218301773,-0.1896018385887146,0.24200524389743805,-0.29721948504447937,0.12303975224494934,0.04744870588183403
