Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.43404290080070496,-0.11262332648038864,0.6533104181289673,1.5666619539260864,0.317409485578537,0.015870453789830208,-0.9145327210426331,-1.0940088033676147,-0.6760055422782898,-0.4984006881713867,-0.6387286186218262,0.2846698462963104,-1.6693826913833618,-1.0919421911239624,0.32643240690231323,-0.3795081377029419
Li,0.32581794261932373,-0.16462410986423492,0.4497370421886444,0.3043050765991211,0.8052348494529724,0.16121065616607666,-0.8999696373939514,-1.9599508047103882,0.11629023402929306,0.9177398085594177,-0.14023372530937195,0.42847511172294617,-0.3439626097679138,-1.3287928104400635,0.9386968016624451,-1.2761155366897583
Be,-0.3846345841884613,0.9601202011108398,1.0683223009109497,0.5567766427993774,1.1659495830535889,-0.08087379485368729,-1.9094346761703491,-1.2408199310302734,-0.2918796241283417,-0.31979236006736755,-0.4024600684642792,0.66864013671875,1.0731391906738281,-1.0717267990112305,0.6561959385871887,-1.5959001779556274
B,-0.812010645866394,-0.013567459769546986,1.2853295803070068,0.911130964756012,0.701318085193634,-1.1412029266357422,-0.6543197631835938,0.1675572544336319,-0.4674256145954132,-0.1776295006275177,-0.50559002161026,0.9314196109771729,0.3712577521800995,-1.732601523399353,0.8136482238769531,-0.5553370714187622
C,-1.6280765533447266,-0.41655299067497253,0.6671149730682373,1.0191961526870728,0.2805565595626831,-1.3161845207214355,-0.8624106645584106,-0.01746790111064911,-0.6712591648101807,-0.595215380191803,-0.5077688694000244,1.0358220338821411,0.9653220176696777,-2.123347759246826,0.8737065196037292,-0.7862686514854431
N,-0.22445420920848846,-0.9032700657844543,-0.7721741199493408,0.23025497794151306,0.026983721181750298,-0.28385984897613525,0.2950817942619324,0.3226282000541687,0.019263416528701782,-1.7706631422042847,0.4379781484603882,-0.5237529277801514,-0.21785934269428253,-1.3881758451461792,0.4544103741645813,-0.1346171349287033
O,0.3384731709957123,0.0055184559896588326,-0.2818796932697296,0.9069799184799194,0.04197871312499046,-0.864294707775116,0.5301002860069275,-0.962552547454834,0.066805899143219,-0.8585723638534546,-0.3794008493423462,-0.8868860006332397,-1.276225209236145,-1.1585103273391724,0.4693279564380646,0.46559643745422363
F,0.4571159780025482,-0.3472563624382019,-0.20668773353099823,0.8826610445976257,-0.22722278535366058,-1.034706473350525,-0.0950431153178215,-1.1423879861831665,-0.19072115421295166,0.19150756299495697,-0.05095253139734268,-0.19833937287330627,-2.2718231678009033,-0.5739036798477173,0.9163925647735596,0.3918275237083435
Na,0.7834323048591614,-0.32276788353919983,1.0601716041564941,-0.012606502510607243,0.8353495597839355,0.20148122310638428,-1.0102944374084473,-1.5245925188064575,0.03190078213810921,0.5060092806816101,-0.8525327444076538,0.3909577429294586,-1.0098541975021362,-1.5661002397537231,0.8859795331954956,-0.6832855343818665
Mg,0.7800805568695068,0.27126747369766235,0.6735310554504395,-0.4531881809234619,-0.33316999673843384,-0.016047127544879913,-1.3670835494995117,-1.0845032930374146,-1.0020687580108643,-0.8032770156860352,-1.0343559980392456,0.6203194260597229,-0.9379711747169495,-0.42450207471847534,1.1583747863769531,-0.7564284205436707
Al,-0.09725677222013474,0.9152071475982666,0.321956604719162,-0.15521098673343658,-0.6291628479957581,-0.9411145448684692,-1.1144821643829346,0.1020321324467659,-0.25690412521362305,-0.25396841764450073,-0.13918742537498474,0.46858644485473633,0.147936150431633,-0.8650016784667969,0.9925441145896912,-0.4365623891353607
Si,-0.3953462839126587,1.1153279542922974,-0.6052678227424622,-0.11262467503547668,-0.582869291305542,-1.0273209810256958,-1.131392002105713,0.3688855767250061,-0.1905563622713089,-0.1516113132238388,0.2339237481355667,0.5434339046478271,0.42980214953422546,-0.5690087676048279,0.5168538689613342,-0.08830247074365616
P,-0.3433282971382141,0.8984121680259705,-0.04914954677224159,-0.06842362135648727,-0.64144366979599,-0.970665693283081,-0.15068235993385315,0.6883440613746643,-0.21693551540374756,-0.9554011225700378,1.1204400062561035,1.1155753135681152,-0.5706105828285217,-0.35505667328834534,0.8794578909873962,-0.37461772561073303
S,-0.20141559839248657,0.15188203752040863,0.3236767053604126,0.43314895033836365,-1.6775336265563965,-0.5422497391700745,-0.11528462916612625,0.7324913144111633,0.1004348024725914,-1.091738224029541,0.6166566610336304,1.2300024032592773,0.042660653591156006,-0.7228684425354004,1.0643775463104248,0.2625855505466461
Cl,0.06229903921484947,-1.218295931816101,-0.10013388097286224,-0.18559530377388,-0.7088937759399414,-1.5569645166397095,-0.41623181104660034,0.2567906081676483,1.0408283472061157,-0.7296165823936462,0.42990753054618835,1.6152119636535645,-0.23681779205799103,-0.29028448462486267,0.8579387068748474,0.9592169523239136
K,0.7437378764152527,-0.1303071826696396,0.92220538854599,0.16796796023845673,-0.5868034362792969,1.153566598892212,-1.5021815299987793,-0.9290425777435303,0.36221128702163696,0.12541155517101288,-0.7690693140029907,0.12382921576499939,-1.9925686120986938,-1.915294885635376,0.7778612971305847,-0.7768260836601257
Ca,0.5786651372909546,-0.30320867896080017,0.23978981375694275,-0.9111950397491455,-0.5154430866241455,1.0435233116149902,0.44431546330451965,-1.1820135116577148,-0.481040894985199,-0.2956896424293518,-1.0682002305984497,0.6636559367179871,-0.26680201292037964,-1.2081502676010132,1.1574206352233887,-1.747625470161438
Sc,-0.47387561202049255,0.06881541013717651,0.9720649719238281,-0.9858605265617371,-0.6982389092445374,0.8087936043739319,-0.07763814181089401,0.2834235727787018,-0.38771334290504456,-1.0115904808044434,-0.7636722326278687,0.4107568562030792,-0.22601111233234406,-1.320948839187622,1.1117684841156006,0.40309539437294006
Ti,0.1326831728219986,0.662875235080719,-0.6139652729034424,-0.9297288656234741,0.029162080958485603,-0.20388354361057281,-0.1545967012643814,0.4065973460674286,-0.6072578430175781,-0.3840581476688385,0.3281627297401428,0.577565610408783,0.2523163855075836,-0.34878093004226685,-0.08183738589286804,0.8270434141159058
V,0.5341755747795105,0.0904051885008812,-1.1323589086532593,-0.6705060005187988,0.1830756813287735,0.251546710729599,-0.058343902230262756,0.4974224865436554,-1.0856125354766846,-0.7393240928649902,1.2121098041534424,1.0468690395355225,-0.00293412571772933,-0.2653493285179138,0.5279552936553955,0.5366307497024536
Cr,0.06812305748462677,0.29218271374702454,-0.4729582965373993,-0.5975878238677979,0.11668133735656738,0.3900527358055115,0.1830977499485016,0.29866111278533936,-0.8628268837928772,-0.11574999243021011,0.5742629170417786,0.27293309569358826,0.12128530442714691,-1.5822285413742065,-0.3467467129230499,0.574988842010498
Mn,0.5621547698974609,-0.5771124362945557,-0.8514328598976135,0.0863020196557045,0.41409218311309814,0.09729136526584625,0.0789233073592186,0.810366153717041,-1.0897328853607178,0.28534138202667236,0.9912083745002747,0.695814847946167,-0.4675155282020569,-1.6077184677124023,-0.12364056706428528,-0.7915447950363159
Fe,-0.3745969831943512,0.1686595380306244,-0.114402174949646,-0.3663153052330017,-0.3931315839290619,0.5600494146347046,0.4500259459018707,0.19422796368598938,-0.8853431940078735,-0.2665906250476837,0.3400037884712219,0.3362593650817871,0.053794439882040024,-1.7214055061340332,0.6852637529373169,-0.4658554196357727
Co,-0.5326583385467529,-0.3096061646938324,-0.4126284122467041,-0.29265278577804565,1.4803576469421387,0.6815836429595947,0.30615290999412537,0.6248170137405396,0.03552187234163284,0.45750126242637634,0.7283983826637268,-0.07144588977098465,-0.3534875214099884,-1.4687103033065796,0.5884827375411987,0.4288989305496216
Ni,-0.27448612451553345,-0.4238470196723938,0.1521991789340973,-0.11068014800548553,0.5386908054351807,0.3321342468261719,-0.0010542240925133228,0.16355793178081512,-0.2116338163614273,0.11707592755556107,0.5987660884857178,-0.3152247369289398,0.37522247433662415,-1.7425168752670288,-0.4788186550140381,0.2009592056274414
Cu,-0.37940868735313416,-1.034679889678955,-0.9236149787902832,0.24732573330402374,0.5613408088684082,0.08865088224411011,0.041911929845809937,0.19635814428329468,-1.170278787612915,-0.20207828283309937,-0.19841282069683075,-0.7879473567008972,-0.5260974168777466,-0.8470883369445801,1.2149165868759155,-0.9725714921951294
Zn,0.536253809928894,-0.03820038586854935,0.21316945552825928,0.5849448442459106,0.033037878572940826,-0.3350471258163452,-0.4306802749633789,-0.12227015942335129,-0.6334309577941895,0.018379243090748787,-0.47419473528862,0.03456577658653259,0.64200359582901,-0.6909915804862976,0.2285488396883011,-0.48109346628189087
Ga,0.1569737046957016,0.6744861602783203,0.08141124248504639,-0.1854657679796219,-0.549376904964447,-0.405669242143631,-0.5539693832397461,0.5926649570465088,0.1527261734008789,-0.2982479929924011,0.09695141017436981,0.12106988579034805,-0.07565401494503021,-1.1745165586471558,0.2617816925048828,-0.6694855093955994
Ge,-0.15396748483181,0.40402188897132874,-0.6206974387168884,0.012322608381509781,-0.3302917182445526,-0.5006154179573059,-0.6873341202735901,0.8718023896217346,-0.16162005066871643,-0.2939673960208893,0.965533971786499,0.43996497988700867,0.00973971001803875,-1.0139987468719482,0.5464603304862976,-0.8003801107406616
As,0.02248213440179825,0.6721832752227783,-1.0524230003356934,-0.1818496584892273,-0.39990681409835815,-0.5238370299339294,-0.15716971457004547,0.8971710801124573,-0.1566457897424698,-0.15680547058582306,1.7497142553329468,0.8909296989440918,0.11280490458011627,-0.422663152217865,0.36510977149009705,-0.9121122360229492
