Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-1.0054799318313599,-0.14232152700424194,-0.7546704411506653,-0.3904620110988617,-0.5101844668388367,0.07649864256381989,-0.0824250727891922,-0.3884628415107727,0.3873440623283386,-0.6078935861587524,-0.1755957305431366,0.0639062374830246,-1.0455927848815918,-0.5560979247093201,-1.0533498525619507,0.09391508251428604,-0.040105726569890976,-1.4634569883346558,-1.016330599784851,-0.19989822804927826,-0.15731705725193024,0.09549833834171295,-0.39240512251853943,-0.7469995021820068,-0.7271748185157776,1.293877363204956,-0.787436842918396,-0.03846501559019089,-1.3877403736114502,-1.5825735330581665,-0.4052349925041199,-0.33912205696105957
Li,-0.9528315663337708,-0.7217022776603699,-0.8521802425384521,-0.6867789626121521,-1.2515190839767456,-0.7469120025634766,0.3610018789768219,-0.4419715106487274,0.253093957901001,-0.6537171006202698,-0.6190986037254333,-0.14842793345451355,-0.08884384483098984,-0.859015166759491,-1.6249059438705444,0.35885414481163025,0.3189834654331207,-0.4864453971385956,-1.0822117328643799,-0.28044864535331726,0.13568180799484253,0.19113744795322418,-0.5868239402770996,-1.2497211694717407,-0.1649186611175537,0.465727299451828,-0.5018439292907715,-0.41556793451309204,-0.7704507112503052,-0.9630527496337891,-0.7021673917770386,0.2554280757904053
Be,0.1287270188331604,-0.19943490624427795,-0.6154674887657166,0.13405735790729523,-0.36614760756492615,-1.2508161067962646,-0.7362290024757385,0.019580012187361717,0.8175674676895142,0.5205949544906616,0.1373818814754486,-0.23266227543354034,-0.13842110335826874,-0.974555253982544,-1.4048441648483276,0.37762805819511414,0.020096324384212494,-0.15702705085277557,-0.9195452332496643,-0.931479275226593,0.47288623452186584,-0.38137972354888916,-0.17109549045562744,-0.9889386296272278,-0.4824712872505188,1.109156847000122,-0.30610358715057373,0.27266576886177063,-0.7938671112060547,-0.35029536485671997,-0.3795534372329712,-0.24828796088695526
B,-0.6118525862693787,-0.2458421140909195,-1.1319552659988403,0.3717004060745239,0.5680552124977112,-0.08118196576833725,-0.3086875379085541,-0.5511109828948975,0.43026086688041687,0.00459916889667511,0.3357015550136566,-0.9297749996185303,-0.315422922372818,-0.4741472899913788,-0.5070452690124512,0.395168662071228,0.05335739254951477,0.016918210312724113,-1.0884482860565186,0.023826083168387413,0.5962220430374146,0.11873416602611542,0.14799536764621735,-0.19214694201946259,-0.7911469340324402,1.2954785823822021,-0.6497085690498352,-0.03491797298192978,-0.7830231189727783,-0.33394375443458557,-0.5531383156776428,0.43821391463279724
C,-0.8691750168800354,-0.5897992849349976,-1.732363224029541,-0.10129197686910629,-0.2760709822177887,0.43391352891921997,0.5116955637931824,-0.8523990511894226,0.49083182215690613,0.5486816167831421,0.23790289461612701,-0.447761595249176,-0.9096038341522217,-0.3782341480255127,-0.36414098739624023,-0.37284496426582336,-0.314007431268692,0.2946103811264038,-0.5545965433120728,-0.5028862953186035,-0.3305366039276123,-0.6505326628684998,-0.1310025453567505,0.27897489070892334,0.011135977692902088,0.8140876889228821,0.045129045844078064,0.14515194296836853,-0.8560566306114197,-0.6471485495567322,0.24471178650856018,-0.13957644999027252
N,-1.1005359888076782,-0.7646457552909851,-0.8751596808433533,0.5923268795013428,-0.30092155933380127,0.054563190788030624,0.06884753704071045,-0.36089763045310974,-0.04174511134624481,-0.15117447078227997,0.14450223743915558,-0.3078395128250122,-0.362724632024765,-0.8607878088951111,0.011502573266625404,-1.2491698265075684,0.5271022319793701,0.24810832738876343,-0.9977688193321228,0.06167580187320709,-0.18051443994045258,-0.11990393698215485,-1.1023439168930054,0.27528685331344604,-0.49848371744155884,0.44623011350631714,0.14590366184711456,-0.3250117301940918,-0.6949290633201599,-0.9448788166046143,-0.9979007244110107,-0.8786798119544983
O,-0.5289030075073242,-0.4697684347629547,-0.7054069638252258,-0.3857925832271576,-0.34441617131233215,-0.10901869088411331,-0.030893024057149887,-0.1989816278219223,-0.2435593158006668,0.130341574549675,-0.42034122347831726,-0.9160266518592834,-1.0272845029830933,-0.5098799467086792,-0.3469860553741455,-0.4730677008628845,-0.5335074663162231,-0.4745122790336609,-1.0243041515350342,-0.27436578273773193,0.19373071193695068,0.11642491072416306,-0.8794063925743103,-0.26547980308532715,-0.5221085548400879,0.3997061550617218,-0.27566853165626526,-0.44842204451560974,-0.8107167482376099,-0.8959860801696777,-0.5374683141708374,-0.07507144659757614
F,-0.7056570649147034,-0.4993044137954712,-1.224433422088623,0.028631150722503662,-0.6530547738075256,-0.01024255808442831,-0.05708876624703407,-0.3484222888946533,-0.4361417889595032,-0.2968437969684601,-0.3865637183189392,-0.5911470651626587,-0.9469084739685059,-0.43753764033317566,-0.3556702733039856,-0.06903742998838425,-0.48875024914741516,-0.5884899497032166,-0.7736998200416565,0.33808252215385437,1.16874361038208,0.6606370806694031,-0.9408494830131531,-0.7348654270172119,-0.847652018070221,0.6487999558448792,0.0770500972867012,-0.20380799472332,-0.6117264032363892,-1.0267215967178345,0.12620753049850464,-0.4547309875488281
Na,-1.1799043416976929,0.34629595279693604,-0.9236965775489807,-1.1510381698608398,-1.3142333030700684,-0.6535235643386841,0.3391192555427551,-0.22330789268016815,-0.2329491674900055,-0.6237396597862244,-0.08964599668979645,-0.5327581763267517,0.1068236455321312,-1.232922077178955,-1.2226533889770508,0.4946388006210327,0.20695729553699493,-0.6911036372184753,-0.8779863715171814,-0.48749691247940063,0.15003716945648193,0.1309385746717453,-0.35829102993011475,-0.712745189666748,-0.5381805300712585,0.1703668236732483,-0.03722381591796875,-0.7441189885139465,-0.593093991279602,-1.1813856363296509,-0.23023229837417603,0.5013422966003418
Mg,-0.5446111559867859,-0.12360427528619766,-0.5245857238769531,-0.2166917473077774,-0.738531231880188,-0.7537834644317627,-0.05332145467400551,0.05252949148416519,-0.0013184361159801483,0.1299426108598709,0.7236657738685608,0.1648922711610794,0.35124725103378296,-0.6650444269180298,-0.7135202884674072,-0.27647319436073303,-0.2311481237411499,-0.6457306742668152,-1.3691705465316772,-0.551200807094574,0.5326868295669556,-0.9055735468864441,-0.9667052030563354,-0.43124791979789734,-0.5312381386756897,0.5934497117996216,0.009069631807506084,0.17427445948123932,-0.041932713240385056,-1.4306390285491943,-0.6702657341957092,0.39018434286117554
