Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.48849743604660034,-0.18072181940078735,0.5171858072280884,-0.42293399572372437,-0.5280954241752625,-0.34003302454948425,-1.0195337533950806,-0.7259253859519958,-0.3173943758010864,-0.2591784596443176,-0.7247087955474854,-0.4209456145763397,0.10302887111902237,0.10651218146085739,-0.7692697048187256,-0.3236938714981079,-0.27649039030075073,-0.4808289706707001,0.13023348152637482,0.055164746940135956,-0.30751869082450867,-0.2561205327510834,0.48893147706985474,-0.4906603991985321,-0.8662150502204895,-0.4227238893508911,-0.4576202630996704,-0.6198776364326477,-0.17744940519332886,-0.5528162121772766,-0.6306911706924438,0.042169928550720215,-0.5386230945587158,-0.5973236560821533,-0.6103036999702454,-0.5534626841545105,-0.3189707398414612,-0.4870648682117462,-0.5993615984916687,-0.6478205919265747,-0.24867483973503113,-0.3475303053855896,-0.6239142417907715,0.4072668254375458,-0.31547605991363525,-0.4967561662197113,-0.26523464918136597,-0.17739303410053253,-0.2036796659231186,-0.15425801277160645,-0.12559978663921356,-0.5782318115234375,-0.38680562376976013,0.12279975414276123,-0.511574387550354,0.1020551323890686,-0.30350327491760254,0.3790109157562256,-0.5741577744483948,0.17999862134456635,0.1346399039030075,-0.6458234786987305,-0.2573087215423584,-0.5893953442573547
Li,-0.3792790174484253,-0.12264855206012726,0.3081042170524597,-0.240569606423378,-0.1127278283238411,-0.22025030851364136,-0.6839559674263,0.21441954374313354,-0.5104454755783081,-0.08627566695213318,-0.8457498550415039,-0.4823816418647766,-0.26355114579200745,-0.1560032218694687,-1.2472974061965942,-0.4996100664138794,-0.00805404968559742,-0.5778542757034302,-0.3329610228538513,0.32604163885116577,-0.3126923739910126,-0.1833166480064392,-0.34105685353279114,-0.582281231880188,-0.7515964508056641,-0.5158934593200684,-0.1642915904521942,-0.6736793518066406,0.19740737974643707,-0.5534272789955139,-0.3618260622024536,0.5176770687103271,-0.7438713312149048,-0.39820894598960876,-0.20004437863826752,-0.6281786561012268,-0.11908912658691406,-0.41617056727409363,-0.21669864654541016,-0.4837423264980316,-0.7041513919830322,0.31751173734664917,-0.7070614099502563,0.0012225080281496048,-0.5965515971183777,-0.8978113532066345,-0.40207985043525696,-0.11895737797021866,0.08677549660205841,0.3243432939052582,-0.24236124753952026,-0.5112510919570923,-0.3022804260253906,0.311233788728714,-0.43158453702926636,0.10063553601503372,-0.5531594753265381,0.22852154076099396,-0.42971494793891907,-0.07822266966104507,0.07008297741413116,-0.365001916885376,-0.13386166095733643,-0.5814300179481506
Be,-0.10230234265327454,-0.12004506587982178,0.4488893747329712,-0.9097875952720642,-0.2824733257293701,-0.69808030128479,-0.7453241944313049,-0.5512709021568298,-0.5360949039459229,-0.4912453293800354,-0.6193302869796753,-0.46929076313972473,-0.05549030005931854,-0.12151367962360382,-1.0676785707473755,-0.22061455249786377,0.20952878892421722,-0.8122236728668213,0.09306330233812332,0.6976423859596252,-0.22539061307907104,-0.316418319940567,-0.08797130733728409,-0.0782627984881401,-0.5481563210487366,-0.4045368432998657,-0.6451207399368286,-0.14939165115356445,-0.4273609519004822,-0.4105948507785797,0.26798343658447266,0.30298468470573425,-0.4658105969429016,-0.04531523585319519,0.32255497574806213,-0.5117180943489075,0.16357435286045074,-0.9697814583778381,0.040846824645996094,-0.42852431535720825,-0.1485016644001007,0.08505399525165558,-0.5735464692115784,-0.21305668354034424,-0.22897130250930786,0.17165188491344452,-0.47471556067466736,-0.4584041237831116,-0.39309948682785034,0.4878844916820526,-0.1251698136329651,-0.27119123935699463,-0.4419521987438202,-0.18947890400886536,-0.9905022978782654,0.005295734852552414,0.01356836874037981,-0.7960600256919861,-0.0856471136212349,-0.010061874985694885,0.09082484245300293,-0.6736170649528503,-0.018434926867485046,-0.43485864996910095
B,-0.06601065397262573,-0.03571316599845886,-0.10870107263326645,-0.6935935020446777,-0.3525346517562866,0.08799347281455994,-0.9353923797607422,-0.7393622398376465,0.20680448412895203,-0.16677787899971008,-0.6110486388206482,-0.3019546866416931,0.18704764544963837,-0.298892080783844,-0.8263422250747681,-0.20226694643497467,-0.1008952409029007,-0.5320177674293518,-0.4599984586238861,0.41204383969306946,-0.27896761894226074,-0.24169975519180298,-0.041936930269002914,-0.049052558839321136,-0.3960694372653961,0.18297281861305237,-0.4315187931060791,-0.2799685299396515,-0.36387401819229126,-0.5547763705253601,-0.4672207236289978,0.03659897297620773,-0.284860759973526,-0.30864885449409485,0.10509628802537918,-0.22839879989624023,-0.44953593611717224,-0.5385462641716003,0.018826888874173164,-0.4073258638381958,-0.13445277512073517,-0.2581176161766052,-0.37238702178001404,-0.23923072218894958,-0.40297412872314453,0.20582842826843262,0.31969812512397766,-0.17506253719329834,-0.3682575821876526,-0.14402151107788086,0.037134453654289246,-0.31367677450180054,-0.35831546783447266,-0.3074266314506531,-0.4217779040336609,-0.20451954007148743,-0.42376601696014404,-0.33143213391304016,-0.07461278140544891,0.10102397948503494,-0.1377648413181305,-0.4204290807247162,-0.20067240297794342,-0.8676201701164246
C,-0.3713237941265106,-0.2879290282726288,-0.3905744254589081,-0.3422294855117798,-0.2668692469596863,-0.021887287497520447,-0.9665114283561707,-0.5136843919754028,0.00742765236645937,-0.06995254009962082,-0.7266643047332764,-0.04105772078037262,-0.29101288318634033,-0.6746735572814941,-0.6660708785057068,0.41611170768737793,0.07453496009111404,-0.5641261339187622,0.20177727937698364,0.10276884585618973,0.10082041472196579,-0.4662966728210449,0.011310248635709286,0.09805604070425034,-0.17589528858661652,-0.28342005610466003,-0.35877296328544617,-0.35346904397010803,0.15122047066688538,-0.528231143951416,-0.16395945847034454,0.12059628963470459,-0.44994989037513733,-0.5947265625,0.5707499384880066,-0.02786584198474884,-0.24978935718536377,-0.29861748218536377,0.454508513212204,-0.6663712859153748,-0.2290249764919281,-0.599612832069397,-0.5888500809669495,-0.31675320863723755,-0.29982274770736694,0.21695789694786072,0.36269959807395935,-0.35507628321647644,-0.4869953989982605,0.07571157813072205,-0.18956129252910614,-0.1878332793712616,-0.1567697823047638,-0.22886060178279877,-0.2748802602291107,0.29645517468452454,-0.49033069610595703,-0.03221268206834793,-0.4383057951927185,-0.06673737615346909,-0.06571605056524277,-0.44842949509620667,-0.14609216153621674,-0.6515752673149109
N,-0.20837299525737762,-1.0653536319732666,-0.2794170081615448,0.05916087329387665,-0.1812679022550583,-0.21358589828014374,-0.7653655409812927,-0.42012786865234375,-0.6281542181968689,0.07230564951896667,-0.2936205267906189,-0.638631284236908,-0.20453248918056488,-0.4406750500202179,-0.930446982383728,0.054916396737098694,-0.2938280701637268,-0.46613842248916626,-0.2374202460050583,0.0032679573632776737,-0.3200381100177765,-0.5059402585029602,-0.16882018744945526,-0.15826381742954254,0.10744506120681763,-0.2571392059326172,-0.33651724457740784,-0.2270989865064621,-0.08365190029144287,-0.23301571607589722,-0.21680369973182678,0.3572597801685333,-0.27481770515441895,-0.29091542959213257,-0.4675695300102234,0.17151908576488495,-0.43568864464759827,-0.10919161885976791,-0.090189628303051,-0.40225735306739807,-0.30863460898399353,-0.3163505494594574,-0.6400579214096069,-0.3547104001045227,-0.5408543944358826,0.23650391399860382,0.08438973128795624,-0.3923032879829407,-0.2714795172214508,-0.17347870767116547,-0.2630714774131775,-0.36586058139801025,-0.14135965704917908,-0.5480666160583496,0.03253181278705597,0.05308565869927406,-0.3377991020679474,-0.09442742168903351,-0.41625741124153137,-0.6806597113609314,-0.3697971999645233,-0.29336312413215637,-0.6685411930084229,-0.9621471166610718
O,-0.26156920194625854,-0.6193920969963074,0.003907216712832451,-0.23061156272888184,-0.440561443567276,-0.21314644813537598,-0.7264474630355835,-0.6162731647491455,-0.6606356501579285,-0.14325450360774994,-0.7659915685653687,-0.3049168884754181,-0.3328759968280792,-0.43100738525390625,-0.5310268402099609,-0.3993604779243469,-0.13331520557403564,-0.656783938407898,-0.3078770041465759,-0.13225612044334412,-0.3466097414493561,-0.19570913910865784,-0.31020277738571167,-0.24482357501983643,-0.6415937542915344,-0.3023182451725006,-0.5592188835144043,-0.25333893299102783,-0.06627238541841507,-0.23842498660087585,-0.385303258895874,-0.12957347929477692,-0.4157334268093109,-0.2715255618095398,-0.37365785241127014,-0.02680305391550064,-0.14711911976337433,-0.38610151410102844,-0.40423813462257385,-0.4939197897911072,0.02005002833902836,-0.15898217260837555,-0.6106725335121155,-0.45634767413139343,-0.40303292870521545,-0.34654223918914795,-0.23749975860118866,-0.3391731381416321,-0.3009161949157715,-0.21561041474342346,-0.37012043595314026,-0.6262087225914001,-0.2916456162929535,-0.16239961981773376,-0.16896401345729828,-0.19424501061439514,-0.6070411205291748,0.21733924746513367,-0.5041636824607849,-0.08232945203781128,-0.4161580801010132,-0.8113003969192505,-0.6320314407348633,-0.4897841215133667
F,-0.27008748054504395,-0.13547557592391968,-0.04015672579407692,-0.041529349982738495,-0.801471471786499,-0.3478425443172455,-0.7340050339698792,-0.33281558752059937,-0.9132672548294067,-0.39189764857292175,-0.9175650477409363,-0.36376386880874634,-0.3234446048736572,-0.20969893038272858,-0.660815954208374,-0.7903541326522827,-0.5324745178222656,-0.61841881275177,-0.1675063967704773,-0.21415843069553375,-0.2749767005443573,-0.22263963520526886,-0.3997952342033386,-0.5157342553138733,-0.30872371792793274,-0.2279781848192215,-0.4755033254623413,-0.21995939314365387,-0.22161225974559784,-0.5532705783843994,-0.41969627141952515,0.130171000957489,-0.46123096346855164,-0.2454959750175476,-0.42212560772895813,-0.10628153383731842,-0.4134422540664673,-0.5903307795524597,-0.10761374235153198,-0.5403106808662415,0.11848599463701248,0.08404601365327835,-0.7744002938270569,-0.292229562997818,-0.3917437195777893,-0.5116673707962036,-0.2525486350059509,-0.11404304206371307,-0.25815603137016296,-0.12258603423833847,-0.32274144887924194,-0.9343700408935547,-0.24576739966869354,-0.2151252180337906,-0.22875721752643585,-0.20273469388484955,-0.26671046018600464,0.25869956612586975,-0.523349940776825,-0.25314754247665405,-0.48546579480171204,-0.6725274920463562,-0.31032174825668335,-0.6815524697303772
Na,0.09179104119539261,0.3098284900188446,0.30906665325164795,0.03634607046842575,-0.019490040838718414,-0.3760232925415039,-0.683426558971405,0.20709645748138428,-0.33384260535240173,0.03677094727754593,-0.4868142008781433,-0.5654676556587219,-0.1590353101491928,0.020020637661218643,-0.963237464427948,-0.3271860182285309,-0.06684613227844238,-0.748896598815918,-0.7355657815933228,0.3421209454536438,-0.5678339600563049,-0.27168726921081543,-0.25159165263175964,-0.6700180172920227,-0.39208438992500305,-0.38475826382637024,-0.19234637916088104,-0.4201499819755554,0.09257865697145462,-0.26995113492012024,-0.24736015498638153,0.47934815287590027,-0.07966411113739014,-0.7081707119941711,-0.35586270689964294,-0.4845018684864044,-0.25945842266082764,-0.05435263365507126,-0.7768188118934631,-0.4759384095668793,-0.41991326212882996,0.25422483682632446,-0.38740018010139465,-0.09108444303274155,-0.38349220156669617,-0.7388373017311096,-0.38253694772720337,0.10579963773488998,-0.09334243834018707,0.3909735381603241,-0.7089787721633911,-0.6632376909255981,-0.10193344950675964,0.046406954526901245,-0.3237670361995697,0.20284169912338257,-0.7423753142356873,0.5610690712928772,-0.3935435116291046,0.16685345768928528,0.3283750116825104,-0.3438659906387329,-0.08082471787929535,-0.2295156717300415
Mg,-0.03736869618296623,-0.26465070247650146,0.18465043604373932,-0.36752772331237793,-0.24341115355491638,-0.5512132048606873,-0.40120694041252136,-0.276898056268692,-0.4566754996776581,-0.030114060267806053,-0.6972184777259827,-0.9736909866333008,-0.1291869580745697,0.2060908079147339,-1.2718207836151123,-0.18539737164974213,-0.003690640674903989,-0.8997518420219421,-0.001299433410167694,-0.030100934207439423,-0.11918406188488007,-0.5340285897254944,-0.048848316073417664,-0.3324064314365387,-0.22272567451000214,-0.23785671591758728,-0.2954762279987335,0.2892419695854187,-0.028072621673345566,-0.47260406613349915,0.28997841477394104,0.6885750889778137,-0.3812803328037262,-0.4876461923122406,-0.575135350227356,-0.5332388877868652,-0.29678815603256226,-0.5784022212028503,-0.17858999967575073,-0.6773090958595276,-0.10555695742368698,-0.27412497997283936,-0.02945336140692234,-0.6009339690208435,-0.3935157358646393,-0.4974581301212311,-0.7814722061157227,-0.09122578054666519,-0.006645286455750465,0.41065460443496704,-0.359840989112854,-0.5659186840057373,-0.2432703822851181,-0.5780031085014343,-0.8354920744895935,-0.026108087971806526,-0.20454448461532593,-0.36798396706581116,-0.1613377332687378,0.10710369050502777,0.04866734892129898,-0.34423983097076416,-0.17271676659584045,-0.34567829966545105
