Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.05149121582508087,0.7778784036636353,-0.9562535285949707,-0.6871933341026306,1.2385797500610352,-1.5380057096481323,1.4466975927352905,0.0734555572271347
Li,0.9589270949363708,-0.8463022112846375,-0.42575255036354065,-1.4457608461380005,1.8866980075836182,-1.5614843368530273,1.1651495695114136,-0.3003929853439331
Be,0.03486448526382446,-1.4599227905273438,-1.2286676168441772,0.018670231103897095,-0.354015976190567,-0.5303847789764404,1.0769449472427368,0.25360503792762756
B,0.39512327313423157,-0.0017855595797300339,-0.46965259313583374,0.5593880414962769,-0.16482171416282654,-0.49900588393211365,0.7150861620903015,0.19655725359916687
C,0.3912542164325714,-0.764563798904419,0.2320002168416977,0.6125150918960571,-0.2844489514827728,0.21730782091617584,1.598936676979065,0.10330284386873245
N,-0.3904362618923187,1.3511487245559692,1.1086260080337524,0.5718793272972107,0.5965913534164429,-0.3098829686641693,1.195387363433838,0.17722316086292267
O,-0.7755851149559021,1.2589694261550903,0.33613163232803345,0.09115026891231537,0.7119756937026978,-0.4509842097759247,0.8559698462486267,-0.5943620800971985
F,-0.42551830410957336,1.671460747718811,-0.7766751646995544,-0.37140846252441406,1.9188965559005737,-1.165166974067688,0.3546184301376343,-0.7669735550880432
Na,0.9444725513458252,-1.0314247608184814,-0.45222464203834534,-2.2296249866485596,1.8465567827224731,-0.6417999267578125,1.0367594957351685,-0.11404359340667725
Mg,0.2538367509841919,-0.6002464890480042,0.8204178214073181,-1.8962445259094238,1.2128900289535522,-0.4774610996246338,0.810387909412384,0.07970103621482849
Al,0.027165386825799942,0.27515077590942383,0.32758069038391113,-2.351428985595703,0.7395042181015015,-0.012464058585464954,0.6490572690963745,-0.1573486179113388
Si,0.30625972151756287,0.5935702323913574,0.3714751899242401,-1.845629096031189,0.9785170555114746,-0.1047959253191948,0.18121574819087982,0.010880762711167336
P,-0.726539134979248,0.5488447546958923,0.7571529150009155,-0.8622947931289673,0.5653204321861267,-0.039404772222042084,0.4636685252189636,0.34397590160369873
S,-1.504012107849121,0.2489083856344223,1.6734002828598022,-0.7016744613647461,1.1854342222213745,-0.3079524040222168,1.0127419233322144,0.2616899907588959
Cl,-1.5871504545211792,0.9411876797676086,-0.35482722520828247,-0.48633724451065063,2.3594882488250732,-0.2050553262233734,0.10795952379703522,0.48450836539268494
K,0.36901161074638367,-0.6409441828727722,-0.1276530921459198,-2.1108994483947754,2.1118052005767822,-1.0383679866790771,0.2265712469816208,0.125459685921669
Ca,0.9544126987457275,-0.5349743366241455,0.27551525831222534,-0.6100754141807556,1.479230284690857,-0.0472143292427063,0.3379937410354614,0.5105500221252441
Sc,0.86822110414505,-0.4357571303844452,1.1543092727661133,-0.24881988763809204,0.3158501386642456,0.5826443433761597,0.3579154312610626,0.4741840362548828
Ti,-0.1324845552444458,-0.119539774954319,-1.0133559703826904,-0.596555233001709,-0.049808356910943985,0.8694466948509216,-0.07972308248281479,0.4437303841114044
V,-0.2794153094291687,0.7412553429603577,0.009899839758872986,-0.8162758350372314,-0.43864360451698303,1.7196590900421143,0.7456972599029541,0.5247241258621216
Cr,0.582852840423584,0.21386557817459106,0.7937569618225098,-0.8348875641822815,-0.3523627817630768,2.056047201156616,1.35887610912323,0.20113083720207214
Mn,1.120126485824585,0.6955853700637817,-0.2294560819864273,0.10722026973962784,0.05296407639980316,1.5992095470428467,0.5638552904129028,0.5401144623756409
Fe,0.5482243299484253,1.417121171951294,-0.007356710731983185,-0.33294808864593506,-0.7731654047966003,0.983963668346405,0.22948934137821198,0.4950650632381439
Co,1.068520426750183,1.3041582107543945,-0.19301900267601013,0.49836039543151855,-0.4281013607978821,0.7658532857894897,0.3554822504520416,0.21982041001319885
Ni,1.1896284818649292,0.31810206174850464,0.0711442157626152,0.354276180267334,-0.3926185965538025,0.9248510599136353,0.8592402338981628,0.1416480839252472
Cu,1.0875076055526733,1.4739657640457153,-1.1785136461257935,1.2936890125274658,0.22053107619285583,0.4542848765850067,0.5020952224731445,0.555910587310791
Zn,1.4946763515472412,-0.1299183964729309,0.19368749856948853,-1.0199099779129028,0.8353165984153748,0.09174303710460663,0.9273480176925659,-0.1556139886379242
Ga,0.9011891484260559,0.5427662134170532,0.2246759533882141,-2.2197766304016113,1.1846919059753418,0.14729246497154236,0.1599823385477066,-0.3446132242679596
Ge,1.0792853832244873,0.9346433877944946,0.2885766327381134,-1.224748134613037,1.0317516326904297,0.5618285536766052,0.08629624545574188,0.07448597252368927
As,0.47174081206321716,0.6675478219985962,0.8176800012588501,-0.7431926131248474,1.0401761531829834,0.26863396167755127,-0.18566098809242249,0.243916317820549
Se,-0.780899703502655,0.7180199027061462,2.225968837738037,-0.8790349364280701,1.3750275373458862,0.4636121392250061,0.9218069314956665,0.33214470744132996
Br,-1.631103515625,0.5168102383613586,-0.18916364014148712,-0.3523368239402771,2.5129213333129883,0.42568573355674744,0.4665965735912323,0.8673954606056213
Rb,0.3802796006202698,-0.9894816875457764,-0.5028775930404663,-2.0735456943511963,2.021440267562866,-0.8032510876655579,0.12417837977409363,0.2768584191799164
Sr,0.643504798412323,-1.0109773874282837,0.0932602509856224,-1.581345558166504,1.5174922943115234,-0.3401690125465393,-0.5234886407852173,0.45872071385383606
Y,0.22053447365760803,-1.3818589448928833,0.6836211085319519,-0.8991408944129944,0.9917089939117432,0.06298301368951797,0.1959080845117569,0.6409992575645447
Zr,-0.8283705711364746,-1.2807148694992065,-1.370832085609436,-0.9568426609039307,0.3252316415309906,1.0323486328125,-0.09025995433330536,0.6754600405693054
Nb,-0.29136741161346436,0.09319820255041122,-0.9625643491744995,-0.9146583676338196,0.2728082537651062,1.206120491027832,-0.5014509558677673,0.552211344242096
