Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
Li,0.05975070223212242,-0.11425061523914337,-0.161211296916008,-0.140364870429039,-0.6084575057029724,-0.40092912316322327,0.5794247388839722,-0.016584426164627075,-0.04167063161730766,0.0018541020108386874,0.20828700065612793,0.16591843962669373,0.06473906338214874,-0.11836214363574982,-0.038721706718206406,-0.2846422493457794,-0.19316218793392181,0.22264595329761505,-0.31097379326820374,0.25235873460769653,0.25275564193725586,0.09196929633617401,-0.029338859021663666,0.03444906696677208,-0.13164083659648895,0.06679337471723557,-0.5773870348930359,-0.18698523938655853,0.2617904245853424,0.2651748061180115,0.33010321855545044,0.15655642747879028
Be,-0.2070406824350357,-0.03821014612913132,-0.04049689695239067,-0.47510847449302673,0.2023344486951828,-0.45645982027053833,-0.11678755283355713,-0.15014584362506866,-0.037116751074790955,-0.11223053932189941,0.5102992653846741,0.07286345213651657,0.39573949575424194,-0.20537756383419037,0.1294214278459549,0.0498441718518734,-0.15022698044776917,-0.24783504009246826,-0.1722051203250885,-0.23392847180366516,0.41573065519332886,0.07775093615055084,0.08628364652395248,-0.01984737068414688,-0.31663084030151367,0.3490239977836609,-0.47233548760414124,0.44291555881500244,0.024199005216360092,0.1957155466079712,0.006823903881013393,-0.2141028642654419
B,-0.5702820420265198,-0.18034674227237701,-0.34649816155433655,0.230839341878891,-0.005658687558025122,-0.17852604389190674,-0.1709146499633789,0.24882729351520538,0.1746007204055786,-0.19376088678836823,0.35231971740722656,-0.2194625735282898,0.5448575615882874,-0.24845191836357117,0.1809367537498474,0.41170597076416016,-0.23458385467529297,-0.024077158421278,0.10802213847637177,-0.07594898343086243,-0.1820848137140274,0.4397013485431671,0.021682361140847206,-0.010835547931492329,-0.6339541673660278,0.5074950456619263,-0.49914881587028503,-0.013052265159785748,0.13405968248844147,-0.07059568166732788,0.17876116931438446,0.2627928853034973
N,-0.5499738454818726,-0.08156487345695496,-0.515688419342041,0.20358309149742126,-0.0666016936302185,0.24229800701141357,0.005558412056416273,0.05032898858189583,0.3640534281730652,0.24470539391040802,0.07094419747591019,0.2501455545425415,-0.402906209230423,-0.33037319779396057,0.35555681586265564,0.15420478582382202,-0.0998787060379982,-0.08538765460252762,0.024913812056183815,0.3767988979816437,0.19946318864822388,0.13134267926216125,-0.011743145994842052,-0.055723030120134354,-0.34909287095069885,0.3018938899040222,-0.2818639278411865,-0.16412284970283508,-0.013715791516005993,0.08911576867103577,0.013766174204647541,-0.43918731808662415
O,-0.05882731452584267,-0.2333822250366211,-0.149740070104599,0.5646418333053589,-0.010828892700374126,-0.3371892273426056,-0.2284175157546997,0.14267228543758392,-0.23245427012443542,0.13906371593475342,-0.024693934246897697,0.05869385972619057,-0.6622365117073059,-0.30156049132347107,0.3034009337425232,0.26821276545524597,-0.053861103951931,-0.11058059334754944,0.05483097955584526,0.11212720721960068,0.11771062761545181,0.041750915348529816,-0.14810310304164886,-0.3406660556793213,-0.08200850337743759,0.006831164471805096,-0.2296978086233139,-0.06626156717538834,0.18594036996364594,-0.30369848012924194,0.6117084622383118,-0.1269567608833313
F,0.1237141489982605,-0.31638452410697937,-0.2954517602920532,0.3031025230884552,0.08045197278261185,-0.33722493052482605,-0.44374552369117737,0.06873512268066406,0.09373832494020462,-0.054451391100883484,-0.7531780004501343,-0.01883138343691826,-0.20089946687221527,0.09861084073781967,-0.4388260841369629,0.4543520510196686,-0.1231052353978157,-0.30858123302459717,0.09876230359077454,0.4901268184185028,-0.2781708240509033,-0.28552141785621643,-0.5476300716400146,-0.24399760365486145,-0.21956291794776917,0.20968376100063324,-0.05052326247096062,-0.05427390709519386,0.1686772108078003,0.009377449750900269,0.20389816164970398,-0.40305325388908386
Na,0.058594152331352234,0.23157094419002533,-0.02590029686689377,-0.3121829032897949,-0.48743951320648193,-0.27499833703041077,0.7126750349998474,0.29967498779296875,-0.051553864032030106,0.06029633432626724,0.08381108194589615,-0.05646209418773651,-0.0322338305413723,-0.3958885073661804,-0.005729913245886564,-0.18457837402820587,-0.028927698731422424,0.18528003990650177,-0.2583925724029541,0.03477098420262337,0.03425134718418121,0.057082563638687134,-0.02390420436859131,0.0841212198138237,0.09507792443037033,0.13480639457702637,-0.18417678773403168,-0.1837039291858673,0.09645500034093857,0.05898109823465347,0.279299259185791,0.2083725929260254
Mg,0.21332360804080963,-0.12559141218662262,-0.1256628930568695,-0.4242449104785919,0.039792440831661224,-0.1206045001745224,-0.016139259561896324,-0.18626217544078827,-0.0954505205154419,-0.1660018265247345,0.42402446269989014,0.18685036897659302,0.0632031187415123,-0.3781314790248871,-0.09554865956306458,-0.11602027714252472,0.0672575831413269,-0.0994010791182518,-0.44017764925956726,0.05596368387341499,-0.03808990865945816,-0.21636788547039032,-0.1679062396287918,-0.03975186496973038,0.015851082280278206,0.2820495069026947,0.10389118641614914,0.26962172985076904,0.0908266082406044,-0.0966019555926323,0.19039882719516754,-0.0778040960431099
Al,-0.33346694707870483,-0.25576311349868774,-0.29798585176467896,-0.15147992968559265,0.21981845796108246,-0.2795948386192322,-0.34422242641448975,0.24981153011322021,-0.18655580282211304,-0.2887391149997711,0.23245103657245636,0.060519445687532425,0.4368845224380493,-0.028317749500274658,0.023842889815568924,0.09765812009572983,0.313810259103775,0.09382051974534988,0.06957019120454788,-0.33283156156539917,-0.16718603670597076,0.0939047709107399,-0.42697563767433167,0.03291841223835945,-0.044939275830984116,0.35361263155937195,-0.12307791411876678,-0.38080641627311707,0.159478560090065,-0.06376531720161438,-0.004850612487643957,0.15243244171142578
Si,-0.29339101910591125,-0.0638108029961586,-0.4135960042476654,0.23025962710380554,0.020201940089464188,-0.23631519079208374,-0.3240494132041931,-0.1663530170917511,-0.1957201361656189,-0.49012038111686707,0.48545387387275696,0.22524797916412354,-0.12634912133216858,0.062082499265670776,-0.010438786819577217,-0.1632574498653412,0.09618360549211502,-0.42631661891937256,0.04469257965683937,-0.03394060209393501,-0.1288447082042694,0.06256003677845001,-0.13935606181621552,0.15139806270599365,0.06278703361749649,0.4888608455657959,0.04277229681611061,0.11791395395994186,-0.0027710581198334694,0.0018213025759905577,0.06394793838262558,0.19944247603416443
S,0.10371914505958557,0.2483416646718979,-0.7611479759216309,0.01955210417509079,-0.013268440030515194,0.02839130535721779,-0.2033516764640808,-0.2339581847190857,-0.24533085525035858,0.06135110184550285,0.1287974864244461,-0.15626654028892517,-0.24315710365772247,0.31050905585289,-0.03254753351211548,-0.321190744638443,0.14645284414291382,0.1061643734574318,0.4366432726383209,-0.15085841715335846,0.011887581087648869,-0.16651064157485962,0.01860956661403179,0.09467428177595139,-0.19098389148712158,0.5151850581169128,-0.0025464852806180716,-0.07329816371202469,0.058250363916158676,-0.26608550548553467,-0.14277540147304535,-0.43317410349845886
K,-0.031617287546396255,0.017399100586771965,0.042480241507291794,-0.4820219576358795,-0.2679217457771301,0.05577845126390457,0.7596895694732666,0.6119645833969116,0.17993731796741486,0.33416298031806946,-0.2695988118648529,0.04606524854898453,-0.2106567770242691,-0.1524946540594101,0.00595284067094326,-0.21205665171146393,-0.15481655299663544,-0.06853644549846649,-0.3526337742805481,-0.06931959837675095,0.22665102779865265,0.09712665528059006,0.011737288907170296,0.17754347622394562,0.26239633560180664,0.22074821591377258,-0.4662491977214813,-0.34287187457084656,0.17131832242012024,-0.012890894897282124,0.34826183319091797,0.06974954903125763
Ca,0.2543431222438812,-0.29747554659843445,-0.15411348640918732,-0.3619120419025421,-0.09250135719776154,0.08980845659971237,0.0020526242442429066,-0.19229191541671753,0.10683523863554001,-0.07267674058675766,0.004524452146142721,-0.06977854669094086,0.016555508598685265,-0.7247193455696106,-0.31192439794540405,-0.032910484820604324,0.022331958636641502,-0.11999958753585815,-0.28091365098953247,-0.09483803808689117,-0.0641254112124443,-0.18444888293743134,0.040099672973155975,-0.0549822635948658,0.07398489862680435,-0.08449814468622208,0.02910882793366909,0.010765217244625092,0.29167798161506653,-0.3867567777633667,0.1878298968076706,0.12106190621852875
Sc,0.05559777095913887,-0.20958860218524933,-0.038605496287345886,0.16877920925617218,0.2962747812271118,0.17036931216716766,-0.32472747564315796,-0.05044281855225563,-0.49968814849853516,0.1966514140367508,-0.013294111005961895,-0.4657765030860901,0.18093255162239075,-0.5899237990379333,-0.3306429088115692,-0.1652676910161972,0.10079815238714218,0.14938421547412872,-0.11306439340114594,-0.11554545164108276,-0.07796208560466766,-0.3367142677307129,-0.07082000374794006,-0.11869924515485764,-0.13833540678024292,0.16425101459026337,-0.08803152292966843,0.05750722438097,0.017382901161909103,-0.23035885393619537,0.04543963074684143,0.07367902994155884
