Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
Li,-0.048910148441791534,0.1772337406873703,0.09611119329929352,-0.08386599272489548,0.0835520401597023,0.11705467104911804,-0.3158973455429077,0.11365209519863129,0.009839586913585663,0.21469753980636597,0.1261386126279831,-0.08277349919080734,-0.04844100400805473,0.2587796747684479,-0.3502650260925293,0.038908638060092926,0.024625040590763092,-0.05541137233376503,-0.38111868500709534,0.28529447317123413,0.08213827013969421,-0.2383691519498825,0.1681516170501709,-0.07874026894569397,-0.014763841405510902,-0.07664946466684341,-0.22557486593723297,-0.22458110749721527,-0.06934113800525665,-0.14038126170635223,0.039588309824466705,0.2818092107772827,-0.20037774741649628,0.2435692697763443,-0.15166302025318146,-0.3410019278526306,0.2032950222492218,-0.19819742441177368,0.07341082394123077,-0.13149872422218323,-0.3234434127807617,0.34004107117652893,-0.44750499725341797,-0.008685980923473835,-0.1849106252193451,-0.3790487051010132,0.15894781053066254,-0.06557799130678177,0.04455455392599106,0.14383749663829803,0.21013104915618896,-0.2306835949420929,-0.24463914334774017,-0.09753956645727158,-0.2339610606431961,0.571779191493988,0.09800811111927032,0.030155852437019348,-0.22826087474822998,-0.02846403792500496,-0.22541682422161102,0.07993146777153015,0.1727372258901596,-0.21966634690761566
Be,-0.04087703302502632,0.21475446224212646,0.3243311047554016,-0.34674742817878723,-0.0013140393421053886,-0.07205616682767868,-0.39657294750213623,-0.1581401824951172,0.0017272569239139557,-0.23793745040893555,-0.21455587446689606,0.11198525130748749,-0.16324536502361298,-0.19717805087566376,-0.055936336517333984,-0.13574787974357605,0.16652356088161469,0.02222958579659462,0.10307028889656067,0.18093246221542358,0.06132282689213753,0.16147512197494507,0.246477410197258,-0.11714950203895569,-0.16540604829788208,0.17507843673229218,-0.46298718452453613,-0.24715065956115723,-0.42780229449272156,-0.005497891455888748,0.10597623884677887,0.14043942093849182,-0.00452185794711113,0.21259891986846924,0.5215469002723694,-0.26731303334236145,0.4839475750923157,-0.40026673674583435,0.22813065350055695,0.10279981046915054,0.09110985696315765,0.29922711849212646,-0.21889321506023407,0.16794812679290771,0.16382908821105957,0.20566248893737793,-0.26785099506378174,-0.24310775101184845,-0.1506059169769287,0.040462296456098557,0.28456833958625793,-0.032355062663555145,-0.22128604352474213,-0.061815813183784485,-0.513619601726532,0.10701922327280045,0.3724885582923889,-0.2468266487121582,0.06746987253427505,-0.513009250164032,-0.028274130076169968,-0.18093204498291016,0.20142261683940887,-0.17943744361400604
B,-0.2137359380722046,0.3124218285083771,0.08409808576107025,-0.27083373069763184,0.18745817244052887,-0.1440761685371399,-0.4281685948371887,-0.22137746214866638,0.32015636563301086,-0.08562026172876358,-0.2039942890405655,0.16874507069587708,0.3043062090873718,-0.1896129995584488,0.07380469143390656,-0.08543431013822556,-0.3016989827156067,-0.0028418703004717827,0.008154216222465038,0.1744001805782318,-0.09712934494018555,0.3350764214992523,0.16811536252498627,0.08017062395811081,-0.0897429883480072,0.28111788630485535,-0.2031581848859787,0.217681422829628,-0.12196177989244461,-0.20578768849372864,-0.09080857038497925,0.17457309365272522,0.026308458298444748,-0.11359274387359619,0.38182035088539124,-0.09485414624214172,0.3880177140235901,-0.14608387649059296,0.4986744523048401,0.035553183406591415,-0.3133598864078522,0.13827145099639893,-0.11134494096040726,-0.21772532165050507,-0.26406294107437134,-0.021137617528438568,0.29826754331588745,0.07257080078125,-0.5115876793861389,-0.1803765892982483,0.2567756772041321,-0.028652431443333626,-0.40444082021713257,-0.19081446528434753,-0.2635399103164673,-0.020698992535471916,0.13766294717788696,0.22160540521144867,0.2252594530582428,-0.16052447259426117,-0.0911189466714859,-0.12078283727169037,-0.031891118735075,-0.3220408856868744
N,-0.22933842241764069,-0.2664860188961029,0.032426800578832626,-0.131024569272995,0.10374484956264496,-0.08510226011276245,-0.3617396056652069,-0.4170878231525421,-0.061977289617061615,-0.3900828957557678,0.08787719160318375,0.021122196689248085,0.1318814605474472,-0.14321169257164001,0.01762184128165245,0.1442437618970871,-0.1395883560180664,0.09777531772851944,0.21805106103420258,0.17496488988399506,-0.16640828549861908,-0.053778812289237976,-0.1702669858932495,0.07724421471357346,0.027381034567952156,-0.010732516646385193,-0.07872375845909119,-0.004464119207113981,0.08902595937252045,0.23818019032478333,-0.06288156658411026,-0.19167347252368927,0.2764045000076294,0.0520695224404335,-0.07592899352312088,-0.014844090677797794,0.033286452293395996,-0.23664399981498718,-0.19909486174583435,-0.4798930883407593,-0.22197596728801727,-0.21997584402561188,-0.4073754847049713,0.033511292189359665,-0.01801127940416336,-0.15659087896347046,0.1298084855079651,-0.22320511937141418,-0.13656455278396606,-0.1434830129146576,-0.05248140171170235,0.07230394333600998,-0.24747903645038605,-0.04431340470910072,0.14107097685337067,0.39745545387268066,-0.11132483184337616,-0.020530985668301582,0.059944458305835724,-0.35805803537368774,-0.11607979983091354,-0.19857236742973328,-0.23718717694282532,-0.21739250421524048
O,-0.12519226968288422,-0.30686548352241516,-0.015992421656847,0.06123892590403557,-0.25664493441581726,-0.07497588545084,-0.32987180352211,-0.49373018741607666,-0.24059145152568817,-0.06451909989118576,0.11538209021091461,0.13155324757099152,0.08459215611219406,-0.0889911949634552,0.07940956205129623,-0.1285659670829773,-0.19526790082454681,-0.2224643975496292,0.03229237720370293,0.07358482480049133,-0.019084960222244263,0.07614119350910187,-0.21642911434173584,-0.03392302244901657,0.005650145933032036,-0.12117829918861389,-0.22071951627731323,0.17489118874073029,0.13717299699783325,0.08898360282182693,-0.02018151432275772,0.00410291226580739,-0.1574980914592743,0.3865072727203369,-0.2745901942253113,-0.12410231679677963,0.25361430644989014,-0.11175443232059479,-0.06144462525844574,-0.1138300746679306,-0.051748909056186676,-0.11252302676439285,-0.37895143032073975,-0.18060626089572906,0.15982861816883087,-0.055713456124067307,-0.12004035711288452,-0.28570854663848877,-0.32412245869636536,0.18322695791721344,-0.053832028061151505,-0.33555057644844055,-0.3639870882034302,0.00667785108089447,0.3234202265739441,0.41978615522384644,-0.05470437556505203,0.17995035648345947,0.11988403648138046,0.046544112265110016,0.1592569500207901,-0.4768108129501343,-0.16447079181671143,-0.15682654082775116
F,0.12093107402324677,0.21112602949142456,-0.23241887986660004,-0.3364108204841614,-0.3623618185520172,-0.17036032676696777,-0.2795482277870178,-0.27265089750289917,0.049349915236234665,-0.05753609165549278,0.1067095696926117,-0.0831281766295433,-0.3062504827976227,-0.2630826234817505,0.10764515399932861,-0.11391177773475647,-0.36123761534690857,-0.33017247915267944,0.07119874656200409,0.0538409948348999,0.13091671466827393,-0.08645736426115036,-0.28517040610313416,-0.4512898325920105,0.14643952250480652,0.047344617545604706,0.3341580927371979,0.2671225666999817,0.2624172568321228,-0.028684910386800766,-0.030390894040465355,-0.001695824321359396,0.353441059589386,-0.0007295850664377213,-0.22741951048374176,0.04957050085067749,0.10654845833778381,-0.6533705592155457,0.003671920858323574,-0.20720219612121582,-0.09854856878519058,-0.022086653858423233,-0.39747440814971924,-0.16445079445838928,0.2598264813423157,0.016553513705730438,-0.3317619562149048,0.19382332265377045,-0.16308943927288055,0.4414966106414795,-0.35264816880226135,-0.3605060577392578,-0.0162335317581892,0.030728979036211967,0.4196866750717163,0.06705205142498016,-0.2845117151737213,0.28068122267723083,-0.03360705077648163,-0.3139932453632355,-0.025663914158940315,-0.3122206926345825,-0.15714822709560394,-0.1664961874485016
Na,0.29094064235687256,0.14817695319652557,0.04006274417042732,0.07234245538711548,0.26620951294898987,-0.05936079099774361,-0.22815395891666412,0.1999739557504654,0.0420403815805912,0.2611687183380127,0.2024199366569519,0.051292285323143005,0.16380079090595245,0.010781623423099518,-0.26284611225128174,0.09117626398801804,0.03759406507015228,-0.15281346440315247,-0.268422394990921,0.0892391949892044,0.03484712541103363,-0.24792136251926422,0.2165077030658722,-0.1563977748155594,0.06184063106775284,-0.0703975111246109,-0.05825420469045639,-0.3079946041107178,0.004542904905974865,0.019623227417469025,-0.2445901483297348,0.32950595021247864,-0.08345387130975723,-0.12471435219049454,-0.42092204093933105,-0.44190648198127747,0.011740521527826786,-0.10264836996793747,-0.2181655317544937,0.13073107600212097,-0.3167160451412201,0.22255778312683105,-0.15989790856838226,-0.06499496102333069,-0.2233830690383911,-0.20977701246738434,0.10963957756757736,0.08642228692770004,0.09188304096460342,0.22814814746379852,0.06531070172786713,-0.2840018570423126,0.10890340805053711,-0.1238919273018837,-0.22431883215904236,0.5133672952651978,-0.1092526838183403,-0.04169221594929695,-0.29813069105148315,0.023693598806858063,-0.15791864693164825,-0.04689980298280716,0.2129833996295929,-0.1851317286491394
Mg,0.22147487103939056,-0.08970686048269272,0.13312718272209167,-0.15914671123027802,-0.025554649531841278,-0.11013729125261307,-0.07159195840358734,0.2185698300600052,-0.2448662668466568,-0.1590905487537384,-0.05683433264493942,-0.0021153241395950317,-0.06637588143348694,0.01245393417775631,-0.2536379098892212,-0.1369701772928238,0.22329901158809662,-0.09594088047742844,0.18629729747772217,-0.06389199197292328,-0.089540995657444,-0.10669128596782684,0.287201851606369,0.0995037853717804,-0.12581084668636322,0.3611339032649994,-0.12229166179895401,-0.01643333025276661,-0.1339929848909378,0.07112787663936615,-0.07089583575725555,0.36253491044044495,-0.13208451867103577,-0.00468920823186636,-0.24701085686683655,-0.3925700783729553,-0.12062270194292068,-0.2876836061477661,-0.19705507159233093,0.18808093667030334,-0.02538292296230793,-0.1365799605846405,0.07921385020017624,0.07625534385442734,0.23768463730812073,0.2083636224269867,-0.01836574822664261,-0.12113681435585022,0.24311597645282745,0.26824966073036194,0.06417454034090042,-0.1360594779253006,0.14939016103744507,-0.2076411098241806,-0.13172782957553864,-0.13680993020534515,0.051655806601047516,-0.15543806552886963,-0.220118448138237,-0.2474999725818634,-0.16570699214935303,-0.2859882712364197,0.19225770235061646,-0.14968371391296387
Al,-0.22171847522258759,0.09733838587999344,-0.16254788637161255,-0.05364499241113663,0.08110285550355911,-0.07588784396648407,-0.03378730267286301,-0.05934525653719902,0.06877416372299194,0.23048678040504456,0.047215938568115234,-0.22266939282417297,0.1921514868736267,-0.20409727096557617,0.0908127948641777,-0.1230231449007988,-0.04073822870850563,0.3995198607444763,0.1589353084564209,0.12148139625787735,0.02016557939350605,0.13800236582756042,0.18798032402992249,0.17900091409683228,-0.20939671993255615,0.39709872007369995,-0.22390799224376678,0.08134722709655762,-0.06422939896583557,0.0778820812702179,-0.2999979853630066,0.15092934668064117,-0.27408576011657715,-0.165878564119339,0.07338928431272507,-0.2940450608730316,0.1151808649301529,0.1585889756679535,0.10535318404436111,0.22286733984947205,-0.35516202449798584,0.31832003593444824,-0.1975129395723343,-0.15886543691158295,0.2729282081127167,0.22167924046516418,0.26499539613723755,0.15860885381698608,-0.16633959114551544,0.1962692141532898,-0.01781569793820381,-0.2286926954984665,-0.06479541957378387,-0.1935218721628189,-0.18495267629623413,-0.20763148367404938,0.37878498435020447,-0.0409964993596077,-0.01050598919391632,-0.06386874616146088,-0.11893703788518906,-0.03395818918943405,-0.11442136019468307,0.044250521808862686
Si,-0.2998115122318268,0.2427387833595276,-0.050364889204502106,-0.25410985946655273,-0.0972617045044899,-0.2085130363702774,-0.19927763938903809,0.03640051558613777,0.030613373965024948,-0.11061447113752365,0.06693848222494125,-0.21410807967185974,0.13372671604156494,-0.056150734424591064,-0.000522935763001442,-0.04673667997121811,0.13655327260494232,0.26795896887779236,-0.01807178184390068,-0.01907799020409584,-0.01431826502084732,0.015452614054083824,0.1540241688489914,0.038978591561317444,-0.3379574716091156,-0.06590268760919571,0.1136714443564415,0.283008337020874,-0.24463391304016113,0.1416468322277069,0.20081721246242523,-0.1863393485546112,-0.13365438580513,0.1082676500082016,0.13685263693332672,0.12112776190042496,-0.05905522406101227,0.20655742287635803,0.020202891901135445,0.38878557085990906,-0.2315061241388321,0.05474039539694786,0.13481704890727997,-0.26059088110923767,0.17145584523677826,0.4934011697769165,0.29557740688323975,0.08143622428178787,0.16714967787265778,0.16138729453086853,-0.18135769665241241,-0.07257013022899628,-0.3320756256580353,-0.0662730410695076,-0.09296194463968277,0.023695122450590134,0.13942116498947144,-0.20349231362342834,-0.12558169662952423,-0.17285779118537903,-0.2140299379825592,-0.25998327136039734,-0.0010965620167553425,0.0980985090136528
