Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
Li,0.5937382578849792,-0.22194579243659973,0.00018369685858488083,-0.34558236598968506,0.21735475957393646,0.7609637379646301,-0.2101411521434784,0.15612900257110596,-0.18861691653728485,0.3210506737232208,0.40006524324417114,-0.029320787638425827,-0.3722394108772278,0.033680181950330734,-0.10945431888103485,-0.08149536699056625
Be,-0.1108570247888565,-0.25320953130722046,-0.07900810241699219,0.42333170771598816,-0.4276771545410156,0.6048251986503601,-0.2283962368965149,-0.6590707302093506,0.07599345594644547,0.617412805557251,0.17703016102313995,-0.7171288728713989,-0.40244320034980774,0.031919147819280624,-0.027427108958363533,-0.1820915937423706
B,-0.09063456207513809,-0.3168184757232666,-0.272504985332489,0.11150912940502167,-1.14885675907135,0.02866460755467415,0.014356773346662521,-0.7061774134635925,-0.2701544463634491,0.2882920801639557,0.45622798800468445,-0.8934057950973511,-0.15193484723567963,-0.17317600548267365,0.46816161274909973,-0.491841197013855
N,-0.14545947313308716,0.008103256113827229,-0.7550545930862427,0.05239393562078476,-0.16148769855499268,-0.3768767714500427,-0.19001036882400513,-0.5056144595146179,-0.6556446552276611,0.18543864786624908,0.0746692344546318,0.12478144466876984,0.118679478764534,0.029062192887067795,0.16136541962623596,-0.3085117042064667
O,0.2003639191389084,0.4266820251941681,-0.9143637418746948,-0.12279186397790909,-0.03690893203020096,0.07270326465368271,-0.3717860281467438,-0.06462448835372925,-0.49185359477996826,-0.2629287838935852,0.2272903323173523,-0.2569122910499573,0.43337714672088623,0.43488553166389465,0.4200456738471985,0.07693495601415634
F,-0.23972567915916443,0.26621943712234497,-0.09680423140525818,0.5534878373146057,0.4218408167362213,-0.17171631753444672,0.6409311890602112,0.1773742437362671,-0.5804470181465149,-0.45410460233688354,-0.014258412644267082,0.06639944761991501,0.2800331115722656,0.443661630153656,-0.3914046585559845,0.12969480454921722
Na,0.6010779738426208,-0.2483566850423813,0.20861606299877167,-0.386283814907074,0.20415988564491272,0.6149890422821045,-0.16520678997039795,0.40198391675949097,0.12198769301176071,0.20067144930362701,0.4252811372280121,0.1485239565372467,-0.18671774864196777,0.13011251389980316,0.26792627573013306,-0.058224864304065704
Mg,0.6290577054023743,0.4725303053855896,-0.29603153467178345,-0.10110129415988922,0.016561133787035942,0.27594614028930664,0.07186189293861389,0.06534959375858307,0.542956531047821,0.22760148346424103,0.0317222997546196,-0.4736451804637909,-0.02780330926179886,-0.017706163227558136,0.09921744465827942,-0.08007238060235977
Al,0.20611488819122314,-0.03224874660372734,-0.4419269263744354,0.4047607481479645,-0.6457018852233887,0.12824945151805878,0.100679412484169,-0.01032242551445961,0.4814034402370453,0.1140674278140068,-0.013233366422355175,-0.44558268785476685,0.14465007185935974,0.11878744512796402,-0.2752796411514282,-0.4263226091861725
Si,-0.12933117151260376,0.38905975222587585,-0.4876401424407959,0.16238251328468323,-0.26869261264801025,-0.04880683869123459,-0.32351261377334595,-0.15105615556240082,0.27164337038993835,-0.06155022606253624,-0.30893975496292114,-0.3517390489578247,0.02129952609539032,-0.36961227655410767,-0.4395598769187927,-0.5257322192192078
S,-0.16388218104839325,0.6188293099403381,-0.7144166827201843,-0.10793891549110413,-0.6743747591972351,-0.19923889636993408,0.09482457488775253,-0.6876668930053711,-0.15093450248241425,0.047954659909009933,0.32358598709106445,0.4565413296222687,0.3418874144554138,0.4552213251590729,-0.9047555923461914,-0.15068037807941437
K,0.41661474108695984,-0.19508987665176392,0.3070707619190216,-0.43842613697052,0.40124741196632385,1.0826107263565063,-0.03892495483160019,0.2034510225057602,0.03799210488796234,0.04121694341301918,0.687216579914093,0.4971955418586731,0.01879247836768627,0.3350650370121002,0.3822026252746582,-0.2547175884246826
