Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
Li,-0.19221162796020508,0.22763605415821075,0.9703834056854248,0.01818782463669777,0.26659271121025085,1.0140475034713745,0.4258749186992645,0.5655947923660278
Be,-0.024693112820386887,0.2559267282485962,0.5652482509613037,-0.5998616218566895,0.627080500125885,0.7264729142189026,-0.07484515011310577,0.5737396478652954
B,0.28969961404800415,0.7593796253204346,0.21492281556129456,-1.3935315608978271,0.7151128649711609,0.9528670907020569,-0.45119598507881165,0.7818596959114075
N,0.4027620851993561,-0.5424106121063232,-0.003991833887994289,-0.0784539133310318,-0.18099549412727356,1.4886255264282227,-0.7346739768981934,2.113666534423828
O,-0.021301979199051857,0.09466264396905899,-0.26998254656791687,-0.8583674430847168,-0.2502084970474243,-0.19983235001564026,0.6776101589202881,0.8265866637229919
F,0.6612496972084045,1.395711898803711,0.49538150429725647,-0.17977651953697205,-0.6646982431411743,0.08855466544628143,1.0547314882278442,-0.20872971415519714
Na,-0.3302558362483978,0.09570273756980896,0.8326722383499146,0.025089863687753677,0.20480185747146606,1.0157533884048462,0.36124899983406067,0.19995072484016418
Mg,0.023040853440761566,0.45890116691589355,0.4172734022140503,-0.3641350567340851,-0.056555602699518204,1.099887728691101,-0.47064363956451416,0.23881253600120544
Al,0.27175432443618774,0.6975210309028625,0.03970728814601898,-0.45758628845214844,0.3797425925731659,0.5467200875282288,-0.4846095144748688,0.2075800895690918
Si,0.47042617201805115,0.5093070864677429,0.027795007452368736,-0.28252798318862915,0.5301809906959534,-0.011404991149902344,-0.32367023825645447,0.4195319712162018
S,0.8359869718551636,0.6883929967880249,-0.5344803929328918,-0.42174190282821655,0.8126537799835205,-0.19936366379261017,0.001862790435552597,0.2275339663028717
K,-0.2834581434726715,-0.2732623815536499,0.994799792766571,0.3975095748901367,0.12114866077899933,1.0070239305496216,0.6169505715370178,-0.0591118298470974
Ca,-0.14079219102859497,0.4326498508453369,0.24181720614433289,-0.33513957262039185,-0.20262646675109863,1.0794411897659302,-0.42873215675354004,-0.07909853011369705
Sc,0.11122191697359085,0.8338342308998108,0.06744660437107086,-0.045566096901893616,0.16170889139175415,0.05569431185722351,-0.5941436886787415,0.09932196140289307
Ti,0.30555829405784607,1.2201528549194336,0.011652197688817978,0.013536958023905754,0.27121812105178833,-0.035266317427158356,-0.7548060417175293,0.3156980574131012
V,0.6037415862083435,0.8963730931282043,0.2615770995616913,0.23762613534927368,0.36307966709136963,0.20835401117801666,-0.2683925926685333,0.2367655634880066
Cr,0.6680055856704712,0.9411869645118713,0.3987082540988922,0.2923157513141632,0.21099507808685303,0.18503345549106598,-0.26643720269203186,0.33174827694892883
Mn,0.5261063575744629,0.7491205334663391,0.7263920903205872,0.43300485610961914,0.1389976441860199,0.42631083726882935,-0.3339956998825073,0.5080642104148865
Fe,0.34594476222991943,1.0739495754241943,0.6948392987251282,0.33325377106666565,0.3783476650714874,0.5482388734817505,-0.09909480810165405,0.5027416944503784
Co,0.16456633806228638,0.9073376655578613,0.4705401659011841,0.24567675590515137,0.44467034935951233,0.6517729759216309,-0.024238305166363716,0.5346078872680664
Ni,-0.014448483474552631,0.9728285670280457,0.37539777159690857,0.159826397895813,0.40154796838760376,0.6284716129302979,-0.05044817551970482,0.5284870862960815
Cu,-0.11996690928936005,0.9770079255104065,0.42664670944213867,0.2502472698688507,0.29611873626708984,0.7164394855499268,0.09347566217184067,0.5300744771957397
Zn,0.04142734408378601,0.8100367188453674,0.3213149309158325,0.10856366902589798,0.23934581875801086,0.7825850248336792,-0.012309137731790543,0.240008145570755
Ga,0.15274778008460999,1.097368597984314,-0.18183565139770508,0.002355807926505804,0.05123528838157654,0.777680516242981,-0.5158973932266235,0.27315112948417664
Ge,0.3598306179046631,0.9171123504638672,0.06898611038923264,0.3439602553844452,0.07795688509941101,0.27375906705856323,-0.25161856412887573,0.4290939271450043
As,-0.0037923678755760193,0.8313338756561279,0.25040340423583984,0.512748658657074,0.20088934898376465,0.17309290170669556,-0.22628727555274963,0.7589507699012756
Rb,-0.2675192058086395,-0.47823166847229004,0.8796049952507019,0.48339903354644775,-0.0019916007295250893,0.9273253083229065,0.6413300037384033,-0.004097394645214081
Sr,-0.27562835812568665,0.2891985774040222,0.13181975483894348,-0.1339949518442154,-0.32555916905403137,0.9378915429115295,-0.3746875524520874,-0.011169446632266045
Y,-0.1207570880651474,0.8702703714370728,0.05722815915942192,0.1293022781610489,0.025136111304163933,0.028416646644473076,-0.6665782332420349,0.12004482001066208
Zr,0.10898657888174057,0.9779252409934998,-0.19455347955226898,0.10993330925703049,0.37197765707969666,-0.16648179292678833,-0.7319111227989197,0.13201342523097992
Nb,0.22399026155471802,0.75169837474823,-0.1688629388809204,0.26636365056037903,0.4282638728618622,0.16345606744289398,-0.5200854539871216,0.37991347908973694
Mo,0.34322822093963623,0.48087161779403687,-0.23554205894470215,0.23829174041748047,0.5125146508216858,0.22250981628894806,-0.25962507724761963,0.35973718762397766
Ru,-0.07022196799516678,0.620979905128479,0.40273869037628174,0.509537935256958,0.672505259513855,0.45971667766571045,0.052816420793533325,0.7901458740234375
Rh,-0.0703127384185791,0.7397396564483643,0.4290643632411957,0.4709923565387726,0.5267228484153748,0.3867153227329254,0.16280686855316162,0.6659172177314758
Pd,-0.2906053960323334,0.8300938010215759,0.4601757824420929,0.49094358086586,0.45057356357574463,0.5117179751396179,0.2524607479572296,0.6444702744483948
Ag,-0.7621613144874573,0.7338330745697021,0.5297946333885193,0.5373590588569641,0.3905960023403168,0.6426012516021729,0.3147856593132019,0.816189169883728
Cd,-0.47017595171928406,0.7462316155433655,0.19419227540493011,0.33139467239379883,0.246863454580307,0.7818965911865234,-0.17608702182769775,0.4831104576587677
In,0.13763906061649323,1.0377861261367798,-0.3391818702220917,0.1647936999797821,0.06854385137557983,0.8518208265304565,-0.502811849117279,0.06370101869106293
Sn,0.3101983368396759,0.8459681272506714,-0.08011893928050995,0.5389145016670227,-0.022210432216525078,0.42965030670166016,-0.1688000112771988,0.2216988205909729
Sb,-0.09412060678005219,0.5983226299285889,0.22825506329536438,0.8334934115409851,0.07525184005498886,0.2604480981826782,-0.22299785912036896,0.7430222034454346
Te,-0.1567831188440323,0.6732032895088196,0.11857679486274719,0.697546660900116,0.1938530057668686,0.2182212769985199,-0.11336882412433624,0.7737058401107788
Cs,-0.04131048172712326,-0.7509160041809082,0.9564427137374878,0.6770510673522949,-0.08144374936819077,0.8538098335266113,0.8850961327552795,0.08438955992460251
Ba,-0.06391660869121552,0.5544810891151428,-0.07356495410203934,0.2986401915550232,-0.3733579218387604,0.5486299991607666,-0.09476780146360397,-0.23227185010910034
La,-0.19358359277248383,0.7990432977676392,0.2714782953262329,0.5527777075767517,-0.1065511554479599,-0.010999796912074089,-0.40979433059692383,0.04596877843141556
Hf,-0.02746516466140747,0.9144971370697021,-0.3803255259990692,0.04643762856721878,0.43735331296920776,-0.12397456169128418,-0.8621059060096741,0.24571043252944946
Ta,0.09036434441804886,0.8819789886474609,-0.3385609984397888,0.16750849783420563,0.5010850429534912,0.24775001406669617,-0.8014729022979736,0.5031592845916748
W,0.3081689774990082,0.40672972798347473,-0.16461578011512756,0.31867241859436035,0.7222959399223328,0.012151399627327919,-0.10317101329565048,0.3534923195838928
Re,0.2901594042778015,0.389189749956131,-0.03675815463066101,0.3132135272026062,0.8249256610870361,0.19828437268733978,-0.006453349255025387,0.4920475482940674
Os,-0.07170126587152481,0.41482627391815186,0.3051217794418335,0.40643373131752014,1.0132943391799927,0.17147526144981384,0.28818589448928833,0.7481595873832703
Ir,-0.37791508436203003,0.3652596175670624,0.48538732528686523,0.4752991795539856,0.9339911341667175,0.10530266910791397,0.3586312532424927,0.9495763778686523
Pt,-0.4638441503047943,0.4286043643951416,0.496769517660141,0.4150116741657257,0.8074946999549866,0.2599109709262848,0.43578243255615234,0.8120898008346558
Au,-0.49841931462287903,0.7172564268112183,0.526805579662323,0.4939880967140198,0.5128230452537537,0.43904563784599304,0.6526849865913391,0.6678177118301392
Hg,-0.2538565993309021,0.8781765103340149,0.21167965233325958,0.3854576647281647,0.21340292692184448,0.6176868081092834,0.30685803294181824,0.24930299818515778
Tl,-0.04954162985086441,0.9663145542144775,-0.449264794588089,0.13683919608592987,0.0711832195520401,0.8203129768371582,-0.33748042583465576,0.0826624184846878
Pb,0.16089874505996704,0.6490722894668579,-0.18458513915538788,0.42456042766571045,-0.05735553801059723,0.48320600390434265,-0.09741821885108948,0.03374135494232178
Bi,-0.24542120099067688,0.6295567154884338,-0.004043197259306908,0.7078355550765991,-0.0020456062629818916,0.4515649676322937,-0.2822078764438629,0.5431404113769531
