Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.041844166815280914,0.03284677863121033,0.29974469542503357,-0.20006848871707916,-0.0570838488638401,-0.02443702146410942,-0.22374452650547028,-0.39331260323524475,0.1468842327594757,-0.004744807258248329,0.02369072660803795,0.3055879473686218,-0.12329911440610886,0.02360531874001026,-0.10952267050743103,0.08106544613838196,-0.04724521562457085,0.052916526794433594,0.020659320056438446,0.11265622079372406,0.16382667422294617,0.08772331476211548,0.29050037264823914,-0.3127329647541046,0.011444550938904285,0.15005509555339813,-0.38122645020484924,-0.2943507730960846,-0.15890249609947205,-0.14316733181476593,-0.4145370125770569,-0.0585312694311142,-0.05241374298930168,0.057653337717056274,-0.10221134126186371,-0.49893397092819214,-0.10185380280017853,-0.05878319963812828,-0.31271156668663025,-0.24457693099975586,-0.031290292739868164,-0.33672991394996643,-0.2948872148990631,0.307138055562973,0.28283625841140747,-0.28827887773513794,0.23937562108039856,0.3097397983074188,-0.13650229573249817,0.040222808718681335,0.3339495360851288,0.08330503106117249,0.0674402192234993,-0.26180943846702576,-0.33576592803001404,0.4266064763069153,0.14736154675483704,0.18019653856754303,-0.1845584213733673,0.021997349336743355,-0.028638094663619995,-0.0218567606061697,0.6844455599784851,-0.2869464159011841
Li,-0.21004556119441986,-0.05881994962692261,0.20887966454029083,-0.055661920458078384,0.06170719489455223,0.16787762939929962,-0.047666020691394806,0.04634898900985718,-0.030566584318876266,0.2131408452987671,0.23004136979579926,-0.18537604808807373,-0.08724949508905411,0.08896602690219879,-0.2337956428527832,0.0329526849091053,0.134971022605896,0.02837676741182804,-0.4294011890888214,0.3256778419017792,0.2249102145433426,-0.12999968230724335,0.03782239928841591,-0.14966227114200592,0.0731281191110611,0.026815928518772125,-0.034859996289014816,-0.16514647006988525,0.008982505649328232,-0.16410551965236664,-0.14400282502174377,0.3483331501483917,-0.2773713171482086,0.10116008669137955,0.010330861434340477,-0.3145662844181061,0.20805494487285614,0.0037850344087928534,0.06837812811136246,-0.2285606861114502,-0.2190961092710495,0.05767505615949631,-0.16575267910957336,-0.2194865345954895,-0.13848042488098145,-0.19231048226356506,0.005370927043259144,0.04311026632785797,0.14406798779964447,0.22318431735038757,0.2208610475063324,-0.26105886697769165,-0.047643765807151794,-0.10132189840078354,-0.08998057246208191,0.551022469997406,-0.002992779016494751,0.187301903963089,-0.22607362270355225,-0.04193577170372009,-0.03852232173085213,0.19292321801185608,0.10903576761484146,-0.25422555208206177
Be,0.1350065916776657,0.1328553408384323,0.2719970643520355,-0.20000788569450378,-0.15230897068977356,-0.2518659830093384,-0.3268295228481293,-0.2588030695915222,-0.1982731968164444,-0.4836784303188324,-0.09111224114894867,-0.08369274437427521,-0.11951246857643127,-0.09531519562005997,-0.04390597343444824,-0.11618421226739883,0.38390040397644043,0.03217245638370514,0.06007513403892517,0.23508606851100922,0.11149868369102478,-0.06234735623002052,0.15821143984794617,0.09636155515909195,-0.04545597732067108,0.1364024132490158,-0.27564743161201477,-0.3026515245437622,-0.20715129375457764,0.0865144431591034,0.13430219888687134,0.1875750720500946,-0.0330096036195755,0.3168676793575287,0.322675883769989,-0.241596981883049,0.44875216484069824,-0.35728123784065247,0.0303471889346838,0.011417078785598278,0.17605119943618774,0.2106502205133438,-0.21279622614383698,0.059773240238428116,0.10884546488523483,0.24880972504615784,-0.23162756860256195,-0.3370722830295563,0.05510187894105911,0.41869261860847473,0.02407703548669815,0.07283442467451096,-0.07958995550870895,-0.0611983947455883,-0.32454001903533936,0.294001966714859,0.18481165170669556,-0.3053738474845886,0.1828194260597229,-0.3276804983615875,-0.05060334876179695,-0.10277257114648819,0.16554884612560272,-0.18164753913879395
B,-0.11720701307058334,0.36260366439819336,0.09619885683059692,0.0038253357633948326,0.001346725970506668,-0.1324707418680191,-0.37068066000938416,-0.2926686406135559,0.28964266180992126,-0.07326783984899521,-0.3600344955921173,0.3672749400138855,0.41970330476760864,-0.126509889960289,-0.10153480619192123,0.03830660879611969,0.009455777704715729,-0.05327491834759712,0.05911889672279358,0.2978116571903229,0.13446427881717682,0.07007447630167007,-0.09877683222293854,0.21480990946292877,-0.060795001685619354,0.20412805676460266,-0.07026292383670807,0.23432019352912903,0.07672464847564697,-0.03489608317613602,-0.08556576073169708,0.1122746616601944,0.0560101754963398,-0.09783203154802322,0.18166854977607727,-0.09727572649717331,0.3806331753730774,-0.17250658571720123,0.2903733551502228,-0.04101886600255966,-0.16324502229690552,-0.02105744183063507,0.030915401875972748,-0.06410232186317444,-0.10475710034370422,-0.2357170730829239,0.19732211530208588,0.04002852737903595,-0.4971484839916229,-0.06420578807592392,0.09422788769006729,0.041487179696559906,-0.23803862929344177,-0.09867441654205322,-0.007604858838021755,0.19382421672344208,0.05480702593922615,0.36880266666412354,0.1884598284959793,0.21985457837581635,0.052716098725795746,-0.06589515507221222,-0.01786041632294655,-0.3105873465538025
C,-0.2516101598739624,0.36660242080688477,-0.028554843738675117,0.003733700141310692,0.21922791004180908,-0.04991164058446884,-0.5083799362182617,-0.16137443482875824,0.11038347333669662,-0.2077784240245819,-0.1258670836687088,0.5657811164855957,0.1612931340932846,-0.18510618805885315,-0.13605402410030365,0.16663837432861328,0.0543297678232193,0.09928219020366669,0.10436981916427612,0.3386933505535126,0.3379654288291931,-0.04839903116226196,-0.23931095004081726,0.215091273188591,0.08445890992879868,0.008367389440536499,0.058971814811229706,0.13375520706176758,0.17188997566699982,0.039980679750442505,0.17544256150722504,-0.22915175557136536,0.06697973608970642,-0.2894628942012787,0.27275586128234863,0.1909278780221939,0.34008628129959106,-0.2734576463699341,0.5175896883010864,-0.3167892098426819,-0.09223748743534088,-0.024338992312550545,-0.030133528634905815,0.07251641154289246,0.07208060473203659,-0.15315110981464386,0.07937648147344589,-0.2618787884712219,-0.37334996461868286,0.048163317143917084,0.06179436668753624,0.17373622953891754,-0.4972878694534302,-0.10170912742614746,0.17291472852230072,0.26516956090927124,0.036335691809654236,0.2976817786693573,-0.16100487112998962,0.24278992414474487,0.02844870276749134,-0.11325918883085251,-0.06267309188842773,-0.31938067078590393
N,-0.08727991580963135,-0.14790129661560059,0.19719523191452026,-0.14488297700881958,0.18334302306175232,-0.21503135561943054,-0.28144675493240356,-0.5344811081886292,0.15078425407409668,-0.016495870426297188,-0.0021093739196658134,0.5825884938240051,0.11174996942281723,0.07082950323820114,-0.0715838372707367,0.03569658473134041,-0.09066188335418701,0.02193545177578926,0.006990524474531412,0.23200662434101105,-0.13999329507350922,-0.02637493424117565,-0.18036407232284546,0.11383034288883209,0.08624117076396942,0.1855878233909607,0.07939726114273071,0.12975382804870605,0.16323813796043396,-0.024064457044005394,-0.04976717755198479,-0.25581124424934387,0.18901313841342926,-0.07187214493751526,-0.10906312614679337,-0.14409464597702026,0.09988410770893097,-0.07171441614627838,-0.06787902116775513,-0.448072224855423,-0.1476951241493225,-0.11324939131736755,-0.23035694658756256,0.16106022894382477,0.06748075783252716,-0.21648263931274414,0.08537518233060837,-0.370103657245636,-0.4006900191307068,-0.16348722577095032,0.1796787530183792,0.009293113835155964,0.09943210333585739,-0.09856371581554413,0.055449649691581726,0.42699599266052246,-0.09066274017095566,0.2923700511455536,-0.0727309063076973,-0.04105932265520096,-0.1836514174938202,-0.14508585631847382,-0.2676725685596466,-0.2422737032175064
O,0.021964382380247116,-0.31028443574905396,-0.04517892748117447,0.09572870284318924,-0.11673028022050858,0.08042925596237183,-0.2233656644821167,-0.2940535545349121,-0.15997231006622314,0.1758137345314026,-0.2130657136440277,0.5282735228538513,0.04737575352191925,-0.1359734833240509,0.19731643795967102,-0.27704378962516785,0.10810424387454987,0.009405314922332764,-0.008580873720347881,0.43065664172172546,-0.051012955605983734,0.3835139870643616,-0.15142466127872467,0.06839130818843842,0.09351775050163269,0.05998464673757553,-0.0014330698177218437,0.24317923188209534,0.1977870762348175,0.01714271306991577,-0.10981536656618118,0.024448223412036896,0.14559385180473328,-0.06884760409593582,-0.23070432245731354,-0.24812960624694824,0.2904913127422333,-0.23341017961502075,-0.11273520439863205,-0.037100650370121,-0.07592849433422089,0.09896355867385864,-0.23299966752529144,-0.029831411316990852,0.31254756450653076,0.13324449956417084,-0.04966121166944504,-0.20906509459018707,-0.40557318925857544,0.06497900187969208,0.1659337282180786,-0.2593502402305603,-0.11592205613851547,-0.11309784650802612,0.1458738148212433,0.21006835997104645,0.007985297590494156,0.4211231768131256,-0.29201242327690125,0.12504689395427704,0.055586859583854675,-0.4456324875354767,-0.2368980050086975,-0.021140195429325104
F,0.11123475432395935,0.05849520117044449,-0.05110801011323929,-0.2568008303642273,-0.17029240727424622,-0.1625412255525589,-0.32900717854499817,-0.26630228757858276,0.04757502302527428,-0.1150425374507904,0.03925841674208641,0.2822505831718445,-0.2207014113664627,-0.054558973759412766,0.03132498636841774,0.0038965921849012375,-0.2882017493247986,-0.14377214014530182,0.04080517962574959,0.09570331871509552,0.11406373232603073,-0.03220885246992111,-0.16740943491458893,-0.04071381688117981,0.17949268221855164,0.09279739856719971,0.3239971101284027,0.2121237814426422,0.3582119643688202,0.05561273172497749,-0.13036708533763885,0.04738302528858185,0.33895790576934814,-0.061390601098537445,-0.10493221879005432,-0.07533532381057739,-0.10441204905509949,-0.3255407214164734,-0.06469544768333435,-0.3532946705818176,-0.0015692971646785736,-0.0004059690982103348,-0.3243962526321411,-0.10441344976425171,0.2855706512928009,-0.2068532109260559,-0.24949799478054047,0.26103314757347107,-0.2538614273071289,0.262132853269577,-0.11444166302680969,-0.29522621631622314,-0.032562706619501114,-0.1510351002216339,0.11495222896337509,0.25711220502853394,-0.0490821935236454,0.0430867075920105,-0.18513897061347961,-0.1541023701429367,-0.014079543761909008,-0.2657703459262848,-0.061667755246162415,-0.21880392730236053
Na,0.2273065745830536,0.11711955815553665,0.033716924488544464,0.07897679507732391,0.16910114884376526,0.09069409966468811,-0.0771227702498436,0.248812735080719,-0.053896982222795486,0.19866834580898285,0.34721413254737854,-0.1307269036769867,-0.04959805682301521,-0.06016998738050461,-0.13695304095745087,0.1460753083229065,0.02282271906733513,-0.1673601269721985,-0.3057394027709961,0.1442990005016327,0.07546498626470566,-0.19387270510196686,0.2608260214328766,-0.26738759875297546,0.0934208557009697,0.027119558304548264,0.06658567488193512,-0.2769578993320465,-0.041693657636642456,0.04365368187427521,-0.33311304450035095,0.36244574189186096,-0.05870610475540161,-0.09408373385667801,-0.1207043007016182,-0.3419993221759796,0.0027890156488865614,0.11026246845722198,-0.32041704654693604,0.04721173644065857,-0.217561736702919,-0.004598025698214769,0.10860124975442886,-0.3336355984210968,-0.165079727768898,-0.056667596101760864,-0.03636248782277107,0.3137499690055847,0.19051341712474823,0.3640451729297638,-0.030380409210920334,-0.3414219617843628,0.0779067650437355,-0.14606685936450958,-0.08116231113672256,0.5131278038024902,-0.22874285280704498,0.10869994014501572,-0.13532406091690063,-0.04612107202410698,0.04994143918156624,-0.03351449966430664,0.31931236386299133,-0.23262499272823334
Mg,0.23038382828235626,0.07879127562046051,-0.00031005218625068665,0.053817540407180786,-0.24254503846168518,-0.052415549755096436,0.004435198847204447,0.3060542047023773,-0.39781996607780457,-0.19738303124904633,-0.11062027513980865,-0.21791823208332062,-0.11372651904821396,-0.008577736094594002,-0.31121891736984253,0.11029285937547684,0.15703028440475464,-0.17750634253025055,0.11621809750795364,0.06082721799612045,0.06471382826566696,-0.14527593553066254,0.26157715916633606,0.04887448251247406,-0.06164132431149483,0.23157677054405212,0.0014372430741786957,-0.01914469711482525,-0.09170221537351608,0.1684323102235794,0.07216329127550125,0.35547351837158203,-0.03903314471244812,-0.0028673484921455383,-0.296326220035553,-0.38890209794044495,0.010779393836855888,-0.1004500612616539,-0.190074160695076,0.06583502888679504,-0.06482550501823425,-0.10900510102510452,0.15941226482391357,-0.24579791724681854,0.11949053406715393,0.21721310913562775,-0.049111537635326385,-0.01771346852183342,0.1705501675605774,0.31300604343414307,-0.1461682766675949,-0.05649171397089958,0.18953092396259308,-0.3251440227031708,-0.17653684318065643,0.2588924467563629,-0.03610089421272278,-0.2319004386663437,-0.12827742099761963,-0.15464113652706146,-0.04768385365605354,-0.30160072445869446,0.1252116709947586,-0.25522562861442566
