Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,0.04150031879544258,0.13161759078502655,0.023672692477703094,0.5617663860321045,0.7277946472167969,0.08264833688735962,-0.25441300868988037,0.024447984993457794,0.2561841905117035,-0.5361562371253967,0.35003021359443665,0.007526915520429611,-0.24429413676261902,-0.04720766097307205,0.37386471033096313,0.26829972863197327,-0.30340057611465454,-0.3912736177444458,0.19803963601589203,-0.35790321230888367,-0.2896140515804291,-0.18372772634029388,0.09948765486478806,-0.2649374306201935,0.4512157142162323,-0.7223539352416992,0.1092606708407402,-0.10861257463693619,0.35575515031814575,-0.020960602909326553,0.45580342411994934,-0.01901979371905327
Li,-0.026108115911483765,0.3477018475532532,-0.07383497059345245,0.1381363570690155,-0.08488813787698746,0.16205574572086334,-0.06692467629909515,-0.0861736610531807,0.24415312707424164,-0.41126859188079834,-0.5260667204856873,0.19850309193134308,-0.0375329926609993,0.11866657435894012,-0.314828097820282,0.029154423624277115,-0.3837798833847046,0.12512429058551788,0.002657672856003046,0.24056744575500488,-0.2852095365524292,0.008696649223566055,-0.2677118182182312,-0.15456070005893707,0.0681229904294014,-0.2487374097108841,0.23662833869457245,0.25980114936828613,0.12961214780807495,0.22987210750579834,0.05417463183403015,-0.20936864614486694
Be,0.3501788377761841,-0.16397224366664886,-0.05488163232803345,-0.325215607881546,0.08141643553972244,-0.22691252827644348,0.3166206181049347,0.06842146068811417,0.026988092809915543,0.33112654089927673,-0.0013149101287126541,0.250031054019928,-0.038201961666345596,0.008393422700464725,-0.07563384622335434,0.2817404866218567,0.050799183547496796,-0.007373393047600985,0.1279185563325882,-0.02284279279410839,-0.4786294400691986,0.06703715026378632,-0.2681705355644226,-0.24339883029460907,-0.19327184557914734,-0.04660237208008766,0.28485220670700073,-0.11194004118442535,0.04545413330197334,0.4058741331100464,-0.4139321744441986,0.04505910351872444
B,0.2878875434398651,-0.22193190455436707,-0.2264372706413269,-0.029923874884843826,0.22920726239681244,-0.06719266623258591,0.3035622537136078,0.31117600202560425,0.07810122519731522,0.07989001274108887,0.2739690840244293,0.15801644325256348,0.0045394208282232285,0.0920095294713974,-0.0053483606316149235,0.06001191958785057,0.16148671507835388,-0.2142462134361267,-0.14029546082019806,-0.29003429412841797,-0.7530949711799622,0.0868290439248085,-0.09649574011564255,-0.307328999042511,0.1884748637676239,0.08586075901985168,0.4372665584087372,0.25446516275405884,0.01645396091043949,0.03813806176185608,-0.2395394742488861,-0.1798786073923111
C,0.37774521112442017,-0.188692107796669,-0.6725649833679199,-0.09368094801902771,0.07097835838794708,0.009779643267393112,0.11483308672904968,0.08261331170797348,0.12110453099012375,0.29731035232543945,-0.026379672810435295,0.1991676241159439,-0.012435556389391422,0.37649378180503845,0.15895959734916687,-0.18791969120502472,0.3308853209018707,-0.23056700825691223,-0.4050214886665344,0.004764910787343979,-0.591454029083252,0.38811370730400085,-0.10979913175106049,-0.3332771360874176,-0.040598250925540924,-0.006387617439031601,0.37986525893211365,0.40389955043792725,-0.2796925902366638,0.10254111140966415,-0.2402011901140213,0.10569314658641815
N,0.16169960796833038,0.07554906606674194,-0.45525676012039185,0.2846803665161133,0.21113070845603943,0.08946870267391205,0.012607204727828503,-0.2542252540588379,0.4461125135421753,0.06951122730970383,0.2016540765762329,0.19932425022125244,0.010659963823854923,0.05281023681163788,0.5356212854385376,0.08268529921770096,0.43171265721321106,-0.05650315806269646,-0.3090265393257141,-0.2562338709831238,-0.12564808130264282,0.18979616463184357,-0.010152086615562439,-0.64710932970047,0.20100878179073334,-0.2996707856655121,0.32692626118659973,-0.041110917925834656,-0.14449308812618256,0.4274882674217224,0.21603016555309296,0.013237690553069115
O,0.23316004872322083,0.3107829689979553,-0.25807300209999084,0.13520941138267517,0.29943639039993286,0.5318933725357056,-0.27261441946029663,-0.12072904407978058,0.27737173438072205,0.24876827001571655,0.28897395730018616,-0.030927270650863647,-0.10834775865077972,0.2996472120285034,0.23624540865421295,0.11761704087257385,0.2729155123233795,-0.002411150373518467,-0.4387460947036743,-0.13742399215698242,-0.20920206606388092,0.30776405334472656,-0.03820466995239258,-0.4776509702205658,0.44247472286224365,-0.14709065854549408,0.26305580139160156,-0.21410492062568665,-0.21097497642040253,0.10677193105220795,0.46134093403816223,0.14579026401042938
F,-0.1255292445421219,0.3909214437007904,-0.10292413085699081,0.17226482927799225,0.03575173392891884,0.19832882285118103,-0.10308351367712021,-0.2810888886451721,0.06095157191157341,-0.14456407725811005,0.05457204207777977,0.01750485599040985,-0.22391623258590698,0.15590134263038635,-0.08500219136476517,-0.16672350466251373,0.3257359564304352,0.40756016969680786,-0.1711190640926361,-0.22490762174129486,-0.3660730719566345,0.38067102432250977,0.21804320812225342,-0.6444786787033081,0.0771646499633789,-0.15559934079647064,0.3686104416847229,-0.16377313435077667,-0.15938815474510193,0.27406540513038635,0.17096370458602905,0.054088227450847626
Na,-0.3463435173034668,0.389041543006897,-0.014596870169043541,0.05503907799720764,-0.3565869629383087,0.0885896384716034,-0.07849311828613281,-0.04688125103712082,0.1860075742006302,-0.7177587747573853,-0.18930040299892426,0.19616051018238068,-0.1269344687461853,0.030338436365127563,-0.4391397535800934,0.0262820515781641,-0.2624737322330475,-0.11956197023391724,0.25932222604751587,0.26090890169143677,-0.32130736112594604,-0.28092485666275024,-0.00013467203825712204,-0.19963045418262482,-0.20533353090286255,0.09071595221757889,-0.06526516377925873,0.10534989833831787,0.10421477258205414,0.09691867977380753,-0.049124088138341904,-0.1391519159078598
Mg,-0.531258761882782,0.09568639099597931,0.062462419271469116,0.061470530927181244,0.005508057773113251,-0.09342676401138306,-0.29423001408576965,-0.05666663125157356,-0.08339282125234604,0.05255031958222389,-0.050980158150196075,0.4658435881137848,0.14168371260166168,-0.13270676136016846,0.08838839828968048,0.20011629164218903,-0.12757356464862823,-0.035648513585329056,-0.276578426361084,0.07113039493560791,-0.08579489588737488,-0.1383640319108963,-0.02299436926841736,-0.18514683842658997,-0.14947409927845,0.5006441473960876,0.04833313077688217,0.0357770100235939,0.03371722251176834,-0.06855931133031845,-0.10911544412374496,0.27470511198043823
