Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-0.43985676765441895,0.537380039691925,-0.10651334375143051,0.8346576690673828,1.3684682846069336,0.14975182712078094,-0.5540321469306946,-0.4784989655017853
Li,-0.08471839129924774,-0.2535533607006073,0.5648309588432312,0.37641632556915283,0.29427164793014526,0.0650181993842125,0.1312485784292221,0.10301030427217484
Be,0.15828737616539001,0.20421580970287323,0.12636135518550873,0.36206239461898804,0.20541085302829742,0.12313293665647507,0.39803412556648254,0.09991065412759781
B,0.2803195118904114,-0.07194989174604416,-0.3091021776199341,-0.025376858189702034,-0.19132158160209656,-0.14765435457229614,0.08897261321544647,-0.6154778599739075
C,0.33858591318130493,-0.3270232081413269,-0.5290712118148804,-0.3254392743110657,-0.18496936559677124,-0.14715978503227234,0.1717456877231598,-1.0153266191482544
N,-0.38009175658226013,0.18194538354873657,-0.12027798593044281,0.09393016993999481,-0.32669302821159363,-0.6959205865859985,-0.51146000623703,-0.5702231526374817
O,-0.5586133003234863,0.5446811318397522,0.4009578227996826,-0.04325168952345848,-0.13600464165210724,-0.8033901453018188,-0.2721608281135559,-0.238326296210289
F,-0.3380771279335022,0.14891156554222107,-0.01956544630229473,-0.18303509056568146,-0.20197352766990662,-0.22317089140415192,-0.1127282902598381,0.1666511744260788
Na,-0.2144206464290619,-0.22581282258033752,0.383928507566452,0.34717056155204773,0.1420547366142273,0.39202794432640076,-0.1730027198791504,0.5809624791145325
Mg,-0.36678171157836914,-0.017665645107626915,0.4147373139858246,0.5100857019424438,-0.18549397587776184,0.46227511763572693,0.252383828163147,0.6648812294006348
Al,0.1377282589673996,-0.3188011944293976,0.007865608669817448,0.2372618317604065,-0.6592768430709839,0.1771729439496994,-0.008684071712195873,0.11591889709234238
Si,0.24910150468349457,-0.37003037333488464,-0.1793757677078247,0.07398630678653717,-0.6267088651657104,0.11371413618326187,0.28267160058021545,-0.008907201699912548
P,-0.025098610669374466,-0.22276681661605835,0.053587354719638824,-0.01076701283454895,-0.43638041615486145,-0.1195225790143013,-0.06498860567808151,-0.07065240293741226
S,-0.32369300723075867,-0.07875670492649078,0.03463095426559448,-0.035907916724681854,-0.5142539739608765,-0.07323883473873138,0.2274342030286789,-0.06097452715039253
Cl,-0.5446563363075256,-0.11721771210432053,-0.36199015378952026,0.11859351396560669,-0.17030568420886993,-0.064687080681324,-0.6503056883811951,0.4512743055820465
K,-0.14879350364208221,0.11007330566644669,0.49405211210250854,0.17441299557685852,0.07093296945095062,0.025253580883145332,-0.07022006809711456,0.5293880105018616
Ca,-0.09000018239021301,-0.2546858489513397,0.5880530476570129,0.2740980088710785,0.0782688781619072,0.41242751479148865,0.2873615324497223,0.31731873750686646
Sc,0.051015958189964294,-0.22785742580890656,0.5141226649284363,0.010528113692998886,-0.41133156418800354,0.22306516766548157,0.10057780891656876,0.48512881994247437
Ti,0.04521983489394188,-0.4304819405078888,0.2848435342311859,0.28624841570854187,-0.4535806477069855,0.11548016965389252,0.19841918349266052,0.3126738667488098
V,0.35248637199401855,-0.22615359723567963,0.15762941539287567,0.26236632466316223,-0.35983729362487793,-0.18656454980373383,0.05914904177188873,0.40553244948387146
Cr,0.16336427628993988,-0.023936333134770393,0.1718500703573227,0.3773210644721985,-0.5202418565750122,-0.21039780974388123,0.27432188391685486,0.4722428321838379
Mn,0.22897568345069885,-0.09542491286993027,-0.06735393404960632,0.05796710401773453,-0.36530569195747375,-0.05784599855542183,0.40396761894226074,0.5084511041641235
Fe,0.22238893806934357,-0.07582762837409973,0.24407704174518585,0.4383058547973633,-0.5109890699386597,0.07906169444322586,0.36876147985458374,0.2554333209991455
Co,0.18896354734897614,-0.0515495203435421,0.04971771314740181,0.18260058760643005,-0.4467938244342804,-0.08602956682443619,0.2744539976119995,0.4839710295200348
Ni,0.15957967936992645,-0.3532506823539734,-0.138264000415802,0.057929519563913345,-0.319294810295105,0.016348011791706085,0.2115592509508133,0.3808477222919464
Cu,0.19265912473201752,0.09625163674354553,-0.04201235622167587,0.051586274057626724,-0.32471293210983276,-0.10499992221593857,0.25714054703712463,0.4612142741680145
Zn,0.3899845778942108,-0.16484571993350983,0.05270284786820412,-0.051323141902685165,-0.2304302304983139,-0.10711588710546494,-0.022261984646320343,0.3594968318939209
Ga,0.08872805535793304,-0.286685585975647,0.17834731936454773,-0.07773137092590332,-0.5388081073760986,0.07118727266788483,0.3195059299468994,0.05268050730228424
Ge,0.33501479029655457,-0.5019713044166565,-0.12243665009737015,-0.16868072748184204,-0.4398971199989319,0.08229482173919678,0.3719331622123718,-0.09802685678005219
As,0.26364654302597046,-0.4031330645084381,0.18059714138507843,-0.18290545046329498,-0.5582404136657715,-0.18329526484012604,0.23513337969779968,-0.08330366015434265
Se,-0.09840665757656097,-0.02280755527317524,0.31644877791404724,-0.17725378274917603,-0.5573166012763977,-0.12188778072595596,0.4243928790092468,0.08677493780851364
Br,-0.29042181372642517,-0.16587385535240173,-0.39316198229789734,-0.3268902897834778,-0.2799673080444336,-0.13380566239356995,-0.16451728343963623,0.3393559455871582
Rb,-0.024217361584305763,0.1500532478094101,0.6515260338783264,0.19766201078891754,0.21587911248207092,-0.1756206899881363,0.027846865355968475,0.6260687112808228
Sr,0.2954798638820648,-0.43507543206214905,0.6510211229324341,0.09818476438522339,0.23687000572681427,0.6605427265167236,0.06687680631875992,0.12717927992343903
Y,0.16548219323158264,-0.37960314750671387,0.2803051471710205,0.07934129983186722,-0.07457853108644485,0.07457045465707779,-0.32047274708747864,0.4339674711227417
Zr,0.07264166325330734,-0.39788517355918884,0.6462785005569458,0.19405052065849304,-0.2509043514728546,0.3472306430339813,-0.09164360165596008,0.6004111766815186
Nb,0.4017491340637207,-0.2983081638813019,0.3259773850440979,0.10995783656835556,-0.23279164731502533,-0.09986943751573563,0.12527689337730408,0.507671058177948
Mo,0.36382028460502625,-0.3156788945198059,0.05402864143252373,0.19937460124492645,-0.32582271099090576,0.005645742639899254,0.02938985265791416,0.5917157530784607
Tc,0.3607768416404724,-0.526301920413971,-0.04271547123789787,-0.0014110604533925653,-0.0726688951253891,0.13865453004837036,0.08917847275733948,0.534413754940033
Ru,0.4720076322555542,-0.4041256308555603,0.10296940058469772,0.2400459498167038,-0.22116641700267792,0.12434939295053482,0.03337136283516884,0.25367018580436707
Rh,0.5807413458824158,-0.401107519865036,0.03080611303448677,-0.10637501627206802,-0.27720335125923157,-0.02001643180847168,0.05506247654557228,0.23112137615680695
Pd,0.3705892562866211,-0.5359397530555725,0.12392952293157578,0.08106609433889389,-0.059446901082992554,0.10382553189992905,-0.1826498955488205,0.32711732387542725
Ag,0.4870426654815674,-0.36609897017478943,-0.020824803039431572,0.015342529863119125,-0.06170913949608803,0.057167842984199524,-0.02776412107050419,0.32980355620384216
Cd,0.441026508808136,-0.30136311054229736,0.24008135497570038,-0.10275579243898392,-0.018716860562562943,-0.08896593749523163,0.0014666769420728087,0.324038565158844
In,0.34462299942970276,0.008624596521258354,0.34967172145843506,-0.13799704611301422,-0.35541924834251404,0.20033608376979828,0.17071665823459625,0.263279527425766
Sn,0.4748370349407196,-0.28640270233154297,0.08349845558404922,-0.2106616199016571,-0.27832940220832825,0.18311277031898499,0.17762944102287292,0.21936525404453278
Sb,0.6111908555030823,-0.2509598731994629,0.09256971627473831,-0.4510493278503418,-0.3709386885166168,-0.1744888722896576,-0.08727022260427475,0.15745630860328674
Te,0.21710121631622314,-0.2839818596839905,0.13310661911964417,-0.1220075711607933,-0.27102866768836975,-0.1012207642197609,0.09695141017436981,0.15061268210411072
I,0.23878377676010132,-0.44399294257164,0.027967512607574463,-0.12724077701568604,-0.06188400834798813,-0.11574111133813858,0.14520035684108734,0.1649966537952423
Cs,-0.0786147490143776,0.09616619348526001,0.4635782837867737,0.1155632808804512,0.47514238953590393,-0.14687608182430267,0.06850261986255646,0.6372664570808411
Ba,0.2658902406692505,-0.476807177066803,0.6314095854759216,0.04264472424983978,0.2564285695552826,0.5781688094139099,0.21877330541610718,0.09065829962491989
La,-0.02725844271481037,-0.62297123670578,0.36299335956573486,-0.07012242078781128,0.2884494364261627,0.40781280398368835,-0.19470460712909698,0.3810964822769165
Hf,0.10028905421495438,-0.5494022369384766,0.2596021294593811,0.13637270033359528,-0.3185436427593231,0.1995648294687271,0.2165396511554718,0.40680938959121704
Ta,0.1860857605934143,-0.42718303203582764,0.3813692629337311,0.08544997870922089,-0.17579282820224762,-0.04717782884836197,0.12618745863437653,0.37193650007247925
W,0.236625537276268,-0.26258501410484314,-0.006691090762615204,0.23068970441818237,-0.29940617084503174,-0.1408511996269226,0.17764198780059814,0.47187578678131104
Re,0.3477116525173187,-0.3293094038963318,-0.15736114978790283,-0.08970209211111069,-0.10892447084188461,0.08984225988388062,0.3256552517414093,0.44574955105781555
Os,0.4611741602420807,-0.4166067838668823,0.0664982944726944,0.10642825812101364,-0.1322944164276123,0.1689314842224121,0.07145126163959503,0.05865384265780449
Ir,0.6356217861175537,-0.419338583946228,-0.042867511510849,-0.1272541731595993,-0.062320105731487274,0.04677639156579971,0.02526409551501274,0.0673513412475586
Pt,0.444088339805603,-0.7798901796340942,-0.2206759750843048,0.05531957745552063,-0.191886305809021,0.22365611791610718,0.18872642517089844,0.17461034655570984
Au,0.39244750142097473,-0.5406780242919922,-0.08446704596281052,-0.07105482369661331,-0.21290968358516693,0.15637201070785522,0.22070257365703583,0.14303308725357056
Hg,0.20068693161010742,-0.24203836917877197,0.21000216901302338,-0.20240603387355804,0.21554319560527802,-0.11921361088752747,-0.015875475481152534,0.15223994851112366
Tl,0.08016756176948547,-0.1694440096616745,0.30772849917411804,-0.1968451887369156,-0.32475748658180237,0.1703863888978958,0.23470042645931244,0.30729541182518005
Pb,0.2266099601984024,-0.4470878541469574,-0.13543502986431122,-0.22663052380084991,-0.37604570388793945,0.16097475588321686,0.24563215672969818,0.34100988507270813
Bi,0.18104922771453857,-0.326433390378952,0.05030790716409683,-0.32396844029426575,-0.4982721507549286,-0.22420106828212738,0.17714808881282806,0.39745819568634033
