Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.0031555145978927612,0.50812166929245,-0.12240130454301834,0.34228357672691345,0.1289055198431015,0.4524851441383362,-0.6650969386100769,-0.1164420023560524,0.2572501003742218,-0.06349024176597595,-0.33795520663261414,0.15457960963249207,0.1822492629289627,-0.310030460357666,-0.26489242911338806,1.043576955795288
Li,0.3010576665401459,-0.14525559544563293,0.23313003778457642,-0.14382651448249817,-0.09563121944665909,0.19745104014873505,0.15407662093639374,0.09083469957113266,0.13640515506267548,-0.06168569624423981,0.03158514201641083,-0.03831611946225166,-0.11484275013208389,-0.20713059604167938,-0.18842832744121552,0.2574010491371155
Be,0.3727014660835266,-0.05706513300538063,0.04470580816268921,0.07939814776182175,-0.22302782535552979,0.17923413217067719,-0.05415569618344307,0.3538125455379486,-0.17500971257686615,-0.13754494488239288,-0.20623497664928436,-0.04417586326599121,0.30889326333999634,0.21167539060115814,-0.14675089716911316,0.015640493482351303
B,0.4157467782497406,-0.004009726457297802,-0.4193434715270996,-0.06026339530944824,-0.06903033703565598,0.43593329191207886,-0.13968266546726227,0.05076891556382179,-0.3832013010978699,-0.021229693666100502,-0.21157889068126678,-0.139430433511734,0.4370514154434204,-0.24218405783176422,0.11947159469127655,0.6387246251106262
C,0.3132205009460449,0.17787468433380127,-0.5829632878303528,0.23869577050209045,-0.14872685074806213,0.6126259565353394,0.00407140888273716,0.05036832392215729,-0.42854568362236023,-0.3612251281738281,0.2689943313598633,0.08417461067438126,0.5162973999977112,-0.0077774133533239365,0.12740778923034668,0.9013786315917969
N,0.13792116940021515,0.2694281339645386,-0.3153885006904602,0.4652189314365387,0.18812772631645203,0.0057108113542199135,-0.19555158913135529,0.059714239090681076,-0.2954874038696289,-0.12746784090995789,-0.006111716851592064,0.05062359198927879,0.48336973786354065,0.018207186833024025,0.2473723143339157,0.7279215455055237
O,-0.03702181205153465,0.3792612850666046,-0.23353730142116547,0.2178066074848175,0.08636613190174103,0.4655127227306366,-0.19072994589805603,0.2699492871761322,-0.25459253787994385,0.11992950737476349,0.5006983280181885,0.016233807429671288,0.30482715368270874,0.16854023933410645,0.04273833706974983,0.727425754070282
F,0.09003432095050812,0.5191679000854492,0.00717613659799099,-0.1691114604473114,0.18626421689987183,-0.057833630591630936,-0.18930043280124664,-0.010338390246033669,-0.06892070919275284,0.253720760345459,0.34329575300216675,-0.029983356595039368,-0.07703643292188644,-0.041905954480171204,0.08720662444829941,0.3475918173789978
Na,0.16740527749061584,-0.08538112044334412,0.3939811587333679,-0.24315372109413147,-0.20301960408687592,0.050880759954452515,0.23628570139408112,-0.07782543450593948,0.11090472340583801,0.06087436527013779,-0.1515333354473114,-0.059300635010004044,-0.23198895156383514,-0.051766231656074524,-0.21419300138950348,-0.13820691406726837
Mg,-0.0025113755837082863,0.14697206020355225,0.1034456267952919,-0.2231772541999817,-0.15105503797531128,-0.31724968552589417,0.1458142101764679,0.019012240692973137,0.1322520226240158,-0.07001782953739166,-0.26842764019966125,0.0017095338553190231,-0.3278608024120331,0.3845458924770355,0.017572816461324692,-0.2584109902381897
Al,0.0847581997513771,-0.03259081393480301,-0.09934848546981812,-0.15806399285793304,0.00040736421942710876,-0.43941226601600647,0.3015286922454834,0.009940816089510918,0.246770441532135,0.045678868889808655,0.061395492404699326,-0.15198732912540436,0.23390516638755798,0.015124018304049969,-0.041967276483774185,-0.304582804441452
Si,0.13335691392421722,-0.19508570432662964,-0.4868849813938141,-0.21031974256038666,-0.04030516743659973,-0.1602557897567749,0.4084059000015259,-0.06406040489673615,-0.15568600594997406,-0.024761397391557693,0.03244655206799507,0.036445602774620056,0.2830789089202881,0.058847662061452866,-0.18757940828800201,-0.06879333406686783
P,-0.1812019646167755,0.2823120653629303,-0.569291889667511,-0.16226862370967865,-0.10901477187871933,-0.28414005041122437,-0.17418472468852997,0.0061243316158652306,-0.18036000430583954,-0.1419014185667038,-0.03388594090938568,-0.07224664092063904,0.3446114957332611,0.019595704972743988,0.17550481855869293,0.23616936802864075
S,-0.12896397709846497,0.4591674208641052,-0.4927699863910675,-0.049947068095207214,0.03921503573656082,0.03655388578772545,-0.13256585597991943,0.04002295807003975,-0.48027855157852173,-0.17849504947662354,0.20393088459968567,-0.10693162679672241,0.08733231574296951,0.24587485194206238,-0.04309450462460518,0.08288329094648361
Cl,-0.07060886174440384,0.3071306049823761,-0.26050713658332825,0.2403237521648407,0.1488366574048996,-0.11996345221996307,-0.46335527300834656,-0.22065339982509613,-0.3114129304885864,0.15568971633911133,-0.07657220959663391,0.09434960782527924,0.19540035724639893,-0.07614254951477051,-0.02379966713488102,-0.21204158663749695
K,-0.18022195994853973,0.12973016500473022,0.3551774024963379,0.19644200801849365,-0.13667753338813782,0.18899959325790405,0.047491297125816345,0.11499559134244919,-0.08394550532102585,0.2790154814720154,0.05649134889245033,0.19091489911079407,-0.017983026802539825,-0.07098190486431122,0.027108734473586082,0.14673669636249542
Ca,0.22642509639263153,-0.026866646483540535,-0.03212691843509674,0.09981541335582733,0.01607949659228325,-0.05621322989463806,0.1330408751964569,0.22065994143486023,-0.061607521027326584,0.12085804343223572,-0.29065245389938354,0.13818314671516418,-0.2892663776874542,0.18086321651935577,-0.21514715254306793,-0.2056303173303604
Sc,-0.11215470731258392,-0.11839907616376877,-0.23753879964351654,-0.16766035556793213,0.2789868414402008,-0.22600744664669037,0.29022201895713806,-0.04232359677553177,0.2378220558166504,0.09100309759378433,-0.1301315277814865,0.04617736116051674,-0.393589586019516,-0.06818757951259613,0.10681305080652237,-0.1737646609544754
Ti,-0.06963226199150085,-0.24777546525001526,-0.3586618900299072,-0.1118217334151268,0.0833919420838356,0.06219843402504921,0.3333584666252136,-0.10807386040687561,0.15850794315338135,-0.04795335978269577,-0.3712703287601471,-0.04927314817905426,-0.2544674277305603,-0.14810046553611755,0.007478993386030197,-0.2712705731391907
V,-0.15296529233455658,-0.049403708428144455,-0.23000214993953705,0.13863275945186615,0.06780174374580383,-0.1390189528465271,0.208965003490448,0.03216391056776047,0.32449743151664734,0.16931702196598053,-0.2730661928653717,0.025265051051974297,0.011470843106508255,-0.14223641157150269,0.024702511727809906,-0.383502334356308
Cr,-0.2900557219982147,-0.2633105516433716,0.025913245975971222,0.21001508831977844,0.06784611195325851,-0.0427422970533371,0.2520040273666382,-0.03721266984939575,0.0068644313141703606,-0.0015827883034944534,-0.18481040000915527,0.05700420215725899,-0.03708308935165405,0.06578096002340317,-0.07322044670581818,-0.48560789227485657
