Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
H,-0.9134083390235901,0.468810498714447,-0.09277154505252838,-0.7095301747322083,-1.2767075300216675,-0.6305823922157288,-0.4830816686153412,-1.9174127578735352,0.31861746311187744,0.5694271922111511,0.14233987033367157,-0.5152085423469543,0.05542352423071861,0.12281204760074615,1.5627175569534302,-0.15187111496925354
Li,-0.34872815012931824,-0.005379069596529007,-0.1883673220872879,-0.20857688784599304,-0.5380721092224121,-0.8007580637931824,-0.10089659690856934,-0.7717302441596985,0.9912731647491455,0.055718280375003815,0.17332680523395538,-0.7977457046508789,-0.31172606348991394,-0.6442545652389526,0.9734485149383545,-0.1597050279378891
Be,-0.08274611830711365,-0.6639432907104492,0.21483054757118225,-0.20840366184711456,-0.49744516611099243,0.3343164622783661,0.34492769837379456,-0.699314534664154,0.5032294988632202,-0.13264073431491852,-0.013348800130188465,-0.05463370680809021,-0.30981671810150146,0.7949445843696594,0.3757723271846771,0.1223037913441658
B,-0.3452517092227936,-0.5238049626350403,0.5988937616348267,0.6582954525947571,-0.3160706162452698,0.4507907032966614,0.4045141041278839,-0.854857861995697,0.8876355886459351,-0.33384332060813904,0.9059178829193115,0.09744922071695328,-0.030835941433906555,1.239812970161438,0.6901025772094727,-0.0449376218020916
C,-0.46553629636764526,0.19373658299446106,0.524100124835968,0.23880644142627716,0.40815261006355286,0.2190585434436798,0.32212531566619873,-0.3117547631263733,0.15699553489685059,-0.2712547481060028,0.12764744460582733,0.3285770118236542,0.5323818325996399,1.128663420677185,0.092757448554039,0.281559556722641
N,-0.6569805145263672,0.3438962399959564,0.4239724278450012,0.37247616052627563,0.3091389834880829,-0.17440444231033325,-0.05270489677786827,-0.20759713649749756,0.02289859764277935,0.19151002168655396,-0.10765335708856583,0.034476567059755325,0.5264860391616821,0.9166394472122192,-0.027194056659936905,-0.16934120655059814
O,-0.49558770656585693,1.0080139636993408,-0.06698714196681976,-0.144400954246521,0.269783616065979,-0.6585066914558411,-0.6009573340415955,-0.2091429978609085,-0.2919958531856537,0.05705440044403076,-0.17722247540950775,-0.07081195712089539,0.5069876909255981,0.47113388776779175,-0.2658916711807251,-0.033529531210660934
F,-0.7331525087356567,1.3448704481124878,-0.19715511798858643,-0.9483611583709717,0.06847521662712097,-1.28733229637146,-1.1323970556259155,-0.7038913369178772,-0.5844590067863464,0.5983535647392273,-0.8042118549346924,-0.6627030372619629,0.6012977361679077,-0.18317288160324097,0.2221910059452057,0.3023473620414734
Na,0.16590569913387299,-0.06877385079860687,-0.3347204923629761,-1.0145317316055298,-0.2219546139240265,-0.7113823890686035,-0.28497934341430664,-0.5643825531005859,0.2592046856880188,0.41872304677963257,-0.12134793400764465,-0.7874003648757935,-0.4822063148021698,-0.1700613796710968,0.7441860437393188,-0.06049569323658943
Mg,0.4211575388908386,-0.6308078169822693,-0.4992850124835968,-0.9820199608802795,-0.22820119559764862,0.11228670924901962,-0.005564570426940918,-0.28670817613601685,0.19439083337783813,0.24377162754535675,-0.13920174539089203,-0.08779624104499817,-0.45720744132995605,0.537569522857666,-0.06017382815480232,0.19430223107337952
Al,0.08407868444919586,-0.7151974439620972,0.48079243302345276,-0.006814164109528065,0.13532821834087372,0.15254917740821838,-0.026682909578084946,-0.49203231930732727,0.9599385261535645,-0.40575358271598816,0.6345535516738892,-0.23605456948280334,-0.6816155314445496,0.4471850097179413,0.12625637650489807,1.081172227859497
Si,-0.20822881162166595,-0.7832049131393433,0.6954849362373352,0.04304114356637001,0.3592709004878998,0.0969681665301323,0.34135887026786804,-0.1710880547761917,0.9389113187789917,-0.325390100479126,0.4957778751850128,-0.14664094150066376,-0.33417579531669617,0.6635768413543701,-0.24597729742527008,0.2328297644853592
P,0.22615361213684082,-0.11802517622709274,0.15788310766220093,-0.17719894647598267,0.3774135410785675,-0.08806025981903076,-0.05139116197824478,0.23552128672599792,0.46236205101013184,-0.21759571135044098,0.3529181480407715,0.08347582817077637,0.00031240377575159073,0.6706148386001587,-0.34920865297317505,0.7084460854530334
S,-0.20642626285552979,0.3274814784526825,-0.47257816791534424,-0.423451691865921,0.3785676062107086,-0.49170970916748047,-0.6879956722259521,0.26294928789138794,-0.08462034165859222,-0.14743530750274658,0.1076943576335907,0.42144113779067993,0.32486996054649353,-0.4664410650730133,-0.46555647253990173,0.2633863389492035
Cl,-0.31053662300109863,0.515792191028595,0.25703856348991394,-0.8934406638145447,0.3591425120830536,-0.80613774061203,-0.8052014112472534,0.19454346597194672,-0.6775665283203125,0.8230193257331848,-0.7317728400230408,-0.5989845395088196,0.11990129202604294,-0.1336195319890976,-0.15305179357528687,-0.3783164918422699
K,-0.024078460410237312,0.10314828157424927,-0.3103143274784088,-1.1410349607467651,-0.6950823068618774,-0.9354223608970642,-0.4261454641819,-0.42072582244873047,-0.08900478482246399,1.266189455986023,-0.7573704719543457,-2.037813901901245,0.09244877845048904,-0.40009963512420654,1.0508952140808105,-0.7279328107833862
