Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49,Dim_50,Dim_51,Dim_52,Dim_53,Dim_54,Dim_55,Dim_56,Dim_57,Dim_58,Dim_59,Dim_60,Dim_61,Dim_62,Dim_63
H,-0.5930735468864441,0.4028470814228058,0.20288945734500885,-0.2623966336250305,0.14872322976589203,0.32961127161979675,-0.1590675413608551,-0.14951767027378082,-0.4238050580024719,0.15411260724067688,-0.2304985523223877,0.3778107166290283,0.09321192651987076,-0.06636431813240051,0.2384122759103775,-0.5379515886306763,0.9614708423614502,0.3906286954879761,0.03240867704153061,0.3867459297180176,0.7430405020713806,0.43483781814575195,-0.8679919838905334,0.02073650434613228,0.11881255358457565,0.3183707296848297,0.25438377261161804,0.09375275671482086,0.6266816258430481,0.3895164132118225,0.07378368079662323,-1.185580849647522,-0.6043472290039062,-0.11463186144828796,-0.22195006906986237,0.08157359808683395,-0.7470664381980896,-0.6613609790802002,-0.9423364400863647,0.030346954241394997,-0.1749919354915619,1.2782992124557495,-0.9360003471374512,0.5681985020637512,1.5945371389389038,-0.21236595511436462,-0.3326718807220459,-0.43617528676986694,0.05558980628848076,-0.20182621479034424,-1.1472629308700562,0.09430305659770966,0.7879894375801086,-0.9438655376434326,0.08296068012714386,0.16863764822483063,0.18301455676555634,0.44719529151916504,-0.5611869096755981,0.0193913783878088,1.0270514488220215,-0.781646192073822,-0.03190184384584427,0.12486372888088226
Li,-0.5173007249832153,0.776344895362854,-0.22997118532657623,-0.20298385620117188,-0.45965152978897095,0.05212735757231712,-0.5589180588722229,0.44548991322517395,-0.5806786417961121,0.3617464303970337,0.20804914832115173,0.5161169767379761,-0.2630555331707001,-0.49065467715263367,-0.059565022587776184,-0.1805015504360199,0.3172208070755005,-0.304290235042572,0.20712721347808838,-0.3359623849391937,0.24387817084789276,0.2049371600151062,-0.34089192748069763,0.1962059736251831,-0.44991445541381836,0.5512994527816772,0.29144078493118286,0.3769654929637909,-0.11508013308048248,-0.03108186647295952,0.38101646304130554,-0.8944393992424011,-0.25737324357032776,-0.18136200308799744,0.43185141682624817,0.18875746428966522,-0.5019316077232361,-0.23611010611057281,-1.110871434211731,-0.47209540009498596,-0.633892297744751,0.9384993314743042,-0.3801959156990051,0.22017596662044525,1.1329336166381836,-0.47598737478256226,-0.5879274606704712,-0.2789371609687805,-0.14746816456317902,-0.2945125102996826,-0.2381310760974884,-0.17346994578838348,0.6911847591400146,-0.36422088742256165,-0.23843008279800415,-0.1726887822151184,0.014592653140425682,0.06340791285037994,-0.28262439370155334,0.6380057334899902,0.6601207256317139,-0.34747692942619324,0.34392881393432617,0.06168584153056145
Be,0.4316290020942688,0.5732253193855286,0.3385685086250305,-0.03953514248132706,-0.1740647852420807,0.0004894817247986794,-0.258767694234848,0.1960853785276413,-0.05931755155324936,0.3897121846675873,0.6132253408432007,0.6981868743896484,-0.238143190741539,-0.5940597057342529,-0.44017305970191956,-0.6072825789451599,1.0716984272003174,-0.3749363422393799,0.12111339718103409,-0.18584054708480835,0.2020038664340973,0.05955081433057785,-0.04454566910862923,0.3575586676597595,-0.8796169757843018,0.2624278664588928,0.23179152607917786,0.5696530342102051,0.5519728064537048,0.0907890647649765,-0.24629159271717072,-0.09015916287899017,-0.1078590378165245,0.050058513879776,0.7258725762367249,0.3018498122692108,0.6909143328666687,-0.756796658039093,0.2684616148471832,0.09415032714605331,-0.713439404964447,0.540096640586853,-0.12332376092672348,-0.41675135493278503,0.13823021948337555,-0.46039533615112305,-0.21785865724086761,-0.6581119298934937,-0.5492576956748962,-0.15848393738269806,0.07383819669485092,0.045390140265226364,-0.0818071961402893,0.10564664006233215,0.12090036273002625,0.24624918401241302,0.04145257547497749,-0.1234356090426445,0.21255002915859222,-0.6510735750198364,-0.43283355236053467,-0.16223880648612976,0.2666790187358856,-0.5559110045433044
B,0.08424405008554459,0.6115087270736694,0.06812576949596405,-0.1670578271150589,-0.4377176761627197,0.09841499477624893,-0.4644966721534729,0.09019654244184494,-0.2575729489326477,-0.062303755432367325,0.7476699948310852,0.08940313011407852,-0.6262545585632324,-0.15144842863082886,-0.3181845247745514,-0.014065379276871681,0.2663152515888214,0.040404755622148514,-0.3264700770378113,-0.0015287559945136309,0.20984725654125214,0.10884588211774826,-0.2317095696926117,0.2722829580307007,0.3862115442752838,0.25849345326423645,0.4543939530849457,0.028254518285393715,-0.13650566339492798,-0.2449861615896225,0.13382023572921753,-0.08513193577528,-0.3102024793624878,0.07171671092510223,0.41318196058273315,0.3172842264175415,0.2665512263774872,-0.16755075752735138,-0.2391471266746521,-0.4440343677997589,-0.4532485008239746,0.2692551910877228,0.14137455821037292,0.2436634600162506,1.034533143043518,-0.06350672990083694,-0.34518930315971375,0.023098351433873177,0.012568792328238487,0.08368831872940063,-0.09091833978891373,-0.0696491077542305,-0.3385045528411865,-0.038555730134248734,-0.20177395641803741,-0.17583827674388885,-0.24437862634658813,0.20698536932468414,-0.6341837644577026,-0.2088547646999359,-0.007824378088116646,0.02675909548997879,-0.04771364480257034,-0.6091809272766113
C,0.362230122089386,0.2633378505706787,0.5436069965362549,-0.16291843354701996,0.08867805451154709,-0.11931927502155304,-0.4752269387245178,-0.21782395243644714,-0.014509916305541992,0.22195619344711304,-0.19627423584461212,0.5074131488800049,0.011341460049152374,-0.10548482090234756,-0.017083048820495605,-0.30421438813209534,0.4805496335029602,0.022600004449486732,-0.028641395270824432,-0.0306186955422163,0.4037047028541565,0.28297027945518494,0.24711880087852478,0.15505903959274292,-0.47997111082077026,-0.07525908946990967,0.03451056778430939,-0.23486194014549255,0.5549452900886536,-0.3050619959831238,0.8821679949760437,0.12453587353229523,-0.17222562432289124,0.03933427110314369,0.34253746271133423,0.26311755180358887,0.5109308958053589,-0.473560631275177,-0.07625428587198257,-0.1871068775653839,-0.13327622413635254,0.6558641195297241,-0.1715025156736374,-2.9433518648147583e-05,0.549365222454071,-0.3859166204929352,-0.3758823275566101,-0.2431240826845169,-0.45908746123313904,-0.10061265528202057,-0.23028136789798737,0.051311150193214417,0.35377705097198486,-0.21818798780441284,0.28525376319885254,0.5811452269554138,0.24044086039066315,0.16124095022678375,-0.3448904752731323,0.005694420076906681,-0.5520505309104919,-0.15612640976905823,-0.3694823086261749,-0.2966192066669464
N,0.255020409822464,-0.2749863266944885,0.4991190731525421,0.4909954369068146,-0.7994292974472046,-0.6802415251731873,0.35912150144577026,0.4387900233268738,0.02955153025686741,-0.25670164823532104,0.28346285223960876,0.0554920919239521,-0.19337452948093414,0.4114867150783539,0.2219301462173462,0.07200835645198822,-0.2047623097896576,0.11304762214422226,-0.3479574918746948,0.1676795333623886,0.5253412127494812,-0.02604144811630249,0.007781699299812317,0.304773211479187,0.025136295706033707,0.03981952369213104,0.6207203269004822,-0.609909176826477,-0.3927275836467743,-0.13660581409931183,0.8880848288536072,0.3769000768661499,-0.26517027616500854,0.3512931168079376,-0.04806080460548401,0.41830867528915405,-0.04348783195018768,0.12172792106866837,0.2199660688638687,-0.03007388487458229,0.18909615278244019,0.1854255497455597,-0.1890210658311844,-0.1976936161518097,0.8265275359153748,-0.10978173464536667,0.28112462162971497,0.45045173168182373,0.6426873207092285,-0.1591513454914093,-0.11157070100307465,-0.04376396909356117,0.7113444805145264,-0.5869120955467224,-0.40945735573768616,0.27771705389022827,0.17875723540782928,0.3388395607471466,-0.47550275921821594,-0.1601199209690094,-0.023166097700595856,0.1204846128821373,-0.4057145118713379,-0.6785892248153687
O,-0.3781832754611969,-0.2274043709039688,0.20683898031711578,0.4665777385234833,-0.037186264991760254,-0.24313606321811676,0.43682414293289185,0.3962722718715668,0.2116100937128067,-0.4451732933521271,0.3186873495578766,0.13387298583984375,0.4029424786567688,0.40210703015327454,0.14330948889255524,0.19640600681304932,-0.052377644926309586,0.6885485053062439,-0.40823644399642944,0.3331340551376343,0.8314018845558167,-0.5932644605636597,-0.4355964958667755,0.46888047456741333,-0.33901509642601013,-0.6346192359924316,-0.17105454206466675,0.14038677513599396,0.17054401338100433,0.526252269744873,0.1381755918264389,0.14277072250843048,-0.6306536197662354,0.3731882870197296,-0.41125157475471497,-0.4431907534599304,0.11892186850309372,0.09703756868839264,0.2645690143108368,0.1456408053636551,0.7252758145332336,-0.021771077066659927,-0.3927151560783386,-0.05368097871541977,0.04483175277709961,0.2903297543525696,0.5213432908058167,0.18059630692005157,0.3565270006656647,-0.3763938844203949,-0.39156246185302734,0.42851516604423523,0.20064261555671692,-0.9638834595680237,-0.12466014176607132,0.5812662243843079,0.5208993554115295,0.3741115629673004,0.003169237170368433,-0.45516982674598694,-0.2104042023420334,-0.49765393137931824,-0.8655791282653809,-0.20508171617984772
F,-1.1149543523788452,-0.4473927319049835,0.7382979393005371,0.5959755778312683,0.12047446519136429,-0.30665454268455505,0.18027353286743164,-0.1441570222377777,0.9613583087921143,-0.4053972065448761,-0.26439112424850464,-1.3238859176635742,0.9983308911323547,0.2740296721458435,-0.031073208898305893,0.7211505174636841,0.37440162897109985,1.2633545398712158,-0.040639545768499374,0.9018062353134155,1.459562063217163,-0.9876062870025635,-0.20044028759002686,0.4430615305900574,0.5780002474784851,-0.5569285750389099,-0.414973646402359,0.5047311186790466,0.4676753282546997,1.0603489875793457,0.003585013560950756,-0.3253980576992035,-1.0818418264389038,0.9357165098190308,-0.42143315076828003,-0.667565107345581,-1.0340275764465332,0.3303665518760681,0.1951400339603424,0.8626067042350769,-0.014031593687832355,-0.3284311592578888,-0.5457610487937927,1.1040314435958862,-0.2325875163078308,0.519878089427948,0.6987351179122925,-0.23989275097846985,-0.39120468497276306,-0.6181635856628418,-0.5486059784889221,1.0692559480667114,-0.7370057702064514,-1.171500325202942,-0.27828776836395264,1.051090121269226,0.6319218277931213,0.7606362700462341,-1.3382264375686646,-0.4534129202365875,0.7690169215202332,-0.08554196357727051,-1.286543369293213,0.22108203172683716
Na,-0.5063271522521973,0.48517364263534546,-0.341012567281723,-0.46347925066947937,0.26476603746414185,-0.061960618942976,-0.1135290265083313,0.2147631198167801,0.03831096738576889,0.5157914161682129,0.4219088852405548,0.4075475037097931,-0.0623173862695694,-0.05633082240819931,-0.09000284969806671,-0.1541772335767746,0.7133740186691284,0.06908188760280609,0.3634170591831207,-0.2861461341381073,0.12972302734851837,0.3158937096595764,-0.4938930869102478,0.11880794167518616,-0.36444851756095886,0.3089137375354767,-0.1691281944513321,0.33047398924827576,0.5380340814590454,0.14031219482421875,-0.221696674823761,-0.9491016268730164,0.1723155975341797,-0.25600019097328186,0.10348378121852875,0.12137909233570099,-0.20688000321388245,-0.1544686257839203,-0.8980554938316345,0.03380537033081055,-0.2669919729232788,0.9023585319519043,-0.7280020713806152,0.38652098178863525,0.5468441247940063,-0.27899232506752014,-0.20689556002616882,-0.41635772585868835,-0.3876722753047943,-0.4567762315273285,-0.2659659683704376,-0.006511530838906765,0.07818113267421722,-0.5558392405509949,0.010331455618143082,-0.15834468603134155,0.09151413291692734,0.07108414173126221,-0.4352596700191498,0.39729467034339905,0.9120756983757019,-0.5675195455551147,0.26916512846946716,0.43796125054359436
Mg,-0.04312536120414734,0.210539311170578,-0.12383395433425903,-0.16983921825885773,0.26308760046958923,0.14380048215389252,-0.12097539007663727,-0.18081392347812653,0.1260024607181549,0.3787281811237335,0.20499297976493835,0.1254497766494751,-0.3513863980770111,0.1552160084247589,-0.3100282847881317,-0.03597068786621094,0.47112202644348145,-0.1503141224384308,0.3072349429130554,-0.098415806889534,0.08554229885339737,0.10700910538434982,-0.020925186574459076,0.06720533221960068,-0.28700095415115356,-0.0843416154384613,-0.011945798993110657,0.49805060029029846,0.4305020868778229,0.13758131861686707,-0.09761939942836761,-0.17219267785549164,0.2574865520000458,-0.06445306539535522,0.21999330818653107,0.26184695959091187,0.45887717604637146,-0.3432309925556183,-0.1741921752691269,0.10217668116092682,-0.37407538294792175,0.4959704577922821,-0.15453743934631348,-0.20901140570640564,-0.0621839202940464,-0.08711161464452744,0.16614392399787903,-0.5573222041130066,-0.38798028230667114,0.08737689256668091,0.02717982418835163,0.041989997029304504,-0.2721180319786072,-0.3221111297607422,0.30590978264808655,-0.24090591073036194,0.01981673762202263,-0.1215314269065857,0.06454649567604065,-0.20667695999145508,0.21765829622745514,-0.1851682960987091,0.16388273239135742,-0.09212927520275116
