Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31
H,-0.029998937621712685,-0.6132369637489319,0.5920657515525818,0.3561204671859741,1.1195673942565918,-0.8064092993736267,1.2061518430709839,0.4093814790248871,-0.9231972694396973,1.224703073501587,0.5199020504951477,-0.3770447075366974,0.31500470638275146,0.26234838366508484,0.39621779322624207,0.3270615339279175,0.07551973313093185,-0.36883488297462463,-0.26306167244911194,0.13050679862499237,-0.020695246756076813,0.5389637351036072,-0.6577000617980957,-0.12331368029117584,-0.3862929940223694,-0.20469745993614197,-0.10366268455982208,-0.8266525864601135,-0.8669714331626892,0.8499670624732971,0.6588572859764099,1.1639609336853027
Li,-0.4756126403808594,-0.4101337194442749,0.20620164275169373,-0.33576539158821106,0.540607213973999,-0.22544237971305847,0.5178504586219788,0.25662195682525635,-0.00882449559867382,0.4834515154361725,0.6941313147544861,-0.5028499364852905,-0.16173067688941956,0.5031607747077942,0.30408647656440735,0.3490085303783417,-0.2070695459842682,0.008827637881040573,-0.179258793592453,0.06395372748374939,0.09154748916625977,0.11159012466669083,-0.20643307268619537,-0.47421371936798096,-0.46544015407562256,-0.11996770650148392,-0.03419843316078186,-0.2879194915294647,-0.6168369054794312,0.6392967700958252,0.2998153865337372,1.122410774230957
Be,-1.1924947500228882,0.18459443747997284,-0.10112287849187851,-0.8025112748146057,0.4538842737674713,0.2960662245750427,-0.41860029101371765,0.5204154849052429,0.3570440411567688,0.10138794034719467,0.36976611614227295,0.8502128720283508,0.10315192490816116,-0.4218553900718689,0.4986845850944519,-0.5080903172492981,0.13149456679821014,-0.050125934183597565,0.1188165694475174,-0.16935995221138,-0.10747635364532471,-0.2808074653148651,-0.1596342921257019,0.2220495343208313,-0.8935351967811584,-0.5160531997680664,0.24493186175823212,0.20056577026844025,-0.25093409419059753,0.3395501971244812,-0.10556255280971527,0.14598047733306885
B,-0.9109545350074768,0.1105709969997406,0.03647717088460922,-0.19233430922031403,0.15331780910491943,0.06427538394927979,-0.1947498321533203,1.0005707740783691,0.5565587282180786,0.05135127902030945,1.1095659732818604,0.6530174612998962,-0.6572436690330505,-0.34442195296287537,0.6753446459770203,-0.8373904824256897,-0.7314090132713318,0.16841210424900055,0.48793351650238037,-0.8124614357948303,0.7482233047485352,-0.7717394232749939,-0.9755445718765259,0.5940661430358887,-0.13979382812976837,0.18932609260082245,1.052797794342041,0.26402878761291504,-0.11647213995456696,0.7747299671173096,0.05826646834611893,0.38615936040878296
C,-0.3280837833881378,-0.10974986851215363,-0.17234858870506287,0.019405949860811234,0.1988673061132431,0.008727195672690868,-0.2050645500421524,0.43570446968078613,-0.11061921715736389,0.2564197778701782,0.5291361212730408,0.4658932387828827,-0.15664221346378326,-0.19081611931324005,0.384706974029541,-0.26089057326316833,-0.6366572380065918,-0.0008834879845380783,-0.41520383954048157,-0.19212590157985687,-0.025868183001875877,0.040298473089933395,-0.06987349689006805,0.553810179233551,-0.06000535935163498,0.24168682098388672,0.4317854940891266,0.7092438340187073,-0.35601136088371277,0.22410358488559723,-0.019631896167993546,0.19557684659957886
N,0.25220897793769836,-0.18398599326610565,0.2008148431777954,-0.44068771600723267,0.22640691697597504,-0.34302565455436707,-0.2747301459312439,0.2715386152267456,-0.22445344924926758,0.18982800841331482,0.41032272577285767,0.521563708782196,0.11572884023189545,-0.09850601106882095,-0.3438059985637665,-0.6714439392089844,-0.15650124847888947,0.46063998341560364,0.022385817021131516,-0.6187653541564941,0.0011217081919312477,0.07854937016963959,-0.24215413630008698,0.0738651379942894,-0.11007292568683624,0.1004776731133461,0.2719237804412842,0.47992515563964844,-0.2668701410293579,-0.264889657497406,-0.15194398164749146,-0.11348887532949448
O,0.37410977482795715,0.019792066887021065,0.37119123339653015,0.16141141951084137,0.6791961789131165,-0.4528209865093231,-0.3218960762023926,0.0321974977850914,-0.8130230903625488,0.09958157688379288,-0.09872736036777496,0.31525465846061707,0.5077710151672363,-0.16791856288909912,-0.3049144148826599,-0.2252025455236435,0.16476786136627197,-0.07662832736968994,-0.7259809970855713,-0.3934667110443115,-0.4598803222179413,0.38443341851234436,0.19831570982933044,-0.12258075177669525,0.17081324756145477,-0.13602854311466217,-0.08079297840595245,0.4695555567741394,-0.6477911472320557,-0.4275743365287781,-0.20637847483158112,-0.2697490155696869
F,0.9613227844238281,-1.1808682680130005,0.7262775301933289,0.6187448501586914,1.1789082288742065,-1.0273350477218628,0.7979284524917603,-0.2749498784542084,-1.202243685722351,0.8654537200927734,-0.7516260743141174,-0.5996167063713074,1.030837059020996,0.143705353140831,-0.7456657290458679,0.12589189410209656,0.5585018992424011,-0.6569911241531372,-0.9183657169342041,0.7823005318641663,-1.035460114479065,0.773801863193512,0.5397607088088989,-0.27031853795051575,0.5641965866088867,-0.36434876918792725,-0.5215757489204407,-0.5418061017990112,-1.0362226963043213,-1.0435246229171753,-0.29690366983413696,0.5815380215644836
Na,-0.7116538286209106,-0.30678287148475647,0.04918571934103966,-0.25247839093208313,0.4044667184352875,-0.3060305416584015,0.7567339539527893,0.37782716751098633,-0.1489584892988205,0.7619750499725342,0.38841819763183594,-0.6222461462020874,0.10924632847309113,0.7424514889717102,0.5245040059089661,0.7098600268363953,-0.09231142699718475,-0.017507754266262054,-0.4666820764541626,0.6238446235656738,0.12192654609680176,0.0042754895985126495,-0.4629323184490204,-0.8349732160568237,-0.6312187314033508,-0.3526173532009125,0.049313925206661224,-0.5413161516189575,-0.8709129095077515,0.5988376140594482,0.37048760056495667,1.012255072593689
Mg,-1.2616466283798218,0.18253269791603088,-0.1453324407339096,-0.0938819944858551,-0.07715670764446259,0.10007188469171524,-0.16050070524215698,0.11684044450521469,-0.15059246122837067,0.3476569354534149,-0.10272809863090515,0.006945294328033924,0.301254004240036,0.3295432925224304,0.19371157884597778,0.5106320977210999,-0.02344736084342003,0.08294788002967834,-0.07769814133644104,0.42777499556541443,-0.03392438963055611,-0.2686600089073181,-0.05253274366259575,-0.6855446100234985,-0.7415657043457031,-0.7853095531463623,0.3065929710865021,-0.10392685234546661,-0.43507078289985657,0.42338091135025024,0.10806982219219208,0.5612027049064636
