Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,-1.708416223526001,-1.3680990934371948,-0.15367311239242554,0.6930719614028931,0.08119559288024902,3.009136199951172,-2.026834011077881,-2.412557601928711
Li,-1.6778056621551514,-0.9967787265777588,-1.303778052330017,1.909603238105774,-0.9471744894981384,1.88583505153656,0.7460945248603821,-2.368276357650757
Be,-0.4035901129245758,-1.194475531578064,-2.7234256267547607,1.3296334743499756,-0.0976451113820076,-0.47097092866897583,-0.2915511727333069,-0.3445919156074524
B,0.6205829977989197,-0.6315599679946899,-2.3626532554626465,-0.022497832775115967,-0.3582752048969269,-0.9345026016235352,-0.4101719260215759,-0.10981202125549316
C,1.6647502183914185,-2.270883560180664,-1.688347339630127,-0.11622288078069687,-0.5258790850639343,-0.9247705936431885,-1.0713236331939697,-0.7515052556991577
N,0.29700493812561035,-1.2756520509719849,0.503110408782959,-1.0453195571899414,-0.7344503402709961,-1.494264006614685,-0.5020393133163452,-1.7051172256469727
O,0.34616297483444214,-2.063961982727051,1.2597544193267822,-1.0640664100646973,-0.7950626611709595,0.9019806981086731,0.12192928791046143,-0.7345948219299316
F,-1.403748631477356,-0.07991409301757812,1.6811270713806152,-0.7431487441062927,-3.608274459838867,0.5975063443183899,-1.4108364582061768,1.604458212852478
Na,0.7518072724342346,-0.6414735317230225,-1.4786843061447144,0.4415961802005768,-1.595229148864746,0.4928933382034302,-0.7698932886123657,-2.1009833812713623
Mg,0.004240483045578003,-0.43634817004203796,-1.7480674982070923,0.3892805576324463,1.0501947402954102,-0.28918999433517456,0.7340970635414124,0.02749153971672058
Al,0.5524170398712158,0.8017905950546265,-1.8785078525543213,1.350582480430603,-2.6849076747894287,0.47539228200912476,-1.320819616317749,-0.598031222820282
Si,1.8042705059051514,-0.1213456466794014,-2.9506359100341797,-0.12815320491790771,1.3235979080200195,-0.4416016936302185,0.46501752734184265,-2.3898508548736572
P,0.9861007928848267,-2.202261209487915,-0.8785502314567566,0.6105068922042847,1.748908281326294,-1.4319441318511963,0.4239555597305298,-1.8581302165985107
S,-0.47907888889312744,-0.5702050924301147,-0.1143726110458374,-1.0833765268325806,1.5409607887268066,-1.142012119293213,-0.5122920274734497,0.18128299713134766
Cl,-2.479921817779541,-1.6444776058197021,1.3435784578323364,-1.211719274520874,1.0160021781921387,-0.16949531435966492,0.5426610112190247,0.8599732518196106
K,0.06307116150856018,0.16858899593353271,-0.04457807540893555,-2.4554831981658936,0.30078965425491333,1.3070485591888428,-0.7372307777404785,-1.268672227859497
Ca,1.7523131370544434,1.1504733562469482,-3.114387273788452,-0.5727275609970093,2.3889646530151367,-1.248929500579834,-1.2163370847702026,-0.0747498869895935
Sc,0.3783925771713257,2.563997507095337,-1.7190959453582764,2.5962188243865967,-0.910878598690033,1.4740701913833618,1.1633219718933105,-0.8993428349494934
Ti,1.404174566268921,1.8858370780944824,-0.8033437132835388,0.5242776274681091,-1.1836227178573608,-2.5276594161987305,0.5173393487930298,0.4729927182197571
V,1.2370281219482422,0.5539352893829346,-1.5915231704711914,3.4161136150360107,-0.6267139911651611,-1.8719658851623535,0.700321614742279,0.5711601972579956
Cr,1.758130669593811,3.86478853225708,-2.3304107189178467,1.0816994905471802,0.4613626003265381,0.39566582441329956,1.9341280460357666,2.237626552581787
Mn,0.0946769118309021,0.7262229323387146,-0.9631111025810242,0.1837201714515686,-0.9067621231079102,-1.1505355834960938,3.238856554031372,0.1855543553829193
