Element,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7
H,0.7299399971961975,0.39894527196884155,-0.48899319767951965,-0.8383998274803162,-0.009117946028709412,-0.06933503597974777,-0.43015405535697937,-0.889056921005249
Li,-0.1646546721458435,-0.9053730368614197,0.6676961779594421,0.03102533333003521,-0.9278356432914734,1.0352154970169067,0.7747397422790527,0.14065219461917877
B,0.1970275342464447,-0.016537750139832497,-0.17647622525691986,-0.35065028071403503,-0.15448501706123352,0.29746702313423157,0.059849344193935394,-0.16605035960674286
C,-0.47935983538627625,-0.5500378012657166,0.2508194148540497,-0.07573972642421722,-0.7302711606025696,0.4294581711292267,0.2880663275718689,0.46883365511894226
N,-0.3136320114135742,-0.2254631221294403,0.21830682456493378,0.1402040421962738,-0.4327535927295685,0.01378091424703598,0.05870998650789261,0.08094899356365204
O,0.026067931205034256,0.15552209317684174,0.041573453694581985,-0.2832062244415283,-0.1723884493112564,-0.43403300642967224,-0.3068602979183197,-0.2862386107444763
F,0.22414276003837585,0.052375126630067825,-0.07016494870185852,-0.15408113598823547,-0.201976016163826,-0.31530871987342834,-0.11640710383653641,-0.11927823722362518
Na,-0.5479251146316528,-1.0106831789016724,0.7729852795600891,0.4975265562534332,-0.9459763765335083,1.4058762788772583,0.7085682153701782,0.3786991536617279
Mg,-0.026406357064843178,-0.1386343389749527,-0.25368642807006836,-0.19103749096393585,-0.22302591800689697,0.008743826299905777,0.003276074305176735,-0.3145105242729187
Al,0.17843778431415558,-0.08439656347036362,-0.05724996328353882,-0.10909349471330643,0.021887769922614098,-0.002682567574083805,-0.03930593654513359,-0.034080009907484055
Si,-0.1785949468612671,-0.3811853528022766,0.18331843614578247,0.19355611503124237,-0.5017129182815552,0.03829771652817726,0.21888355910778046,0.13574285805225372
P,-0.2956019639968872,-0.3940827548503876,0.1955985575914383,0.34456586837768555,-0.49537742137908936,0.6625570058822632,0.22846028208732605,0.010386114940047264
S,-0.2915717363357544,-0.30648723244667053,0.3161333501338959,0.23140212893486023,-0.4263462424278259,0.5035232901573181,0.17987848818302155,-0.11658105254173279
Cl,-0.36713168025016785,-0.32876521348953247,0.2090083807706833,0.34701645374298096,-0.3046223521232605,0.018321426585316658,0.1473015695810318,0.043875474482774734
K,-0.549708902835846,-0.8099076747894287,0.5556981563568115,0.23933210968971252,-1.1244491338729858,1.3241087198257446,0.8404555916786194,0.6748155951499939
Ca,-0.44197455048561096,-0.3382655084133148,-0.13753508031368256,-0.18898320198059082,-0.436085045337677,-0.024309085682034492,0.5021221041679382,0.12616084516048431
Sc,0.6901234984397888,0.5044934749603271,-0.9508600831031799,-0.4029119610786438,0.32767120003700256,-0.8005263805389404,-0.42123106122016907,-0.6605173945426941
Ti,0.3655432164669037,0.029364341869950294,-0.5849266052246094,-0.3586849570274353,-0.14138147234916687,-0.19728900492191315,0.017868610098958015,-0.6761120557785034
V,-0.04321141168475151,-0.0076314532198011875,-0.3715708553791046,-0.07031424343585968,-0.145232692360878,0.15133771300315857,0.08542785793542862,-0.3355025053024292
Cr,0.24113038182258606,0.4209279716014862,-0.5420687794685364,-0.16222140192985535,0.04338650777935982,-0.3102051615715027,-0.29303932189941406,-0.6301025748252869
Mn,0.12656012177467346,0.2029498964548111,-0.40314167737960815,-0.12298446893692017,-0.11274062842130661,-0.2946345806121826,-0.2583681046962738,-0.6043955087661743
Fe,0.31963303685188293,0.3430439531803131,-0.575770914554596,-0.03190060332417488,-0.10958622395992279,-0.29997217655181885,-0.2172481268644333,-0.2905654013156891
Co,0.101793073117733,0.6164809465408325,-0.8918253779411316,-0.18686261773109436,0.004141882993280888,-0.37507686018943787,-0.4545755386352539,-0.4550319015979767
Ni,0.22353613376617432,0.44675081968307495,-0.6444461345672607,-0.06996934115886688,-0.03731701895594597,-0.4085995852947235,-0.25850147008895874,-0.5785146951675415
Cu,-0.3204878270626068,-0.21726565062999725,-0.3083878457546234,0.357319712638855,-0.604518473148346,0.15441517531871796,0.195325568318367,0.10345276445150375
Zn,0.10468684136867523,-0.11297056823968887,-0.030305005609989166,-0.280046671628952,-0.2821963429450989,0.08764816075563431,0.3330730199813843,0.08254477381706238
Ga,0.10748519748449326,0.153621643781662,-0.09558495134115219,-0.1364857703447342,0.0006050554802641273,-0.1482435166835785,0.042112935334444046,-0.01448377501219511
Ge,-0.28222426772117615,-0.47938716411590576,0.260560005903244,0.14961707592010498,-0.6166313290596008,0.18764477968215942,0.60364830493927,0.16520079970359802
As,-0.3248562216758728,-0.46070367097854614,0.4285200238227844,0.30769404768943787,-0.5725616812705994,0.7506788969039917,0.723839521408081,0.27276989817619324
Se,-0.30162113904953003,-0.2737850248813629,0.5114003419876099,0.18923845887184143,-0.4918087124824524,0.5550608038902283,0.46701446175575256,0.20077797770500183
Br,-0.5804458260536194,-0.3584097921848297,0.2729099988937378,0.25985008478164673,-0.448283851146698,0.21311795711517334,0.42385077476501465,0.22732946276664734
Kr,-0.35133934020996094,-0.47025027871131897,0.21594449877738953,0.2940102219581604,-0.2258049100637436,0.06842098385095596,0.3978937864303589,0.3512379229068756
Rb,-1.0856711864471436,-1.3311541080474854,1.3620727062225342,0.8621113300323486,-1.551841378211975,1.7352269887924194,1.2675025463104248,0.9796613454818726
Sr,-0.5841122269630432,-0.8900740146636963,0.06616569310426712,0.16112971305847168,-0.6756193041801453,0.41824886202812195,0.7582171559333801,0.38780826330184937
Y,0.587427020072937,0.3924630880355835,-0.8922315835952759,-0.32913199067115784,0.593034029006958,-0.8162519931793213,-0.1736786812543869,-0.6620584726333618
Zr,0.16477081179618835,-0.020453793928027153,-0.5286020040512085,-0.18551990389823914,-0.02781619131565094,-0.12390366941690445,-0.1927265226840973,-0.4393151104450226
Nb,-0.18116997182369232,-0.03489513695240021,-0.38780298829078674,0.16918142139911652,-0.05631807819008827,0.13845235109329224,0.004957224708050489,-0.47985178232192993
Mo,0.051565226167440414,-0.08535704016685486,-0.4042017161846161,-0.03758375346660614,0.0798790454864502,0.06579384952783585,0.04062212258577347,-0.7321366667747498
Tc,0.06822924315929413,-0.26484251022338867,-0.23890210688114166,-0.12632876634597778,-0.08692647516727448,0.1189306378364563,0.1352100521326065,-0.6772674322128296
Ru,0.2074667364358902,-0.06879110634326935,-0.380794882774353,-0.1541215479373932,0.025922231376171112,-0.1938839554786682,0.15925070643424988,-0.3695547580718994
Rh,-0.13401173055171967,-0.10558131337165833,-0.355491042137146,-0.1876363903284073,0.0017501445254310966,-0.22782254219055176,0.12171760201454163,-0.14091411232948303
Pd,0.0064615244045853615,-0.3088216781616211,0.165509894490242,-0.05886058509349823,-0.19690628349781036,0.41885802149772644,0.43553221225738525,-0.05584098398685455
Ag,-0.4055134654045105,-0.918754518032074,0.1340784877538681,0.3924935758113861,-0.5749820470809937,0.5101682543754578,0.8468248844146729,0.1895463466644287
Cd,0.0889177992939949,-0.16579940915107727,0.031553369015455246,-0.14880812168121338,-0.18801255524158478,0.015587424859404564,0.3780541718006134,-0.03437890484929085
In,-0.01887255720794201,-0.03918461501598358,-0.14595575630664825,0.08120646327733994,0.029273228719830513,-0.12162640690803528,-0.12069565802812576,-0.01620599627494812
Sn,-0.43128782510757446,-0.544933557510376,0.19280290603637695,0.3238511383533478,-0.5371455550193787,0.23767641186714172,0.3270995616912842,0.1413108855485916
Sb,-0.7354965806007385,-0.6525328755378723,0.48171907663345337,0.5332569479942322,-0.44673821330070496,0.7675914168357849,0.7326076030731201,0.4054620862007141
Te,-0.45912712812423706,-0.5707229375839233,0.5868375301361084,0.34761112928390503,-0.3403155505657196,0.7578468322753906,0.8854332566261292,0.0782967060804367
I,-0.8462084531784058,-0.772587776184082,0.44746121764183044,0.1999300867319107,-0.5929978489875793,0.4273029863834381,0.8103964328765869,0.24125319719314575
Ba,-0.7616017460823059,-1.4955885410308838,0.498803973197937,0.18577075004577637,-0.9900797009468079,1.0175361633300781,1.148457407951355,0.7118896245956421
Ce,-0.1828165352344513,-0.2477262318134308,-0.330324649810791,-0.06558973342180252,0.052487410604953766,-0.2727433443069458,0.36252573132514954,-0.15846389532089233
Pr,-0.30832645297050476,-0.7193056344985962,0.01290474459528923,0.043874360620975494,-0.1624201387166977,0.21612019836902618,0.5952997207641602,-0.0313015952706337
Nd,-0.31102412939071655,-0.4155977964401245,-0.303568035364151,0.07586559653282166,-0.040989603847265244,-0.2212871015071869,0.4792405068874359,-0.13459990918636322
Sm,-0.1919405162334442,-0.31206512451171875,-0.27897512912750244,-0.04573262855410576,0.06835923343896866,-0.36952272057533264,0.42839720845222473,-0.16010048985481262
Tb,-0.20483560860157013,-0.17057453095912933,-0.23541824519634247,-0.16115093231201172,0.20209157466888428,-0.44663044810295105,0.3881773352622986,-0.06490166485309601
Dy,-0.0580260306596756,-0.18664470314979553,-0.39250409603118896,-0.1940128058195114,0.16671334207057953,-0.3032899796962738,0.3655218482017517,-0.21242490410804749
Ho,-0.06712382286787033,-0.25132638216018677,-0.34089532494544983,-0.17397892475128174,0.1825520396232605,-0.4003271162509918,0.431628555059433,-0.21363940834999084
Er,-0.06710554659366608,-0.2511822581291199,-0.34112250804901123,-0.1739959418773651,0.1828032284975052,-0.4004858434200287,0.4313768446445465,-0.2138519436120987
Tm,0.1596471071243286,-0.07387912273406982,-0.5202574729919434,-0.4361934959888458,0.20768728852272034,-0.738785982131958,0.141062393784523,-0.3341160714626312
Yb,-0.2955988943576813,-0.4339520037174225,-0.22651241719722748,-0.12992031872272491,-0.05818064138293266,-0.2827296555042267,0.4619327485561371,-0.11450228095054626
Lu,0.5252812504768372,-0.1542343944311142,-0.5221655964851379,-0.3231911361217499,0.16170302033424377,-0.38777783513069153,-0.041601940989494324,-0.4229498505592346
Hf,0.14601735770702362,-0.2689618468284607,-0.5254300236701965,-0.26427504420280457,-0.1732608526945114,0.00027082598535344005,0.1067458987236023,-0.557802140712738
Ta,-0.10367174446582794,-0.4123973548412323,-0.3592163920402527,0.015501877292990685,-0.21353183686733246,0.1809568703174591,0.4434005618095398,-0.35397061705589294
W,0.12415091693401337,-0.04656301438808441,-0.3663461208343506,-0.27382421493530273,0.05801093578338623,-0.0781334787607193,0.03202933073043823,-0.45111849904060364
Re,0.041408222168684006,-0.3274616003036499,-0.2612869143486023,-0.21086278557777405,-0.16472122073173523,0.010508306324481964,0.11467133462429047,-0.40224793553352356
Os,0.15426908433437347,-0.39466407895088196,-0.04245046526193619,-0.25675445795059204,-0.1252020299434662,0.1271257996559143,0.5063347220420837,0.16924984753131866
Ir,-0.05834227055311203,-0.4176604449748993,-0.11454474180936813,-0.3500882387161255,-0.07387721538543701,0.06745955348014832,0.5749416351318359,0.18739967048168182
Pt,-0.018363475799560547,-0.543213427066803,0.03698822110891342,0.056073591113090515,-0.22397416830062866,0.3590957522392273,0.5350660681724548,0.10900330543518066
Au,-0.6936864852905273,-1.4194765090942383,0.5998249053955078,0.5863054394721985,-0.9392536282539368,1.1429810523986816,1.1745692491531372,0.9452008605003357
Hg,-0.05287335813045502,-0.3018772602081299,0.06267751008272171,-0.2651955187320709,-0.26484373211860657,0.03107619285583496,0.32541123032569885,0.14620743691921234
Tl,-0.09327780455350876,-0.045377470552921295,-0.07395268231630325,-0.047032974660396576,-0.019709903746843338,0.012359785847365856,-0.07718639820814133,0.15901021659374237
Pb,-0.6985958218574524,-0.592876136302948,0.28065356612205505,0.4379904866218567,-0.6055951118469238,0.588697612285614,0.4175267219543457,0.5163024067878723
Bi,-0.7618634104728699,-0.38869577646255493,0.19630637764930725,0.5182579755783081,-0.46589842438697815,0.7064295411109924,0.3781879246234894,0.2994101941585541
Th,-0.07135747373104095,-0.20263585448265076,-0.2819576561450958,0.0389195941388607,-0.005764455068856478,-0.29540571570396423,0.352623850107193,-0.15294452011585236
U,0.0426800474524498,-0.06577910482883453,-0.2904263734817505,0.009578479453921318,-0.013219037093222141,-0.4156952202320099,0.13850346207618713,-0.2541967034339905
Np,-0.07142553478479385,-0.20265346765518188,-0.2820076048374176,0.03890687972307205,-0.005849957000464201,-0.2955898642539978,0.3525821566581726,-0.1532304733991623
Pu,0.035973820835351944,-0.23172292113304138,-0.4178840219974518,-0.1076405867934227,-0.018217753618955612,-0.37842345237731934,0.24305841326713562,-0.2602054178714752
